EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,12.24,12.24,12.24,12.24,2610
3,12.2455,12.2455,12.2455,12.2455,400
5,12.31,12.31,12.23,12.23,800
6,12.36,12.36,12.32,12.32,1300
7,12.3586,12.3586,12.3586,12.3586,200
8,12.34,12.34,12.34,12.34,100
11,12.37,12.37,12.36,12.36,400
12,12.41,12.41,12.39,12.39,500
13,12.41,12.41,12.4,12.4,600
16,12.41,12.41,12.41,12.41,200
17,12.4,12.4,12.39,12.39,2285
19,12.37,12.37,12.37,12.37,200
20,12.355,12.355,12.3429,12.3429,2438
21,12.37,12.37,12.37,12.37,200
25,12.34,12.34,12.34,12.34,200
26,12.35,12.35,12.35,12.35,100
27,12.34,12.34,12.34,12.34,634
28,12.31,12.33,12.305,12.33,600
32,12.32,12.32,12.31,12.31,1400
40,12.33,12.34,12.33,12.33,1700
42,12.33,12.33,12.33,12.33,627
43,12.32,12.32,12.31,12.31,1100
44,12.315,12.315,12.31,12.31,450
47,12.3099,12.31,12.3099,12.31,1043
48,12.32,12.32,12.3099,12.3099,1500
49,12.335,12.335,12.33,12.33,500
50,12.34,12.34,12.33,12.3399,900
52,12.35,12.35,12.34,12.34,675
53,12.355,12.355,12.355,12.355,300
60,12.36,12.36,12.36,12.36,100
63,12.34,12.35,12.34,12.35,772
65,12.33,12.33,12.33,12.33,100
67,12.35,12.35,12.34,12.34,761
70,12.35,12.35,12.35,12.35,100
71,12.32,12.34,12.32,12.34,726
72,12.32,12.32,12.32,12.32,100
74,12.32,12.32,12.32,12.32,813
77,12.31,12.31,12.31,12.31,800
78,12.29,12.3,12.29,12.3,1700
79,12.3,12.3,12.3,12.3,200
84,12.31,12.31,12.31,12.31,200
88,12.33,12.33,12.33,12.33,100
91,12.34,12.34,12.335,12.335,200
95,12.32,12.33,12.32,12.33,400
96,12.33,12.33,12.33,12.33,500
97,12.35,12.35,12.33,12.33,400
102,12.35,12.35,12.35,12.35,200
106,12.35,12.35,12.35,12.35,900
107,12.35,12.35,12.35,12.35,100
110,12.35,12.35,12.35,12.35,700
111,12.34,12.34,12.34,12.34,100
114,12.345,12.35,12.345,12.35,600
119,12.36,12.36,12.36,12.36,225
122,12.36,12.36,12.36,12.36,700
129,12.35,12.35,12.35,12.35,300
130,12.36,12.36,12.36,12.36,100
133,12.36,12.36,12.36,12.36,168
134,12.34,12.34,12.34,12.34,400
135,12.345,12.35,12.345,12.35,784
136,12.35,12.35,12.35,12.35,200
138,12.35,12.35,12.35,12.35,100
139,12.34,12.34,12.34,12.34,1100
140,12.32,12.33,12.32,12.33,1000
142,12.31,12.31,12.31,12.31,100
148,12.28,12.285,12.28,12.285,1000
149,12.2999,12.2999,12.28,12.28,200
150,12.3299,12.3299,12.295,12.3,2563
151,12.3363,12.3363,12.3363,12.3363,200
157,12.36,12.36,12.36,12.36,300
160,12.37,12.37,12.37,12.37,100
164,12.36,12.36,12.36,12.36,300
165,12.35,12.35,12.35,12.35,100
168,12.34,12.34,12.34,12.34,100
170,12.34,12.34,12.34,12.34,100
171,12.3399,12.34,12.3399,12.34,200
172,12.3399,12.3399,12.3399,12.3399,100
173,12.3299,12.33,12.3299,12.33,400
174,12.33,12.33,12.3299,12.3299,800
176,12.34,12.34,12.34,12.34,100
179,12.34,12.34,12.34,12.34,300
181,12.35,12.35,12.35,12.35,300
182,12.356,12.356,12.356,12.356,150
186,12.36,12.36,12.36,12.36,100
188,12.35,12.35,12.35,12.35,100
191,12.355,12.355,12.355,12.355,100
194,12.35,12.35,12.35,12.35,200
195,12.34,12.35,12.34,12.35,1000
196,12.34,12.34,12.34,12.34,300
201,12.35,12.35,12.34,12.34,300
203,12.3449,12.3449,12.3449,12.3449,1000
207,12.341,12.341,12.341,12.341,1700
209,12.35,12.35,12.35,12.35,100
210,12.35,12.35,12.35,12.35,100
214,12.34,12.34,12.34,12.34,731
215,12.3399,12.3399,12.33,12.3399,900
217,12.335,12.335,12.33,12.33,200
219,12.3299,12.33,12.3299,12.33,400
220,12.32,12.32,12.32,12.32,200
221,12.33,12.33,12.325,12.33,1046
222,12.34,12.34,12.34,12.34,100
228,12.33,12.33,12.33,12.33,100
229,12.33,12.33,12.33,12.33,700
231,12.32,12.32,12.32,12.32,200
232,12.3248,12.3248,12.3248,12.3248,175
233,12.32,12.32,12.32,12.32,100
235,12.32,12.32,12.32,12.32,100
237,12.32,12.325,12.32,12.325,300
238,12.32,12.32,12.32,12.32,100
239,12.31,12.31,12.31,12.31,200
241,12.3,12.31,12.28,12.31,900
243,12.2999,12.2999,12.2999,12.2999,100
245,12.3,12.3,12.295,12.295,200
246,12.3,12.3,12.3,12.3,100
249,12.29,12.29,12.29,12.29,100
250,12.28,12.29,12.27,12.29,4400
251,12.29,12.29,12.29,12.29,700
253,12.3,12.3,12.3,12.3,100
258,12.29,12.29,12.29,12.29,559
260,12.28,12.29,12.28,12.29,200
261,12.28,12.2899,12.28,12.2899,201
264,12.29,12.29,12.29,12.29,1110
273,12.3,12.31,12.3,12.31,400
275,12.2889,12.29,12.2889,12.29,345
277,12.305,12.305,12.29,12.29,700
282,12.31,12.31,12.31,12.31,100
284,12.3,12.3,12.3,12.3,100
287,12.28,12.29,12.27,12.29,1157
288,12.28,12.28,12.28,12.28,300
289,12.28,12.28,12.28,12.28,100
293,12.28,12.28,12.28,12.28,200
295,12.31,12.31,12.28,12.28,600
306,12.29,12.29,12.29,12.29,200
307,12.29,12.29,12.29,12.29,100
310,12.28,12.29,12.28,12.29,1100
313,12.29,12.29,12.2867,12.2867,1200
317,12.28,12.29,12.28,12.29,200
318,12.29,12.29,12.29,12.29,100
319,12.29,12.29,12.29,12.29,100
323,12.3,12.3,12.3,12.3,100
326,12.29,12.3,12.29,12.3,595
328,12.29,12.29,12.29,12.29,100
329,12.29,12.2901,12.29,12.2901,891
331,12.28,12.28,12.27,12.28,2700
333,12.28,12.28,12.28,12.28,100
335,12.29,12.29,12.29,12.29,100
337,12.28,12.29,12.28,12.29,545
339,12.28,12.28,12.28,12.28,930
340,12.27,12.27,12.27,12.27,100
345,12.27,12.28,12.27,12.28,300
347,12.28,12.28,12.28,12.28,100
348,12.27,12.27,12.27,12.27,300
350,12.28,12.28,12.28,12.28,517
351,12.28,12.28,12.28,12.28,100
356,12.26,12.28,12.26,12.28,700
