EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,40.2,40.2,40.2,40.2,1449
2,40.35,40.35,40.35,40.35,100
4,40.4,40.4,40.4,40.4,200
5,40.4,40.4,40.4,40.4,200
6,40.6,40.6,40.6,40.6,200
9,40.585,40.675,40.585,40.675,809
11,40.775,40.775,40.775,40.775,100
12,40.55,40.65,40.55,40.65,600
16,40.45,40.45,40.45,40.45,300
17,40.5,40.5,40.5,40.5,200
20,40.15,40.2,40.15,40.2,1200
21,40.35,40.35,40.05,40.05,401
23,40.15,40.15,40.15,40.15,100
26,40.35,40.35,40.1,40.1,1190
32,40.2,40.2,40.2,40.2,100
36,40.2,40.2,40.2,40.2,100
37,40.3,40.3,40.15,40.2,800
41,40.1,40.15,40.1,40.15,700
43,40.05,40.05,40.05,40.05,100
46,40.2,40.25,40.15,40.15,1045
47,40.2166,40.2166,40.2166,40.2166,150
48,40.246,40.246,40.246,40.246,250
49,40.25,40.25,40.25,40.25,100
52,40.2,40.2,40.2,40.2,200
53,40.25,40.25,40.25,40.25,200
55,40.2,40.2,40.2,40.2,610
56,40.2,40.2,40.2,40.2,200
57,40.35,40.35,40.25,40.25,1107
59,40.3,40.3,40.3,40.3,200
61,40.25,40.25,40.25,40.25,400
62,40.15,40.2481,40.15,40.2481,544
65,40.1,40.1,40.1,40.1,400
66,40.1,40.1,40.1,40.1,200
67,40.1,40.15,40.1,40.15,200
69,40.1,40.1,40.1,40.1,100
70,40.1,40.1,40.1,40.1,300
71,40.1,40.1,40.1,40.1,100
72,40.1,40.1,40.1,40.1,100
74,40.1,40.1,40.1,40.1,100
76,40.05,40.1,40.05,40.1,200
77,39.9,40.1,39.9,40.1,5331
80,39.9,39.9,39.9,39.9,200
85,39.9,40.05,39.9,40.05,1000
86,39.9,39.95,39.9,39.95,200
87,39.85,39.9,39.85,39.9,310
88,39.85,39.9999,39.85,39.9999,800
90,39.95,39.95,39.9,39.9,400
91,39.9,40,39.9,40,700
92,39.993,39.993,39.993,39.993,100
95,39.9,39.9585,39.9,39.9585,600
97,39.9,39.9,39.9,39.9,100
98,39.9,39.9,39.9,39.9,100
99,39.95,39.95,39.95,39.95,100
100,39.95,39.95,39.95,39.95,100
101,40,40,39.85,39.85,1300
102,40,40,39.87,39.87,400
104,40.05,40.05,40.05,40.05,200
108,40.1,40.1,40.1,40.1,200
110,40.05,40.05,40.05,40.05,100
113,40.15,40.15,40.1,40.15,1190
114,40.1,40.15,40.1,40.15,200
116,40.1,40.1,40.1,40.1,200
117,40.1,40.175,40.1,40.175,300
121,40.1,40.1,40.1,40.1,100
122,40.1,40.1,40.1,40.1,100
125,40.1,40.1,40.05,40.05,300
126,40.05,40.05,40.05,40.05,100
127,40,40,40,40,100
129,40.075,40.075,40.05,40.05,200
130,40.2,40.2,40,40.05,1361
133,40.2,40.2,40.2,40.2,100
134,40.15,40.15,40.15,40.15,100
136,40.25,40.25,40.25,40.25,200
138,40.35,40.35,40.35,40.35,100
141,40.2,40.2,40.2,40.2,100
142,40.25,40.25,40.2,40.2,900
144,40.35,40.35,40.233,40.233,500
145,40.2,40.3,40.2,40.3,200
147,40.295,40.3,40.25,40.25,1700
148,40.25,40.25,40.25,40.25,100
149,40.3,40.3,40.3,40.3,200
150,40.25,40.25,40.25,40.25,300
152,40.2,40.2,40.2,40.2,100
154,40.2,40.2,40.2,40.2,100
155,40.2,40.2,40.2,40.2,100
156,40.3,40.3,40.2672,40.2672,600
157,40.2,40.2,40.2,40.2,100
158,40.15,40.2,40.15,40.2,900
159,40.15,40.15,40.15,40.15,100
160,40.2,40.2,40.2,40.2,200
161,40.15,40.15,40.15,40.15,100
162,40.15,40.15,40.15,40.15,510
163,40.1,40.1,40.1,40.1,100
164,40.1,40.1,40.1,40.1,200
165,40.1,40.1,40.1,40.1,1217
166,40.05,40.05,40.05,40.05,100
167,40,40.15,40,40.15,485
168,40.075,40.075,40,40,1100
169,40,40,40,40,100
170,40.05,40.05,40,40.05,990
171,39.95,39.95,39.95,39.95,100
172,39.95,39.95,39.95,39.95,100
174,39.95,39.95,39.95,39.95,200
175,39.9,39.9,39.9,39.9,100
176,39.9,39.9,39.9,39.9,200
177,39.9,39.9,39.9,39.9,100
178,39.9,39.9,39.9,39.9,100
179,39.9,39.9,39.9,39.9,200
180,39.9875,39.9875,39.9,39.9,200
181,39.85,39.975,39.85,39.975,1230
182,39.95,39.95,39.95,39.95,100
183,39.9,39.9,39.9,39.9,100
184,39.9,39.9,39.9,39.9,100
185,39.8,39.85,39.8,39.85,700
187,39.9,39.9,39.9,39.9,100
188,39.9,40,39.9,39.9,975
190,39.95,39.95,39.95,39.95,280
191,39.95,39.95,39.95,39.95,100
192,40,40,40,40,300
195,40.1,40.1,40,40.05,400
200,40.2,40.2,40.15,40.15,747
202,40.15,40.15,40.15,40.15,100
204,40.25,40.25,40.25,40.25,300
206,40.243,40.243,40.243,40.243,139
210,40.225,40.225,40.225,40.225,100
212,40.225,40.225,40.225,40.225,100
213,40.225,40.225,40.225,40.225,100
214,40.275,40.3,40.25,40.3,1000
219,40.3,40.3,40.3,40.3,100
221,40.2,40.2,40.2,40.2,100
222,40.2,40.3,40.2,40.3,200
224,40.3,40.3,40.3,40.3,200
229,40.4,40.4,40.325,40.325,200
234,40.4,40.4,40.4,40.4,100
235,40.325,40.325,40.325,40.325,500
236,40.25,40.25,40.25,40.25,100
238,40.25,40.25,40.25,40.25,100
239,40.35,40.35,40.3,40.3,200
241,40.25,40.3,40.25,40.3,1000
242,40.2,40.2,40.2,40.2,100
243,40.2375,40.25,40.2,40.2,780
246,40.35,40.35,40.35,40.35,123
252,40.2,40.2,40.2,40.2,100
253,40.3,40.3,40.3,40.3,200
254,40.25,40.25,40.25,40.25,800
255,40.2,40.2,40.2,40.2,200
263,40.35,40.35,40.2,40.2,700
264,40.2,40.2,40.2,40.2,100
265,40.2495,40.2495,40.2495,40.2495,106
267,40.264,40.264,40.264,40.264,156
268,40.25,40.25,40.25,40.25,100
271,40.2,40.2,40.2,40.2,300
272,40.2,40.2,40.2,40.2,100
273,40.2,40.2,40.2,40.2,299
274,40.2,40.25,40.2,40.2,500
275,40.146,40.1774,40.1,40.15,980
276,40.15,40.15,40.15,40.15,100
277,40.1,40.1,40.0982,40.0982,400
278,40.05,40.05,40.05,40.05,200
