EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1521120900,101.9999,101.9999,101.854,101.854,790
27,100.5577,100.5577,100.5577,100.5577,2000
29,100.86,100.86,100.86,100.86,200
30,100.0651,100.0661,100.0001,100.0661,1300
38,100.869,100.869,100.869,100.869,148
55,100.7833,100.7833,100.7833,100.7833,100
57,100.7833,100.7833,100.7833,100.7833,400
61,100.6,100.6,100.6,100.6,6000
99,101.1528,101.1528,101.1528,101.1528,350
162,101.55,101.55,101.55,101.55,200
174,101.4268,101.4268,101.4268,101.4268,200
192,101,101,101,101,225
217,101,101,101,101,125
229,101,101,101,101,125
244,101,101,101,101,200
248,101,101,101,101,1000
249,101,101,101,101,700
254,101.5303,101.5303,101.5303,101.5303,200
259,101.5348,101.5348,101.5348,101.5348,200
322,101.5667,101.5667,101.5667,101.5667,100
326,101.5667,101.5667,101.5667,101.5667,125
331,101.0001,101.376,101.0001,101.376,1000
335,101.5638,101.5638,101.5638,101.5638,120
370,101.592,101.69,101.592,101.69,200
376,101.6332,101.68,101.6332,101.67,325
385,101.68,101.68,101.68,101.68,125
a1521210000,101,101,101,101,150
11,101.284,101.284,101.284,101.284,200
16,101.353,101.353,101.353,101.353,100
18,101.5,101.5,101.5,101.5,100
22,101.5,101.5,101.5,101.5,100
27,101.5,101.5,101.5,101.5,100
31,101.5,101.5,101.5,101.5,100
36,101.5,101.5,101.5,101.5,100
40,101.5,101.5,101.5,101.5,100
45,101.5,101.5,101.5,101.5,100
47,101.5,101.5,101.5,101.5,100
50,101.5,101.5,101.5,101.5,100
55,101.5,101.5,101.5,101.5,100
60,101.5,101.5,101.5,101.5,100
73,101.6,101.6,101.6,101.6,100
77,101.45,101.45,101.45,101.45,200
78,101.45,101.45,101.45,101.45,100
79,101.45,101.45,101.45,101.45,1800
95,101.74,101.74,101.74,101.74,100
101,101.74,101.74,101.74,101.74,100
107,101.74,101.74,101.74,101.74,100
108,101.45,101.45,101.45,101.45,2000
120,101.74,101.74,101.74,101.74,100
127,101.74,101.74,101.74,101.74,100
129,101.101,101.3,101.101,101.101,500
134,101.74,101.74,101.74,101.74,100
142,101.74,101.74,101.74,101.74,100
149,101.74,101.74,101.74,101.74,100
156,101.89,101.89,101.89,101.89,100
164,101.9,101.9,101.9,101.9,100
168,101.86,101.86,101.86,101.86,200
172,101.93,101.93,101.93,101.93,100
175,101.96,101.96,101.91,101.91,400
180,101.99,101.99,101.99,101.99,100
188,101.95,101.95,101.95,101.95,100
196,101.95,101.95,101.95,101.95,100
203,101.95,101.95,101.95,101.95,100
205,101.95,101.95,101.95,101.95,200
211,101.95,101.95,101.95,101.95,100
219,101.95,101.95,101.95,101.95,100
227,101.95,101.95,101.95,101.95,100
234,101.89,101.89,101.89,101.89,100
241,101.79,101.79,101.79,101.79,100
248,101.79,101.79,101.79,101.79,100
252,101.645,101.645,101.645,101.645,294
255,101.79,101.79,101.79,101.79,100
262,101.79,101.79,101.79,101.79,100
269,101.84,101.84,101.84,101.84,100
275,101.9,101.9,101.9,101.9,100
282,101.9,101.9,101.9,101.9,100
288,101.9,101.9,101.9,101.9,100
295,101.9,101.9,101.9,101.9,100
301,101.9,101.9,101.9,101.9,100
306,101.9,101.9,101.9,101.9,100
312,101.9,101.9,101.9,101.9,100
317,101.9,101.9,101.9,101.9,100
321,101.9,101.9,101.9,101.9,100
323,102,102,102,102,100
325,102,102,102,102,200
331,102.98,102.98,102.98,102.98,300
338,101.98,102.97,101.98,102.97,200
340,102.97,102.97,102.97,102.97,354
a1521466320,102.5,102.51,102.5,102.51,300
143,102.4643,102.5,102.4643,102.5,400
207,102.5,102.5,102.3,102.3,300
244,102.5,102.5,101.841,101.86,1000
248,102.16,102.16,102.16,102.16,100
270,102.501,102.501,102.501,102.501,250
296,102.52,102.52,102.51,102.51,1250
308,102.39,102.39,102.39,102.39,100
348,102.5,102.5,102.5,102.5,850
355,102.5,102.501,102.5,102.501,280
356,102.655,102.655,102.45,102.45,200
358,102.45,102.45,102.45,102.45,1000
361,102.4113,102.4113,102.4113,102.4113,500
363,102.5787,102.5787,102.5787,102.5787,100
388,102.92,102.92,102.92,102.92,100
a1521558480,102.44,102.44,102.44,102.44,100
2,102.5739,102.5739,102.5739,102.5739,500
33,102.75,102.75,102.7,102.7,600
35,102.75,102.75,102.75,102.75,400
48,102.91,103.21,102.91,102.91,1500
63,103.31,103.31,103.31,103.31,100
111,103.34,103.34,103.34,103.34,250
137,103.64,103.64,103.64,103.64,200
190,103.54,103.54,103.54,103.54,100
191,103.5,103.5,103.5,103.5,100
211,103.5,103.5,103.5,103.5,100
217,103.7,103.7,103.7,103.7,100
263,103.5,103.5,103.5,103.5,100
272,103.2417,103.2417,103.2417,103.2417,400
a1521639000,101.7,101.7,101.7,101.7,200
1,102.71,102.71,102.71,102.71,200
25,102.88,102.88,102.55,102.55,200
38,102.515,102.515,102.48,102.48,200
39,102.75,102.75,102.75,102.75,100
41,102.55,102.55,102.55,102.55,100
130,103.19,103.19,102.711,102.72,400
144,102.95,102.95,102.95,102.95,100
271,104.13,104.13,103.4,103.4,926
305,103.5,103.5,103.5,103.5,300
324,103.49,103.49,103.235,103.235,400
376,103.05,103.295,103.05,103.06,400
382,103.43,103.43,103.101,103.101,800
a1521725520,101.6122,101.6122,101.511,101.53,540
6,102.58,102.58,102.58,102.58,100
167,103.47,103.47,102.9,102.9,600
193,103.4999,103.4999,103.4856,103.4856,200
213,103.37,103.37,103.37,103.37,100
247,103.231,103.231,103.231,103.231,120
266,103.4201,103.5,103.4201,103.5,200
327,102.79,102.79,102.7,102.7,200
336,102.75,102.75,102.75,102.75,100
337,102.65,102.65,102.65,102.65,100
339,102.5,102.5,102.5,102.5,100
342,102.609,102.609,102.384,102.384,300
351,102.3,102.3,102.3,102.3,100
357,102.55,102.55,102.549,102.549,400
358,102.37,102.54,102.37,102.54,200
365,102.305,102.47,102.305,102.47,200
374,102.29,102.3,102.0961,102.3,400
388,102.06,102.109,102.06,102.109,225
a1521813000,102.5,102.5,102.5,102.5,100
4,102.47,102.47,102.47,102.47,100
7,102.5,102.5,102.5,102.5,200
31,102.3,102.3,102.3,102.3,200
61,101.721,101.721,101.721,101.721,200
71,102.25,102.25,102.25,102.25,100
92,102.1,102.1,102.1,102.1,126
113,101.99,102.05,101.99,102.05,300
121,101.82,104.67,101.7747,101.82,600
136,101.6729,101.6729,101.67,101.67,600
172,102.07,102.07,102.07,102.07,100
180,102,102,102,102,100
181,102,102,101.982,101.982,15800
234,102.15,102.15,102.15,102.15,100
254,102.2,102.2,102.2,102.2,100
262,101.87,101.87,101.87,101.87,100
281,101.7399,101.7399,101.5371,101.5371,200
348,100.95,100.95,100.95,100.95,100
351,100.91,100.91,100.91,100.91,100
361,100.54,100.54,100.54,100.54,100
