EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260320,29.07,29.78,28.9,29.78,6036
11,29.3,29.3,29.3,29.3,100
15,29.2953,29.2953,29.2953,29.2953,200
28,29.28,29.28,29.28,29.28,100
29,29.34,29.34,29.34,29.34,200
31,29.28,29.33,29.28,29.33,800
34,29.28,29.28,28.8,29.27,4300
36,29.84,29.84,29.7,29.7,200
42,29.27,29.55,29.27,29.55,1700
46,28.83,28.83,28.83,28.83,600
52,29.27,29.27,29.27,29.27,700
55,29.29,29.29,29.29,29.29,100
60,29.29,29.29,29.29,29.29,100
61,29.29,29.29,29.29,29.29,100
68,29.29,29.29,29.29,29.29,100
74,29.29,29.29,29.29,29.29,100
80,29.28,29.28,29.28,29.28,100
86,29.29,29.29,29.29,29.29,350
98,29.84,29.84,29.84,29.84,100
110,29.83,29.83,29.83,29.83,100
117,29.84,29.84,29.84,29.84,100
128,29.84,29.84,29.84,29.84,100
197,29.83,29.83,29.83,29.83,100
229,29.415,29.415,29.415,29.415,100
288,29.83,29.83,29.83,29.83,100
357,29.84,29.84,29.84,29.84,300
385,29.84,29.84,29.84,29.84,100
386,29.62,29.66,29.62,29.66,500
387,29.61,29.62,29.61,29.62,1027
a1520346600,29.76,29.76,29.76,29.76,101
1,29.32,29.45,29.32,29.45,200
21,29.86,29.86,29.86,29.86,100
23,29.52,29.52,29.52,29.52,100
33,29.79,29.79,29.79,29.79,100
55,29.99,29.99,29.98,29.98,200
58,29.7,29.7,29.7,29.7,600
61,29.96,29.96,29.96,29.96,100
65,29.59,29.5901,29.59,29.5901,390
71,29.6,29.6001,29.6,29.6001,300
74,29.6,29.6,29.6,29.6,405
85,29.79,29.79,29.79,29.79,100
117,29.69,29.69,29.69,29.69,158
148,29.34,29.4,29.34,29.4,500
179,29.46,29.46,29.46,29.46,100
192,29.35,29.35,29.3,29.3,1859
193,29.35,29.35,29.35,29.35,400
195,29.3,29.41,29.3,29.41,13889
249,29.3,29.3,29.3,29.3,100
329,29.0663,29.0663,29.0663,29.0663,161
372,28.958,28.958,28.958,28.958,164
380,28.94,28.94,28.94,28.94,100
385,29.33,29.33,29.33,29.33,100
388,29.08,29.08,29.05,29.05,200
389,29.02,29.12,29,29.05,5294
390,29.12,29.25,29.101,29.25,300
a1520433000,28.76,28.76,28.76,28.76,106
11,28.26,28.26,28.26,28.26,100
33,29.25,29.25,29.25,29.25,100
47,29.28,29.28,29.28,29.28,100
67,29.24,29.24,29.24,29.24,100
69,29.23,29.23,29.23,29.23,100
70,29.33,29.33,29.25,29.28,900
78,29.76,29.76,29.76,29.76,100
80,29.13,29.2,29.13,29.2,400
83,29.1201,29.71,29.1201,29.71,700
91,29.29,29.3,29.29,29.3,200
95,29,29.03,29,29.02,700
96,29,29,29,29,100
102,28.32,29.01,28.32,29.01,2768
110,29.19,29.19,29.19,29.19,100
120,29.26,29.26,29.26,29.26,100
124,29.26,29.26,29.26,29.26,100
225,29.09,29.09,29.09,29.09,100
245,29.26,29.26,29.26,29.26,100
270,29.14,29.14,29.14,29.14,121
274,29.15,29.15,29.15,29.15,100
286,29.14,29.14,29.14,29.14,100
328,29.2,29.2,29.2,29.2,200
332,29.02,29.02,29.02,29.02,100
338,28.88,28.88,28.88,28.88,100
360,29.13,29.13,29.13,29.13,100
375,28.9,28.9,28.9,28.9,100
376,29.18,29.18,29.18,29.18,100
381,29.21,29.21,29.21,29.21,100
385,28.81,28.81,28.81,28.81,100
386,29.18,29.18,29.1,29.1,200
388,29.215,29.215,29.215,29.215,100
389,28.88,29.24,28.77,29,1300
390,29.31,29.31,29.31,29.31,200
a1520519400,29.01,29.01,29.01,29.01,100
21,29.27,29.27,29.27,29.27,100
60,28.91,28.91,28.91,28.91,200
61,28.9,28.91,28.9,28.91,500
106,28.9,28.9,28.9,28.9,100
107,28.9,28.9,28.9,28.9,300
146,28.9,28.9,28.9,28.9,100
157,28.94,28.94,28.94,28.94,100
171,28.9,28.9,28.9,28.9,100
261,29.33,29.33,29.33,29.33,100
275,29.06,29.07,29.06,29.07,200
327,29.04,29.04,29.04,29.04,100
343,29.04,29.04,29.04,29.04,100
350,29.08,29.08,29.08,29.08,100
351,29.07,29.1282,29.07,29.08,3120
355,29.09,29.09,29.09,29.09,100
368,29.165,29.165,29.09,29.09,200
373,29.09,29.09,29.09,29.09,100
376,29.58,29.58,29.58,29.58,100
384,29.12,29.12,29.12,29.12,100
387,29.11,29.64,29.11,29.64,200
388,29.11,29.11,29.11,29.11,100
389,29.11,29.11,29.11,29.11,100
390,29.11,29.12,29.11,29.12,200
a1520605800,29.36,29.36,29.36,29.36,130
51,29.32,29.32,29.32,29.32,100
52,29.62,29.62,29.62,29.62,100
60,29.6,29.6,29.6,29.6,100
61,29.61,29.61,29.61,29.61,100
63,29.61,29.61,29.61,29.61,100
67,29.67,29.67,29.62,29.62,200
71,29.67,29.67,29.67,29.67,100
80,29.66,29.66,29.66,29.66,100
88,29.49,29.49,29.49,29.49,100
101,29.54,29.54,29.54,29.54,100
102,29.54,29.54,29.54,29.54,400
103,29.54,29.54,29.54,29.54,1380
108,29.2162,29.2162,29.2162,29.2162,123
129,29.52,29.52,29.52,29.52,200
158,29.39,29.39,29.39,29.39,100
173,29.27,29.27,29.27,29.27,100
177,29.27,29.27,29.27,29.27,100
180,29.41,29.41,29.41,29.41,100
203,29.42,29.42,29.42,29.42,100
224,29.42,29.42,29.42,29.42,100
225,29.3,29.33,29.3,29.33,200
259,29.42,29.42,29.42,29.42,100
270,30.02,30.02,29.42,29.42,2035
281,29.53,29.55,29.53,29.53,400
296,29.5,29.5,29.5,29.5,100
299,29.51,29.51,29.51,29.51,100
311,29.58,29.58,29.58,29.58,100
315,29.65,29.65,29.65,29.65,115
347,29.56,29.56,29.56,29.56,100
352,29.65,29.65,29.65,29.65,3215
353,29.65,29.65,29.65,29.65,993
359,29.65,29.65,29.65,29.65,100
361,29.65,29.65,29.65,29.65,200
370,29.7,29.7,29.7,29.7,200
374,30.12,30.12,30.12,30.12,100
386,29.79,29.79,29.79,29.79,100
387,29.82,29.82,29.79,29.79,200
388,29.83,29.83,29.83,29.83,100
389,29.64,29.64,29.64,29.64,200
TIMEZONE_OFFSET=-240
a1520868960,29.3,29.63,29.3,29.63,350
4,29.26,29.26,29.26,29.26,100
42,29.65,29.65,29.65,29.65,100
