EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,11.7498,11.7498,11.65,11.65,2109
9,11.7785,11.7785,11.7785,11.7785,600
11,11.822,11.822,11.822,11.822,1200
20,11.8,11.8,11.8,11.8,1000
24,11.9,11.9,11.9,11.9,100
25,11.862,11.9,11.862,11.9,800
26,11.9,11.9,11.9,11.9,700
29,12,12,12,12,763
30,12,12,12,12,200
32,11.95,11.955,11.95,11.955,268
34,11.975,11.975,11.975,11.975,100
37,11.95,11.95,11.95,11.95,1200
41,11.9712,11.9712,11.9712,11.9712,500
44,11.95,11.967,11.95,11.967,850
47,11.9,11.9,11.9,11.9,132
48,11.995,11.995,11.995,11.995,385
59,11.995,11.995,11.995,11.995,500
63,12,12,12,12,2450
65,11.995,11.995,11.995,11.995,132
69,12,12,12,12,400
72,12,12,11.95,11.95,2606
74,12.05,12.05,12.05,12.05,200
75,12.05,12.05,12.045,12.05,2816
79,12.05,12.05,12,12.025,1452
84,12.026,12.026,12.026,12.026,140
85,12.05,12.05,12.05,12.05,200
87,12.05,12.05,12.05,12.05,600
88,12.05,12.05,12.045,12.05,1314
89,12.05,12.05,12.05,12.05,100
91,12.026,12.026,12.026,12.026,214
92,12.05,12.05,12.05,12.05,200
93,12.05,12.05,12.05,12.05,100
100,12.05,12.05,12.045,12.045,200
108,12.0335,12.0335,12,12,600
113,12.05,12.05,12.025,12.025,1896
114,12.05,12.05,12.05,12.05,200
117,12.05,12.05,12.05,12.05,100
118,12.05,12.05,12.05,12.05,100
121,12.0214,12.0214,12.0214,12.0214,5000
125,12,12,12,12,100
128,12.025,12.025,12.025,12.025,400
134,12,12,12,12,100
138,12,12,12,12,500
140,11.9595,12.045,11.95,12,1434
142,12.05,12.05,12.05,12.05,100
143,11.95,11.95,11.95,11.95,100
148,12,12,12,12,100
155,11.977,11.977,11.977,11.977,1000
162,12,12,12,12,200
163,12.05,12.05,12.05,12.05,100
166,12.05,12.05,12.05,12.05,300
167,12.05,12.05,12.05,12.05,1000
168,12.05,12.05,12.05,12.05,1000
183,12.1,12.1,12.0743,12.0743,2000
184,12.1,12.1,12.1,12.1,100
203,12.05,12.081,12.05,12.081,1100
207,12.07,12.1,12.07,12.1,300
214,12.05,12.05,12.05,12.05,100
225,12.05,12.05,12.05,12.05,280
226,12.05,12.075,12.05,12.0614,2254
236,12.05,12.05,12,12,200
247,12,12,12,12,100
251,12.0374,12.0374,12.0374,12.0374,1850
254,12.05,12.05,12.05,12.05,400
257,12.05,12.05,12.05,12.05,100
264,12.05,12.05,12.05,12.05,675
268,12,12,12,12,100
278,12,12,12,12,100
284,12.05,12.05,12.05,12.05,1900
285,12.0248,12.0248,12.0248,12.0248,400
288,12,12,12,12,100
289,11.995,12,11.995,12,1500
298,11.95,11.95,11.95,11.95,100
300,11.905,11.95,11.905,11.95,563
301,11.9355,11.9355,11.9355,11.9355,350
308,11.9,11.9,11.9,11.9,100
317,11.9,11.9,11.9,11.9,100
326,11.9,11.9,11.9,11.9,100
334,12,12,12,12,1393
347,11.9711,11.9711,11.9711,11.9711,400
350,11.9,11.9748,11.9,11.9748,2120
351,11.95,11.95,11.95,11.95,100
353,11.9,11.9,11.9,11.9,100
361,11.9,11.9,11.9,11.9,100
369,11.9,11.9,11.9,11.9,100
374,12,12,11.9,11.93,2591
375,11.9,11.9,11.9,11.9,200
377,11.9,11.9,11.9,11.9,100
380,11.9,11.9,11.9,11.9,4752
381,11.85,11.85,11.85,11.85,200
383,11.85,11.85,11.85,11.85,200
386,11.8,11.8,11.8,11.8,600
387,11.85,11.85,11.85,11.85,500
388,11.8,11.85,11.8,11.8,320
389,11.8,11.9,11.8,11.8,1078
a1520346660,12,12,12,12,4391
10,12.045,12.045,12.045,12.045,100
15,12.05,12.05,12.05,12.05,100
52,12,12,12,12,250
55,12.045,12.045,12.045,12.045,175
80,11.9571,11.9571,11.95,11.95,1770
81,11.95,11.95,11.9,11.9,3200
85,12,12,11.925,11.925,200
88,11.85,11.85,11.85,11.85,300
90,11.805,11.9408,11.8,11.9408,1500
92,11.75,11.85,11.75,11.85,1300
96,11.885,11.885,11.75,11.75,270
100,11.75,11.75,11.75,11.75,100
103,11.9,11.9,11.8,11.8,452
104,11.8,11.9,11.8,11.9,200
109,11.75,11.75,11.75,11.75,100
111,11.8,11.8,11.8,11.8,300
113,11.75,11.75,11.75,11.75,100
118,11.75,11.75,11.75,11.75,100
119,11.8,11.8,11.8,11.8,175
121,11.8,11.8,11.8,11.8,5600
124,11.75,11.75,11.75,11.75,200
131,11.7,11.7,11.7,11.7,100
132,11.71,11.71,11.71,11.71,200
138,11.7,11.7,11.7,11.7,100
146,11.7,11.7,11.7,11.7,100
153,11.7,11.7,11.7,11.7,100
155,11.767,11.767,11.767,11.767,4110
161,11.7,11.7,11.7,11.7,100
167,11.75,11.75,11.7,11.7,200
169,11.7,11.7,11.7,11.7,100
175,11.75,11.75,11.75,11.75,100
177,11.75,11.75,11.75,11.75,100
184,11.7748,11.7748,11.7748,11.7748,200
185,11.75,11.75,11.75,11.75,500
188,11.75,11.75,11.75,11.75,502
190,11.7762,11.7762,11.7762,11.7762,1000
194,11.75,11.75,11.75,11.75,100
200,11.775,11.775,11.775,11.775,1000
201,11.75,11.75,11.75,11.75,100
202,11.75,11.75,11.75,11.75,100
203,11.8,11.8,11.75,11.75,360
211,11.75,11.75,11.75,11.75,100
214,11.7715,11.775,11.7715,11.775,3000
220,11.75,11.75,11.75,11.75,100
223,11.8,11.8,11.8,11.8,200
228,11.75,11.75,11.75,11.75,100
229,11.75,11.75,11.75,11.75,100
234,11.775,11.775,11.775,11.775,352
236,11.775,11.775,11.775,11.775,100
238,11.75,11.75,11.75,11.75,100
245,11.75,11.75,11.75,11.75,400
246,11.75,11.75,11.75,11.75,100
247,11.75,11.775,11.75,11.775,300
256,11.75,11.75,11.75,11.75,100
258,11.75,11.75,11.75,11.75,1181
264,11.7214,11.7214,11.7214,11.7214,100
265,11.7,11.7,11.7,11.7,100
269,11.731,11.731,11.731,11.731,700
273,11.725,11.725,11.7,11.7,200
275,11.75,11.75,11.75,11.75,1400
276,11.75,11.75,11.75,11.75,100
278,11.775,11.775,11.775,11.775,200
286,11.75,11.75,11.75,11.75,100
287,11.75,11.75,11.75,11.75,300
294,11.75,11.75,11.75,11.75,100
