EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,19.48,19.48,19.48,19.48,110
3,19.7737,19.7737,19.7737,19.7737,100
4,19.7303,19.7303,19.7303,19.7303,300
5,19.64,19.64,19.64,19.64,200
34,19.58,19.58,19.58,19.58,100
43,19.52,19.52,19.52,19.52,294
314,18.8976,19.4605,18.86,19.45,1476
324,19.1132,19.1132,19.1132,19.1132,200
389,18.9,18.9,18.9,18.9,100
a1520346600,18.73,18.73,18.73,18.73,960
2,18.7597,18.7597,18.7597,18.7597,200
8,19.0626,19.0626,19.0626,19.0626,200
332,19.109,19.109,19.109,19.109,200
357,19.01,19.01,19.01,19.01,170
a1520433000,19.26,19.26,19.26,19.26,100
14,19.3303,19.355,19.3303,19.355,400
110,19.33,19.33,19.33,19.33,200
a1520533440,19.49,19.49,19.49,19.49,100
1,19.48,19.48,19.48,19.48,200
3,19.48,19.48,19.48,19.48,100
14,19.18,19.18,19.18,19.18,273
94,19.113,19.113,19.113,19.113,337
a1520606640,19.5675,19.5675,19.5675,19.5675,595
10,19.5436,19.5436,19.5436,19.5436,100
TIMEZONE_OFFSET=-240
a1520861400,19.74,19.74,19.74,19.74,100
85,19.72,19.72,19.72,19.72,100
151,19.47,19.47,19.47,19.47,150
219,19.35,19.35,19.35,19.35,300
223,19.35,19.35,19.35,19.35,100
237,19.35,19.35,19.35,19.35,100
308,19.34,19.34,19.34,19.34,100
339,19.33,19.33,19.33,19.33,100
a1520948040,19.815,19.815,19.815,19.815,250
160,19.72,19.72,19.72,19.72,100
304,19.72,19.72,19.72,19.72,100
335,19.59,19.59,19.59,19.59,100
355,19.0229,19.0229,19.0229,19.0229,300
a1521043980,19.25,19.25,19.25,19.25,100
50,18.89,18.89,18.89,18.89,100
67,18.8739,18.8739,18.8739,18.8739,100
126,19.26,19.26,19.26,19.26,400
158,19.26,19.26,19.26,19.26,100
182,19.26,19.26,19.26,19.26,100
197,19.26,19.26,19.26,19.26,100
213,19.16,19.16,19.16,19.16,400
223,19.15,19.15,19.15,19.15,100
a1521120600,19.6,19.6,19.6,19.6,100
88,19.34,19.34,19.34,19.34,100
169,19.34,19.34,19.34,19.34,100
242,19.2,19.2,19.2,19.2,100
a1521207000,18.97,18.97,18.97,18.97,150
65,19.19,19.19,19.19,19.19,500
87,18.87,18.91,18.87,18.91,693
117,18.85,18.9443,18.85,18.85,511
119,18.8875,18.8875,18.8875,18.8875,600
144,18.85,18.85,18.85,18.85,100
312,18.7,18.7,18.7,18.7,100
316,18.32,18.32,18.32,18.32,100
347,18.6207,18.6207,18.6207,18.6207,200
a1521466200,18.99,18.99,18.99,18.99,100
96,19.1853,19.1853,19.1853,19.1853,200
329,18.88,19.025,18.88,19.025,213
388,18.3488,18.9178,18.3488,18.88,2154
a1521552600,19.02,19.02,19.02,19.02,100
39,18.58,18.58,18.58,18.58,100
55,18.75,18.75,18.75,18.75,300
130,19.0222,19.0222,19.0222,19.0222,100
139,19.1138,19.1138,19.02,19.02,200
230,19.11,19.11,19.11,19.11,100
277,18.96,18.96,18.96,18.96,100
278,18.95,18.96,18.95,18.96,457
a1521639000,19.05,19.05,19.05,19.05,100
a1521726120,20.6818,20.6818,20.6818,20.6818,122
161,18.64,19.4,18.52,19.4,945
176,18.9,18.9,18.9,18.9,300
370,18.63,18.63,18.63,18.63,100
a1521818220,17.8022,17.8022,17.8022,17.8022,300
38,19.2453,19.2453,19.2453,19.2453,300
247,19.2,19.2,19.11,19.11,200
249,18.635,18.635,18.635,18.635,100
251,19.0272,19.0272,19.0272,19.0272,500
