EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,17.22,17.22,17.22,17.22,1509
2,17.235,17.235,17.235,17.235,250
7,17.265,17.265,17.265,17.265,300
8,17.29,17.29,17.29,17.29,100
11,17.27,17.285,17.27,17.285,300
12,17.255,17.27,17.255,17.27,300
13,17.21,17.21,17.21,17.21,200
16,17.2,17.2,17.2,17.2,100
18,17.2,17.2,17.2,17.2,100
22,17.15,17.19,17.15,17.19,1000
24,17.2,17.2,17.19,17.19,400
25,17.19,17.19,17.17,17.17,1100
26,17.19,17.19,17.18,17.18,300
27,17.19,17.19,17.19,17.19,100
30,17.16,17.18,17.16,17.18,300
31,17.17,17.17,17.16,17.16,400
32,17.16,17.18,17.16,17.18,300
33,17.152,17.152,17.14,17.15,500
34,17.17,17.17,17.17,17.17,100
35,17.18,17.18,17.165,17.165,400
36,17.19,17.19,17.19,17.19,300
37,17.18,17.18,17.18,17.18,300
38,17.18,17.18,17.18,17.18,200
43,17.18,17.18,17.18,17.18,200
46,17.16,17.16,17.16,17.16,100
53,17.17,17.17,17.15,17.16,500
54,17.15,17.16,17.15,17.16,800
55,17.18,17.18,17.17,17.17,400
57,17.15,17.17,17.15,17.17,500
63,17.18,17.18,17.18,17.18,100
64,17.15,17.15,17.15,17.15,100
65,17.15,17.15,17.15,17.15,100
66,17.17,17.17,17.17,17.17,100
67,17.15,17.15,17.15,17.15,100
68,17.17,17.17,17.17,17.17,500
70,17.17,17.17,17.17,17.17,300
74,17.17,17.17,17.17,17.17,100
77,17.18,17.18,17.16,17.16,200
78,17.16,17.16,17.16,17.16,100
79,17.17,17.17,17.17,17.17,100
80,17.16,17.16,17.16,17.16,300
81,17.14,17.14,17.14,17.14,100
84,17.18,17.18,17.16,17.16,700
85,17.175,17.18,17.175,17.18,300
88,17.19,17.19,17.18,17.18,890
89,17.18,17.19,17.18,17.19,580
92,17.19,17.19,17.19,17.19,200
98,17.21,17.21,17.18,17.19,1000
100,17.22,17.22,17.22,17.22,100
101,17.25,17.25,17.22,17.22,700
102,17.23,17.24,17.22,17.22,500
104,17.23,17.23,17.23,17.23,100
105,17.24,17.24,17.23,17.23,200
107,17.22,17.22,17.22,17.22,200
109,17.22,17.24,17.22,17.24,513
111,17.23,17.23,17.23,17.23,200
112,17.23,17.23,17.23,17.23,200
114,17.2,17.2,17.2,17.2,100
118,17.21,17.21,17.21,17.21,100
121,17.21,17.21,17.21,17.21,200
122,17.21,17.22,17.21,17.22,300
125,17.23,17.23,17.23,17.23,100
127,17.21,17.21,17.21,17.21,300
129,17.23,17.23,17.22,17.22,900
130,17.225,17.23,17.215,17.22,1323
131,17.23,17.23,17.22,17.225,700
132,17.23,17.23,17.22,17.23,1000
134,17.225,17.225,17.22,17.22,500
137,17.22,17.2275,17.22,17.2275,500
139,17.23,17.24,17.225,17.23,1800
141,17.22,17.23,17.22,17.23,300
142,17.23,17.23,17.23,17.23,600
143,17.23,17.23,17.23,17.23,400
144,17.22,17.22,17.22,17.22,100
147,17.22,17.22,17.22,17.22,100
149,17.21,17.21,17.21,17.21,100
150,17.21,17.21,17.21,17.21,100
151,17.23,17.23,17.22,17.22,900
153,17.22,17.23,17.22,17.23,648
154,17.22,17.22,17.22,17.22,1300
155,17.23,17.23,17.23,17.23,100
156,17.225,17.23,17.22,17.23,600
157,17.225,17.225,17.225,17.225,500
158,17.22,17.22,17.22,17.22,100
159,17.22,17.22,17.22,17.22,300
160,17.21,17.22,17.21,17.22,300
161,17.21,17.21,17.205,17.205,300
162,17.205,17.215,17.205,17.21,1600
167,17.2,17.21,17.2,17.205,400
169,17.205,17.205,17.205,17.205,100
170,17.19,17.2,17.19,17.2,850
171,17.19,17.19,17.19,17.19,181
172,17.17,17.18,17.16,17.18,719
173,17.16,17.16,17.16,17.16,100
174,17.17,17.17,17.17,17.17,300
175,17.17,17.17,17.16,17.16,300
176,17.18,17.18,17.17,17.17,500
178,17.18,17.18,17.18,17.18,100
184,17.19,17.19,17.19,17.19,300
186,17.19,17.19,17.19,17.19,100
187,17.19,17.19,17.18,17.18,200
189,17.19,17.19,17.19,17.19,100
193,17.19,17.19,17.19,17.19,100
194,17.18,17.19,17.18,17.19,200
196,17.19,17.19,17.185,17.185,400
198,17.18,17.18,17.18,17.18,100
199,17.18,17.18,17.18,17.18,200
201,17.19,17.19,17.185,17.19,400
202,17.18,17.18,17.18,17.18,100
203,17.185,17.185,17.185,17.185,100
204,17.185,17.185,17.185,17.185,100
207,17.195,17.2,17.185,17.19,1200
208,17.19,17.19,17.19,17.19,100
209,17.195,17.195,17.195,17.195,100
210,17.195,17.195,17.195,17.195,100
212,17.2,17.2,17.2,17.2,200
213,17.215,17.215,17.2,17.2,2600
214,17.21,17.21,17.21,17.21,100
215,17.215,17.215,17.215,17.215,200
217,17.21,17.22,17.21,17.22,600
219,17.21,17.21,17.205,17.21,900
220,17.205,17.205,17.205,17.205,300
221,17.2,17.21,17.2,17.21,400
222,17.21,17.21,17.205,17.205,200
223,17.22,17.22,17.22,17.22,100
227,17.21,17.21,17.21,17.21,100
228,17.21,17.22,17.21,17.22,700
231,17.22,17.22,17.22,17.22,100
232,17.2175,17.2175,17.2175,17.2175,500
233,17.22,17.22,17.215,17.22,600
234,17.215,17.22,17.215,17.22,1000
235,17.21,17.22,17.21,17.22,300
236,17.21,17.22,17.21,17.22,400
237,17.21,17.21,17.21,17.21,200
238,17.21,17.21,17.21,17.21,500
239,17.2,17.2,17.2,17.2,100
240,17.19,17.19,17.19,17.19,100
241,17.195,17.2,17.195,17.2,300
242,17.19,17.19,17.19,17.19,200
243,17.19,17.195,17.19,17.19,814
244,17.18,17.18,17.18,17.18,1100
245,17.18,17.18,17.18,17.18,100
247,17.18,17.18,17.18,17.18,200
249,17.18,17.18,17.18,17.18,400
251,17.19,17.19,17.18,17.18,2033
252,17.1901,17.195,17.1901,17.195,200
253,17.2,17.2,17.2,17.2,300
254,17.195,17.195,17.195,17.195,200
255,17.19,17.19,17.19,17.19,100
258,17.18,17.19,17.18,17.19,700
261,17.19,17.19,17.18,17.18,200
263,17.19,17.19,17.19,17.19,100
265,17.19,17.19,17.19,17.19,100
266,17.2,17.2,17.185,17.19,1400
267,17.19,17.19,17.19,17.19,100
268,17.19,17.19,17.19,17.19,100
269,17.19,17.2,17.19,17.2,400
