EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,13.83,13.83,13.83,13.83,1867
1,13.85,13.85,13.85,13.85,100
9,13.855,13.855,13.827,13.83,1400
13,13.87,13.87,13.87,13.87,100
17,13.889,13.889,13.889,13.889,360
18,13.862,13.862,13.862,13.862,360
19,13.88,13.88,13.88,13.88,100
20,13.82,13.82,13.82,13.82,400
21,13.82,13.82,13.82,13.82,100
23,13.86,13.86,13.86,13.86,300
24,13.84,13.84,13.84,13.84,150
27,13.82,13.82,13.82,13.82,100
28,13.83,13.83,13.83,13.83,200
29,13.83,13.83,13.83,13.83,100
31,13.82,13.82,13.82,13.82,100
35,13.82,13.82,13.82,13.82,100
36,13.827,13.827,13.827,13.827,800
38,13.84,13.84,13.82,13.82,700
41,13.82,13.82,13.82,13.82,100
42,13.82,13.82,13.82,13.82,100
45,13.82,13.82,13.82,13.82,200
47,13.81,13.81,13.81,13.81,100
50,13.8,13.8,13.8,13.8,100
57,13.81,13.81,13.81,13.81,100
60,13.81,13.81,13.81,13.81,100
64,13.8024,13.81,13.8024,13.81,233
67,13.82,13.82,13.82,13.82,100
78,13.8,13.8,13.8,13.8,225
85,13.8,13.8,13.8,13.8,100
88,13.8,13.8,13.8,13.8,300
89,13.8,13.8,13.8,13.8,100
93,13.8,13.8,13.8,13.8,100
95,13.81,13.81,13.81,13.81,100
97,13.8054,13.8054,13.8054,13.8054,100
98,13.79,13.79,13.79,13.79,300
100,13.7957,13.7957,13.7957,13.7957,1800
102,13.79,13.79,13.79,13.79,100
104,13.8,13.8,13.7999,13.8,1615
108,13.79,13.79,13.79,13.79,100
110,13.77,13.8,13.77,13.79,4000
112,13.7876,13.7876,13.7876,13.7876,200
113,13.7701,13.7701,13.7701,13.7701,900
117,13.78,13.78,13.78,13.78,100
119,13.77,13.78,13.77,13.775,2700
120,13.82,13.82,13.78,13.78,1100
148,13.8092,13.8092,13.8092,13.8092,244
153,13.78,13.78,13.78,13.78,100
156,13.7975,13.8,13.7975,13.8,300
157,13.79,13.79,13.79,13.79,100
160,13.78,13.78,13.78,13.78,100
172,13.8,13.8,13.77,13.77,400
173,13.76,13.76,13.76,13.76,100
175,13.76,13.76,13.76,13.76,200
179,13.81,13.81,13.77,13.77,1100
202,13.7727,13.7727,13.7727,13.7727,145
211,13.76,13.76,13.76,13.76,100
214,13.76,13.76,13.76,13.76,200
215,13.7799,13.7799,13.7799,13.7799,137
216,13.76,13.76,13.76,13.76,300
218,13.77,13.77,13.77,13.77,100
221,13.76,13.76,13.76,13.76,100
223,13.76,13.76,13.76,13.76,100
225,13.79,13.79,13.76,13.76,8300
228,13.775,13.775,13.775,13.775,100
233,13.778,13.778,13.778,13.778,155
245,13.7592,13.7592,13.7592,13.7592,323
257,13.7698,13.7698,13.7698,13.7698,685
263,13.78,13.78,13.78,13.78,300
265,13.78,13.78,13.78,13.78,300
273,13.79,13.79,13.79,13.79,400
275,13.7887,13.7887,13.7887,13.7887,300
310,13.79,13.79,13.7899,13.79,500
313,13.7939,13.7939,13.7939,13.7939,340
315,13.78,13.78,13.78,13.78,200
316,13.7999,13.8,13.7999,13.7999,1100
320,13.7801,13.7801,13.7801,13.7801,650
329,13.795,13.795,13.7909,13.7909,2700
342,13.805,13.805,13.805,13.805,300
356,13.81,13.81,13.81,13.81,200
358,13.83,13.83,13.83,13.83,500
359,13.82,13.82,13.82,13.82,100
369,13.8188,13.8188,13.8188,13.8188,3200
379,13.81,13.81,13.81,13.81,400
380,13.81,13.81,13.81,13.81,100
385,13.81,13.81,13.81,13.81,100
386,13.82,13.82,13.8199,13.8199,1246
388,13.82,13.83,13.82,13.83,268
389,13.83,13.83,13.83,13.83,457
a1520346600,13.87,13.87,13.82,13.82,1568
19,13.8401,13.8401,13.8401,13.8401,2500
22,13.84,13.84,13.84,13.84,100
26,13.82,13.82,13.82,13.82,100
28,13.82,13.8201,13.82,13.8201,1004
29,13.841,13.86,13.841,13.86,200
30,13.82,13.82,13.82,13.82,115
34,13.83,13.83,13.83,13.83,101
37,13.8236,13.8236,13.8236,13.8236,1097
38,13.824,13.824,13.824,13.824,4000
39,13.835,13.835,13.81,13.81,1400
56,13.81,13.81,13.81,13.81,100
83,13.84,13.84,13.84,13.84,100
87,13.8143,13.8143,13.8143,13.8143,777
94,13.81,13.81,13.81,13.81,100
143,13.8496,13.8496,13.8496,13.8496,400
211,13.851,13.851,13.851,13.851,345
214,13.83,13.84,13.83,13.84,200
216,13.82,13.82,13.82,13.82,100
253,13.848,13.848,13.843,13.843,977
255,13.8571,13.8571,13.8571,13.8571,1000
256,13.82,13.82,13.82,13.82,100
264,13.83,13.83,13.83,13.83,100
266,13.8546,13.88,13.83,13.83,5062
270,13.85,13.85,13.85,13.85,100
271,13.85,13.85,13.85,13.85,100
275,13.84,13.84,13.84,13.84,100
276,13.84,13.84,13.84,13.84,100
280,13.83,13.83,13.83,13.83,100
285,13.82,13.82,13.82,13.82,100
287,13.85,13.85,13.82,13.82,1000
292,13.82,13.82,13.82,13.82,100
307,13.83,13.83,13.83,13.83,100
313,13.8587,13.8587,13.8587,13.8587,500
314,13.84,13.84,13.84,13.84,100
317,13.83,13.83,13.83,13.83,100
323,13.82,13.82,13.82,13.82,600
324,13.84,13.84,13.84,13.84,100
325,13.82,13.82,13.82,13.82,200
326,13.83,13.83,13.83,13.83,100
327,13.83,13.83,13.83,13.83,100
328,13.83,13.83,13.83,13.83,100
331,13.82,13.82,13.82,13.82,100
332,13.82,13.82,13.82,13.82,100
334,13.82,13.82,13.82,13.82,100
335,13.82,13.82,13.82,13.82,100
336,13.82,13.82,13.82,13.82,100
337,13.82,13.82,13.82,13.82,100
338,13.83,13.83,13.83,13.83,100
339,13.82,13.82,13.82,13.82,100
340,13.82,13.83,13.82,13.83,200
341,13.8448,13.8448,13.8448,13.8448,313
358,13.85,13.85,13.85,13.85,700
364,13.85,13.8516,13.85,13.85,6100
388,13.8599,13.8599,13.8599,13.8599,250
390,13.86,13.86,13.855,13.855,200
a1520433000,13.86,13.86,13.81,13.81,1785
7,13.825,13.825,13.825,13.825,100
11,13.825,13.8299,13.825,13.8299,200
13,13.8,13.8,13.8,13.8,100
21,13.825,13.825,13.825,13.825,100
27,13.8,13.8,13.8,13.8,100
39,13.8,13.8,13.8,13.8,400
