EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520271000,57.8101,57.8101,57.8101,57.8101,25000
a1520346660,57.99,57.99,57.99,57.99,100
293,58.28,58.28,58.28,58.28,100
304,58.29,58.29,58.29,58.29,100
326,58.2976,58.2976,58.2976,58.2976,25000
345,58.2361,58.2361,58.2361,58.2361,50000
a1520433060,57.95,57.95,57.95,57.95,100
a1520533860,57.76,57.76,57.76,57.76,100
a1520611800,57.6642,57.6642,57.6642,57.6642,200
146,58.0642,58.15,58.0642,58.15,200
260,57.95,57.95,57.95,57.95,100
TIMEZONE_OFFSET=-240
a1520947860,58.16,58.16,58.16,58.16,100
1,58.68,58.68,58.68,58.68,120
a1521034260,57.98,57.98,57.98,57.98,307
120,57.84,57.84,57.84,57.84,128
313,57.95,57.95,57.92,57.92,307
328,57.7501,57.7501,57.7,57.7,200
a1521207000,58.24,58.24,58.24,58.24,167
a1521466260,59.08,59.21,58.94,58.94,1440
7,58.95,58.95,58.95,58.95,100
33,59.14,59.14,59.14,59.14,100
35,59.26,59.26,59.259,59.259,200
378,59.3999,59.3999,59.3999,59.3999,800
a1521552660,59.55,59.55,59.55,59.55,155
91,59.0763,59.0763,59.0763,59.0763,200
190,58.9671,58.9671,58.9671,58.9671,200
305,59.0455,59.0455,59.0455,59.0455,50000
a1521727320,59.47,59.47,59.47,59.47,200
a1521811860,58.6,59.03,58.57,59.03,1300
2,58.78,58.78,58.78,58.78,820
212,58.5564,58.5564,58.5564,58.5564,155
