EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,14.18,14.18,14.18,14.18,745
9,14.18,14.18,14.18,14.18,400
12,14.17,14.17,14.17,14.17,2600
17,14.15,14.15,14.15,14.15,100
32,14.1648,14.1648,14.1648,14.1648,112
48,14.1701,14.1707,14.1701,14.1707,900
177,14.1601,14.1601,14.1601,14.1601,600
188,14.16,14.16,14.16,14.16,1000
316,14.17,14.1761,14.17,14.1761,400
a1520346600,14.17,14.17,14.11,14.11,970
16,14.16,14.17,14.16,14.17,3043
86,14.16,14.16,14.16,14.16,338
88,14.1699,14.17,14.1699,14.17,200
93,14.16,14.1666,14.16,14.1666,453
215,14.17,14.17,14.169,14.169,625
217,14.17,14.17,14.17,14.17,395
366,14.1968,14.1968,14.1968,14.1968,100
369,14.19,14.19,14.18,14.182,1400
a1520433000,14.21,14.21,14.09,14.09,851
3,14.11,14.11,14.11,14.11,2243
8,14.11,14.11,14.11,14.11,100
9,14.115,14.115,14.11,14.11,200
12,14.115,14.115,14.115,14.115,100
28,14.168,14.168,14.168,14.168,500
31,14.1799,14.1799,14.1799,14.1799,500
43,14.15,14.17,14.15,14.17,200
218,14.14,14.14,14.14,14.14,100
230,14.16,14.16,14.15,14.15,600
231,14.17,14.17,14.16,14.16,5600
295,14.17,14.17,14.17,14.17,100
354,14.14,14.146,14.14,14.146,1200
369,14.17,14.17,14.17,14.17,100
377,14.17,14.17,14.17,14.17,100
390,14.14,14.14,14.14,14.14,100
a1520519400,14.17,14.17,14.14,14.14,600
1,14.14,14.14,14.14,14.14,271
2,14.11,14.12,14.11,14.11,2370
4,14.135,14.135,14.135,14.135,100
21,14.15,14.15,14.15,14.15,100
35,14.17,14.17,14.17,14.17,167
39,14.1732,14.1732,14.16,14.16,1428
41,14.17,14.17,14.17,14.17,100
69,14.18,14.18,14.18,14.18,100
76,14.18,14.18,14.18,14.18,102
119,14.19,14.19,14.19,14.19,100
153,14.21,14.21,14.2,14.21,2414
155,14.19,14.22,14.19,14.22,608
157,14.23,14.23,14.23,14.23,100
159,14.23,14.23,14.23,14.23,100
161,14.23,14.23,14.23,14.23,200
163,14.23,14.23,14.23,14.23,200
166,14.23,14.23,14.23,14.23,200
168,14.21,14.23,14.21,14.23,300
175,14.23,14.23,14.23,14.23,208
177,14.24,14.24,14.24,14.24,400
178,14.24,14.24,14.24,14.24,100
179,14.24,14.24,14.24,14.24,100
200,14.222,14.222,14.22,14.22,800
229,14.22,14.2201,14.22,14.2201,300
241,14.22,14.22,14.22,14.22,300
250,14.22,14.22,14.22,14.22,178
358,14.2116,14.22,14.1938,14.2,12448
390,14.215,14.23,14.215,14.23,850
a1520605800,14.16,14.16,14.16,14.16,858
19,14.2,14.2,14.2,14.2,177
32,14.175,14.175,14.175,14.175,100
33,14.2,14.2,14.2,14.2,100
44,14.17,14.17,14.17,14.17,259
53,14.18,14.18,14.18,14.18,100
58,14.19,14.19,14.19,14.19,100
74,14.19,14.19,14.19,14.19,100
84,14.185,14.185,14.185,14.185,100
90,14.18,14.18,14.18,14.18,100
96,14.18,14.18,14.18,14.18,100
104,14.19,14.19,14.19,14.19,100
122,14.1868,14.19,14.1868,14.19,244
133,14.2,14.2,14.2,14.2,750
138,14.2,14.2,14.2,14.2,100
182,14.2,14.2,14.2,14.2,100
192,14.19,14.1907,14.19,14.1907,700
193,14.1925,14.1925,14.1925,14.1925,400
199,14.19,14.19,14.19,14.19,310
200,14.2,14.2,14.2,14.2,100
252,14.22,14.22,14.2,14.2,2955
307,14.2199,14.22,14.2199,14.22,1000
375,14.23,14.23,14.22,14.22,995
390,14.23,14.23,14.23,14.23,100
TIMEZONE_OFFSET=-240
a1520861400,14.19,14.19,14.19,14.19,1373
7,14.27,14.27,14.27,14.27,308
10,14.27,14.27,14.27,14.27,308
11,14.28,14.28,14.27,14.27,1380
18,14.2595,14.2595,14.2595,14.2595,500
27,14.41,14.41,14.23,14.4,4400
29,14.49,14.49,14.49,14.49,100
38,14.48,14.49,14.48,14.49,292
85,14.25,14.25,14.25,14.25,300
88,14.47,14.48,14.25,14.25,3524
92,14.45,14.45,14.44,14.44,200
109,14.3533,14.3533,14.3533,14.3533,847
112,14.38,14.385,14.38,14.385,400
115,14.371,14.371,14.371,14.371,100
116,14.37,14.37,14.37,14.37,100
119,14.37,14.37,14.37,14.37,400
148,14.27,14.27,14.27,14.27,100
149,14.26,14.27,14.26,14.27,400
160,14.23,14.23,14.23,14.23,528
164,14.23,14.23,14.23,14.23,600
176,14.23,14.23,14.23,14.23,1800
252,14.21,14.21,14.21,14.21,200
257,14.24,14.24,14.24,14.24,100
258,14.2366,14.2366,14.2366,14.2366,666
263,14.25,14.25,14.25,14.25,100
267,14.2593,14.2593,14.2593,14.2593,1000
323,14.24,14.24,14.24,14.24,200
338,14.23,14.23,14.23,14.23,100
352,14.2362,14.2362,14.2362,14.2362,189
384,14.24,14.24,14.24,14.24,1000
385,14.24,14.24,14.23,14.23,300
390,14.23,14.26,14.23,14.24,2896
a1520947800,14.23,14.23,14.23,14.23,301
38,14.27,14.27,14.27,14.27,500
41,14.27,14.27,14.27,14.27,100
42,14.245,14.245,14.245,14.245,200
55,14.26,14.27,14.26,14.265,1500
59,14.27,14.27,14.265,14.2699,1100
65,14.26,14.26,14.26,14.26,461
70,14.24,14.241,14.24,14.241,400
99,14.235,14.235,14.235,14.235,351
159,14.24,14.24,14.23,14.24,2866
226,14.24,14.24,14.24,14.24,200
229,14.23,14.24,14.23,14.24,583
a1521034200,14.18,14.18,14.18,14.18,1188
90,14.18,14.18,14.18,14.18,1360
110,14.2,14.2,14.2,14.2,2100
124,14.2,14.2,14.2,14.2,100
140,14.2,14.2,14.2,14.2,100
147,14.24,14.24,14.1975,14.2,1100
151,14.23,14.23,14.23,14.23,100
263,14.22,14.221,14.22,14.221,500
267,14.24,14.24,14.22,14.23,3300
286,14.24,14.24,14.24,14.24,100
300,14.24,14.24,14.24,14.24,200
339,14.235,14.235,14.235,14.235,129
358,14.2338,14.2338,14.2338,14.2338,600
390,14.24,14.24,14.24,14.24,274
a1521120600,14.24,14.24,14.24,14.24,176
35,14.2,14.2,14.2,14.2,800
91,14.22,14.22,14.22,14.22,300
133,14.22,14.22,14.21,14.21,948
242,14.2151,14.2151,14.2151,14.2151,1000
244,14.21,14.21,14.21,14.21,100
