EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,1.43,1.43,1.43,1.43,366
16,1.44,1.44,1.44,1.44,100
18,1.44,1.44,1.4399,1.4399,700
41,1.4399,1.4399,1.4399,1.4399,2000
42,1.43,1.43,1.43,1.43,1000
61,1.44,1.44,1.44,1.44,100
82,1.44,1.44,1.44,1.44,2729
86,1.4362,1.4362,1.4362,1.4362,1000
107,1.44,1.44,1.44,1.44,100
110,1.4301,1.4301,1.4301,1.4301,406
143,1.44,1.44,1.44,1.44,100
204,1.431,1.431,1.431,1.431,296
223,1.44,1.44,1.44,1.44,100
226,1.41,1.431,1.41,1.431,19867
231,1.4198,1.4198,1.4198,1.4198,100
239,1.4,1.42,1.4,1.42,26834
243,1.4,1.4,1.4,1.4,100
262,1.3704,1.3704,1.3704,1.3704,150
293,1.38,1.38,1.38,1.38,200
301,1.38,1.38,1.38,1.38,7100
303,1.38,1.38,1.38,1.38,100
314,1.39,1.39,1.39,1.39,400
353,1.42,1.42,1.42,1.42,100
380,1.42,1.42,1.42,1.42,1000
383,1.42,1.42,1.413,1.413,1200
388,1.41,1.41,1.41,1.41,265
a1520346600,1.43,1.43,1.43,1.43,251
14,1.4162,1.4162,1.4162,1.4162,500
16,1.4,1.4,1.4,1.4,100
34,1.4038,1.4038,1.4038,1.4038,741
46,1.4,1.4,1.4,1.4,100
95,1.4072,1.4072,1.4072,1.4072,206
96,1.4038,1.4038,1.4038,1.4038,1000
190,1.4,1.4,1.4,1.4,800
224,1.3999,1.3999,1.3999,1.3999,3000
260,1.4,1.4,1.4,1.4,100
299,1.38,1.39,1.38,1.39,3400
302,1.38,1.38,1.38,1.38,500
303,1.38,1.38,1.38,1.38,20100
313,1.37,1.38,1.37,1.38,13400
314,1.37,1.37,1.3699,1.37,16999
319,1.37,1.37,1.37,1.37,2962
320,1.37,1.37,1.37,1.37,450
324,1.35,1.36,1.35,1.36,10804
326,1.3499,1.3499,1.3499,1.3499,500
332,1.35,1.35,1.35,1.35,200
337,1.34,1.34,1.34,1.34,500
351,1.35,1.35,1.35,1.35,800
361,1.3866,1.3866,1.3866,1.3866,6500
376,1.37,1.37,1.37,1.37,500
378,1.35,1.37,1.35,1.37,14300
379,1.35,1.35,1.35,1.35,100
380,1.34,1.34,1.34,1.34,400
383,1.35,1.35,1.35,1.35,100
386,1.35,1.35,1.35,1.35,200
388,1.3586,1.3599,1.35,1.35,5800
389,1.36,1.36,1.36,1.36,9900
390,1.36,1.36,1.36,1.36,280
a1520433000,1.37,1.37,1.37,1.37,800
47,1.3518,1.3518,1.3518,1.3518,2000
56,1.3438,1.3438,1.3438,1.3438,100
57,1.31,1.34,1.31,1.34,36718
59,1.3199,1.3199,1.3199,1.3199,9400
60,1.32,1.34,1.32,1.33,40774
90,1.349,1.349,1.349,1.349,390
91,1.35,1.35,1.35,1.35,100
129,1.3505,1.3505,1.3501,1.3501,2000
130,1.35,1.35,1.35,1.35,200
154,1.34,1.3401,1.34,1.3401,800
225,1.335,1.335,1.335,1.335,100
382,1.33,1.33,1.33,1.33,100
387,1.34,1.34,1.339,1.339,4740
390,1.3499,1.35,1.349,1.349,1400
a1520519400,1.36,1.36,1.36,1.36,100
1,1.36,1.36,1.36,1.36,100
3,1.37,1.37,1.37,1.37,300
14,1.3613,1.3613,1.3613,1.3613,907
22,1.37,1.37,1.37,1.37,100
62,1.37,1.37,1.37,1.37,3900
89,1.389,1.389,1.3848,1.3848,760
327,1.3899,1.3899,1.3899,1.3899,620
333,1.39,1.39,1.39,1.39,100
a1520605800,1.39,1.39,1.39,1.39,100
17,1.3501,1.3501,1.3501,1.3501,390
88,1.35,1.35,1.35,1.35,750
103,1.37,1.37,1.37,1.37,200
123,1.379,1.379,1.379,1.379,100
161,1.38,1.38,1.38,1.38,100
204,1.39,1.39,1.39,1.39,100
360,1.3668,1.3668,1.3668,1.3668,500
371,1.38,1.38,1.38,1.38,100
389,1.3899,1.3899,1.3793,1.38,582
390,1.4,1.4,1.38,1.389,3019
TIMEZONE_OFFSET=-240
a1520861400,1.42,1.42,1.42,1.42,100
133,1.3862,1.3862,1.3862,1.3862,1088
164,1.39,1.39,1.39,1.39,100
214,1.3806,1.3806,1.3806,1.3806,1000
231,1.3848,1.3848,1.3848,1.3848,176
261,1.38,1.38,1.38,1.38,100
286,1.39,1.39,1.39,1.39,100
331,1.384,1.384,1.384,1.384,1500
336,1.389,1.389,1.389,1.389,500
a1520948040,1.3772,1.3772,1.3772,1.3772,100
50,1.4,1.4,1.4,1.4,100
221,1.4,1.4,1.4,1.4,100
326,1.39,1.39,1.39,1.39,100
a1521034200,1.4,1.4,1.4,1.4,400
84,1.4,1.4,1.4,1.4,2000
136,1.4,1.4,1.4,1.4,1501
137,1.4001,1.4001,1.4001,1.4001,4500
156,1.4,1.4,1.4,1.4,350
192,1.4,1.4,1.4,1.4,600
275,1.4,1.4,1.4,1.4,3900
276,1.4,1.4,1.4,1.4,12000
313,1.3996,1.3996,1.3996,1.3996,400
323,1.38,1.38,1.38,1.38,400
a1521122340,1.38,1.38,1.38,1.38,100
10,1.3799,1.3799,1.3799,1.3799,100
16,1.36,1.36,1.36,1.36,4200
19,1.36,1.36,1.36,1.36,100
20,1.36,1.36,1.36,1.36,3057
21,1.36,1.36,1.36,1.36,3878
22,1.36,1.36,1.36,1.36,265
43,1.36,1.36,1.36,1.36,2000
60,1.3501,1.355,1.3501,1.351,1500
74,1.35,1.35,1.35,1.35,3150
87,1.34,1.35,1.34,1.349,28322
88,1.34,1.34,1.34,1.34,478
103,1.34,1.34,1.34,1.34,18100
156,1.34,1.34,1.34,1.34,5500
163,1.3309,1.3309,1.3309,1.3309,100
198,1.33,1.33,1.33,1.33,3300
313,1.34,1.34,1.34,1.34,1200
316,1.34,1.34,1.34,1.34,600
350,1.3427,1.3427,1.3427,1.3427,3000
358,1.34,1.34,1.34,1.34,800
a1521207000,1.35,1.35,1.35,1.35,100
95,1.35,1.35,1.35,1.35,200
127,1.37,1.37,1.37,1.37,100
137,1.3724,1.3724,1.3724,1.3724,100
230,1.37,1.37,1.37,1.37,100
278,1.3601,1.3601,1.3601,1.3601,2400
342,1.3601,1.3601,1.3601,1.3601,1000
356,1.36,1.3601,1.36,1.3601,700
361,1.35,1.3501,1.35,1.3501,1300
