EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,21.41,21.41,21.37,21.37,2334
5,21.3501,21.3501,21.3501,21.3501,377
7,21.35,21.37,21.35,21.37,800
9,21.3384,21.3384,21.3384,21.3384,750
36,21.2867,21.2867,21.2867,21.2867,972
37,21.32,21.33,21.31,21.31,2400
42,21.32,21.32,21.3111,21.3111,1200
44,21.3098,21.3098,21.3098,21.3098,429
49,21.32,21.32,21.3049,21.3049,620
54,21.3106,21.3106,21.3106,21.3106,150
70,21.32,21.32,21.32,21.32,300
74,21.3036,21.3036,21.3036,21.3036,600
78,21.29,21.29,21.29,21.29,200
81,21.26,21.28,21.26,21.28,2600
89,21.26,21.26,21.26,21.26,400
92,21.2557,21.2557,21.2557,21.2557,1000
94,21.26,21.26,21.26,21.26,300
104,21.259,21.259,21.259,21.259,1000
105,21.255,21.255,21.255,21.255,100
107,21.26,21.26,21.26,21.26,200
109,21.26,21.26,21.26,21.26,100
113,21.25,21.2551,21.25,21.2551,600
117,21.25,21.25,21.25,21.25,400
120,21.26,21.26,21.2566,21.2566,1000
124,21.26,21.26,21.26,21.26,300
126,21.2501,21.2501,21.25,21.25,250
131,21.253,21.253,21.253,21.253,800
140,21.25,21.25,21.25,21.25,4300
144,21.24,21.24,21.24,21.24,1600
147,21.23,21.23,21.23,21.23,400
150,21.22,21.22,21.22,21.22,100
151,21.225,21.225,21.225,21.225,200
152,21.2201,21.2201,21.2201,21.2201,1250
154,21.23,21.23,21.23,21.23,100
174,21.23,21.23,21.225,21.225,200
175,21.22,21.22,21.22,21.22,200
191,21.2,21.21,21.2,21.21,700
197,21.22,21.22,21.21,21.21,500
203,21.2,21.21,21.2,21.21,2225
204,21.19,21.19,21.19,21.19,300
216,21.2,21.2,21.2,21.2,300
229,21.1984,21.1984,21.1984,21.1984,475
235,21.1999,21.1999,21.1999,21.1999,1000
239,21.19,21.2,21.19,21.2,300
252,21.1901,21.1901,21.1901,21.1901,850
257,21.2,21.2,21.2,21.2,200
262,21.19,21.1932,21.19,21.19,700
273,21.19,21.19,21.19,21.19,100
276,21.2,21.2,21.18,21.1925,6100
278,21.2,21.2,21.2,21.2,200
282,21.195,21.195,21.195,21.195,375
283,21.1801,21.1939,21.1801,21.181,1700
291,21.2,21.2,21.1866,21.1866,1100
296,21.19,21.19,21.19,21.19,100
298,21.2,21.2,21.1999,21.1999,2430
299,21.19,21.19,21.19,21.19,100
301,21.2,21.2,21.2,21.2,300
303,21.2,21.2,21.195,21.195,500
304,21.19,21.19,21.19,21.19,100
315,21.1933,21.1933,21.1933,21.1933,507
317,21.19,21.19,21.19,21.19,400
322,21.19,21.19,21.19,21.19,900
324,21.2,21.2,21.2,21.2,300
331,21.19,21.19,21.19,21.19,127
332,21.194,21.194,21.194,21.194,250
333,21.19,21.19,21.19,21.19,100
339,21.1906,21.1906,21.1906,21.1906,1251
340,21.1963,21.1963,21.1963,21.1963,102
342,21.2,21.2,21.195,21.195,1680
343,21.2,21.2,21.2,21.2,400
349,21.19,21.19,21.18,21.19,1100
352,21.19,21.19,21.19,21.19,100
354,21.18,21.18,21.18,21.18,100
355,21.1899,21.1899,21.1899,21.1899,600
356,21.1899,21.1899,21.1899,21.1899,300
360,21.19,21.19,21.1801,21.185,3251
361,21.19,21.19,21.1866,21.19,2500
363,21.19,21.2,21.19,21.2,300
367,21.1958,21.1958,21.1958,21.1958,1000
368,21.19,21.19,21.19,21.19,100
372,21.1975,21.2,21.1975,21.2,203
375,21.2,21.2,21.2,21.2,4000
379,21.22,21.22,21.22,21.22,200
380,21.2198,21.2198,21.2198,21.2198,700
381,21.2066,21.2066,21.2066,21.2066,1500
382,21.22,21.22,21.2072,21.2072,2100
384,21.2,21.2,21.2,21.2,100
385,21.22,21.22,21.22,21.22,100
388,21.21,21.21,21.21,21.21,200
389,21.22,21.22,21.2,21.2,366
a1520346660,21.26,21.26,21.2,21.2,4849
7,21.21,21.21,21.21,21.21,100
8,21.21,21.21,21.21,21.21,100
10,21.21,21.21,21.21,21.21,100
11,21.21,21.21,21.2,21.2,900
12,21.2,21.21,21.2,21.21,1300
14,21.21,21.21,21.21,21.21,300
16,21.2,21.2,21.2,21.2,600
17,21.21,21.21,21.21,21.21,100
25,21.2286,21.24,21.2286,21.24,350
30,21.225,21.225,21.225,21.225,250
32,21.25,21.25,21.2399,21.24,2667
41,21.26,21.26,21.26,21.26,300
42,21.26,21.26,21.26,21.26,400
50,21.29,21.29,21.27,21.27,3192
56,21.29,21.29,21.29,21.29,100
64,21.3,21.3,21.276,21.276,1700
71,21.293,21.3,21.29,21.29,2003
79,21.3,21.3,21.3,21.3,100
83,21.3,21.3,21.3,21.3,100
85,21.2938,21.2938,21.2938,21.2938,240
86,21.3,21.3,21.3,21.3,300
89,21.26,21.29,21.26,21.29,7742
90,21.275,21.275,21.275,21.275,100
91,21.275,21.275,21.275,21.275,300
94,21.26,21.29,21.26,21.29,200
95,21.275,21.275,21.275,21.275,400
101,21.29,21.29,21.29,21.29,200
103,21.29,21.29,21.2795,21.2795,2030
104,21.271,21.271,21.271,21.271,2000
106,21.2868,21.2868,21.2868,21.2868,247
108,21.275,21.275,21.275,21.275,100
117,21.3,21.3,21.2878,21.29,2550
118,21.3,21.3,21.3,21.3,100
119,21.3,21.3,21.3,21.3,154
122,21.291,21.291,21.291,21.291,300
131,21.31,21.31,21.31,21.31,300
133,21.3077,21.31,21.3077,21.31,750
135,21.32,21.32,21.32,21.32,200
142,21.315,21.315,21.315,21.315,300
143,21.33,21.33,21.33,21.33,300
151,21.33,21.33,21.33,21.33,200
156,21.33,21.33,21.33,21.33,100
166,21.33,21.33,21.33,21.33,300
174,21.301,21.301,21.301,21.301,500
178,21.33,21.33,21.33,21.33,200
183,21.34,21.34,21.33,21.33,800
198,21.33,21.33,21.33,21.33,100
201,21.33,21.33,21.33,21.33,200
205,21.35,21.35,21.3178,21.33,6836
206,21.3131,21.3131,21.3131,21.3131,200
213,21.31,21.31,21.31,21.31,100
222,21.33,21.33,21.33,21.33,300
226,21.33,21.33,21.33,21.33,200
234,21.31,21.315,21.31,21.315,200
236,21.32,21.32,21.32,21.32,200
245,21.35,21.35,21.35,21.35,300
246,21.35,21.35,21.35,21.35,200
256,21.35,21.35,21.35,21.35,300
257,21.32,21.32,21.32,21.32,100
