EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,12.64,12.64,12.63,12.63,1684
3,12.63,12.63,12.63,12.63,200
4,12.63,12.63,12.63,12.63,329
10,12.64,12.64,12.6339,12.6339,1700
11,12.65,12.65,12.64,12.64,4700
15,12.6401,12.65,12.64,12.64,1000
17,12.65,12.65,12.65,12.65,110
19,12.66,12.66,12.65,12.65,900
21,12.6534,12.6534,12.6534,12.6534,300
23,12.65,12.655,12.65,12.655,575
25,12.65,12.65,12.65,12.65,110
27,12.65,12.65,12.65,12.65,110
28,12.655,12.655,12.655,12.655,210
29,12.66,12.66,12.66,12.66,100
32,12.6559,12.66,12.6559,12.66,1300
36,12.66,12.66,12.6539,12.6539,400
38,12.655,12.66,12.655,12.66,1900
39,12.65,12.65,12.65,12.65,100
45,12.66,12.66,12.6547,12.6547,373
47,12.65,12.65,12.65,12.65,100
53,12.66,12.68,12.66,12.67,10217
54,12.67,12.67,12.67,12.67,200
55,12.67,12.67,12.67,12.67,100
56,12.67,12.67,12.67,12.67,100
62,12.67,12.67,12.67,12.67,100
64,12.67,12.67,12.67,12.67,100
67,12.67,12.67,12.66,12.66,200
68,12.67,12.67,12.67,12.67,200
70,12.67,12.67,12.67,12.67,300
71,12.6712,12.6712,12.6712,12.6712,300
79,12.68,12.68,12.68,12.68,100
82,12.6719,12.6719,12.67,12.67,1000
89,12.67,12.67,12.67,12.67,300
91,12.68,12.68,12.68,12.68,1300
92,12.68,12.68,12.68,12.68,100
93,12.7,12.7,12.68,12.68,14027
96,12.7,12.7,12.7,12.7,100
97,12.68,12.695,12.68,12.695,4031
98,12.685,12.685,12.685,12.685,100
100,12.6865,12.6865,12.6865,12.6865,1950
101,12.685,12.685,12.685,12.685,400
103,12.685,12.6858,12.685,12.6858,1100
104,12.685,12.685,12.68,12.685,400
107,12.6899,12.6899,12.68,12.685,1000
108,12.68,12.68,12.68,12.68,131
109,12.6826,12.6826,12.6826,12.6826,1800
111,12.6857,12.6857,12.685,12.685,400
112,12.68,12.68,12.68,12.68,100
113,12.685,12.685,12.685,12.685,200
115,12.69,12.69,12.69,12.69,5099
116,12.69,12.69,12.69,12.69,100
118,12.69,12.69,12.69,12.69,200
128,12.69,12.69,12.69,12.69,100
129,12.69,12.69,12.6879,12.69,9001
132,12.69,12.69,12.69,12.69,100
133,12.6801,12.6801,12.6801,12.6801,200
134,12.6862,12.69,12.6862,12.69,236
135,12.6801,12.6899,12.6801,12.6899,400
139,12.69,12.69,12.69,12.69,200
140,12.68,12.68,12.68,12.68,100
141,12.685,12.685,12.685,12.685,266
142,12.69,12.69,12.69,12.69,100
146,12.6829,12.6829,12.682,12.682,4049
147,12.68,12.6801,12.68,12.68,400
148,12.6804,12.6804,12.6804,12.6804,300
158,12.69,12.69,12.69,12.69,100
160,12.685,12.685,12.685,12.685,200
162,12.68,12.68,12.68,12.68,1300
163,12.68,12.684,12.68,12.68,1650
165,12.685,12.685,12.685,12.685,200
171,12.68,12.6801,12.68,12.6801,200
175,12.6833,12.6833,12.6801,12.6801,2373
176,12.684,12.684,12.684,12.684,168
182,12.69,12.69,12.69,12.69,100
183,12.68,12.68,12.68,12.68,300
184,12.685,12.685,12.685,12.685,100
187,12.685,12.685,12.685,12.685,100
189,12.67,12.68,12.67,12.68,3750
190,12.66,12.66,12.66,12.66,500
191,12.66,12.66,12.66,12.66,400
192,12.65,12.66,12.65,12.65,5391
193,12.65,12.65,12.65,12.65,300
194,12.65,12.65,12.65,12.65,600
195,12.64,12.65,12.64,12.65,10459
201,12.64,12.64,12.64,12.64,300
203,12.65,12.65,12.65,12.65,100
207,12.6499,12.6499,12.6499,12.6499,100
212,12.65,12.65,12.65,12.65,100
216,12.643,12.643,12.643,12.643,572
222,12.65,12.65,12.645,12.65,706
223,12.65,12.65,12.65,12.65,400
226,12.6518,12.6518,12.6518,12.6518,160
227,12.6593,12.6593,12.6593,12.6593,395
231,12.6449,12.6505,12.6449,12.6501,726
237,12.6464,12.6464,12.6464,12.6464,215
239,12.64,12.64,12.64,12.64,300
244,12.65,12.65,12.65,12.65,300
251,12.64,12.64,12.64,12.64,100
253,12.65,12.65,12.64,12.64,2247
254,12.6459,12.6459,12.6459,12.6459,2000
255,12.641,12.641,12.641,12.641,600
256,12.65,12.65,12.65,12.65,100
259,12.6438,12.6438,12.6438,12.6438,409
260,12.6499,12.6499,12.6499,12.6499,240
262,12.65,12.65,12.65,12.65,100
263,12.6475,12.6475,12.6475,12.6475,603
265,12.64,12.64,12.64,12.64,100
268,12.6561,12.6561,12.65,12.65,2300
270,12.655,12.655,12.655,12.655,100
275,12.655,12.655,12.655,12.655,200
278,12.655,12.655,12.655,12.655,100
280,12.654,12.654,12.654,12.654,475
281,12.6538,12.6538,12.6538,12.6538,475
284,12.65,12.655,12.65,12.655,400
291,12.66,12.66,12.66,12.66,300
294,12.6535,12.6535,12.6535,12.6535,1120
298,12.65,12.65,12.65,12.65,300
305,12.655,12.655,12.655,12.655,371
306,12.654,12.654,12.654,12.654,200
308,12.655,12.655,12.655,12.655,100
312,12.655,12.655,12.655,12.655,200
314,12.66,12.66,12.65,12.65,400
323,12.6564,12.6564,12.6564,12.6564,400
324,12.6658,12.6658,12.66,12.66,1740
326,12.665,12.665,12.665,12.665,200
327,12.67,12.67,12.67,12.67,653
329,12.665,12.665,12.665,12.665,425
331,12.665,12.665,12.665,12.665,200
334,12.6659,12.6659,12.6659,12.6659,921
335,12.66,12.665,12.66,12.665,400
342,12.66,12.66,12.66,12.66,200
343,12.655,12.655,12.655,12.655,100
344,12.66,12.66,12.65,12.65,1200
350,12.65,12.655,12.65,12.655,300
351,12.66,12.66,12.66,12.66,100
355,12.651,12.651,12.651,12.651,500
357,12.66,12.66,12.66,12.66,100
360,12.655,12.655,12.655,12.655,100
362,12.66,12.66,12.66,12.66,200
364,12.66,12.66,12.66,12.66,2300
365,12.6655,12.6655,12.6655,12.6655,395
368,12.67,12.67,12.67,12.67,200
371,12.66,12.66,12.66,12.66,725
372,12.6699,12.6699,12.6699,12.6699,142
373,12.67,12.67,12.67,12.67,200
374,12.67,12.67,12.662,12.665,810
376,12.67,12.67,12.6601,12.6601,3901
379,12.6732,12.6799,12.6732,12.6799,2063
380,12.67,12.67,12.67,12.67,918
381,12.67,12.675,12.67,12.675,483
