EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,150,150,150,150,863
3,150.1,150.1,150.1,150.1,100
5,149.975,149.975,149.975,149.975,100
14,149.9,149.9,149.9,149.9,100
18,150.25,150.25,149.85,149.85,300
21,150.05,150.05,150.05,150.05,300
24,150.4,150.4,150.1,150.1,500
25,150,150,150,150,100
30,150.1,150.1,150.1,150.1,200
32,150.2,150.2,150.1,150.1,400
33,150,150,150,150,150
38,150.125,150.125,150,150,777
49,150.05,150.05,149.85,149.85,1387
51,150.25,150.25,150.25,150.25,100
53,150.1,150.1,150.1,150.1,123
55,150.1,150.1,150.1,150.1,200
56,150.1,150.1,150.1,150.1,100
61,150.4,150.55,150.35,150.35,300
66,150.1532,150.1532,150.1532,150.1532,171
67,150.2,150.2,150.2,150.2,100
68,150.2,150.2,150.2,150.2,100
73,150.75,150.75,150.4,150.4,400
74,150.4,150.4,150.4,150.4,100
84,150.748,150.748,150.748,150.748,200
85,151,151,151,151,100
90,151,151,150.95,150.95,563
91,151.275,151.275,151.275,151.275,200
93,151.15,151.15,151,151.15,565
94,151,151,151,151,400
96,151.2,151.2,151.2,151.2,100
98,151.2,151.2,151.2,151.2,100
101,151.5,151.5,151.5,151.5,100
107,151.6,151.6,151.6,151.6,100
115,151.9,151.9,151.7,151.7,200
123,152,152,151.975,151.975,200
126,151.85,151.85,151.85,151.85,100
129,151.85,151.85,151.85,151.85,100
149,151.9,151.9,151.9,151.9,101
151,151.85,151.85,151.85,151.85,100
160,152.25,152.25,152.1,152.15,500
163,152.2,152.2,152.15,152.15,300
170,152.05,152.05,152.05,152.05,588
181,152.1,152.1,152.1,152.1,100
182,152.055,152.15,152.055,152.15,267
183,152.05,152.05,152.05,152.05,100
188,152.25,152.25,152.25,152.25,100
194,152.15,152.15,152.15,152.15,404
196,152.15,152.15,152.15,152.15,100
200,152.1,152.1,152.1,152.1,300
204,152,152,152,152,100
205,152,152,152,152,300
206,151.85,151.85,151.85,151.85,100
207,151.9,151.9,151.8,151.8,800
209,152.05,152.05,152.05,152.05,100
211,151.95,151.95,151.95,151.95,100
212,152,152,151.925,151.925,200
214,152.05,152.05,152.05,152.05,300
218,152.1,152.1,152.1,152.1,100
219,152.1,152.1,152.1,152.1,100
227,152.1,152.1,152.1,152.1,100
229,151.9,152.15,151.9,151.9,1101
230,152,152,152,152,100
239,151.9,151.9,151.9,151.9,300
240,152.05,152.05,151.875,151.875,700
242,152.05,152.1,152.05,152.1,400
243,152.05,152.05,151.9875,152.05,700
246,152.3,152.3,152.1,152.1,350
249,152.1,152.2,152.1,152.2,600
250,152.15,152.15,152.15,152.15,100
253,152.3,152.3,152.3,152.3,200
255,152.35,152.35,152.35,152.35,100
258,152.25,152.25,152.1,152.1,400
259,152.25,152.25,152.25,152.25,100
260,152.3,152.3,152.3,152.3,200
261,152.45,152.45,152.225,152.25,800
262,152.4,152.45,152.4,152.45,200
265,152.45,152.45,152.45,152.45,200
268,152.75,152.75,152.3001,152.3001,333
276,152.5,152.5,152.5,152.5,200
277,152.3,152.3,152.3,152.3,200
278,152,152,152,152,100
282,152.3,152.3,152.25,152.25,1827
285,152.075,152.075,152.075,152.075,100
286,152.1,152.1,152.1,152.1,100
287,152.35,152.35,152.2,152.2,200
288,152.449,152.449,152.449,152.449,150
290,152.15,152.15,152.15,152.15,200
292,152.1,152.1,152.05,152.05,500
293,152.525,152.7,152.25,152.25,1300
296,152.65,152.65,152.65,152.65,300
300,152.55,152.675,152.55,152.675,1400
301,152.55,152.65,152.55,152.65,200
302,152.7125,152.7125,152.7,152.7,476
303,152.85,152.85,152.75,152.75,600
304,152.7,152.85,152.7,152.85,300
305,152.85,152.85,152.85,152.85,100
307,152.8,152.8,152.7,152.725,300
308,152.85,152.85,152.75,152.75,300
309,152.9,152.9,152.9,152.9,200
312,152.95,152.95,152.95,152.95,300
313,153.05,153.05,153.05,153.05,100
314,153,153,152.95,152.95,400
315,152.95,152.95,152.95,152.95,100
316,152.9,152.95,152.9,152.95,600
317,152.95,152.95,152.95,152.95,100
323,153,153,153,153,200
325,153,153,153,153,501
326,153.1,153.1,152.9,152.95,600
327,152.975,152.975,152.975,152.975,100
328,153.05,153.05,153.05,153.05,100
329,153,153.1,153,153.1,400
333,153.0001,153.15,153.0001,153.15,400
334,152.975,153,152.975,153,1640
335,153.05,153.05,153.05,153.05,100
337,153.4,153.4,153.05,153.05,4991
338,153.15,153.35,153.1,153.1,800
339,153.55,153.55,153.25,153.25,900
340,153.3,153.45,153.3,153.35,400
341,153.2,153.25,153.2,153.25,400
342,153.35,153.35,153.35,153.35,100
343,153.35,153.35,153.35,153.35,200
344,153.55,153.55,153.55,153.55,100
345,153.5,153.55,153.5,153.55,600
346,153.65,153.65,153.55,153.6,496
347,153.5,153.5,153.5,153.5,100
349,153.85,153.85,153.575,153.6,900
351,153.725,153.725,153.725,153.725,300
353,153.45,153.6,153.45,153.6,1001
354,153.6,153.6,153.6,153.6,200
355,153.7,153.7,153.625,153.625,200
357,153.275,153.475,153.2,153.475,900
358,153.5,153.5,153.275,153.275,1800
359,153.4,153.4,153.4,153.4,200
360,153.45,153.5,153.3,153.4,1800
361,153.325,153.4,153.2,153.2,895
362,153.45,153.45,153.4,153.4,200
363,153.5,153.5,153.5,153.5,300
364,153.5,153.5,153.35,153.35,804
365,153.5,153.55,153.45,153.55,1000
366,153.55,153.55,153.4625,153.525,1200
367,153.5,153.65,153.5,153.55,800
368,153.45,153.525,153.45,153.525,428
369,153.35,153.5,153.35,153.5,400
370,153.1,153.1,153.1,153.1,100
371,153,153.2,153,153.15,1605
372,153.15,153.15,153,153,1100
373,153.45,153.45,153.15,153.15,1100
375,153.3,153.375,153.25,153.375,6718
376,153.325,153.4,153.25,153.3,2200
377,153.35,153.35,153.275,153.3,1200
378,153.45,153.45,153.325,153.325,900
379,153.5,153.55,153.45,153.45,1000
380,153.35,153.6,153.35,153.6,800
381,153.4,153.4,153.2875,153.4,1518
382,153.375,153.4,153.2875,153.2875,700
383,153.375,153.45,153.3,153.3,1025
384,153.325,153.45,153.325,153.325,600
385,153.3,153.45,153.3,153.325,1400
386,153.05,153.4,153.05,153.3375,2405
387,153.175,153.2,153,153,3100
388,153,153.25,153,153.25,2863
389,153,153.1,152.8,153.025,2150
390,152.95,152.95,152.7,152.9,5244
