EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,22.88,22.88,22.88,22.88,355
13,23.07,23.07,22.98,22.98,1000
16,22.6207,22.6207,22.375,22.375,2000
28,22.6747,22.6747,22.6747,22.6747,195
32,22.8793,22.8793,22.8793,22.8793,200
40,22.5982,22.5982,22.5982,22.5982,100
67,22.6,22.64,22.6,22.64,2050
76,22.39,22.4,22.39,22.4,200
83,22.5278,22.5278,22.5278,22.5278,300
84,22.565,22.57,22.56,22.56,300
85,22.58,22.58,22.58,22.58,200
86,22.54,22.6,22.54,22.6,200
89,22.5706,22.62,22.5706,22.62,200
97,22.5849,22.5849,22.5849,22.5849,100
109,22.546,22.546,22.546,22.546,200
111,22.57,22.57,22.57,22.57,100
115,22.5698,22.5698,22.5698,22.5698,200
136,22.72,22.72,22.552,22.64,1700
151,22.68,22.68,22.57,22.62,1000
152,22.58,22.81,22.57,22.57,1100
170,22.75,22.75,22.75,22.75,785
183,22.62,22.66,22.62,22.66,1250
185,22.626,22.626,22.626,22.626,300
209,22.63,22.63,22.63,22.63,200
215,22.6262,22.6262,22.6262,22.6262,500
225,22.77,22.77,22.77,22.77,100
266,22.6922,22.6922,22.6922,22.6922,400
301,22.725,22.725,22.725,22.725,250
309,22.51,22.515,22.51,22.515,200
366,22.71,22.71,22.71,22.71,100
370,22.7101,22.7101,22.7101,22.7101,100
374,22.7117,22.7117,22.7117,22.7117,159
376,22.7298,22.7593,22.71,22.71,1074
377,22.7461,22.7596,22.71,22.7596,707
379,22.71,22.71,22.71,22.71,430
380,22.72,22.72,22.72,22.72,1137
381,22.71,22.71,22.71,22.71,200
382,22.71,22.71,22.71,22.71,300
386,22.62,22.71,22.6,22.71,1370
390,22.64,22.64,22.54,22.55,532
a1520346600,22.62,22.62,22.62,22.62,278
2,22.5706,22.5706,22.5706,22.5706,200
16,22.55,22.55,22.55,22.55,100
25,22.7439,22.7439,22.7439,22.7439,1000
64,22.65,22.65,22.65,22.65,450
67,22.62,22.6689,22.62,22.6689,1000
68,22.63,22.63,22.63,22.63,100
70,22.63,22.63,22.63,22.63,100
79,22.55,22.55,22.55,22.55,600
85,22.5632,22.5632,22.5632,22.5632,100
92,22.52,22.52,22.52,22.52,100
107,22.555,22.555,22.555,22.555,150
108,22.54,22.54,22.54,22.54,100
112,22.59,22.59,22.56,22.56,200
124,22.52,22.521,22.52,22.521,600
125,22.5,22.5,22.5,22.5,1102
129,22.44,22.47,22.44,22.47,300
131,22.43,22.43,22.4,22.4,300
132,22.42,22.42,22.41,22.41,200
137,22.45,22.45,22.45,22.45,100
138,22.45,22.45,22.45,22.45,500
157,22.45,22.45,22.45,22.45,100
171,22.45,22.45,22.45,22.45,750
180,22.4058,22.4058,22.4058,22.4058,318
183,22.39,22.39,22.39,22.39,100
189,22.45,22.45,22.45,22.45,500
201,22.49,22.49,22.4475,22.48,400
204,22.57,22.57,22.57,22.57,100
212,22.43,22.43,22.43,22.43,100
234,22.482,22.482,22.482,22.482,200
241,22.44,22.44,22.44,22.44,100
254,22.57,22.589,22.57,22.589,2000
269,22.45,22.45,22.45,22.45,100
274,22.4903,22.4903,22.4903,22.4903,100
284,22.4148,22.4148,22.4148,22.4148,158
291,22.45,22.45,22.45,22.45,100
292,22.5,22.5,22.5,22.5,300
296,22.45,22.45,22.45,22.45,100
305,22.44,22.47,22.3,22.47,500
313,22.4093,22.4093,22.4093,22.4093,400
320,22.4,22.4,22.4,22.4,100
326,22.393,22.393,22.393,22.393,100
336,22.38,22.39,22.38,22.39,7100
343,22.55,22.55,22.49,22.49,3147
355,22.68,22.68,22.5616,22.5616,316
363,22.72,22.76,22.72,22.76,1100
369,22.729,22.729,22.729,22.729,125
376,22.7,22.7,22.7,22.7,100
378,22.7,22.7,22.7,22.7,100
380,22.5,22.5,22.5,22.5,100
381,22.69,22.69,22.69,22.69,100
383,22.69,22.69,22.69,22.69,100
384,22.49,22.49,22.49,22.49,100
385,22.68,22.68,22.68,22.68,100
387,22.51,22.51,22.51,22.51,100
388,22.65,22.65,22.47,22.47,200
389,22.47,22.47,22.47,22.47,100
390,22.65,22.91,22.61,22.64,7231
a1520433000,22.4,22.4,22.4,22.4,539
6,22.6936,22.6936,22.6936,22.6936,173
16,22.775,22.775,22.775,22.775,100
28,22.72,22.72,22.7,22.7,200
41,22.71,22.71,22.71,22.71,100
42,22.7,22.7,22.7,22.7,100
80,22.66,22.66,22.66,22.66,100
85,22.64,22.64,22.64,22.64,700
89,22.75,22.75,22.75,22.75,100
101,22.6101,22.6101,22.6101,22.6101,474
102,22.7899,22.79,22.78,22.7899,3000
108,22.64,22.709,22.565,22.6701,1000
109,22.7,22.7,22.46,22.46,500
128,22.4019,22.4019,22.4019,22.4019,145
136,22.5,22.5,22.5,22.5,100
159,22.5,22.5,22.5,22.5,100
186,22.5,22.5,22.5,22.5,100
214,22.42,22.42,22.42,22.42,100
229,22.5,22.5,22.5,22.5,1632
232,22.51,22.51,22.5,22.5,700
233,22.56,22.56,22.51,22.51,600
256,22.6381,22.6381,22.6381,22.6381,400
271,22.7,22.7,22.66,22.66,200
272,22.58,22.58,22.58,22.58,100
298,22.54,22.56,22.53,22.53,400
299,22.56,22.56,22.56,22.56,100
301,22.56,22.56,22.56,22.56,700
302,22.59,22.59,22.59,22.59,400
305,22.63,22.63,22.6,22.6,500
324,22.58,22.58,22.55,22.55,200
339,22.5501,22.58,22.5501,22.58,400
346,22.5501,22.58,22.5501,22.58,200
347,22.58,22.58,22.58,22.58,500
348,22.58,22.58,22.58,22.58,400
366,22.58,22.58,22.58,22.58,100
374,22.62,22.67,22.62,22.62,1300
382,22.61,22.63,22.61,22.63,400
389,22.62,22.62,22.62,22.62,650
390,22.62,22.62,22.45,22.62,737
a1520519400,22.48,22.48,22.48,22.48,271
10,22.46,22.46,22.46,22.46,100
16,22.67,22.67,22.67,22.67,100
47,22.54,22.54,22.45,22.45,500
51,22.5636,22.5636,22.5636,22.5636,300
52,22.471,22.471,22.471,22.471,700
80,22.54,22.54,22.54,22.54,100
86,22.5392,22.5392,22.5392,22.5392,400
102,22.5405,22.5405,22.5405,22.5405,490
106,22.5252,22.5252,22.5252,22.5252,200
109,22.54,22.54,22.54,22.54,340
111,22.525,22.525,22.525,22.525,100
121,22.47,22.47,22.47,22.47,100
