EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260620,1.11,1.11,1.11,1.11,10000
3,1.1078,1.1101,1.1078,1.1101,4279
7,1.1,1.1,1.1,1.1,9904
9,1.09,1.09,1.09,1.09,100
14,1.11,1.11,1.1,1.1,7764
15,1.105,1.11,1.105,1.11,415
17,1.11,1.11,1.11,1.11,100
33,1.1,1.11,1.1,1.11,10100
34,1.1001,1.1001,1.1001,1.1001,5000
43,1.1,1.1,1.1,1.1,100
47,1.11,1.11,1.11,1.11,100
52,1.11,1.11,1.11,1.11,100
54,1.1,1.1001,1.1,1.1001,8800
55,1.1,1.1,1.1,1.1,427
61,1.1,1.1,1.1,1.1,8397
69,1.09,1.09,1.09,1.09,100
75,1.095,1.095,1.095,1.095,100
77,1.0968,1.0968,1.0968,1.0968,2000
85,1.1,1.1,1.1,1.1,100
87,1.0968,1.1,1.0968,1.1,500
91,1.1,1.1,1.1,1.1,800
93,1.095,1.095,1.095,1.095,100
97,1.09,1.09,1.09,1.09,100
111,1.105,1.105,1.099,1.099,9950
131,1.105,1.105,1.105,1.105,100
132,1.1,1.11,1.1,1.11,300
136,1.11,1.11,1.1001,1.1001,3100
140,1.1,1.1,1.1,1.1,3000
149,1.1,1.1,1.1,1.1,800
150,1.101,1.101,1.101,1.101,936
156,1.1001,1.1001,1.1001,1.1001,100
163,1.1,1.1,1.1,1.1,100
171,1.1,1.1,1.1,1.1,3300
172,1.08,1.09,1.08,1.09,10150
178,1.08,1.08,1.08,1.08,100
185,1.0868,1.09,1.0868,1.09,2600
194,1.085,1.089,1.085,1.089,4100
195,1.09,1.09,1.09,1.09,100
198,1.09,1.09,1.09,1.09,100
201,1.08,1.08,1.08,1.08,100
203,1.09,1.09,1.09,1.09,200
207,1.09,1.09,1.09,1.09,200
216,1.09,1.09,1.09,1.09,100
222,1.085,1.085,1.085,1.085,100
234,1.08,1.085,1.08,1.085,2569
237,1.09,1.09,1.09,1.09,100
241,1.09,1.09,1.09,1.09,700
245,1.1,1.1,1.1,1.1,100
248,1.09,1.09,1.09,1.09,300
251,1.08,1.08,1.08,1.08,100
265,1.0881,1.0881,1.0881,1.0881,2264
270,1.09,1.09,1.09,1.09,300
275,1.09,1.09,1.09,1.09,100
276,1.08,1.08,1.08,1.08,200
278,1.09,1.09,1.09,1.09,800
279,1.09,1.09,1.09,1.09,100
282,1.1,1.1,1.1,1.1,100
296,1.09,1.09,1.09,1.09,200
302,1.09,1.09,1.09,1.09,100
308,1.1,1.1,1.1,1.1,100
313,1.1,1.1,1.1,1.1,300
315,1.0968,1.0968,1.0968,1.0968,300
317,1.09,1.09,1.09,1.09,100
322,1.1,1.1,1.1,1.1,100
329,1.09,1.09,1.09,1.09,100
336,1.095,1.095,1.095,1.095,100
341,1.09,1.09,1.09,1.09,100
343,1.095,1.095,1.095,1.095,100
349,1.09,1.09,1.09,1.09,100
350,1.09,1.09,1.09,1.09,800
357,1.1,1.1,1.1,1.1,100
359,1.09,1.1,1.09,1.1,200
360,1.1,1.1,1.0949,1.0949,1300
364,1.09,1.09,1.09,1.09,100
365,1.095,1.095,1.095,1.095,100
367,1.09,1.09,1.09,1.09,100
371,1.095,1.095,1.095,1.095,100
375,1.095,1.095,1.095,1.095,100
379,1.095,1.095,1.095,1.095,100
381,1.095,1.095,1.09,1.09,224
383,1.1,1.1,1.09,1.095,600
a1520346600,1.09,1.09,1.09,1.09,345
7,1.0924,1.0924,1.0924,1.0924,7188
10,1.09,1.09,1.09,1.09,100
22,1.1,1.1,1.1,1.1,100
25,1.0901,1.0901,1.0901,1.0901,2333
32,1.09,1.09,1.09,1.09,100
36,1.09,1.09,1.09,1.09,100
37,1.1,1.1,1.1,1.1,100
40,1.09,1.09,1.09,1.09,100
44,1.09,1.09,1.08,1.08,400
47,1.09,1.09,1.09,1.09,100
53,1.09,1.09,1.09,1.09,100
60,1.09,1.09,1.09,1.09,100
62,1.09,1.09,1.09,1.09,100
66,1.09,1.09,1.09,1.09,100
73,1.09,1.09,1.09,1.09,100
75,1.09,1.09,1.09,1.09,400
79,1.09,1.09,1.09,1.09,100
82,1.095,1.095,1.095,1.095,100
85,1.09,1.09,1.09,1.09,100
88,1.095,1.095,1.095,1.095,100
89,1.09,1.09,1.09,1.09,100
102,1.08,1.08,1.08,1.08,100
104,1.09,1.09,1.08,1.08,300
105,1.09,1.09,1.09,1.09,100
112,1.09,1.0962,1.09,1.0962,600
119,1.09,1.09,1.09,1.09,300
120,1.085,1.085,1.085,1.085,100
123,1.09,1.09,1.09,1.09,100
127,1.09,1.09,1.09,1.09,300
128,1.09,1.09,1.09,1.09,500
135,1.0995,1.1,1.0995,1.1,200
142,1.0922,1.0922,1.0922,1.0922,183
143,1.09,1.09,1.09,1.09,100
150,1.09,1.09,1.09,1.09,100
151,1.09,1.09,1.09,1.09,100
155,1.095,1.095,1.095,1.095,100
158,1.09,1.09,1.09,1.09,100
163,1.0941,1.0941,1.0941,1.0941,1500
165,1.09,1.09,1.09,1.09,100
173,1.09,1.09,1.09,1.09,100
174,1.09,1.09,1.09,1.09,100
177,1.09,1.09,1.09,1.09,100
184,1.09,1.09,1.09,1.09,100
188,1.09,1.09,1.09,1.09,100
201,1.09,1.09,1.09,1.09,300
209,1.09,1.09,1.09,1.09,100
218,1.09,1.09,1.09,1.09,100
221,1.095,1.095,1.095,1.095,100
226,1.09,1.09,1.09,1.09,100
229,1.09,1.09,1.09,1.09,100
233,1.095,1.095,1.095,1.095,200
234,1.09,1.09,1.09,1.09,100
235,1.09,1.09,1.09,1.09,200
239,1.0986,1.0986,1.0986,1.0986,500
243,1.09,1.09,1.09,1.09,100
245,1.095,1.095,1.095,1.095,595
251,1.09,1.095,1.09,1.095,200
257,1.1,1.1,1.095,1.095,38640
261,1.1,1.1,1.1,1.1,9500
269,1.1,1.1,1.09,1.09,300
278,1.0989,1.1,1.0989,1.1,314
283,1.1,1.1,1.1,1.1,110
289,1.1,1.1,1.1,1.1,7842
290,1.1094,1.1094,1.1094,1.1094,2000
291,1.11,1.117,1.107,1.11,6795
295,1.12,1.12,1.1044,1.11,28700
303,1.12,1.12,1.12,1.12,700
306,1.12,1.12,1.12,1.12,500
322,1.1199,1.12,1.1199,1.12,1300
329,1.11,1.11,1.11,1.11,200
336,1.12,1.12,1.12,1.12,300
