EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,42.93,42.93,42.93,42.93,2088
6,43.05,43.05,43.04,43.04,300
11,43.18,43.18,43.18,43.18,300
12,43.17,43.17,43.17,43.17,100
14,43.05,43.05,43.05,43.05,100
19,43.022,43.022,43.022,43.022,226
22,42.9866,42.9866,42.9866,42.9866,134
23,43.02,43.03,43.02,43.02,300
24,43.03,43.03,43.03,43.03,200
32,43.07,43.0819,43.07,43.0819,500
34,43.09,43.09,43.09,43.09,100
36,43.06,43.06,43.06,43.06,100
40,43.03,43.03,43.03,43.03,100
43,43.03,43.08,43.03,43.06,900
44,43.03,43.03,43.03,43.03,100
51,42.99,42.99,42.99,42.99,100
53,43.02,43.02,43.01,43.01,300
69,43.06,43.06,43.05,43.05,300
75,43.06,43.06,43.06,43.06,100
76,43.06,43.06,43.06,43.06,400
77,43.05,43.05,43.05,43.05,200
78,43.05,43.05,43.05,43.05,100
82,43.08,43.08,43.08,43.08,100
85,43.065,43.065,43.065,43.065,100
88,43.06,43.06,43.06,43.06,600
89,43.07,43.08,43.06,43.06,300
90,43.08,43.08,43.08,43.08,100
93,43.12,43.182,43.12,43.182,500
94,43.07,43.07,43.07,43.07,100
95,43.145,43.145,43.145,43.145,100
96,43.13,43.15,43.13,43.15,300
98,43.24,43.24,43.15,43.15,705
100,43.23,43.23,43.23,43.23,100
101,43.299,43.299,43.299,43.299,193
110,43.26,43.26,43.26,43.26,100
111,43.23,43.285,43.23,43.26,900
112,43.2,43.23,43.2,43.23,300
113,43.245,43.32,43.23,43.23,800
114,43.42,43.42,43.32,43.36,3099
116,43.44,43.44,43.35,43.36,2500
117,43.38,43.38,43.38,43.38,100
122,43.35,43.35,43.35,43.35,117
125,43.35,43.35,43.35,43.35,100
132,43.39,43.39,43.38,43.38,400
140,43.38,43.38,43.38,43.38,100
143,43.38,43.38,43.38,43.38,100
144,43.3857,43.3857,43.3857,43.3857,150
162,43.36,43.3777,43.36,43.3777,313
165,43.36,43.36,43.36,43.36,150
168,43.36,43.36,43.36,43.36,700
176,43.32,43.32,43.32,43.32,200
182,43.33,43.33,43.33,43.33,100
190,43.29,43.29,43.29,43.29,100
191,43.33,43.33,43.33,43.33,200
208,43.34,43.34,43.34,43.34,100
209,43.35,43.35,43.35,43.35,100
213,43.35,43.35,43.33,43.33,200
225,43.32,43.34,43.32,43.34,300
231,43.33,43.33,43.33,43.33,200
233,43.36,43.36,43.36,43.36,300
236,43.37,43.37,43.37,43.37,200
238,43.37,43.375,43.37,43.37,700
239,43.37,43.37,43.37,43.37,200
242,43.34,43.34,43.34,43.34,200
244,43.35,43.35,43.35,43.35,100
247,43.305,43.33,43.3,43.33,500
253,43.34,43.37,43.33,43.36,800
255,43.31,43.34,43.3,43.34,1100
256,43.3,43.3,43.3,43.3,100
257,43.29,43.29,43.28,43.29,300
258,43.27,43.27,43.27,43.27,200
259,43.25,43.28,43.25,43.27,300
260,43.3094,43.3094,43.3094,43.3094,500
263,43.3,43.3172,43.3,43.3172,760
264,43.29,43.29,43.29,43.29,200
266,43.3,43.31,43.3,43.31,200
267,43.3,43.3,43.3,43.3,100
268,43.2701,43.2701,43.2701,43.2701,103
270,43.3,43.3,43.3,43.3,100
271,43.29,43.29,43.29,43.29,100
272,43.3,43.32,43.3,43.32,1700
274,43.27,43.28,43.27,43.28,200
280,43.29,43.29,43.26,43.26,200
282,43.27,43.27,43.27,43.27,200
283,43.24,43.24,43.24,43.24,400
290,43.24,43.24,43.22,43.22,200
291,43.2299,43.2299,43.2299,43.2299,143
292,43.23,43.2781,43.23,43.2781,383
293,43.2385,43.2385,43.2385,43.2385,121
295,43.24,43.24,43.24,43.24,100
297,43.3,43.32,43.3,43.31,300
307,43.24,43.28,43.24,43.28,400
308,43.2569,43.2569,43.2569,43.2569,184
309,43.26,43.26,43.26,43.26,100
314,43.31,43.31,43.31,43.31,100
315,43.3,43.3,43.3,43.3,200
316,43.29,43.29,43.29,43.29,100
318,43.301,43.301,43.301,43.301,129
319,43.29,43.29,43.29,43.29,200
320,43.31,43.31,43.28,43.28,600
322,43.31,43.31,43.31,43.31,100
324,43.3101,43.3101,43.31,43.31,388
325,43.308,43.32,43.308,43.32,300
327,43.31,43.31,43.3,43.3,400
328,43.33,43.33,43.33,43.33,100
330,43.33,43.35,43.33,43.35,300
337,43.36,43.37,43.35,43.36,500
339,43.33,43.33,43.33,43.33,100
340,43.325,43.34,43.32,43.34,400
343,43.322,43.322,43.322,43.322,100
347,43.29,43.31,43.29,43.29,300
351,43.3,43.3,43.3,43.3,100
352,43.33,43.33,43.3,43.3,300
353,43.3,43.3,43.3,43.3,200
354,43.32,43.32,43.29,43.3,1325
355,43.34,43.34,43.3159,43.3159,1578
356,43.39,43.39,43.3812,43.3812,559
360,43.35,43.35,43.35,43.35,200
361,43.31,43.32,43.3,43.31,500
362,43.33,43.33,43.32,43.32,300
367,43.35,43.36,43.35,43.35,302
370,43.35,43.35,43.35,43.35,100
371,43.35,43.35,43.35,43.35,200
373,43.33,43.33,43.33,43.33,100
374,43.36,43.36,43.36,43.36,100
376,43.36,43.36,43.34,43.34,295
380,43.34,43.34,43.32,43.32,300
383,43.3,43.3,43.3,43.3,100
384,43.29,43.32,43.29,43.29,500
387,43.3,43.3,43.3,43.3,100
388,43.35,43.35,43.27,43.27,700
389,43.33,43.33,43.31,43.32,481
390,43.28,43.33,43.28,43.28,400
a1520346600,43.61,43.61,43.61,43.61,871
5,43.76,43.76,43.74,43.74,300
12,43.7,43.7,43.7,43.7,100
13,43.6696,43.6696,43.6696,43.6696,3779
15,43.56,43.56,43.56,43.56,100
18,43.56,43.56,43.56,43.56,200
20,43.63,43.64,43.63,43.63,400
32,43.6,43.6,43.6,43.6,100
34,43.63,43.63,43.63,43.63,300
35,43.57,43.59,43.57,43.59,584
36,43.59,43.59,43.59,43.59,100
39,43.61,43.61,43.61,43.61,100
44,43.55,43.55,43.55,43.55,100
45,43.62,43.62,43.59,43.6,700
46,43.62,43.62,43.62,43.62,100
55,43.62,43.63,43.62,43.62,300
57,43.58,43.64,43.58,43.62,400
58,43.6,43.6,43.6,43.6,208
59,43.62,43.62,43.62,43.62,300
68,43.6,43.6,43.6,43.6,100
74,43.6,43.636,43.6,43.636,700
75,43.62,43.62,43.62,43.62,100
