EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,36.8,36.8,36.8,36.8,3028
5,36.81,36.81,36.81,36.81,100
15,36.93,36.93,36.93,36.93,200
16,36.92,36.94,36.92,36.94,1600
19,36.92,36.92,36.92,36.92,200
26,36.93,36.93,36.93,36.93,300
30,36.94,36.94,36.94,36.94,100
31,36.97,36.97,36.97,36.97,100
40,36.91,36.91,36.91,36.91,100
41,36.91,36.91,36.91,36.91,300
50,36.93,36.93,36.93,36.93,200
87,37.0499,37.0499,37.01,37.01,300
90,37,37,37,37,100
99,37.02,37.02,37.02,37.02,100
100,37.06,37.06,37.06,37.06,100
101,37.08,37.08,37.08,37.08,234
113,37.1,37.1,37.1,37.1,100
114,37.06,37.06,37.06,37.06,200
125,37.07,37.07,37.07,37.07,100
126,37.09,37.09,37.09,37.09,500
127,37.09,37.09,37.09,37.09,100
129,37.11,37.11,37.11,37.11,400
131,37.13,37.13,37.13,37.13,200
134,37.12,37.12,37.12,37.12,100
135,37.13,37.13,37.13,37.13,922
136,37.13,37.13,37.13,37.13,600
137,37.13,37.14,37.11,37.11,600
138,37.14,37.15,37.14,37.15,700
146,37.13,37.13,37.13,37.13,100
147,37.12,37.12,37.12,37.12,100
153,37.16,37.16,37.15,37.15,200
157,37.15,37.15,37.15,37.15,100
162,37.15,37.15,37.15,37.15,700
167,37.16,37.16,37.16,37.16,100
169,37.15,37.15,37.14,37.14,1400
170,37.16,37.16,37.15,37.15,900
171,37.145,37.15,37.13,37.14,2100
179,37.15,37.15,37.15,37.15,400
180,37.16,37.16,37.16,37.16,100
181,37.14,37.14,37.14,37.14,200
185,37.12,37.12,37.12,37.12,100
190,37.12,37.12,37.12,37.12,100
195,37.15,37.15,37.14,37.14,888
196,37.15,37.15,37.15,37.15,100
199,37.16,37.16,37.16,37.16,100
201,37.16,37.16,37.16,37.16,100
202,37.16,37.16,37.16,37.16,100
209,37.14,37.16,37.14,37.16,200
216,37.16,37.16,37.16,37.16,200
226,37.16,37.16,37.16,37.16,100
227,37.16,37.16,37.16,37.16,200
228,37.15,37.15,37.15,37.15,100
241,37.13,37.14,37.13,37.14,300
254,37.13,37.13,37.13,37.13,100
257,37.12,37.12,37.12,37.12,200
258,37.13,37.13,37.13,37.13,300
261,37.1405,37.1405,37.1405,37.1405,153
267,37.12,37.12,37.12,37.12,200
268,37.14,37.14,37.14,37.14,200
275,37.12,37.12,37.12,37.12,100
296,37.1,37.14,37.1,37.14,200
306,37.11,37.11,37.11,37.11,100
314,37.1,37.1,37.1,37.1,100
317,37.11,37.11,37.11,37.11,100
318,37.16,37.16,37.12,37.12,400
324,37.14,37.14,37.14,37.14,100
325,37.13,37.13,37.13,37.13,200
326,37.14,37.14,37.14,37.14,300
331,37.15,37.15,37.15,37.15,100
333,37.15,37.15,37.15,37.15,900
339,37.14,37.15,37.14,37.15,880
341,37.14,37.14,37.14,37.14,100
345,37.13,37.13,37.13,37.13,100
346,37.13,37.13,37.13,37.13,100
350,37.13,37.13,37.13,37.13,200
351,37.15,37.15,37.14,37.14,540
352,37.16,37.16,37.16,37.16,600
353,37.1595,37.1595,37.1595,37.1595,413
355,37.156,37.156,37.156,37.156,298
356,37.14,37.15,37.14,37.15,200
357,37.11,37.13,37.11,37.13,300
358,37.13,37.13,37.13,37.13,300
366,37.14,37.14,37.14,37.14,300
370,37.14,37.14,37.14,37.14,200
372,37.14,37.14,37.14,37.14,383
373,37.15,37.15,37.15,37.15,402
374,37.15,37.17,37.15,37.17,900
376,37.17,37.17,37.17,37.17,100
378,37.16,37.16,37.16,37.16,100
379,37.16,37.16,37.16,37.16,200
380,37.15,37.15,37.15,37.15,200
384,37.11,37.11,37.11,37.11,243
385,37.12,37.12,37.12,37.12,100
386,37.14,37.14,37.13,37.13,787
387,37.15,37.15,37.15,37.15,200
388,37.15,37.15,37.15,37.15,275
389,37.16,37.16,37.16,37.16,1100
a1520346660,37.67,37.67,37.57,37.57,2349
3,37.551,37.67,37.5,37.6,5100
4,37.66,37.66,37.565,37.565,600
5,37.5999,37.6399,37.5999,37.6399,800
6,37.57,37.5999,37.57,37.5999,1000
7,37.6099,37.6199,37.58,37.58,1100
8,37.56,37.61,37.56,37.61,700
13,37.52,37.52,37.52,37.52,200
21,37.6,37.6,37.6,37.6,100
30,37.57,37.57,37.57,37.57,200
32,37.6,37.6,37.6,37.6,100
33,37.59,37.59,37.59,37.59,100
34,37.56,37.56,37.56,37.56,100
38,37.545,37.56,37.545,37.56,637
40,37.53,37.53,37.53,37.53,200
48,37.55,37.55,37.55,37.55,100
49,37.55,37.55,37.55,37.55,100
50,37.55,37.55,37.55,37.55,100
53,37.555,37.555,37.54,37.54,400
54,37.555,37.57,37.555,37.57,200
56,37.555,37.555,37.555,37.555,100
57,37.55,37.57,37.52,37.555,3100
61,37.5925,37.5925,37.5925,37.5925,300
62,37.575,37.575,37.575,37.575,200
63,37.61,37.61,37.61,37.61,100
68,37.55,37.55,37.55,37.55,100
70,37.6,37.6,37.6,37.6,100
74,37.585,37.6,37.575,37.6,500
75,37.56,37.56,37.56,37.56,100
77,37.56,37.56,37.56,37.56,300
81,37.5195,37.5195,37.5195,37.5195,111
86,37.56,37.56,37.56,37.56,100
87,37.52,37.52,37.52,37.52,100
89,37.52,37.52,37.52,37.52,100
98,37.51,37.51,37.51,37.51,200
99,37.46,37.46,37.46,37.46,100
100,37.51,37.51,37.51,37.51,100
107,37.51,37.51,37.48,37.48,2100
108,37.48,37.48,37.48,37.48,1249
109,37.48,37.48,37.48,37.48,300
112,37.48,37.48,37.48,37.48,200
114,37.48,37.48,37.48,37.48,300
119,37.52,37.52,37.52,37.52,100
125,37.47,37.47,37.45,37.45,200
131,37.45,37.45,37.45,37.45,800
133,37.47,37.47,37.45,37.45,300
139,37.5,37.5,37.5,37.5,100
147,37.5,37.5,37.5,37.5,100
149,37.5,37.5,37.5,37.5,100
150,37.46,37.505,37.46,37.5,4149
154,37.49,37.49,37.49,37.49,300
156,37.49,37.49,37.49,37.49,100
157,37.49,37.49,37.49,37.49,100
159,37.49,37.49,37.48,37.48,200
162,37.4878,37.4878,37.4878,37.4878,160
165,37.48,37.48,37.48,37.48,100
166,37.48,37.48,37.48,37.48,100
169,37.47,37.49,37.46,37.46,1000
171,37.46,37.46,37.46,37.46,100
