EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520279760,12.01,12.01,12.01,12.01,100
1,11.82,11.82,11.82,11.82,200
2,11.73,11.73,11.73,11.73,192
3,11.58,11.58,11.58,11.58,200
4,11.54,11.54,11.54,11.54,100
6,11.5,11.5,11.5,11.5,200
7,11.5,11.5,11.5,11.5,150
8,11.5,11.5,11.5,11.5,100
9,11.78,11.78,11.5,11.5,500
10,11.78,11.85,11.78,11.78,1300
25,11.7,11.7001,11.7,11.7,3000
26,11.7,11.7,11.7,11.7,227
27,11.7,11.7,11.7,11.7,100
28,11.7,11.7,11.7,11.7,300
29,11.7,11.7,11.7,11.7,100
30,11.7,11.7,11.7,11.7,300
31,11.7,11.7,11.7,11.7,100
32,11.7,11.7,11.7,11.7,300
33,11.7,11.7,11.7,11.7,100
34,11.7,11.7,11.7,11.7,300
35,11.7,11.7,11.7,11.7,100
36,11.7,11.7,11.7,11.7,200
37,11.7,11.7,11.7,11.7,100
38,11.7,11.7,11.7,11.7,300
39,11.7,11.7,11.7,11.7,100
40,11.7,11.7,11.7,11.7,300
41,11.7,11.7,11.7,11.7,100
42,11.71,11.71,11.7,11.7,300
43,11.71,11.71,11.71,11.71,100
44,11.71,11.71,11.71,11.71,300
45,11.71,11.71,11.71,11.71,100
46,11.75,11.75,11.75,11.75,300
47,11.75,11.75,11.75,11.75,300
48,11.76,11.76,11.76,11.76,100
49,11.75,11.75,11.75,11.75,300
50,11.75,11.75,11.75,11.75,100
51,11.76,11.76,11.76,11.76,300
52,11.76,11.76,11.76,11.76,100
54,11.85,11.85,11.85,11.85,250
55,11.85,11.85,11.85,11.85,746
56,11.8,11.8,11.8,11.8,200
57,11.8,11.8,11.8,11.8,300
58,11.8,11.8,11.8,11.8,300
59,11.8,11.8,11.8,11.8,200
60,11.8,11.8,11.8,11.8,300
61,11.8,11.8,11.8,11.8,889
62,11.8,11.8,11.8,11.8,200
63,11.85,11.85,11.55,11.63,1500
64,11.56,11.61,11.56,11.61,300
a1520355060,11.84,11.84,11.84,11.84,1000
1,11.84,11.84,11.81,11.82,1000
6,11.91,11.91,11.91,11.91,400
159,11.8,11.8,11.8,11.8,145
162,11.85,11.85,11.85,11.85,145
a1520433300,12,12,12,12,108
91,12.049,12.049,12.049,12.049,100
255,11.9399,11.9399,11.9399,11.9399,200
362,11.8,11.81,11.8,11.81,300
385,11.51,11.51,11.51,11.51,200
a1520538000,12.0084,12.0084,12.0084,12.0084,100
80,11.96,11.96,11.96,11.96,178
a1520605920,11.61,11.61,11.61,11.61,840
154,11.77,11.77,11.74,11.77,500
196,11.621,11.621,11.621,11.621,200
215,11.8,11.8,11.8,11.8,140
226,11.96,11.96,11.95,11.951,600
316,11.96,11.96,11.96,11.96,200
371,11.7,11.7,11.7,11.7,116
376,11.85,11.85,11.85,11.85,100
377,11.9,11.9,11.9,11.9,100
378,11.9,11.9,11.9,11.9,400
379,11.92,11.92,11.9,11.9,400
TIMEZONE_OFFSET=-240
a1520880780,11.7,11.7,11.67,11.7,1400
66,11.95,11.95,11.95,11.95,200
a1520957580,11.4671,11.4671,11.4671,11.4671,100
156,11.6,11.6,11.6,11.6,2400
157,11.65,11.65,11.6,11.6,2200
194,11.47,11.47,11.47,11.47,100
225,11.8248,11.8248,11.8248,11.8248,400
227,11.49,11.49,11.49,11.49,100
a1521046020,11.6,11.6,11.6,11.6,100
76,11.695,11.695,11.695,11.695,100
77,11.7,11.7,11.7,11.7,700
193,11.68,11.68,11.68,11.68,100
a1521125040,11.668,11.668,11.668,11.668,100
116,11.5575,11.5575,11.5575,11.5575,200
202,11.523,11.523,11.523,11.523,1196
316,11.6,11.6,11.6,11.6,100
a1521230400,11.6,11.6,11.6,11.6,200
a1521489600,11.51,11.51,11.51,11.51,205
a1521662100,11.8599,11.86,11.8599,11.86,1384
a1521730860,11.807,11.807,11.801,11.801,200
167,11.9,11.9,11.9,11.9,2200
168,11.89,11.9,11.88,11.9,3300
173,11.89,11.895,11.89,11.895,983
202,11.9,11.9,11.9,11.9,200
238,11.9,11.9,11.9,11.9,954
a1521812460,11.95,11.95,11.95,11.95,300
268,11.95,11.9501,11.95,11.9501,220
298,12.1,12.1,12.1,12.1,2407
303,12.14,12.14,12.14,12.14,200
304,12.14,12.14,12.14,12.14,200
311,12.25,12.25,12.2465,12.2465,600
322,12.56,12.56,12.5,12.5,300
347,12.56,12.56,12.56,12.56,200
371,12.27,12.27,12.27,12.27,100
375,12.27,12.27,12.27,12.27,100
377,12.25,12.28,12.25,12.26,600
378,12.26,12.26,12.26,12.26,100
