EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,4.9,4.9,4.9,4.9,3623
6,4.9,4.9,4.9,4.9,154
7,4.9,4.9,4.9,4.9,200
9,4.9,4.9,4.9,4.9,100
10,4.9,4.9,4.9,4.9,100
11,4.9,4.9,4.9,4.9,100
12,4.9,4.9,4.9,4.9,100
13,4.9,4.9,4.9,4.9,200
14,4.9,4.9,4.9,4.9,200
16,4.9,4.9,4.9,4.9,100
17,4.9,4.9,4.9,4.9,200
18,4.9,4.9,4.9,4.9,100
19,4.9,4.9,4.9,4.9,200
20,4.9,4.9,4.9,4.9,100
21,4.9,4.9,4.9,4.9,200
22,4.9,4.9,4.9,4.9,200
23,4.9,4.9,4.9,4.9,200
24,4.9,4.9,4.9,4.9,100
25,4.8949,4.9,4.8949,4.9,3950
26,4.9,4.9,4.9,4.9,100
27,4.9,4.9,4.9,4.9,100
28,4.9,4.9,4.9,4.9,100
29,4.9,4.9,4.9,4.9,200
30,4.9,4.9,4.9,4.9,200
31,4.9,4.9,4.9,4.9,400
32,4.9,4.9,4.9,4.9,200
33,4.9,4.9,4.9,4.9,200
34,4.9,4.9,4.9,4.9,200
35,4.9,4.9,4.9,4.9,100
36,4.9,4.9,4.9,4.9,200
37,4.9,4.9,4.9,4.9,100
38,4.9,4.9001,4.9,4.9,1700
39,4.9,4.9,4.9,4.9,100
40,4.9,4.9,4.9,4.9,100
41,4.9,4.9,4.9,4.9,200
42,4.9,4.9,4.9,4.9,100
43,4.9,4.9,4.9,4.9,100
44,4.9,4.9,4.9,4.9,100
45,4.9,4.9,4.9,4.9,100
46,4.9,4.9,4.9,4.9,200
47,4.9,4.9,4.9,4.9,100
48,4.9,4.9,4.9,4.9,100
49,4.907,4.91,4.9,4.9,8605
50,4.9,4.9,4.9,4.9,100
51,4.9,4.9,4.9,4.9,200
52,4.9,4.9,4.9,4.9,100
53,4.9,4.9,4.9,4.9,100
54,4.9,4.9,4.9,4.9,100
55,4.9,4.9,4.9,4.9,100
56,4.9,4.91,4.9,4.91,200
57,4.9,4.91,4.9,4.91,200
58,4.9,4.9,4.9,4.9,200
60,4.9,4.9,4.9,4.9,100
61,4.9,4.9,4.9,4.9,200
62,4.9,4.9,4.9,4.9,100
63,4.9,4.9,4.9,4.9,100
75,4.9,4.9,4.9,4.9,195
77,4.9,4.9,4.9,4.9,200
78,4.9,4.9,4.9,4.9,605
79,4.9,4.9,4.9,4.9,100
80,4.9,4.9,4.9,4.9,100
81,4.9,4.9,4.9,4.9,100
82,4.9,4.9,4.9,4.9,100
84,4.9,4.9,4.9,4.9,100
85,4.9,4.9,4.9,4.9,100
86,4.9,4.9,4.9,4.9,100
87,4.9,4.9072,4.9,4.9072,335
88,4.9,4.9,4.9,4.9,100
89,4.9,4.9042,4.9,4.9042,335
90,4.9,4.9,4.9,4.9,100
91,4.9,4.9,4.9,4.9,100
92,4.9,4.9,4.9,4.9,100
93,4.9,4.9,4.9,4.9,100
94,4.9,4.9,4.9,4.9,100
95,4.9,4.9,4.9,4.9,100
96,4.9,4.9,4.9,4.9,100
97,4.9,4.9,4.9,4.9,100
98,4.9,4.9,4.9,4.9,100
99,4.9,4.9,4.9,4.9,100
101,4.9,4.9,4.9,4.9,100
102,4.9,4.9,4.9,4.9,100
103,4.9,4.9,4.9,4.9,100
104,4.9,4.9,4.9,4.9,100
106,4.9,4.9,4.9,4.9,300
108,4.9,4.9,4.9,4.9,100
109,4.9,4.9,4.9,4.9,100
110,4.9,4.9,4.9,4.9,100
111,4.905,4.91,4.9,4.9,1800
112,4.9,4.9,4.9,4.9,100
113,4.9,4.9,4.9,4.9,100
114,4.9,4.9,4.9,4.9,100
115,4.9,4.905,4.9,4.905,1200
116,4.9,4.9,4.9,4.9,100
117,4.9,4.9,4.9,4.9,100
118,4.9,4.9,4.9,4.9,100
120,4.9,4.9,4.9,4.9,100
121,4.9,4.9,4.9,4.9,100
122,4.9,4.9,4.9,4.9,100
123,4.9,4.9,4.9,4.9,100
124,4.9,4.9,4.9,4.9,100
126,4.9,4.9,4.9,4.9,100
127,4.9,4.9,4.9,4.9,100
128,4.9,4.9,4.9,4.9,100
129,4.9,4.9,4.9,4.9,100
131,4.9,4.9,4.9,4.9,100
132,4.9,4.9,4.9,4.9,100
133,4.9,4.9,4.9,4.9,100
134,4.9,4.9,4.9,4.9,100
136,4.9,4.9,4.9,4.9,100
137,4.9,4.9,4.9,4.9,100
138,4.9,4.9,4.9,4.9,100
140,4.9,4.9,4.9,4.9,100
141,4.9,4.9,4.9,4.9,100
142,4.9,4.9,4.9,4.9,100
143,4.9,4.9,4.9,4.9,100
145,4.9,4.9,4.9,4.9,100
146,4.9,4.9,4.9,4.9,100
148,4.9,4.9,4.9,4.9,100
149,4.9,4.9,4.9,4.9,100
150,4.9,4.9,4.9,4.9,100
151,4.9,4.9,4.9,4.9,200
152,4.9,4.9,4.9,4.9,100
155,4.9,4.9,4.9,4.9,100
156,4.9,4.9,4.9,4.9,100
157,4.9,4.9,4.9,4.9,100
159,4.9,4.9,4.9,4.9,100
162,4.9,4.9,4.9,4.9,100
165,4.9,4.9,4.9,4.9,100
166,4.9,4.9,4.9,4.9,100
167,4.9,4.9,4.9,4.9,100
169,4.9,4.9,4.9,4.9,100
171,4.9,4.9,4.9,4.9,100
172,4.9,4.9,4.9,4.9,100
173,4.9,4.9,4.9,4.9,100
174,4.9,4.9,4.9,4.9,100
176,4.9,4.9,4.9,4.9,100
177,4.9,4.9,4.9,4.9,100
179,4.9,4.9,4.9,4.9,100
180,4.9,4.9,4.9,4.9,100
182,4.9,4.9,4.9,4.9,100
184,4.9,4.9,4.9,4.9,100
186,4.9,4.9,4.9,4.9,100
187,4.9,4.9,4.9,4.9,100
188,4.9,4.9,4.9,4.9,200
189,4.9,4.9,4.9,4.9,100
190,4.9,4.9,4.9,4.9,100
191,4.9,4.9,4.9,4.9,800
192,4.9,4.9,4.9,4.9,100
193,4.89,4.89,4.89,4.89,200
196,4.89,4.89,4.89,4.89,100
197,4.89,4.89,4.89,4.89,200
199,4.89,4.89,4.89,4.89,100
200,4.89,4.89,4.89,4.89,100
201,4.89,4.89,4.89,4.89,100
203,4.89,4.89,4.89,4.89,100
206,4.89,4.89,4.89,4.89,100
207,4.89,4.89,4.89,4.89,100
209,4.89,4.89,4.89,4.89,100
