EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260440,9.48,9.48,9.48,9.48,1500
26,9.47,9.48,9.47,9.48,2500
274,9.489,9.489,9.489,9.489,200
a1520347380,9.4883,9.4883,9.4883,9.4883,2700
1,9.48,9.48,9.48,9.48,200
81,9.4811,9.49,9.4811,9.4811,3500
108,9.489,9.489,9.489,9.489,1500
120,9.4872,9.4872,9.4872,9.4872,2500
184,9.49,9.49,9.49,9.49,997
353,9.529,9.529,9.51,9.51,400
a1520433000,9.5,9.5,9.5,9.5,420
10,9.5114,9.5114,9.5114,9.5114,200
12,9.53,9.53,9.52,9.52,1500
37,9.53,9.53,9.53,9.53,1000
38,9.53,9.53,9.53,9.53,2400
39,9.54,9.54,9.54,9.54,300
41,9.53,9.53,9.53,9.53,1600
76,9.55,9.55,9.54,9.549,1400
265,9.5999,9.5999,9.5599,9.56,4800
287,9.586,9.6,9.581,9.581,5000
291,9.5801,9.586,9.58,9.5811,6400
a1520520180,9.5505,9.5505,9.5505,9.5505,1000
11,9.588,9.588,9.588,9.588,3000
37,9.589,9.589,9.589,9.589,1500
74,9.5501,9.551,9.5501,9.551,4000
99,9.56,9.5643,9.54,9.56,3000
124,9.57,9.57,9.57,9.57,500
133,9.589,9.589,9.589,9.589,3000
165,9.582,9.582,9.582,9.582,200
207,9.63,9.63,9.59,9.59,1400
286,9.5798,9.5798,9.5798,9.5798,500
321,9.6,9.6,9.6,9.6,100
322,9.57,9.57,9.57,9.57,600
323,9.53,9.53,9.53,9.53,100
324,9.52,9.53,9.52,9.53,300
325,9.52,9.52,9.52,9.52,100
326,9.5,9.5,9.5,9.5,300
327,9.5,9.5,9.5,9.5,900
328,9.53,9.53,9.5,9.5,500
329,9.5,9.5,9.5,9.5,500
330,9.54,9.54,9.5,9.5,800
340,9.54,9.54,9.54,9.54,200
341,9.54,9.54,9.54,9.54,100
346,9.54,9.54,9.54,9.54,100
347,9.55,9.55,9.55,9.55,500
349,9.57,9.57,9.57,9.57,100
351,9.57,9.57,9.57,9.57,100
353,9.58,9.58,9.58,9.58,100
354,9.58,9.58,9.58,9.58,100
356,9.59,9.59,9.59,9.59,100
357,9.62,9.62,9.59,9.59,3860
359,9.65,9.65,9.62,9.62,3800
362,9.65,9.65,9.65,9.65,100
363,9.63,9.63,9.63,9.63,100
364,9.63,9.63,9.63,9.63,100
365,9.63,9.63,9.63,9.63,100
366,9.6109,9.63,9.6109,9.63,250
367,9.63,9.63,9.63,9.63,100
368,9.62,9.62,9.62,9.62,100
369,9.62,9.62,9.62,9.62,100
370,9.62,9.62,9.62,9.62,100
371,9.63,9.63,9.63,9.63,100
372,9.63,9.63,9.63,9.63,200
373,9.64,9.65,9.63,9.63,400
374,9.63,9.64,9.63,9.64,300
375,9.63,9.63,9.63,9.63,400
376,9.63,9.63,9.605,9.63,300
377,9.63,9.63,9.63,9.63,400
a1520606820,9.6399,9.64,9.6399,9.64,2000
4,9.64,9.64,9.64,9.64,100
28,9.63,9.64,9.63,9.635,2000
95,9.64,9.64,9.64,9.64,519
180,9.61,9.63,9.61,9.63,600
254,9.6199,9.62,9.61,9.61,3100
359,9.6,9.61,9.6,9.61,1100
360,9.59,9.59,9.59,9.59,200
TIMEZONE_OFFSET=-240
a1520861400,9.5,9.5,9.5,9.5,100
47,9.58,9.58,9.58,9.58,2700
135,9.58,9.58,9.58,9.58,600
228,9.51,9.51,9.51,9.51,600
372,9.52,9.55,9.52,9.53,1900
388,9.53,9.53,9.53,9.53,100
a1520948280,9.5114,9.5114,9.5114,9.5114,175
4,9.5,9.51,9.5,9.51,400
24,9.5209,9.53,9.5009,9.52,1220
25,9.5289,9.5289,9.5289,9.5289,722
29,9.5001,9.51,9.5,9.51,5357
31,9.49,9.5,9.49,9.5,742
32,9.4801,9.4801,9.4801,9.4801,2258
57,9.4901,9.501,9.49,9.501,1300
100,9.49,9.49,9.48,9.485,4300
101,9.5,9.5,9.485,9.485,5000
102,9.5,9.5,9.5,9.5,1000
141,9.5,9.5,9.5,9.5,200
146,9.48,9.48,9.48,9.48,100
148,9.48,9.48,9.48,9.48,100
149,9.48,9.48,9.48,9.48,100
151,9.48,9.48,9.48,9.48,100
152,9.48,9.48,9.48,9.48,100
153,9.5007,9.51,9.5007,9.51,2500
154,9.48,9.48,9.48,9.48,100
155,9.48,9.48,9.48,9.48,100
156,9.48,9.48,9.48,9.48,100
158,9.48,9.48,9.48,9.48,100
159,9.48,9.48,9.48,9.48,100
161,9.48,9.48,9.48,9.48,100
162,9.48,9.48,9.48,9.48,100
164,9.48,9.48,9.48,9.48,100
165,9.48,9.48,9.48,9.48,100
167,9.48,9.48,9.48,9.48,100
168,9.48,9.48,9.48,9.48,100
170,9.48,9.48,9.48,9.48,100
171,9.48,9.48,9.48,9.48,100
173,9.48,9.48,9.48,9.48,100
174,9.48,9.48,9.48,9.48,100
176,9.48,9.48,9.48,9.48,100
177,9.48,9.48,9.48,9.48,100
179,9.5,9.5,9.48,9.48,600
180,9.48,9.48,9.48,9.48,100
182,9.48,9.48,9.48,9.48,100
183,9.48,9.48,9.48,9.48,100
185,9.48,9.48,9.48,9.48,100
187,9.48,9.48,9.48,9.48,100
188,9.48,9.48,9.48,9.48,100
190,9.48,9.48,9.48,9.48,100
192,9.48,9.48,9.48,9.48,100
193,9.48,9.48,9.48,9.48,100
195,9.48,9.48,9.48,9.48,100
196,9.48,9.48,9.48,9.48,100
198,9.48,9.48,9.48,9.48,100
200,9.48,9.48,9.48,9.48,100
201,9.48,9.48,9.48,9.48,100
203,9.47,9.47,9.47,9.47,100
205,9.47,9.47,9.47,9.47,100
207,9.47,9.47,9.47,9.47,100
208,9.47,9.47,9.47,9.47,100
210,9.47,9.47,9.47,9.47,100
212,9.47,9.47,9.47,9.47,100
213,9.47,9.47,9.47,9.47,100
215,9.47,9.47,9.47,9.47,100
217,9.48,9.48,9.48,9.48,100
219,9.47,9.47,9.47,9.47,100
220,9.47,9.47,9.47,9.47,100
222,9.47,9.47,9.47,9.47,100
224,9.47,9.47,9.47,9.47,100
226,9.47,9.47,9.47,9.47,100
227,9.47,9.47,9.47,9.47,100
229,9.47,9.47,9.47,9.47,100
231,9.47,9.47,9.47,9.47,100
233,9.47,9.47,9.47,9.47,100
234,9.47,9.47,9.47,9.47,100
236,9.47,9.47,9.47,9.47,100
