EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,17.67,17.67,17.54,17.54,1438
1,17.67,17.68,17.67,17.68,1708
2,17.7,17.7,17.6999,17.6999,300
8,17.68,17.68,17.6476,17.6476,800
10,17.73,17.73,17.71,17.71,200
13,17.705,17.705,17.7,17.7,300
14,17.705,17.705,17.6931,17.6931,800
17,17.74,17.74,17.67,17.67,2400
20,17.74,17.74,17.72,17.72,200
21,17.69,17.72,17.65,17.72,1200
22,17.62,17.62,17.61,17.61,400
24,17.6,17.6,17.53,17.53,200
25,17.57,17.6,17.57,17.6,300
30,17.54,17.54,17.54,17.54,100
31,17.59,17.59,17.59,17.59,100
32,17.55,17.55,17.55,17.55,300
35,17.55,17.56,17.5402,17.56,900
36,17.54,17.54,17.525,17.525,800
37,17.5,17.51,17.5,17.51,748
42,17.53,17.53,17.47,17.47,2000
43,17.52,17.52,17.52,17.52,600
44,17.49,17.49,17.49,17.49,300
45,17.53,17.53,17.49,17.49,800
48,17.6,17.6,17.54,17.5401,1200
49,17.56,17.5834,17.56,17.57,400
51,17.45,17.46,17.45,17.46,200
52,17.56,17.57,17.489,17.5,2700
53,17.65,17.65,17.5601,17.5601,900
54,17.6853,17.6853,17.6853,17.6853,700
55,17.71,17.73,17.71,17.73,300
57,17.77,17.77,17.77,17.77,100
58,17.77,17.77,17.77,17.77,200
59,17.71,17.75,17.71,17.75,500
61,17.69,17.69,17.69,17.69,200
63,17.675,17.675,17.675,17.675,100
64,17.64,17.66,17.64,17.66,500
67,17.8,17.8,17.62,17.63,3100
68,17.76,17.77,17.75,17.77,1400
76,17.69,17.7,17.69,17.7,400
78,17.68,17.68,17.68,17.68,171
79,17.66,17.68,17.66,17.66,400
80,17.66,17.68,17.66,17.68,300
82,17.73,17.73,17.66,17.68,2200
83,17.72,17.78,17.72,17.73,1980
84,17.75,17.76,17.745,17.76,1300
86,17.73,17.75,17.705,17.705,490
87,17.7565,17.7565,17.7565,17.7565,200
91,17.82,17.85,17.745,17.76,2300
97,17.825,17.83,17.8,17.8,700
98,17.88,17.88,17.84,17.84,310
99,17.93,17.93,17.9,17.9,500
100,17.91,17.91,17.89,17.89,300
104,17.91,17.91,17.91,17.91,100
106,17.87,17.9,17.87,17.9,796
107,17.88,17.88,17.86,17.87,1000
109,17.91,17.91,17.91,17.91,100
110,17.95,17.975,17.93,17.93,400
113,17.95,17.95,17.9497,17.9497,600
115,17.9,17.9,17.86,17.86,200
123,17.86,17.86,17.86,17.86,200
124,17.87,17.87,17.86,17.86,600
125,17.87,17.87,17.84,17.84,200
127,17.84,17.84,17.84,17.84,200
128,17.83,17.84,17.82,17.84,486
129,17.875,17.875,17.84,17.84,700
135,17.93,17.94,17.92,17.92,800
136,17.965,17.965,17.92,17.92,500
137,17.98,17.98,17.965,17.965,500
139,18.01,18.02,18,18,400
140,18.035,18.07,18.02,18.03,2000
142,18.05,18.05,18.0372,18.0372,600
145,18.015,18.03,18.015,18.03,513
148,17.9732,17.9732,17.9732,17.9732,500
149,18,18,17.97,17.9799,1650
152,17.965,17.9775,17.96,17.97,600
153,17.96,17.96,17.96,17.96,200
154,17.94,17.94,17.94,17.94,100
156,17.985,17.985,17.96,17.98,1617
162,17.99,17.99,17.975,17.98,822
170,17.955,17.97,17.95,17.97,680
174,17.94,17.94,17.94,17.94,300
175,17.91,17.91,17.91,17.91,100
177,17.895,17.895,17.895,17.895,100
178,17.905,17.91,17.905,17.91,500
182,17.86,17.91,17.86,17.91,800
183,17.84,17.84,17.79,17.8,400
184,17.81,17.81,17.81,17.81,300
185,17.815,17.815,17.81,17.81,300
186,17.86,17.86,17.815,17.815,1200
187,17.88,17.88,17.86,17.86,600
188,17.94,17.94,17.92,17.92,600
192,17.94,17.94,17.91,17.94,1100
195,17.95,17.95,17.95,17.95,100
201,17.94,17.94,17.94,17.94,200
203,17.95,17.95,17.94,17.94,300
207,17.97,17.98,17.95,17.95,1600
208,17.96,17.96,17.96,17.96,200
209,17.94,17.95,17.94,17.95,300
211,17.955,17.955,17.935,17.95,600
212,17.94,17.94,17.94,17.94,100
216,17.98,17.98,17.98,17.98,400
217,17.97,17.99,17.97,17.99,1058
219,17.96,17.96,17.96,17.96,200
220,17.96,17.96,17.96,17.96,100
221,17.97,17.97,17.95,17.95,400
222,18,18,18,18,100
227,18.01,18.01,17.99,17.99,400
228,18,18.01,17.99,18,1100
229,17.99,18.01,17.99,18.01,200
230,17.96,17.96,17.95,17.95,200
231,17.98,17.98,17.94,17.97,1250
232,17.96,17.99,17.96,17.99,200
234,17.96,17.96,17.96,17.96,100
238,17.9992,17.9992,17.955,17.955,1053
239,17.965,17.97,17.965,17.97,400
242,17.98,17.98,17.95,17.95,200
243,17.95,17.961,17.95,17.961,225
244,17.975,17.975,17.96,17.96,200
245,17.9852,17.9852,17.9852,17.9852,200
248,17.96,17.96,17.96,17.96,100
249,17.96,17.96,17.96,17.96,100
251,17.96,17.98,17.96,17.98,1300
253,17.9872,17.9872,17.9872,17.9872,200
255,17.945,17.95,17.945,17.95,700
256,17.92,17.92,17.92,17.92,100
257,17.89,17.91,17.89,17.91,300
259,17.9,17.9,17.9,17.9,200
260,17.87,17.87,17.87,17.87,100
262,17.89,17.8975,17.89,17.89,1300
263,17.94,17.94,17.9,17.9,1200
264,17.96,17.96,17.96,17.96,400
268,17.97,17.97,17.97,17.97,100
269,17.96,17.96,17.96,17.96,500
270,17.95,17.95,17.95,17.95,100
271,17.96,17.96,17.95,17.95,300
272,17.95,17.96,17.9198,17.96,1866
273,17.923,17.923,17.923,17.923,650
274,17.93,17.93,17.92,17.92,200
275,17.92,17.92,17.92,17.92,300
276,17.89,17.89,17.89,17.89,100
279,17.87,17.87,17.87,17.87,200
280,17.9,17.9,17.88,17.88,1625
282,17.91,17.91,17.91,17.91,400
284,17.875,17.875,17.875,17.875,100
287,17.91,17.91,17.88,17.89,1125
290,17.9,17.92,17.9,17.91,800
291,17.9182,17.9182,17.9182,17.9182,100
293,17.87,17.895,17.87,17.895,300
294,17.885,17.885,17.885,17.885,100
296,17.93,17.93,17.895,17.91,1400
297,17.91,17.91,17.91,17.91,100
298,17.95,17.95,17.95,17.95,200
299,17.93,17.93,17.93,17.93,100
300,17.975,17.975,17.945,17.95,1600
302,17.97,17.97,17.97,17.97,100
