EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,3.2,3.2,3.2,3.2,6233
4,3.205,3.21,3.205,3.205,1900
11,3.21,3.21,3.21,3.21,400
14,3.21,3.21,3.21,3.21,400
17,3.2,3.205,3.2,3.205,200
18,3.21,3.21,3.21,3.21,400
21,3.21,3.21,3.205,3.205,400
27,3.21,3.21,3.21,3.21,400
33,3.205,3.2052,3.205,3.2052,1540
34,3.205,3.205,3.2,3.2,4003
37,3.2,3.2,3.195,3.195,2500
40,3.2,3.2,3.2,3.2,100
41,3.2,3.2,3.2,3.2,100
42,3.2,3.2,3.2,3.2,100
43,3.198,3.2,3.198,3.2,800
48,3.2,3.2,3.2,3.2,2000
52,3.2,3.2,3.199,3.199,12800
53,3.1999,3.2,3.1999,3.2,6464
55,3.2,3.2,3.2,3.2,100
57,3.2,3.2,3.2,3.2,100
60,3.2,3.2,3.2,3.2,100
62,3.2,3.2,3.2,3.2,100
66,3.2,3.2,3.2,3.2,100
70,3.2,3.2,3.2,3.2,100
74,3.2,3.2,3.2,3.2,100
76,3.2,3.2,3.2,3.2,100
83,3.2,3.2,3.2,3.2,100
89,3.2,3.2,3.2,3.2,100
90,3.195,3.195,3.195,3.195,150
95,3.2,3.2,3.2,3.2,100
98,3.2,3.2,3.1979,3.1979,400
101,3.2,3.2,3.2,3.2,100
104,3.2,3.2,3.2,3.2,100
106,3.2,3.2,3.1941,3.1941,520
113,3.2,3.2,3.19,3.2,1091
120,3.2,3.2,3.2,3.2,100
125,3.2,3.2,3.2,3.2,100
129,3.2,3.2,3.2,3.2,100
132,3.2,3.2,3.2,3.2,100
135,3.195,3.2,3.1949,3.1949,1715
140,3.1964,3.2,3.1964,3.2,500
143,3.2,3.2,3.2,3.2,100
147,3.19,3.2,3.19,3.2,200
157,3.2,3.2,3.2,3.2,100
162,3.2,3.2,3.2,3.2,100
163,3.1901,3.1901,3.1901,3.1901,5680
165,3.19,3.19,3.19,3.19,5323
166,3.2,3.2,3.2,3.2,100
169,3.195,3.195,3.195,3.195,100
170,3.195,3.195,3.195,3.195,200
172,3.1986,3.2,3.1986,3.2,300
175,3.1999,3.2,3.195,3.195,1500
177,3.1973,3.2,3.1973,3.2,275
180,3.2,3.2,3.2,3.2,200
193,3.2,3.2,3.1999,3.2,5300
197,3.2,3.2,3.2,3.2,200
230,3.1962,3.1962,3.1962,3.1962,200
243,3.1927,3.1927,3.1927,3.1927,4672
257,3.21,3.21,3.19,3.2,14246
268,3.201,3.201,3.201,3.201,800
277,3.2035,3.2035,3.2035,3.2035,500
285,3.201,3.201,3.201,3.201,220
289,3.2,3.2,3.2,3.2,300
294,3.2035,3.2035,3.2035,3.2035,1417
299,3.2039,3.2039,3.2039,3.2039,500
300,3.2,3.2,3.2,3.2,100
361,3.21,3.21,3.21,3.21,100
362,3.21,3.21,3.21,3.21,100
363,3.21,3.21,3.21,3.21,100
364,3.21,3.21,3.21,3.21,100
365,3.21,3.21,3.21,3.21,100
366,3.21,3.21,3.21,3.21,100
367,3.21,3.21,3.21,3.21,100
369,3.21,3.21,3.21,3.21,100
370,3.21,3.21,3.21,3.21,100
371,3.21,3.21,3.21,3.21,100
372,3.21,3.21,3.21,3.21,100
373,3.205,3.21,3.205,3.21,200
374,3.21,3.21,3.21,3.21,100
375,3.21,3.21,3.21,3.21,100
376,3.21,3.21,3.21,3.21,200
377,3.21,3.21,3.21,3.21,200
378,3.21,3.21,3.21,3.21,350
379,3.21,3.21,3.21,3.21,200
380,3.21,3.21,3.21,3.21,200
381,3.205,3.21,3.205,3.21,300
382,3.21,3.21,3.21,3.21,200
383,3.21,3.21,3.21,3.21,200
384,3.21,3.21,3.21,3.21,200
385,3.21,3.21,3.21,3.21,100
386,3.21,3.21,3.21,3.21,200
387,3.21,3.21,3.21,3.21,200
388,3.21,3.21,3.21,3.21,200
389,3.21,3.21,3.205,3.21,400
390,3.2,3.21,3.2,3.21,2300
a1520346600,3.21,3.21,3.21,3.21,7034
4,3.2064,3.2064,3.2064,3.2064,1000
6,3.22,3.22,3.22,3.22,100
7,3.219,3.219,3.219,3.219,100
8,3.219,3.219,3.219,3.219,200
24,3.21,3.21,3.21,3.21,4500
28,3.209,3.209,3.209,3.209,100
29,3.21,3.21,3.21,3.21,100
31,3.209,3.209,3.209,3.209,200
35,3.21,3.21,3.209,3.209,400
39,3.205,3.2064,3.2,3.2064,15800
46,3.2047,3.2047,3.2047,3.2047,1083
49,3.21,3.21,3.209,3.209,500
55,3.21,3.21,3.209,3.209,500
57,3.209,3.209,3.209,3.209,100
59,3.209,3.209,3.209,3.209,100
62,3.21,3.21,3.209,3.209,200
63,3.2,3.205,3.19,3.2,17084
64,3.205,3.205,3.2,3.2,7300
66,3.2,3.205,3.2,3.2,13600
69,3.205,3.205,3.2,3.2,3372
77,3.21,3.21,3.209,3.209,300
84,3.21,3.21,3.209,3.209,300
86,3.209,3.209,3.209,3.209,123
98,3.21,3.21,3.21,3.21,100
100,3.19,3.205,3.19,3.205,10560
105,3.199,3.199,3.199,3.199,100
107,3.205,3.205,3.2,3.2,1100
112,3.21,3.21,3.21,3.21,200
118,3.209,3.21,3.209,3.21,300
125,3.21,3.21,3.209,3.209,300
132,3.209,3.21,3.209,3.21,300
139,3.209,3.21,3.209,3.21,300
141,3.205,3.205,3.205,3.205,100
143,3.205,3.205,3.205,3.205,100
146,3.205,3.205,3.205,3.205,100
147,3.205,3.205,3.205,3.205,100
149,3.205,3.205,3.205,3.205,300
154,3.2025,3.2025,3.2025,3.2025,333
156,3.2041,3.2041,3.2014,3.2014,6310
163,3.205,3.205,3.205,3.205,139
165,3.209,3.209,3.209,3.209,100
166,3.21,3.21,3.21,3.21,100
168,3.209,3.209,3.209,3.209,200
171,3.209,3.209,3.209,3.209,200
173,3.21,3.21,3.21,3.21,200
175,3.209,3.209,3.209,3.209,200
176,3.201,3.201,3.201,3.201,200
178,3.21,3.21,3.21,3.21,200
180,3.209,3.209,3.209,3.209,200
182,3.205,3.209,3.205,3.209,300
185,3.209,3.209,3.209,3.209,200
187,3.209,3.209,3.209,3.209,200
190,3.209,3.209,3.209,3.209,200
192,3.209,3.209,3.209,3.209,200
194,3.21,3.21,3.21,3.21,200
197,3.209,3.209,3.209,3.209,200
199,3.209,3.209,3.209,3.209,200
201,3.209,3.209,3.209,3.209,200
