EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,7.62,7.62,7.62,7.62,6578
4,7.64,7.64,7.625,7.625,2998
6,7.64,7.64,7.64,7.64,100
8,7.65,7.65,7.65,7.65,100
9,7.65,7.65,7.65,7.65,100
19,7.63,7.636,7.63,7.631,5800
21,7.6332,7.639,7.63,7.639,3900
33,7.6301,7.6301,7.6301,7.6301,201
39,7.64,7.64,7.6393,7.6393,1300
40,7.64,7.6491,7.64,7.64,3744
48,7.6331,7.6331,7.6331,7.6331,1000
68,7.635,7.64,7.635,7.64,200
70,7.635,7.64,7.63,7.63,4409
71,7.65,7.65,7.64,7.64,2100
72,7.65,7.65,7.65,7.65,2100
73,7.645,7.65,7.645,7.65,2540
74,7.66,7.66,7.64,7.64,1990
75,7.66,7.66,7.66,7.66,1700
141,7.65,7.65,7.65,7.65,145
157,7.65,7.6545,7.65,7.6545,3100
169,7.65,7.65,7.65,7.65,1080
180,7.6564,7.6564,7.6564,7.6564,100
209,7.6551,7.6551,7.6551,7.6551,400
223,7.66,7.66,7.655,7.655,1100
241,7.65,7.65,7.65,7.65,100
242,7.6501,7.6501,7.6501,7.6501,337
259,7.65,7.65,7.65,7.65,5100
266,7.65,7.65,7.6467,7.6467,2740
270,7.63,7.64,7.62,7.64,9173
274,7.6298,7.6298,7.6298,7.6298,1000
278,7.63,7.63,7.63,7.63,164
286,7.6298,7.6298,7.6298,7.6298,100
311,7.6345,7.6345,7.6345,7.6345,1000
313,7.63,7.63,7.63,7.63,100
314,7.64,7.64,7.635,7.635,1100
347,7.632,7.632,7.632,7.632,750
355,7.63,7.63,7.63,7.63,100
370,7.64,7.64,7.6212,7.63,5265
389,7.63,7.63,7.63,7.63,100
390,7.6201,7.6201,7.6201,7.6201,1220
a1520346600,7.62,7.62,7.62,7.62,5777
1,7.64,7.64,7.64,7.64,100
4,7.62,7.62,7.62,7.62,100
6,7.62,7.62,7.62,7.62,1900
7,7.62,7.62,7.62,7.62,400
8,7.62,7.63,7.62,7.63,300
11,7.63,7.63,7.62,7.62,443
13,7.62,7.62,7.62,7.62,500
15,7.62,7.62,7.62,7.62,100
18,7.62,7.62,7.62,7.62,100
19,7.62,7.62,7.62,7.62,900
20,7.62,7.62,7.62,7.62,100
21,7.62,7.62,7.62,7.62,200
23,7.62,7.62,7.62,7.62,100
25,7.62,7.62,7.62,7.62,100
28,7.62,7.62,7.62,7.62,200
30,7.62,7.62,7.62,7.62,100
32,7.625,7.6267,7.625,7.625,1100
33,7.62,7.62,7.62,7.62,100
34,7.63,7.63,7.6236,7.6236,3105
35,7.63,7.63,7.63,7.63,400
42,7.63,7.63,7.63,7.63,300
44,7.63,7.63,7.63,7.63,100
45,7.64,7.64,7.64,7.64,400
46,7.64,7.64,7.64,7.64,2060
49,7.64,7.64,7.64,7.64,100
52,7.64,7.64,7.64,7.64,100
55,7.64,7.64,7.64,7.64,100
57,7.64,7.64,7.64,7.64,100
60,7.64,7.64,7.64,7.64,100
63,7.64,7.6464,7.63,7.64,9500
65,7.65,7.65,7.64,7.6438,7059
69,7.64,7.64,7.64,7.64,100
72,7.66,7.68,7.66,7.66,16700
73,7.66,7.6642,7.66,7.6642,4600
82,7.67,7.67,7.67,7.67,800
88,7.66,7.66,7.66,7.66,100
90,7.6503,7.6503,7.6503,7.6503,1278
91,7.69,7.69,7.665,7.68,16410
92,7.661,7.661,7.661,7.661,2400
93,7.66,7.661,7.66,7.661,2500
94,7.65,7.66,7.65,7.66,600
96,7.65,7.66,7.65,7.66,600
98,7.6501,7.6501,7.6501,7.6501,178
99,7.65,7.65,7.65,7.65,100
101,7.65,7.65,7.65,7.65,100
104,7.65,7.65,7.65,7.65,100
107,7.65,7.65,7.65,7.65,100
110,7.65,7.65,7.65,7.65,100
112,7.65,7.65,7.65,7.65,100
113,7.6538,7.6538,7.6538,7.6538,1000
116,7.65,7.65,7.65,7.65,100
117,7.65,7.65,7.65,7.65,100
119,7.65,7.65,7.65,7.65,100
128,7.65,7.65,7.65,7.65,100
158,7.65,7.65,7.64,7.65,8100
189,7.658,7.658,7.65,7.65,7000
193,7.65,7.65,7.65,7.65,700
194,7.65,7.65,7.65,7.65,100
224,7.655,7.655,7.65,7.65,600
231,7.65,7.65,7.65,7.65,100
254,7.6501,7.6501,7.6501,7.6501,1600
262,7.6574,7.6574,7.6574,7.6574,2100
266,7.65,7.65,7.65,7.65,100
284,7.65,7.65,7.65,7.65,300
286,7.65,7.65,7.65,7.65,100
298,7.65,7.65,7.65,7.65,100
330,7.65,7.65,7.65,7.65,100
357,7.65,7.66,7.65,7.655,1594
361,7.65,7.65,7.65,7.65,2600
367,7.65,7.65,7.65,7.65,1500
368,7.65,7.65,7.65,7.65,100
369,7.65,7.65,7.65,7.65,1400
386,7.65,7.65,7.645,7.645,2500
389,7.645,7.65,7.645,7.65,676
a1520433000,7.61,7.61,7.61,7.61,15609
1,7.62,7.62,7.62,7.62,100
10,7.62,7.63,7.62,7.63,2200
11,7.61,7.62,7.6,7.62,8000
14,7.61,7.61,7.61,7.61,800
16,7.6199,7.62,7.6199,7.62,1150
19,7.625,7.625,7.625,7.625,2300
20,7.625,7.625,7.625,7.625,600
22,7.6284,7.6284,7.6284,7.6284,2000
30,7.625,7.625,7.625,7.625,445
39,7.63,7.63,7.63,7.63,100
44,7.63,7.63,7.63,7.63,885
46,7.63,7.63,7.63,7.63,2132
48,7.625,7.625,7.6231,7.6231,1278
49,7.63,7.63,7.63,7.63,100
57,7.63,7.63,7.63,7.63,800
67,7.63,7.63,7.63,7.63,900
71,7.62,7.625,7.62,7.625,200
77,7.63,7.63,7.63,7.63,500
86,7.63,7.63,7.6225,7.63,3463
87,7.63,7.63,7.63,7.63,200
109,7.64,7.64,7.64,7.64,700
119,7.64,7.64,7.64,7.64,600
129,7.64,7.64,7.64,7.64,400
139,7.64,7.64,7.64,7.64,200
153,7.64,7.64,7.64,7.64,200
156,7.64,7.64,7.635,7.635,1554
187,7.64,7.64,7.64,7.64,300
213,7.647,7.647,7.647,7.647,175
236,7.64,7.64,7.64,7.64,200
248,7.6401,7.6401,7.64,7.64,2946
273,7.65,7.65,7.641,7.641,3100
277,7.645,7.645,7.645,7.645,100
289,7.6475,7.65,7.645,7.645,1300
338,7.641,7.641,7.641,7.641,333
