EXCHANGE%3DLON
MARKET_OPEN_MINUTE=480
MARKET_CLOSE_MINUTE=990
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=0
a1520236860,820.13,820.13,819,819.5,485
4,820.25,820.25,820.25,820.25,76
12,818.35,818.35,818.35,818.35,450
14,817.5,817.5,815.5,815.5,190
15,813,813,812.5,813,403
17,812.5,814.5,812.5,814,714
18,811.5,814,811.5,812.5,478
19,811.5,814,811.5,814,1013
20,811.68,811.68,811.68,811.68,370
27,814.5,815,814.5,815,114
28,816,816,816,816,134
30,814,814.775,814,814.775,1187
31,814.5,814.5,813.5,814,587
32,813.5,815,813.5,813.5,1215
33,813.5,813.5,813.5,813.5,289
34,812.5,812.5,812.5,812.5,637
35,810.5,811,810.5,811,200
42,812.85,812.85,812.85,812.85,1223
43,810,810,810,810,67
45,808,808,808,808,27
46,808.5,810.5,808.5,810.5,475
49,808,808,808,808,294
50,809,809.5,808,808,2326
53,808.5,808.5,808.5,808.5,315
55,807.65,807.65,807.65,807.65,250
64,806.5,806.5,806.5,806.5,110
65,807,808.5,806.5,806.5,2124
66,806.5,806.5,806.5,806.5,205
81,808.5,808.5,808.5,808.5,169
85,809,809,809,809,202
86,808,809.4,807.5,809.4,1817
87,808,808,808,808,40
88,808,808,808,808,190
89,808,808,808,808,39
90,820,820,820,820,3620
92,808,808,808,808,70
94,808.5,808.5,807.5,807.5,1679
95,808,808,808,808,80
96,808,808,808,808,230
97,808.4,808.4,808,808,464
98,809.5,809.5,809,809,408
100,812,812,812,812,100
102,813,813,812,812,211
103,813.38,813.38,813.38,813.38,1000
108,814.5,814.5,813.5,813.5,368
110,813.5,814.5,813.5,814.5,206
111,805.5,813,802,812.5,10796
112,807,807,807,807,100
116,807.5,807.5,805.5,805.5,1271
118,805.5,805.5,805.5,805.5,160
123,804.5,804.5,804.5,804.5,200
124,806.5,806.5,804.5,804.5,481
126,804.5,804.5,804.5,804.5,160
127,810.5,810.5,807.5,807.5,677
128,810,812,808.5,812,1071
129,808.5,808.5,808.5,808.5,100
131,810,810,810,810,175
140,807.5,807.5,807.5,807.5,58
144,808,808,808,808,438
145,811.5,811.5,810.5,810.5,266
150,810.5,810.5,810,810,200
153,807.5,807.5,807.5,807.5,130
157,808,808,806.5,806.5,398
160,808,809,808,809,684
163,805,805.5,805,805.5,550
164,804.5,804.5,804.5,804.5,1006
165,806.5,806.5,806.5,806.5,264
168,810.3737,810.3737,805.399,805.399,2610
169,814.7143,814.7143,814.7143,814.7143,364
172,818,818,818,818,49
173,805.5,805.5,804.5,805,871
180,804.5,804.5,804.5,804.5,380
184,802.5,804.4,802.5,804.4,160
187,805,805,804,804,986
191,805.5,806,805.5,805.5,490
199,804.55,806,804.55,805.5,1016
200,805,805,804,804.5,951
201,805.5,805.5,805.5,805.5,1000
204,804,804,804,804,230
207,804.5,804.5,804.5,804.5,220
213,804,804.5,803,804.5,669
215,803.5,803.5,801.5,802.5,578
218,805.5,805.5,804.5,804.5,1433
221,806,806,806,806,600
223,806.5,806.5,806.5,806.5,261
232,806,806,805.5,805.5,779
234,804.5,804.5,804.5,804.5,322
235,804.5,804.5,804.5,804.5,446
236,805,805,804.5,804.5,509
238,805,805,805,805,35
239,804.5,804.5,804.5,804.5,31
242,803,803,803,803,440
245,803,804,803,804,982
246,802,802,802,802,100
248,801.25,802,801.25,802,132
250,800.5,800.9495,800,800.5,648
251,801.4242,801.4242,801.4242,801.4242,186
253,801.4,801.4,801.4,801.4,1240
254,800.08,800.08,800.08,800.08,243
256,801,801.5,801,801.5,2621
