EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,14.18,14.18,14.18,14.18,1422
2,14.27,14.27,14.26,14.26,1000
7,14.27,14.27,14.27,14.27,800
14,14.35,14.35,14.3301,14.3301,2850
19,14.34,14.37,14.34,14.37,1156
21,14.35,14.35,14.35,14.35,700
25,14.35,14.35,14.35,14.35,100
27,14.39,14.39,14.39,14.39,100
28,14.39,14.39,14.39,14.39,1500
29,14.42,14.42,14.4,14.4,2600
30,14.4,14.4,14.4,14.4,500
37,14.4,14.4,14.4,14.4,200
42,14.41,14.41,14.41,14.41,200
45,14.42,14.42,14.42,14.42,600
48,14.42,14.42,14.42,14.42,200
52,14.44,14.44,14.44,14.44,100
53,14.44,14.44,14.44,14.44,100
54,14.44,14.44,14.44,14.44,1300
65,14.44,14.44,14.44,14.44,200
72,14.44,14.44,14.44,14.44,100
74,14.45,14.45,14.45,14.45,200
75,14.46,14.46,14.45,14.45,200
76,14.46,14.46,14.46,14.46,100
77,14.45,14.45,14.45,14.45,1600
78,14.4226,14.44,14.4226,14.44,2400
79,14.42,14.42,14.42,14.42,800
83,14.41,14.41,14.41,14.41,500
90,14.41,14.41,14.41,14.41,200
96,14.41,14.41,14.41,14.41,200
103,14.41,14.41,14.41,14.41,200
104,14.4202,14.4202,14.4202,14.4202,550
113,14.43,14.43,14.43,14.43,5140
114,14.4642,14.4642,14.46,14.46,1022
117,14.45,14.47,14.45,14.47,2995
119,14.42,14.45,14.42,14.45,1900
130,14.44,14.44,14.44,14.44,800
138,14.45,14.45,14.44,14.44,1000
139,14.46,14.46,14.46,14.46,800
141,14.46,14.46,14.46,14.46,490
155,14.48,14.48,14.48,14.48,100
159,14.4766,14.4766,14.47,14.47,500
168,14.47,14.47,14.47,14.47,200
172,14.47,14.47,14.47,14.47,800
177,14.46,14.47,14.46,14.47,600
184,14.45,14.4576,14.45,14.4576,1500
186,14.45,14.45,14.45,14.45,200
192,14.47,14.47,14.47,14.47,100
197,14.45,14.45,14.45,14.45,100
205,14.46,14.46,14.46,14.46,200
207,14.46,14.46,14.46,14.46,100
212,14.47,14.47,14.47,14.47,100
215,14.47,14.47,14.47,14.47,100
223,14.48,14.48,14.48,14.48,1035
229,14.48,14.48,14.48,14.48,100
230,14.4813,14.4813,14.4813,14.4813,3000
233,14.49,14.49,14.49,14.49,100
242,14.48,14.48,14.48,14.48,1993
253,14.48,14.48,14.48,14.48,100
254,14.46,14.46,14.46,14.46,400
255,14.45,14.46,14.45,14.46,300
261,14.42,14.42,14.42,14.42,200
263,14.42,14.42,14.42,14.42,100
272,14.43,14.43,14.42,14.42,622
283,14.43,14.43,14.43,14.43,100
284,14.4188,14.43,14.4188,14.43,1100
286,14.43,14.43,14.4293,14.4299,500
289,14.43,14.43,14.43,14.43,100
291,14.43,14.43,14.43,14.43,576
296,14.41,14.41,14.41,14.41,100
301,14.42,14.42,14.42,14.42,200
302,14.42,14.42,14.42,14.42,100
308,14.45,14.45,14.45,14.45,100
312,14.43,14.43,14.43,14.43,200
320,14.45,14.45,14.43,14.43,1200
324,14.47,14.47,14.46,14.46,400
340,14.5,14.5,14.5,14.5,100
347,14.48,14.48,14.48,14.48,200
348,14.4764,14.4832,14.47,14.48,1500
352,14.48,14.48,14.48,14.48,200
353,14.48,14.48,14.48,14.48,200
355,14.49,14.49,14.485,14.485,600
370,14.48,14.48,14.48,14.48,100
374,14.48,14.49,14.48,14.48,500
375,14.48,14.48,14.48,14.48,100
376,14.48,14.48,14.48,14.48,300
377,14.48,14.48,14.48,14.48,200
378,14.48,14.48,14.48,14.48,338
379,14.48,14.48,14.48,14.48,200
380,14.48,14.48,14.48,14.48,989
381,14.44,14.48,14.44,14.48,500
382,14.44,14.44,14.43,14.43,500
383,14.43,14.44,14.43,14.44,381
384,14.43,14.43,14.42,14.43,600
385,14.425,14.425,14.425,14.425,200
389,14.42,14.43,14.42,14.43,1600
390,14.43,14.43,14.42,14.43,1300
a1520346600,14.35,14.37,14.35,14.37,3866
3,14.392,14.392,14.35,14.35,1200
11,14.43,14.43,14.43,14.43,200
16,14.42,14.42,14.42,14.42,600
18,14.37,14.41,14.37,14.41,5800
20,14.3701,14.3701,14.37,14.37,928
22,14.36,14.36,14.36,14.36,400
25,14.3689,14.37,14.3686,14.369,1800
26,14.37,14.37,14.3699,14.3699,1100
41,14.4066,14.4066,14.4066,14.4066,700
43,14.38,14.38,14.38,14.38,400
44,14.38,14.3931,14.38,14.38,2000
69,14.41,14.41,14.4,14.4,1000
71,14.41,14.41,14.41,14.41,500
80,14.41,14.41,14.41,14.41,408
82,14.43,14.43,14.37,14.37,1242
83,14.3994,14.3994,14.3994,14.3994,524
91,14.43,14.43,14.43,14.43,100
92,14.4223,14.4223,14.4,14.4,1785
99,14.42,14.42,14.42,14.42,200
100,14.42,14.42,14.42,14.42,100
101,14.43,14.43,14.43,14.43,700
104,14.44,14.44,14.44,14.44,129
105,14.46,14.46,14.46,14.46,190
111,14.46,14.46,14.46,14.46,100
114,14.44,14.45,14.44,14.45,1200
133,14.44,14.44,14.44,14.44,100
137,14.44,14.44,14.423,14.423,2100
138,14.411,14.411,14.411,14.411,573
144,14.43,14.43,14.43,14.43,300
147,14.44,14.44,14.44,14.44,100
152,14.44,14.44,14.43,14.44,900
156,14.46,14.46,14.45,14.45,473
174,14.48,14.48,14.48,14.48,1300
178,14.49,14.49,14.49,14.49,930
186,14.5,14.5,14.5,14.5,100
196,14.49,14.49,14.49,14.49,1200
198,14.5073,14.5073,14.5,14.5,2000
205,14.5001,14.5001,14.5,14.5,2500
207,14.51,14.51,14.51,14.51,300
217,14.525,14.525,14.525,14.525,100
226,14.52,14.5292,14.52,14.52,700
239,14.53,14.53,14.523,14.523,2136
248,14.53,14.53,14.53,14.53,1000
250,14.53,14.53,14.53,14.53,100
251,14.53,14.53,14.53,14.53,200
258,14.53,14.53,14.53,14.53,400
262,14.51,14.53,14.51,14.53,800
281,14.5,14.5,14.5,14.5,100
291,14.48,14.48,14.4772,14.48,2600
292,14.49,14.49,14.4772,14.4772,3098
293,14.515,14.515,14.515,14.515,840
297,14.51,14.51,14.51,14.51,200
298,14.51,14.5139,14.51,14.5139,1400
301,14.52,14.52,14.52,14.52,100
309,14.59,14.59,14.53,14.53,2700
314,14.6,14.6,14.5886,14.59,3600
