EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,68.86,68.86,68.86,68.86,817
2,68.97,68.97,68.86,68.86,300
4,68.57,68.97,68.57,68.97,200
7,68.95,68.95,68.95,68.95,100
9,68.99,68.99,68.99,68.99,100
10,69.26,69.3,69.21,69.21,557
12,69.33,69.33,69.33,69.33,100
13,69.375,69.38,69.375,69.38,200
16,69.24,69.41,69.24,69.41,700
19,69.05,69.21,69.05,69.21,500
21,68.56,69.16,68.56,68.92,1900
23,68.58,68.6,68.58,68.6,200
25,68.69,68.79,68.69,68.79,200
27,68.6901,68.73,68.6901,68.73,304
28,68.9,68.9,68.9,68.9,100
29,68.83,68.83,68.83,68.83,100
31,68.67,68.82,68.67,68.82,700
34,68.4,68.4,68.4,68.4,100
36,68.41,68.41,68.41,68.41,100
39,68.43,68.43,68.42,68.42,200
41,68.33,68.425,68.33,68.425,900
42,68.16,68.32,68.16,68.32,600
43,68.31,68.31,68.13,68.14,1400
44,68.22,68.22,68.22,68.22,200
45,68.22,68.22,68.22,68.22,385
47,68.36,68.36,68.27,68.31,500
49,68.36,68.38,68.36,68.38,200
53,68.46,68.5,68.46,68.49,400
54,68.57,68.57,68.57,68.57,100
56,68.57,68.57,68.57,68.57,100
57,68.55,68.72,68.55,68.67,900
58,68.73,68.73,68.6,68.6,200
60,68.81,68.81,68.81,68.81,100
61,68.74,68.765,68.74,68.765,300
62,68.625,68.74,68.625,68.735,1300
63,68.67,68.67,68.66,68.66,300
64,68.59,68.66,68.59,68.66,300
65,68.54,68.54,68.54,68.54,216
67,68.67,68.67,68.67,68.67,100
69,68.61,68.61,68.61,68.61,100
70,68.84,68.84,68.74,68.8,400
72,68.86,68.91,68.86,68.91,400
73,68.85,68.85,68.85,68.85,100
77,68.72,68.72,68.72,68.72,287
80,68.5,68.575,68.5,68.575,200
81,68.54,68.54,68.52,68.52,300
87,68.58,68.58,68.58,68.58,100
89,68.81,68.81,68.81,68.81,100
90,68.721,68.721,68.721,68.721,133
91,68.83,68.83,68.82,68.83,302
96,69.02,69.02,69.02,69.02,100
97,69.05,69.05,69.05,69.05,100
98,69.1577,69.1577,69.06,69.09,900
101,69.07,69.07,69.07,69.07,200
103,69.14,69.17,69.14,69.14,400
114,69.27,69.27,69.26,69.26,300
116,69.3605,69.3909,69.33,69.34,1161
118,69.27,69.27,69.27,69.27,100
125,69.27,69.27,69.27,69.27,100
130,69.3,69.34,69.3,69.34,200
132,69.36,69.36,69.36,69.36,100
133,69.2801,69.2801,69.2801,69.2801,184
135,69.28,69.28,69.28,69.28,156
136,69.41,69.41,69.41,69.41,300
141,69.45,69.45,69.45,69.45,100
146,69.29,69.36,69.29,69.34,928
150,69.37,69.37,69.35,69.35,300
153,69.43,69.43,69.38,69.39,300
158,69.355,69.4,69.355,69.4,682
165,69.32,69.32,69.32,69.32,248
170,69.29,69.29,69.29,69.29,100
171,69.28,69.28,69.28,69.28,326
172,69.24,69.24,69.24,69.24,100
174,69.24,69.25,69.24,69.25,200
177,69.24,69.24,69.2,69.2,200
178,69.2,69.2,69.2,69.2,100
179,69.24,69.24,69.24,69.24,400
181,69.31,69.31,69.26,69.26,1285
197,69.39,69.4,69.36,69.36,300
199,69.33,69.33,69.33,69.33,100
204,69.41,69.41,69.41,69.41,200
205,69.35,69.35,69.35,69.35,100
207,69.38,69.43,69.38,69.43,400
214,69.47,69.47,69.47,69.47,277
215,69.53,69.53,69.53,69.53,100
217,69.5,69.5,69.5,69.5,300
223,69.54,69.54,69.54,69.54,200
231,69.505,69.505,69.505,69.505,100
233,69.6,69.6,69.54,69.55,500
234,69.61,69.61,69.61,69.61,100
237,69.62,69.62,69.62,69.62,100
242,69.48,69.54,69.48,69.54,800
243,69.54,69.54,69.54,69.54,100
244,69.57,69.57,69.55,69.55,200
245,69.44,69.48,69.44,69.48,400
251,69.47,69.47,69.47,69.47,300
258,69.3,69.47,69.3,69.42,1535
261,69.27,69.27,69.27,69.27,100
262,69.29,69.29,69.29,69.29,501
263,69.34,69.34,69.34,69.34,200
266,69.36,69.36,69.36,69.36,200
267,69.38,69.38,69.38,69.38,300
273,69.39,69.39,69.39,69.39,200
275,69.35,69.35,69.35,69.35,500
276,69.19,69.3,69.18,69.3,400
277,69.21,69.21,69.2,69.21,500
280,69.3,69.3,69.3,69.3,100
283,69.2,69.2,69.2,69.2,100
284,69.14,69.14,69.14,69.14,100
287,69.13,69.15,69.13,69.15,200
290,69.08,69.13,69.08,69.13,400
291,69.12,69.12,69.12,69.12,100
292,69.16,69.16,69.16,69.16,100
294,69.12,69.12,69.12,69.12,100
296,69.28,69.28,69.225,69.225,500
298,69.31,69.31,69.31,69.31,400
304,69.285,69.285,69.285,69.285,100
307,69.19,69.24,69.19,69.24,500
308,69.11,69.11,69.11,69.11,100
309,69.25,69.27,69.22,69.22,800
312,69.27,69.29,69.27,69.28,600
314,69.3,69.3,69.28,69.28,300
318,69.29,69.3,69.29,69.29,300
321,69.32,69.32,69.32,69.32,100
327,69.36,69.36,69.36,69.36,100
328,69.46,69.48,69.46,69.47,700
329,69.42,69.44,69.42,69.44,300
330,69.35,69.36,69.35,69.36,200
332,69.46,69.48,69.46,69.46,500
333,69.4825,69.4825,69.46,69.46,300
334,69.51,69.51,69.51,69.51,100
335,69.54,69.54,69.51,69.51,200
337,69.55,69.59,69.55,69.55,1800
340,69.51,69.51,69.51,69.51,400
345,69.46,69.46,69.46,69.46,100
346,69.43,69.45,69.43,69.45,600
348,69.4,69.4,69.4,69.4,100
349,69.46,69.46,69.46,69.46,400
350,69.5,69.5,69.5,69.5,100
351,69.5,69.5,69.5,69.5,100
352,69.55,69.55,69.55,69.55,300
353,69.52,69.53,69.52,69.53,700
354,69.52,69.55,69.52,69.55,300
356,69.52,69.52,69.52,69.52,200
358,69.51,69.51,69.45,69.49,300
360,69.4,69.45,69.4,69.45,300
361,69.43,69.43,69.43,69.43,100
362,69.52,69.52,69.43,69.43,200
364,69.56,69.56,69.56,69.56,100
365,69.5,69.54,69.5,69.54,600
367,69.58,69.58,69.52,69.53,500
369,69.65,69.65,69.65,69.65,100
370,69.62,69.62,69.62,69.62,624
371,69.68,69.69,69.63,69.63,1300
373,69.79,69.79,69.71,69.71,1305
375,69.88,69.89,69.83,69.83,1900
376,69.88,69.91,69.88,69.9,600
