EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,9.58,9.58,9.58,9.58,282
6,9.73,9.73,9.73,9.73,200
9,9.75,9.8,9.75,9.76,900
16,9.775,9.775,9.775,9.775,100
19,9.77,9.77,9.77,9.77,200
20,9.66,9.76,9.66,9.76,300
23,9.63,9.63,9.63,9.63,150
37,9.43,9.43,9.43,9.43,180
68,9.57,9.57,9.57,9.57,670
69,9.66,9.66,9.66,9.66,100
84,9.71,9.72,9.71,9.72,200
85,9.86,9.86,9.86,9.86,200
86,9.8,9.8,9.79,9.8,587
87,9.9,9.9,9.9,9.9,200
88,9.79,9.79,9.79,9.79,200
103,9.7824,9.7824,9.7824,9.7824,102
130,9.72,9.72,9.72,9.72,100
135,9.75,9.75,9.75,9.75,100
136,9.75,9.75,9.75,9.75,100
137,9.87,9.87,9.74,9.76,400
138,9.73,9.73,9.73,9.73,100
139,9.69,9.69,9.69,9.69,100
140,9.66,9.69,9.66,9.69,200
141,9.66,9.66,9.66,9.66,100
142,9.62,9.65,9.62,9.65,200
144,9.58,9.59,9.58,9.59,200
145,9.58,9.58,9.58,9.58,200
146,9.58,9.58,9.58,9.58,100
159,9.57,9.59,9.57,9.59,600
175,9.54,9.54,9.54,9.54,100
176,9.52,9.54,9.52,9.54,200
177,9.52,9.52,9.52,9.52,100
180,9.51,9.51,9.51,9.51,100
185,9.5,9.5,9.5,9.5,100
186,9.54,9.54,9.54,9.54,100
190,9.54,9.54,9.54,9.54,1540
191,9.645,9.645,9.54,9.54,500
195,9.6,9.61,9.6,9.6,900
196,9.63,9.63,9.61,9.61,600
197,9.69,9.69,9.69,9.69,100
206,9.7,9.7,9.64,9.65,700
207,9.66,9.66,9.66,9.66,100
209,9.63,9.63,9.62,9.63,300
210,9.56,9.56,9.56,9.56,100
213,9.53,9.53,9.53,9.53,100
215,9.52,9.52,9.52,9.52,200
229,9.52,9.59,9.52,9.59,300
230,9.58,9.58,9.58,9.58,100
231,9.58,9.58,9.58,9.58,100
232,9.59,9.6,9.51,9.51,1663
233,9.62,9.62,9.6,9.6,200
236,9.6081,9.6081,9.6081,9.6081,2100
237,9.67,9.67,9.63,9.63,800
239,9.69,9.69,9.68,9.68,700
240,9.71,9.71,9.71,9.71,100
241,9.76,9.76,9.76,9.76,100
250,9.7,9.71,9.7,9.71,200
251,9.7,9.7,9.7,9.7,100
252,9.73,9.73,9.69,9.69,400
253,9.71,9.71,9.71,9.71,100
254,9.665,9.665,9.61,9.62,300
255,9.61,9.61,9.61,9.61,100
256,9.62,9.62,9.61,9.61,200
257,9.61,9.61,9.61,9.61,100
258,9.61,9.61,9.61,9.61,200
259,9.54,9.54,9.54,9.54,100
262,9.5364,9.5364,9.5364,9.5364,154
263,9.605,9.605,9.495,9.495,400
264,9.56,9.56,9.56,9.56,100
265,9.56,9.56,9.56,9.56,100
266,9.53,9.53,9.53,9.53,100
267,9.53,9.53,9.53,9.53,100
277,9.5,9.6,9.49,9.6,300
278,9.5,9.5,9.5,9.5,100
279,9.5,9.5,9.5,9.5,200
280,9.5,9.5,9.5,9.5,100
281,9.51,9.51,9.5,9.5,200
287,9.5,9.5,9.5,9.5,200
288,9.45,9.5,9.45,9.5,300
289,9.45,9.45,9.45,9.45,200
290,9.45,9.45,9.45,9.45,100
291,9.45,9.45,9.45,9.45,100
292,9.46,9.46,9.45,9.45,200
293,9.46,9.46,9.46,9.46,200
294,9.48,9.48,9.47,9.47,300
295,9.45,9.48,9.45,9.48,700
296,9.46,9.46,9.46,9.46,100
297,9.45,9.45,9.45,9.45,100
298,9.48,9.48,9.45,9.45,200
299,9.45,9.45,9.45,9.45,200
300,9.45,9.45,9.45,9.45,200
301,9.5,9.5,9.5,9.5,100
302,9.46,9.5,9.46,9.5,2000
303,9.55,9.55,9.51,9.51,600
304,9.575,9.575,9.575,9.575,100
308,9.57,9.57,9.57,9.57,100
309,9.57,9.57,9.57,9.57,200
310,9.58,9.58,9.57,9.57,1450
311,9.58,9.58,9.58,9.58,100
312,9.61,9.61,9.6,9.6,900
313,9.61,9.61,9.61,9.61,300
314,9.62,9.62,9.62,9.62,500
315,9.64,9.64,9.64,9.64,100
316,9.65,9.65,9.65,9.65,760
318,9.68,9.68,9.68,9.68,400
320,9.71,9.71,9.71,9.71,100
325,9.71,9.71,9.69,9.69,200
329,9.68,9.68,9.68,9.68,300
330,9.62,9.62,9.62,9.62,100
331,9.6,9.61,9.6,9.6,300
332,9.6,9.6,9.6,9.6,200
333,9.61,9.61,9.61,9.61,100
334,9.55,9.55,9.54,9.54,200
335,9.55,9.55,9.55,9.55,200
336,9.55,9.55,9.55,9.55,300
337,9.55,9.55,9.55,9.55,200
338,9.55,9.55,9.55,9.55,200
339,9.57,9.65,9.57,9.64,400
340,9.57,9.57,9.57,9.57,200
341,9.52,9.52,9.52,9.52,300
342,9.53,9.54,9.53,9.54,200
343,9.52,9.53,9.52,9.53,300
344,9.52,9.52,9.52,9.52,200
345,9.5,9.5,9.5,9.5,100
346,9.45,9.45,9.45,9.45,100
347,9.45,9.45,9.45,9.45,200
348,9.45,9.45,9.45,9.45,200
349,9.45,9.45,9.45,9.45,200
350,9.46,9.46,9.45,9.45,300
351,9.48,9.48,9.47,9.47,200
352,9.49,9.58,9.48,9.48,900
353,9.49,9.49,9.48,9.48,200
354,9.54,9.54,9.49,9.49,200
355,9.5,9.56,9.5,9.56,200
356,9.48,9.56,9.47,9.55,600
357,9.66,9.66,9.48,9.55,5200
361,9.58,9.58,9.58,9.58,100
364,9.62,9.62,9.62,9.62,100
365,9.62,9.62,9.62,9.62,100
366,9.62,9.62,9.62,9.62,100
367,9.58,9.62,9.55,9.55,500
368,9.595,9.61,9.595,9.595,400
369,9.57,9.6,9.57,9.6,200
370,9.59,9.59,9.58,9.58,1030
371,9.58,9.59,9.58,9.59,400
372,9.57,9.57,9.57,9.57,1000
373,9.57,9.57,9.57,9.57,100
374,9.57,9.57,9.57,9.57,400
375,9.58,9.58,9.58,9.58,100
376,9.58,9.58,9.58,9.58,200
377,9.57,9.58,9.57,9.57,700
378,9.52,9.58,9.52,9.54,600
379,9.5,9.54,9.5,9.53,500
380,9.47,9.47,9.47,9.47,100
381,9.495,9.52,9.46,9.46,700
382,9.49,9.49,9.49,9.49,300
383,9.46,9.49,9.46,9.46,600
