EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,15.95,15.95,15.95,15.95,5440
21,15.95,15.95,15.95,15.95,100
22,15.95,15.95,15.95,15.95,100
23,15.95,15.95,15.95,15.95,100
25,15.9872,16.01,15.98,15.98,600
26,15.9819,15.9819,15.9819,15.9819,497
32,15.95,15.95,15.95,15.95,100
33,15.95,15.95,15.95,15.95,100
35,15.95,15.95,15.95,15.95,100
37,15.95,15.95,15.95,15.95,100
39,15.95,15.95,15.95,15.95,100
41,15.95,15.95,15.95,15.95,200
43,15.95,15.95,15.95,15.95,100
45,15.95,15.95,15.95,15.95,100
47,15.93,15.95,15.93,15.95,1100
51,15.9426,15.9426,15.93,15.93,700
59,15.93,15.93,15.93,15.93,150
63,15.93,15.93,15.93,15.93,100
65,15.93,15.93,15.93,15.93,100
76,15.94,15.94,15.94,15.94,400
78,15.95,15.95,15.95,15.95,400
79,15.95,15.95,15.95,15.95,100
90,15.97,15.97,15.9699,15.97,400
91,15.97,15.97,15.97,15.97,500
92,15.9959,15.9959,15.9959,15.9959,127
97,15.96,15.96,15.96,15.96,100
100,15.97,15.97,15.97,15.97,100
103,15.97,15.97,15.97,15.97,100
105,15.97,15.97,15.97,15.97,100
107,15.98,15.98,15.97,15.98,1290
108,15.97,15.97,15.97,15.97,100
112,15.98,15.98,15.98,15.98,300
116,16.01,16.01,16,16,500
117,16.02,16.02,16.02,16.02,300
118,16,16,16,16,100
122,15.9915,15.9915,15.99,15.99,450
133,16.011,16.011,15.984,15.984,515
134,16,16,16,16,400
135,16,16,16,16,300
136,15.991,16.02,15.991,16.0004,1823
140,15.9911,16,15.9911,16,1259
150,16.01,16.01,16.01,16.01,500
155,16.0199,16.0199,16.0199,16.0199,616
158,16.01,16.01,16.01,16.01,400
164,16.0055,16.01,16.001,16.01,1811
179,16.0102,16.0102,16.0102,16.0102,500
180,15.99,15.99,15.99,15.99,100
184,15.99,15.99,15.99,15.99,100
188,15.99,15.99,15.99,15.99,100
192,15.99,15.99,15.99,15.99,100
200,16.014,16.014,16.014,16.014,2800
202,15.99,15.99,15.99,15.99,200
207,15.99,15.99,15.99,15.99,100
209,16.05,16.05,16.0024,16.005,4420
222,16.02,16.02,16.02,16.02,100
226,16.06,16.06,16.03,16.03,200
229,16.04,16.04,16.04,16.04,100
231,16.04,16.04,16.04,16.04,100
232,16.04,16.04,16.04,16.04,100
239,16.04,16.04,16.04,16.04,400
243,16.05,16.05,16.04,16.04,300
248,16.05,16.05,16.05,16.05,100
254,16.042,16.042,16.042,16.042,200
258,16.04,16.04,16.04,16.04,100
259,16.04,16.04,16.04,16.04,700
274,16.04,16.04,16.04,16.04,100
275,16.04,16.04,16.04,16.04,100
276,16.04,16.04,16.04,16.04,300
281,16.04,16.04,16.04,16.04,100
283,16.04,16.04,16.04,16.04,100
288,16.04,16.04,16.04,16.04,100
290,16.03,16.03,16.03,16.03,200
299,16.0437,16.05,16.0373,16.04,1600
313,16.06,16.06,16.06,16.06,200
323,16.07,16.07,16.055,16.07,300
327,16.0598,16.0598,16.0598,16.0598,1267
340,16.04,16.04,16.04,16.04,1200
341,16.05,16.05,16.05,16.05,300
358,16.05,16.05,16.05,16.05,100
360,16.0698,16.0698,16.0698,16.0698,200
365,16.0563,16.0563,16.05,16.05,241
367,16.05,16.05,16.05,16.05,100
368,16.05,16.05,16.05,16.05,100
369,16.06,16.06,16.06,16.06,158
370,16.05,16.05,16.05,16.05,100
371,16.05,16.05,16.05,16.05,100
372,16.05,16.05,16.05,16.05,100
374,16.05,16.05,16.05,16.05,200
376,16.05,16.0628,16.05,16.0628,225
377,16.05,16.05,16.05,16.05,185
379,16.05,16.05,16.05,16.05,175
382,16.05,16.05,16.05,16.05,215
383,16.05,16.05,16.05,16.05,200
384,16.05,16.05,16.05,16.05,200
386,16.05,16.05,16.05,16.05,300
387,16.05,16.059,16.05,16.05,1600
389,16.05,16.05,16.05,16.05,200
390,16.05,16.05,16.05,16.05,600
a1520346600,16.12,16.12,16.12,16.12,1975
35,16.09,16.09,16.09,16.09,100
47,16.09,16.09,16.09,16.09,100
51,16.1078,16.1078,16.0801,16.081,3750
52,16.13,16.13,16.13,16.13,100
63,16.14,16.14,16.14,16.14,200
85,16.13,16.13,16.13,16.13,300
86,16.12,16.13,16.12,16.13,1550
90,16.12,16.12,16.12,16.12,300
95,16.109,16.109,16.109,16.109,500
101,16.0986,16.0986,16.0986,16.0986,253
102,16.11,16.11,16.11,16.11,100
105,16.13,16.13,16.13,16.13,100
108,16.1001,16.1001,16.1,16.1,2000
115,16.13,16.13,16.12,16.12,200
119,16.11,16.11,16.1,16.1,200
120,16.12,16.12,16.12,16.12,100
124,16.12,16.12,16.12,16.12,100
127,16.12,16.12,16.12,16.12,100
131,16.12,16.12,16.12,16.12,100
136,16.12,16.12,16.12,16.12,100
140,16.1,16.1,16.1,16.1,500
141,16.12,16.12,16.12,16.12,100
143,16.1129,16.1129,16.1129,16.1129,1000
146,16.13,16.13,16.13,16.13,100
150,16.1003,16.109,16.1003,16.1086,856
152,16.13,16.13,16.13,16.13,100
158,16.1155,16.13,16.1155,16.13,240
165,16.13,16.13,16.13,16.13,100
172,16.13,16.13,16.13,16.13,100
185,16.13,16.13,16.1258,16.1258,3000
187,16.13,16.13,16.13,16.13,100
200,16.116,16.116,16.116,16.116,170
201,16.11,16.11,16.11,16.11,177
203,16.13,16.13,16.13,16.13,166
204,16.13,16.13,16.13,16.13,285
234,16.1396,16.1396,16.1396,16.1396,600
242,16.1596,16.16,16.1486,16.16,3594
248,16.15,16.15,16.15,16.15,316
251,16.1699,16.1699,16.1501,16.1501,400
267,16.1473,16.1473,16.1473,16.1473,100
268,16.1368,16.1368,16.1368,16.1368,3131
274,16.131,16.131,16.131,16.131,800
289,16.13,16.13,16.13,16.13,300
293,16.15,16.15,16.15,16.15,200
297,16.1598,16.1598,16.1598,16.1598,400
306,16.15,16.15,16.15,16.15,400
316,16.1497,16.15,16.1497,16.15,600
349,16.1672,16.1672,16.1672,16.1672,302
360,16.14,16.14,16.14,16.14,100
376,16.11,16.15,16.11,16.15,2159
384,16.12,16.12,16.12,16.12,100
385,16.1408,16.1408,16.1408,16.1408,1262
386,16.13,16.15,16.13,16.14,1676
390,16.1463,16.18,16.1463,16.15,1300
