EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,6.55,6.55,6.55,6.55,4734
8,6.55,6.55,6.55,6.55,100
11,6.56,6.56,6.5486,6.55,7100
12,6.55,6.55,6.55,6.55,100
15,6.55,6.55,6.55,6.55,100
17,6.56,6.56,6.56,6.56,200
18,6.56,6.56,6.56,6.56,100
19,6.56,6.56,6.56,6.56,200
21,6.56,6.56,6.56,6.56,100
22,6.56,6.56,6.56,6.56,300
24,6.56,6.56,6.56,6.56,300
25,6.56,6.56,6.56,6.56,100
26,6.56,6.56,6.56,6.56,100
29,6.56,6.56,6.56,6.56,100
30,6.56,6.56,6.56,6.56,100
34,6.56,6.56,6.56,6.56,100
35,6.56,6.56,6.56,6.56,100
39,6.55,6.55,6.55,6.55,100
41,6.56,6.56,6.56,6.56,100
42,6.52,6.555,6.52,6.55,10000
45,6.55,6.55,6.55,6.55,100
46,6.55,6.55,6.55,6.55,100
48,6.555,6.555,6.555,6.555,200
49,6.56,6.56,6.555,6.555,400
50,6.56,6.56,6.56,6.56,300
51,6.56,6.56,6.56,6.56,200
52,6.56,6.56,6.56,6.56,100
53,6.56,6.56,6.56,6.56,200
54,6.56,6.56,6.56,6.56,100
55,6.56,6.56,6.56,6.56,200
56,6.555,6.5567,6.555,6.5567,500
57,6.56,6.56,6.56,6.56,100
59,6.56,6.56,6.56,6.56,100
60,6.56,6.56,6.56,6.56,100
61,6.56,6.56,6.56,6.56,100
62,6.55,6.55,6.55,6.55,100
66,6.56,6.56,6.56,6.56,100
69,6.56,6.56,6.56,6.56,100
71,6.56,6.56,6.56,6.56,100
72,6.56,6.56,6.56,6.56,100
77,6.551,6.553,6.551,6.551,2500
78,6.55,6.555,6.55,6.555,200
80,6.56,6.56,6.56,6.56,100
83,6.56,6.56,6.56,6.56,100
85,6.56,6.56,6.56,6.56,100
87,6.56,6.56,6.56,6.56,100
89,6.56,6.56,6.56,6.56,100
90,6.56,6.56,6.56,6.56,100
95,6.55,6.55,6.55,6.55,100
96,6.56,6.56,6.56,6.56,100
99,6.56,6.56,6.56,6.56,100
104,6.5551,6.5551,6.5551,6.5551,1832
110,6.555,6.555,6.555,6.555,100
112,6.5599,6.56,6.5599,6.56,2100
113,6.55,6.55,6.55,6.55,100
114,6.555,6.555,6.555,6.555,100
115,6.56,6.56,6.56,6.56,100
118,6.56,6.56,6.56,6.56,100
119,6.5534,6.56,6.5534,6.56,800
121,6.55,6.55,6.545,6.55,3699
133,6.55,6.55,6.55,6.55,1555
152,6.55,6.55,6.55,6.55,893
160,6.537,6.54,6.537,6.54,761
180,6.53,6.53,6.53,6.53,100
182,6.53,6.53,6.53,6.53,100
199,6.525,6.525,6.525,6.525,500
213,6.5201,6.5201,6.5201,6.5201,5000
226,6.52,6.52,6.52,6.52,100
228,6.524,6.524,6.524,6.524,350
236,6.5232,6.5232,6.5232,6.5232,210
247,6.5207,6.5207,6.5207,6.5207,594
249,6.52,6.52,6.52,6.52,100
257,6.5266,6.5266,6.5266,6.5266,1440
270,6.52,6.52,6.52,6.52,100
282,6.5201,6.5201,6.5201,6.5201,1764
289,6.53,6.53,6.53,6.53,226
290,6.52,6.52,6.52,6.52,100
310,6.52,6.52,6.52,6.52,100
324,6.525,6.525,6.52,6.52,400
328,6.525,6.525,6.52,6.52,600
333,6.53,6.53,6.525,6.525,1474
345,6.53,6.53,6.53,6.53,100
351,6.54,6.54,6.54,6.54,200
353,6.54,6.54,6.54,6.54,100
354,6.54,6.54,6.54,6.54,200
356,6.54,6.54,6.54,6.54,200
357,6.54,6.54,6.54,6.54,200
359,6.54,6.54,6.54,6.54,200
360,6.53,6.539,6.53,6.539,300
361,6.55,6.55,6.54,6.54,2600
367,6.5508,6.5508,6.5508,6.5508,829
368,6.55,6.55,6.55,6.55,1500
370,6.555,6.555,6.555,6.555,100
371,6.555,6.56,6.555,6.56,8883
374,6.55,6.55,6.55,6.55,2300
376,6.55,6.55,6.545,6.55,300
377,6.55,6.55,6.55,6.55,200
378,6.55,6.55,6.55,6.55,1083
382,6.55,6.55,6.55,6.55,100
386,6.55,6.555,6.55,6.55,3800
387,6.55,6.55,6.545,6.55,1200
388,6.55,6.55,6.549,6.55,1300
389,6.55,6.55,6.55,6.55,3700
390,6.56,6.56,6.54,6.55,4101
a1520346780,6.54,6.54,6.54,6.54,5891
7,6.56,6.56,6.56,6.56,200
8,6.56,6.56,6.56,6.56,100
11,6.57,6.57,6.57,6.57,100
13,6.57,6.57,6.56,6.57,7845
14,6.57,6.57,6.57,6.57,100
15,6.57,6.57,6.57,6.57,1900
17,6.57,6.57,6.57,6.57,100
20,6.57,6.57,6.57,6.57,100
23,6.57,6.57,6.57,6.57,100
25,6.57,6.57,6.57,6.57,100
27,6.57,6.57,6.57,6.57,100
29,6.57,6.57,6.57,6.57,100
32,6.57,6.57,6.57,6.57,100
33,6.56,6.56,6.56,6.56,200
34,6.57,6.57,6.57,6.57,100
36,6.57,6.57,6.57,6.57,100
37,6.561,6.561,6.561,6.561,400
38,6.57,6.57,6.57,6.57,100
39,6.57,6.57,6.57,6.57,100
41,6.57,6.57,6.57,6.57,100
42,6.57,6.57,6.57,6.57,200
43,6.57,6.57,6.57,6.57,100
45,6.57,6.57,6.565,6.57,1500
46,6.5699,6.57,6.565,6.565,2800
47,6.57,6.57,6.57,6.57,100
48,6.57,6.57,6.57,6.57,100
49,6.57,6.57,6.57,6.57,100
51,6.57,6.57,6.57,6.57,200
52,6.5634,6.57,6.5634,6.57,1500
53,6.57,6.57,6.57,6.57,200
54,6.57,6.57,6.57,6.57,100
55,6.57,6.57,6.57,6.57,300
56,6.57,6.57,6.57,6.57,100
57,6.57,6.57,6.57,6.57,200
58,6.57,6.57,6.57,6.57,100
59,6.57,6.57,6.57,6.57,1200
60,6.57,6.57,6.57,6.57,200
61,6.57,6.57,6.57,6.57,200
62,6.57,6.57,6.57,6.57,100
63,6.57,6.57,6.57,6.57,200
65,6.57,6.57,6.57,6.57,200
66,6.57,6.57,6.57,6.57,100
67,6.57,6.57,6.57,6.57,200
68,6.57,6.57,6.57,6.57,100
69,6.57,6.57,6.57,6.57,100
70,6.57,6.57,6.57,6.57,100
71,6.57,6.57,6.57,6.57,200
72,6.57,6.57,6.57,6.57,100
73,6.57,6.57,6.57,6.57,200
75,6.57,6.57,6.57,6.57,200
