EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,22.06,22.06,22.06,22.06,4921
3,22.0409,22.067,22.0401,22.0401,600
7,22.189,22.189,22.085,22.085,3000
14,22.125,22.125,22.125,22.125,500
21,22.1401,22.1401,22.1294,22.1294,1010
22,22.11,22.11,22.11,22.11,100
27,22.13,22.13,22.13,22.13,200
31,22.1396,22.1396,22.1396,22.1396,286
44,22.1299,22.1299,22.1299,22.1299,902
46,22.1,22.1,22.1,22.1,100
50,22.1161,22.1161,22.11,22.11,2059
53,22.1286,22.13,22.1286,22.13,500
56,22.15,22.15,22.15,22.15,200
59,22.159,22.159,22.159,22.159,830
65,22.1501,22.1501,22.1501,22.1501,875
72,22.1501,22.1501,22.1501,22.1501,875
76,22.1735,22.175,22.15,22.175,3200
78,22.175,22.2,22.1748,22.1748,3350
88,22.2,22.2,22.2,22.2,200
91,22.2,22.2,22.2,22.2,1200
92,22.21,22.21,22.21,22.21,100
96,22.2,22.2,22.2,22.2,200
99,22.2002,22.2002,22.2002,22.2002,400
119,22.2498,22.2498,22.2498,22.2498,600
123,22.29,22.29,22.29,22.29,100
128,22.279,22.279,22.279,22.279,900
130,22.2527,22.2527,22.2527,22.2527,1000
133,22.2798,22.2798,22.2798,22.2798,1049
134,22.3086,22.32,22.3086,22.32,203
135,22.3078,22.3199,22.3078,22.3199,1135
140,22.291,22.291,22.291,22.291,1500
142,22.2903,22.2903,22.2903,22.2903,1400
143,22.29,22.3,22.29,22.3,400
146,22.27,22.27,22.241,22.241,1100
147,22.28,22.28,22.28,22.28,100
148,22.279,22.279,22.279,22.279,667
149,22.2672,22.2672,22.2672,22.2672,600
150,22.27,22.27,22.27,22.27,100
151,22.2301,22.2301,22.23,22.23,3150
153,22.27,22.27,22.27,22.27,100
156,22.3,22.3,22.3,22.3,100
158,22.32,22.32,22.318,22.318,1215
159,22.2953,22.2953,22.2953,22.2953,100
161,22.32,22.32,22.32,22.32,100
165,22.31,22.31,22.31,22.31,100
167,22.26,22.26,22.26,22.26,164
168,22.3,22.3,22.3,22.3,100
171,22.29,22.29,22.29,22.29,100
174,22.28,22.28,22.28,22.28,100
177,22.27,22.27,22.27,22.27,100
180,22.28,22.28,22.28,22.28,100
183,22.29,22.29,22.29,22.29,100
186,22.2599,22.28,22.2599,22.28,1225
187,22.28,22.28,22.28,22.28,100
190,22.29,22.29,22.29,22.29,100
193,22.3,22.3,22.3,22.3,100
196,22.3,22.3,22.3,22.3,100
199,22.32,22.32,22.32,22.32,100
202,22.32,22.32,22.32,22.32,100
209,22.32,22.32,22.32,22.32,100
211,22.31,22.31,22.31,22.31,506
223,22.35,22.35,22.35,22.35,100
226,22.3418,22.3418,22.3418,22.3418,100
228,22.33,22.33,22.33,22.33,100
230,22.325,22.325,22.325,22.325,200
233,22.33,22.33,22.33,22.33,600
242,22.32,22.32,22.32,22.32,200
243,22.3,22.32,22.3,22.32,700
245,22.31,22.31,22.31,22.31,200
246,22.31,22.31,22.31,22.31,100
248,22.32,22.32,22.32,22.32,100
249,22.32,22.32,22.32,22.32,100
250,22.316,22.316,22.316,22.316,1300
251,22.32,22.32,22.32,22.32,100
253,22.32,22.32,22.32,22.32,100
254,22.32,22.32,22.32,22.32,100
256,22.32,22.32,22.32,22.32,100
258,22.32,22.32,22.32,22.32,100
259,22.32,22.32,22.32,22.32,100
261,22.2998,22.32,22.2998,22.32,400
262,22.32,22.32,22.32,22.32,100
264,22.2998,22.2998,22.2998,22.2998,200
265,22.32,22.32,22.32,22.32,100
267,22.32,22.32,22.32,22.32,100
271,22.33,22.33,22.33,22.33,100
276,22.377,22.377,22.377,22.377,200
280,22.3624,22.3624,22.3576,22.3576,283
285,22.34,22.35,22.34,22.35,900
297,22.3075,22.35,22.3075,22.339,4700
298,22.3046,22.3046,22.3046,22.3046,1200
300,22.3395,22.3395,22.3395,22.3395,900
309,22.3548,22.3548,22.3548,22.3548,280
316,22.345,22.345,22.345,22.345,1000
317,22.345,22.345,22.345,22.345,1000
323,22.331,22.331,22.331,22.331,500
329,22.3757,22.3757,22.3757,22.3757,100
330,22.38,22.38,22.38,22.38,400
334,22.3917,22.3917,22.3917,22.3917,133
335,22.419,22.419,22.419,22.419,110
340,22.439,22.439,22.439,22.439,250
348,22.399,22.4,22.399,22.4,200
350,22.4,22.4,22.3887,22.3887,1100
351,22.3976,22.4,22.38,22.3904,1250
355,22.3903,22.3903,22.3903,22.3903,1000
362,22.4,22.4,22.3801,22.39,675
364,22.4,22.4,22.4,22.4,200
366,22.4,22.4,22.4,22.4,200
368,22.4,22.4,22.4,22.4,100
371,22.3935,22.41,22.3935,22.4,300
373,22.39,22.39,22.39,22.39,100
374,22.38,22.38,22.38,22.38,1000
375,22.43,22.43,22.43,22.43,100
377,22.44,22.44,22.44,22.44,200
378,22.44,22.44,22.401,22.401,300
379,22.45,22.45,22.45,22.45,100
382,22.4303,22.45,22.4303,22.45,1200
383,22.45,22.45,22.45,22.45,100
385,22.45,22.45,22.45,22.45,100
386,22.46,22.46,22.46,22.46,300
387,22.46,22.46,22.46,22.46,200
388,22.46,22.46,22.46,22.46,280
389,22.45,22.45,22.44,22.45,771
390,22.42,22.43,22.42,22.43,200
a1520346600,22.54,22.54,22.54,22.54,3670
3,22.5001,22.5001,22.5001,22.5001,700
6,22.5,22.5,22.5,22.5,1950
10,22.4699,22.4699,22.46,22.46,200
11,22.47,22.47,22.47,22.47,600
12,22.47,22.47,22.47,22.47,400
14,22.49,22.49,22.47,22.47,3900
15,22.53,22.53,22.51,22.51,500
16,22.51,22.51,22.5,22.5,500
17,22.4741,22.4741,22.4741,22.4741,150
22,22.52,22.52,22.52,22.52,600
23,22.5196,22.5196,22.5196,22.5196,500
27,22.4962,22.5,22.4962,22.5,2500
30,22.48,22.48,22.48,22.48,100
31,22.5018,22.5018,22.5,22.5,3661
32,22.45,22.48,22.45,22.48,1100
34,22.4694,22.4694,22.45,22.45,1300
37,22.4201,22.4201,22.4201,22.4201,450
42,22.4275,22.4275,22.4275,22.4275,250
46,22.42,22.42,22.42,22.42,200
51,22.4424,22.4424,22.44,22.44,216
52,22.43,22.43,22.43,22.43,200
53,22.43,22.43,22.43,22.43,100
55,22.47,22.47,22.45,22.45,900
56,22.44,22.4701,22.44,22.47,3250
59,22.479,22.479,22.479,22.479,500
