EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,3.67,3.67,3.67,3.67,105
7,3.65,3.65,3.65,3.65,100
16,3.77,3.77,3.77,3.77,100
106,3.64,3.65,3.64,3.65,2700
107,3.62,3.63,3.53,3.57,5700
108,3.64,3.67,3.54,3.65,2300
109,3.67,3.67,3.6599,3.66,900
110,3.55,3.68,3.55,3.68,500
111,3.7,3.71,3.6716,3.6716,4000
123,3.6379,3.6379,3.6379,3.6379,100
126,3.72,3.72,3.72,3.72,1400
178,3.73,3.73,3.73,3.73,500
183,3.71,3.71,3.71,3.71,300
184,3.7,3.7,3.7,3.7,500
239,3.8,3.81,3.74,3.755,19800
274,3.73,3.73,3.73,3.73,100
286,3.73,3.73,3.73,3.73,100
369,3.76,3.76,3.75,3.75,400
370,3.76,3.76,3.76,3.76,300
375,3.7601,3.77,3.7601,3.77,500
382,3.79,3.79,3.76,3.76,300
388,3.77,3.77,3.75,3.77,600
390,3.86,3.86,3.7,3.75,400
a1520346600,3.77,3.77,3.77,3.77,103
50,3.8,3.8,3.77,3.77,900
52,3.78,3.8,3.78,3.8,200
53,3.8,3.8,3.78,3.8,800
54,3.8,3.83,3.76,3.79,1000
55,3.7648,3.8,3.7648,3.8,5508
56,3.76,3.7701,3.75,3.77,4900
68,3.7348,3.7348,3.7348,3.7348,250
82,3.71,3.71,3.71,3.71,100
101,3.7799,3.7799,3.7799,3.7799,5000
102,3.8099,3.8099,3.75,3.75,6952
103,3.81,3.81,3.8,3.8,400
104,3.81,3.81,3.8,3.8,400
109,3.8,3.8,3.8,3.8,100
126,3.78,3.78,3.78,3.78,100
176,3.79,3.8,3.79,3.8,700
191,3.79,3.7921,3.79,3.791,500
198,3.8275,3.85,3.8,3.8,10511
201,3.8,3.8,3.8,3.8,300
202,3.79,3.79,3.79,3.79,100
223,3.78,3.8,3.78,3.8,1600
240,3.8,3.8,3.8,3.8,500
275,3.8,3.8,3.8,3.8,100
333,3.82,3.82,3.81,3.81,629
344,3.84,3.84,3.82,3.82,671
367,3.8509,3.8509,3.8509,3.8509,200
378,3.82,3.82,3.82,3.82,200
a1520433000,3.95,3.95,3.95,3.95,1238
1,3.9088,3.949,3.9088,3.949,422
3,3.935,3.935,3.935,3.935,1000
4,3.9,3.94,3.9,3.94,881
8,3.9,3.9,3.9,3.9,200
11,3.8324,3.8324,3.8324,3.8324,125
17,3.831,3.831,3.831,3.831,181
46,3.83,3.83,3.83,3.83,100
68,3.86,3.86,3.86,3.86,900
83,3.85,3.85,3.85,3.85,100
101,3.8,3.82,3.8,3.82,2100
116,3.82,3.82,3.82,3.82,100
141,3.8152,3.8152,3.8152,3.8152,200
160,3.821,3.821,3.821,3.821,1230
282,3.803,3.803,3.803,3.803,224
286,3.815,3.815,3.815,3.815,200
287,3.8152,3.8152,3.8152,3.8152,200
288,3.8086,3.8086,3.8086,3.8086,200
289,3.8086,3.8086,3.8086,3.8086,200
291,3.8086,3.8086,3.8086,3.8086,160
296,3.809,3.809,3.809,3.809,1024
314,3.8,3.8001,3.8,3.8001,200
341,3.8,3.8,3.8,3.8,100
371,3.8,3.8001,3.8,3.8001,392
383,3.8076,3.8076,3.8076,3.8076,250
390,3.8,3.8,3.8,3.8,176
a1520519400,3.95,3.95,3.95,3.95,500
5,3.8,3.8,3.8,3.8,200
16,3.94,3.94,3.94,3.94,100
25,3.81,3.81,3.81,3.81,100
49,3.8098,3.8098,3.8098,3.8098,100
74,3.8001,3.8001,3.8001,3.8001,100
98,3.82,3.82,3.82,3.82,100
99,3.8,3.82,3.8,3.8001,2300
101,3.82,3.82,3.8,3.8,900
104,3.82,3.82,3.82,3.82,300
123,3.71,3.8,3.71,3.8,5256
147,3.55,3.61,3.55,3.61,500
157,3.74,3.74,3.69,3.69,7877
158,3.77,3.77,3.75,3.75,500
176,3.75,3.75,3.75,3.75,100
197,3.75,3.75,3.7401,3.7401,400
302,3.7,3.75,3.7,3.75,2870
331,3.69,3.7,3.6899,3.6899,6300
332,3.69,3.7,3.69,3.69,5124
334,3.69,3.69,3.69,3.69,200
337,3.69,3.69,3.69,3.69,3582
340,3.7,3.7,3.68,3.689,7868
345,3.69,3.69,3.69,3.69,1168
348,3.705,3.71,3.7,3.7,14712
349,3.69,3.7,3.69,3.6999,2297
350,3.69,3.69,3.69,3.69,300
351,3.71,3.71,3.7,3.7,1300
356,3.73,3.73,3.73,3.73,200
372,3.75,3.75,3.75,3.75,200
375,3.75,3.75,3.75,3.75,300
377,3.75,3.75,3.75,3.75,100
381,3.75,3.75,3.75,3.75,200
382,3.75,3.75,3.75,3.75,100
a1520605800,3.78,3.78,3.78,3.78,240
16,3.89,3.89,3.89,3.89,100
25,3.88,3.88,3.88,3.88,200
49,3.8889,3.8889,3.88,3.88,200
74,3.8899,3.8899,3.8899,3.8899,200
81,3.79,3.79,3.79,3.79,100
82,3.79,3.79,3.79,3.79,100
88,3.8207,3.8207,3.8207,3.8207,200
90,3.79,3.79,3.79,3.79,200
93,3.8402,3.8402,3.8402,3.8402,200
96,3.8402,3.8402,3.8402,3.8402,200
98,3.88,3.88,3.88,3.88,100
99,3.85,3.85,3.85,3.85,100
123,3.8899,3.8899,3.8899,3.8899,200
147,3.86,3.86,3.85,3.85,200
154,3.85,3.85,3.85,3.85,200
172,3.87,3.87,3.85,3.85,300
177,3.85,3.85,3.85,3.85,100
186,3.9,3.9,3.85,3.88,12582
240,3.84,3.84,3.84,3.84,100
290,3.896,3.896,3.896,3.896,120
349,3.8353,3.8353,3.8353,3.8353,200
350,3.7285,3.7285,3.7285,3.7285,200
351,3.8353,3.8353,3.8353,3.8353,200
354,3.7223,3.7223,3.7223,3.7223,600
384,3.79,3.79,3.79,3.79,100
390,3.9,3.945,3.9,3.945,200
TIMEZONE_OFFSET=-240
a1520862360,3.8,3.8,3.8,3.8,100
35,3.8,3.8,3.8,3.8,175
161,3.8542,3.8542,3.8542,3.8542,200
187,3.81,3.81,3.81,3.81,200
374,3.815,3.815,3.815,3.815,100
a1520947800,3.88,3.88,3.88,3.88,100
16,3.89,3.89,3.89,3.89,100
39,3.7094,3.7094,3.7094,3.7094,100
69,3.75,3.75,3.75,3.75,100
81,3.75,3.75,3.75,3.75,900
84,3.71,3.71,3.71,3.71,303
90,3.6962,3.6962,3.6962,3.6962,300
