EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,16.15,16.15,16.15,16.15,1608
4,16.1306,16.1306,16.1306,16.1306,1900
5,16.1374,16.1374,16.13,16.13,200
13,16.16,16.16,16.16,16.16,212
18,16.13,16.13,16.13,16.13,198
40,16.15,16.15,16.13,16.13,1549
41,16.0526,16.1,16.0301,16.1,5775
43,16.06,16.06,16.04,16.04,300
53,16.05,16.05,16.05,16.05,200
56,16.04,16.05,16.04,16.05,200
57,16.05,16.05,16.05,16.05,100
68,16.05,16.05,16.05,16.05,100
69,16.04,16.04,16.04,16.04,625
70,16.05,16.05,16.04,16.04,700
83,16.03,16.03,16.03,16.03,100
88,16.0688,16.0688,16.0688,16.0688,924
111,16.0498,16.0498,16.0498,16.0498,175
113,16.0699,16.0699,16.0699,16.0699,1000
114,16.07,16.07,16.07,16.07,200
119,16.07,16.07,16.06,16.06,300
124,16.0797,16.0797,16.0797,16.0797,400
125,16.082,16.082,16.082,16.082,213
136,16.1016,16.1016,16.1016,16.1016,785
137,16.07,16.07,16.07,16.07,950
144,16.05,16.05,16.05,16.05,320
150,16.05,16.05,16.05,16.05,100
154,16.12,16.12,16.07,16.07,800
155,16.12,16.12,16.12,16.12,200
157,16.1199,16.1199,16.1199,16.1199,200
168,16.09,16.09,16.089,16.089,300
169,16.119,16.119,16.089,16.089,1032
179,16.1,16.1,16.1,16.1,200
181,16.1132,16.1132,16.1132,16.1132,100
183,16.1,16.1,16.1,16.1,100
185,16.079,16.079,16.079,16.079,100
199,16.0595,16.0595,16.0595,16.0595,100
206,16.07,16.07,16.07,16.07,132
207,16.08,16.08,16.08,16.08,401
210,16.1,16.1,16.09,16.09,200
230,16.095,16.095,16.095,16.095,200
244,16.08,16.08,16.08,16.08,300
245,16.095,16.095,16.095,16.095,100
263,16.08,16.08,16.08,16.08,100
275,16.0913,16.0913,16.0913,16.0913,187
278,16.09,16.09,16.08,16.08,1200
282,16.07,16.07,16.04,16.04,200
286,16.07,16.07,16.0699,16.0699,300
288,16.07,16.07,16.07,16.07,350
293,16.0557,16.0557,16.0557,16.0557,330
297,16.0699,16.0699,16.0699,16.0699,600
301,16.04,16.04,16.04,16.04,300
302,16.06,16.06,16.06,16.06,100
307,16.0402,16.046,16.0401,16.0401,1068
316,16.05,16.05,16.05,16.05,100
323,16.0524,16.06,16.0524,16.06,338
325,16.0562,16.06,16.0562,16.06,700
328,16.078,16.078,16.0599,16.06,1226
362,16.06,16.06,16.06,16.06,100
377,16.1,16.1,16.1,16.1,100
378,16.0716,16.1001,16.0716,16.1001,946
382,16.06,16.06,16.06,16.06,100
387,16.06,16.06,16.06,16.06,400
389,16.03,16.03,16.03,16.03,100
390,16.04,16.04,16.03,16.03,369
a1520346600,16.16,16.16,16.16,16.16,1793
21,16.1,16.1,16.1,16.1,100
31,16.01,16.0538,16.01,16.0504,1700
42,16.0201,16.0201,16.0201,16.0201,125
52,16.1,16.1,16.05,16.05,1600
86,16,16.0401,16,16.0401,2375
87,16.018,16.018,16.018,16.018,500
98,16.04,16.04,16.04,16.04,100
102,16.0126,16.0126,16.0126,16.0126,450
105,16.04,16.04,16.0129,16.04,688
106,16.06,16.06,16.06,16.06,100
111,16.05,16.05,16.05,16.05,566
115,16.04,16.04,16.04,16.04,300
125,16.05,16.05,16.05,16.05,100
151,16.04,16.04,16.04,16.04,100
157,16.0265,16.0265,16.02,16.02,1684
166,16.021,16.021,16.021,16.021,100
172,16.01,16.0201,16.01,16.02,1309
174,16.01,16.01,16.01,16.01,100
183,16.0102,16.0102,16.0102,16.0102,200
202,16.03,16.03,16.03,16.03,100
210,16.03,16.03,16.03,16.03,300
212,16.05,16.05,16.0361,16.0361,1463
216,16.0448,16.0448,16.0448,16.0448,100
228,16.03,16.03,16.03,16.03,100
254,16.04,16.04,16.04,16.04,100
260,16.05,16.05,16.05,16.05,200
262,16.056,16.056,16.056,16.056,1000
264,16.06,16.06,16.05,16.05,400
285,16.05,16.05,16.05,16.05,500
286,16.05,16.05,16.05,16.05,500
311,16.0312,16.0312,16.0312,16.0312,1010
331,16.02,16.02,16.02,16.02,100
332,16.0497,16.0497,16.0497,16.0497,300
347,16.03,16.03,16.0221,16.0221,1120
354,16.02,16.02,16.02,16.02,100
356,16.0268,16.0268,16.0268,16.0268,400
358,16.0268,16.0268,16.0268,16.0268,400
383,16.0271,16.0271,16.0271,16.0271,100
386,16.025,16.0287,16.025,16.0287,528
389,16.0299,16.0299,16.0299,16.0299,400
390,16.02,16.03,16.02,16.03,739
a1520433000,16.02,16.02,16.02,16.02,1213
40,16.0255,16.0256,16.02,16.0255,1838
47,16.03,16.03,16.03,16.03,200
51,16.04,16.04,16.025,16.03,2000
57,16.0101,16.0101,16.0101,16.0101,225
58,16.0192,16.0192,16.0192,16.0192,273
61,16.04,16.04,16.03,16.03,300
65,16.05,16.05,16.05,16.05,200
66,16.05,16.05,16.05,16.05,100
70,16.05,16.05,16.05,16.05,200
71,16.038,16.05,16.03,16.05,600
72,16.05,16.05,16.05,16.05,900
83,16.0424,16.05,16.0424,16.0424,1377
84,16.0368,16.0368,16.0368,16.0368,400
85,16.02,16.03,16.02,16.03,400
86,16.02,16.02,16,16.01,1000
89,16.01,16.01,16.01,16.01,100
96,16,16,16,16,500
97,15.93,16,15.93,16,6564
101,15.94,15.94,15.94,15.94,100
105,15.9,15.9,15.9,15.9,200
110,15.9543,15.9543,15.95,15.95,1873
115,15.95,15.95,15.95,15.95,1023
125,15.9498,15.9498,15.9498,15.9498,180
127,15.95,15.95,15.95,15.95,150
132,15.96,15.96,15.96,15.96,590
133,15.967,15.967,15.967,15.967,398
134,15.9601,15.9601,15.9601,15.9601,300
141,15.93,15.95,15.93,15.95,1000
143,15.9094,15.9094,15.9094,15.9094,150
145,15.9,15.9,15.9,15.9,100
147,15.86,15.8855,15.86,15.8855,1100
152,15.9,15.9,15.9,15.9,100
153,15.8785,15.8785,15.8785,15.8785,540
155,15.86,15.87,15.86,15.87,600
159,15.84,15.84,15.84,15.84,100
162,15.86,15.86,15.84,15.84,500
169,15.88,15.88,15.86,15.86,200
179,15.866,15.866,15.866,15.866,473
181,15.873,15.873,15.873,15.873,343
182,15.8772,15.8772,15.8772,15.8772,270
183,15.8672,15.8672,15.8672,15.8672,120
184,15.89,15.89,15.89,15.89,306
