EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,40.75,40.75,40.75,40.75,931
16,40.9,40.9,40.9,40.9,500
17,40.9,40.9,40.9,40.9,303
18,40.85,40.85,40.8,40.8,1701
19,40.85,40.85,40.85,40.85,182
20,40.85,40.85,40.85,40.85,100
21,40.75,40.8,40.75,40.8,300
23,40.75,40.75,40.75,40.75,100
26,40.775,40.775,40.775,40.775,100
28,40.75,40.75,40.75,40.75,100
32,40.5,40.5,40.5,40.5,100
39,40.55,40.6,40.55,40.6,200
41,40.65,40.65,40.65,40.65,100
43,40.55,40.55,40.55,40.55,400
47,40.5,40.6,40.5,40.6,400
50,40.55,40.55,40.55,40.55,100
51,40.55,40.55,40.55,40.55,141
53,40.6,40.6,40.575,40.575,200
54,40.6,40.6,40.6,40.6,100
56,40.6,40.6,40.6,40.6,100
58,40.55,40.6,40.55,40.6,323
59,40.55,40.55,40.55,40.55,100
61,40.6,40.6,40.6,40.6,100
62,40.45,40.55,40.45,40.55,1900
64,40.4,40.45,40.4,40.45,200
66,40.4,40.4,40.4,40.4,300
68,40.45,40.45,40.45,40.45,200
70,40.45,40.55,40.45,40.55,200
72,40.5,40.5,40.5,40.5,100
74,40.55,40.55,40.55,40.55,200
75,40.45,40.5,40.45,40.5,400
77,40.45,40.45,40.45,40.45,307
78,40.45,40.45,40.45,40.45,100
80,40.45,40.45,40.45,40.45,200
86,40.5,40.5,40.5,40.5,100
88,40.55,40.55,40.55,40.55,100
90,40.625,40.625,40.625,40.625,100
94,40.6452,40.6452,40.6452,40.6452,192
97,40.7,40.7,40.7,40.7,410
98,40.75,40.75,40.75,40.75,100
102,40.85,40.85,40.85,40.85,200
108,40.85,40.85,40.85,40.85,100
113,40.8,40.8,40.8,40.8,800
114,40.85,40.85,40.85,40.85,100
118,40.85,40.85,40.85,40.85,100
122,40.8,40.8,40.8,40.8,100
124,40.8,40.8,40.8,40.8,100
127,40.7,40.8,40.7,40.8,600
130,40.775,40.775,40.775,40.775,100
131,40.8,40.8,40.8,40.8,600
137,40.95,40.95,40.95,40.95,100
141,40.925,40.95,40.925,40.95,500
143,40.9,40.9,40.9,40.9,100
145,40.9,40.9,40.9,40.9,100
153,40.85,40.85,40.8,40.8,300
155,40.9,40.9,40.9,40.9,100
158,40.85,40.9,40.85,40.9,872
160,40.8,40.8,40.8,40.8,300
161,40.85,40.85,40.85,40.85,100
163,40.9,40.9,40.85,40.85,400
170,40.75,40.8,40.7,40.8,1100
171,40.7,40.7,40.7,40.7,200
175,40.7,40.7,40.7,40.7,100
178,40.8,40.8,40.75,40.75,600
181,40.85,40.85,40.85,40.85,100
182,40.85,40.85,40.8,40.85,760
187,40.9,40.9,40.9,40.9,300
193,40.875,40.875,40.875,40.875,100
194,40.85,40.85,40.85,40.85,451
196,40.85,40.85,40.85,40.85,400
198,40.85,40.85,40.85,40.85,100
200,40.875,40.875,40.875,40.875,100
212,40.75,40.85,40.75,40.85,1553
214,40.75,40.75,40.75,40.75,100
220,40.75,40.75,40.75,40.75,139
221,40.75,40.75,40.75,40.75,600
223,40.8,40.8,40.8,40.8,370
235,40.9,40.9,40.85,40.9,878
241,40.95,40.95,40.95,40.95,100
242,40.8,40.9,40.8,40.9,900
243,40.8,40.8,40.8,40.8,100
244,40.8,40.8,40.775,40.8,800
249,40.8,40.8,40.8,40.8,138
255,40.75,40.8,40.75,40.8,200
258,40.7,40.75,40.7,40.75,636
263,40.7224,40.75,40.7224,40.75,834
265,40.75,40.75,40.75,40.75,100
268,40.7,40.75,40.675,40.75,1613
271,40.75,40.75,40.725,40.725,740
272,40.675,40.7,40.675,40.7,300
274,40.725,40.725,40.725,40.725,300
275,40.7,40.7,40.7,40.7,700
276,40.7,40.7,40.65,40.7,600
277,40.65,40.7,40.65,40.7,200
278,40.65,40.65,40.625,40.65,400
282,40.65,40.65,40.65,40.65,100
283,40.65,40.65,40.65,40.65,200
290,40.525,40.55,40.525,40.55,900
291,40.55,40.55,40.55,40.55,300
293,40.6,40.6,40.55,40.55,1200
294,40.6,40.6,40.6,40.6,335
296,40.65,40.65,40.65,40.65,200
298,40.625,40.65,40.625,40.65,300
299,40.625,40.625,40.625,40.625,100
300,40.625,40.625,40.6,40.625,800
302,40.6,40.6,40.575,40.6,700
307,40.6,40.6,40.6,40.6,100
308,40.6,40.6,40.575,40.6,600
309,40.625,40.625,40.625,40.625,100
310,40.65,40.65,40.65,40.65,100
313,40.65,40.65,40.65,40.65,250
315,40.625,40.625,40.625,40.625,100
320,40.65,40.65,40.65,40.65,400
322,40.55,40.65,40.55,40.65,1684
323,40.55,40.55,40.55,40.55,100
327,40.6,40.6,40.6,40.6,500
328,40.6,40.6,40.6,40.6,400
329,40.575,40.6,40.575,40.6,400
333,40.55,40.6,40.55,40.6,1147
336,40.6,40.6,40.575,40.575,600
338,40.6,40.6,40.6,40.6,200
339,40.6,40.6,40.6,40.6,100
340,40.6,40.6,40.6,40.6,359
341,40.6,40.6,40.6,40.6,100
343,40.6,40.6,40.6,40.6,200
345,40.575,40.575,40.575,40.575,100
347,40.55,40.55,40.525,40.55,917
350,40.625,40.625,40.625,40.625,100
351,40.65,40.65,40.65,40.65,300
352,40.65,40.65,40.65,40.65,100
353,40.65,40.65,40.65,40.65,100
354,40.7,40.7,40.65,40.65,500
357,40.65,40.7,40.65,40.7,400
360,40.65,40.7,40.65,40.7,700
362,40.675,40.675,40.65,40.65,600
363,40.7,40.7,40.675,40.675,200
365,40.7,40.7,40.65,40.7,1813
367,40.7,40.725,40.7,40.725,500
370,40.675,40.7,40.65,40.7,1200
371,40.75,40.75,40.7,40.7,600
374,40.725,40.75,40.65,40.65,500
375,40.8,40.8,40.75,40.75,2082
376,40.8,40.8,40.8,40.8,200
377,40.8,40.8,40.8,40.8,100
379,40.8,40.8,40.8,40.8,100
380,40.75,40.8,40.75,40.8,1100
381,40.75,40.75,40.75,40.75,200
382,40.75,40.775,40.7,40.75,4313
383,40.7,40.725,40.7,40.725,1890
384,40.7,40.7,40.7,40.7,200
385,40.675,40.675,40.675,40.675,100
386,40.625,40.7,40.6,40.7,4069
387,40.625,40.625,40.6,40.625,2300
388,40.6,40.625,40.6,40.625,700
389,40.5,40.6,40.5,40.6,4058
390,40.6,40.65,40.5,40.525,10455
a1520346600,40.9,40.9,40.9,40.9,469
