EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520265900,14.01,14.01,14.01,14.01,100
11,14.0099,14.0099,14.009,14.009,2000
30,14,14.007,14,14.0001,400
46,14,14,14,14,176
151,14,14,14,14,290
201,14.01,14.01,14.01,14.01,100
230,14.01,14.01,14.01,14.01,143
295,14.01,14.01,14.01,14.01,800
a1520346600,14.06,14.06,14.06,14.06,1000
107,13.951,13.951,13.951,13.951,500
184,14.0221,14.0221,14.0221,14.0221,142
381,13.981,13.981,13.981,13.981,100
a1520433000,13.91,13.91,13.91,13.91,100
166,13.9204,13.9204,13.9204,13.9204,761
221,13.93,13.93,13.93,13.93,1500
a1520519400,13.9,13.9,13.9,13.9,100
TIMEZONE_OFFSET=-240
a1520861400,14.03,14.03,14.03,14.03,356
72,14.0463,14.05,14.0301,14.05,800
209,14.0301,14.0301,14.0301,14.0301,800
214,14.03,14.03,14.03,14.03,100
245,14.0314,14.0314,14.0314,14.0314,100
258,14.04,14.0401,14.04,14.0401,400
272,14.03,14.03,14.03,14.03,450
348,14.03,14.03,14.02,14.02,2434
a1520947800,14.05,14.05,14.05,14.05,100
118,14.04,14.04,14.04,14.04,155
305,14.0062,14.0062,14.0062,14.0062,677
a1521034200,14.05,14.05,14.05,14.05,830
74,13.9814,13.9814,13.9794,13.9794,1000
347,13.99,13.99,13.99,13.99,580
352,13.98,13.98,13.98,13.98,300
355,13.98,13.98,13.98,13.98,200
357,13.98,13.98,13.98,13.98,200
359,13.98,13.98,13.98,13.98,100
388,13.97,13.97,13.97,13.97,400
389,13.97,13.97,13.97,13.97,100
390,13.98,13.98,13.97,13.97,200
a1521120600,14,14,14,14,134
60,13.95,13.95,13.95,13.95,100
193,13.92,13.92,13.92,13.92,100
209,14.01,14.01,14,14,800
213,13.92,13.92,13.92,13.92,100
233,13.92,13.92,13.92,13.92,100
253,13.95,13.95,13.95,13.95,100
268,13.95,13.95,13.95,13.95,100
283,13.95,13.95,13.95,13.95,100
298,13.95,13.95,13.95,13.95,100
313,13.95,13.95,13.95,13.95,100
333,13.95,13.95,13.95,13.95,100
343,13.95,13.95,13.95,13.95,100
358,13.95,13.95,13.95,13.95,100
373,13.95,13.95,13.95,13.95,100
383,13.95,13.95,13.95,13.95,100
388,13.93,13.95,13.93,13.95,200
390,13.93,13.93,13.93,13.93,100
a1521207000,13.9,13.9,13.9,13.9,100
173,13.99,13.99,13.99,13.99,840
373,13.9728,13.9728,13.9728,13.9728,1000
a1521466200,13.99,13.99,13.99,13.99,100
16,13.9627,13.9627,13.9627,13.9627,192
74,13.9501,13.9501,13.9501,13.9501,700
298,13.99,13.99,13.99,13.99,355
318,13.978,13.978,13.978,13.978,400
328,13.96,13.96,13.96,13.96,100
377,13.9744,13.9744,13.97,13.9744,971
a1521575040,14.09,14.09,14.01,14.01,2471
a1521639720,14.09,14.09,14.09,14.09,219
98,14.088,14.088,14.0772,14.0772,679
165,14,14,14,14,200
a1521725400,13.93,13.93,13.93,13.93,100
34,13.9201,13.9201,13.9201,13.9201,200
35,13.992,13.992,13.992,13.992,752
132,13.91,13.945,13.9,13.94,6664
133,13.85,13.91,13.85,13.91,2860
193,13.93,13.93,13.93,13.93,352
211,13.8925,13.8925,13.8925,13.8925,200
231,13.8992,13.8992,13.8992,13.8992,300
298,13.87,13.88,13.87,13.88,500
341,13.9015,13.9015,13.9015,13.9015,1279
361,13.87,13.87,13.87,13.87,206
376,13.87,13.87,13.87,13.87,100
a1521826320,13.881,13.881,13.881,13.881,300
77,13.9279,13.9279,13.9279,13.9279,100
