EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,13.78,13.94,13.78,13.94,1240
6,13.93,13.93,13.93,13.93,100
7,13.99,13.99,13.95,13.95,400
16,13.94,13.99,13.87,13.99,1600
19,13.89,13.89,13.89,13.89,300
21,13.85,13.91,13.85,13.89,600
29,13.76,13.84,13.65,13.82,1800
30,13.98,13.98,13.73,13.74,2381
43,13.84,13.85,13.84,13.85,300
45,13.84,13.85,13.84,13.84,1200
46,13.8598,13.8598,13.8598,13.8598,250
48,13.83,13.83,13.81,13.81,200
52,13.82,13.82,13.82,13.82,100
53,13.8636,13.8636,13.8636,13.8636,1000
55,13.8613,13.889,13.8523,13.8523,450
59,13.8403,13.88,13.8403,13.87,1000
60,13.9,13.9,13.9,13.9,200
61,13.88,13.889,13.88,13.889,400
62,13.89,13.89,13.84,13.84,700
63,13.91,13.91,13.91,13.91,200
65,13.91,13.91,13.91,13.91,300
69,13.92,13.92,13.91,13.91,600
70,13.82,13.9,13.82,13.9,3570
74,13.81,13.82,13.8,13.8,1000
75,13.82,13.83,13.82,13.83,300
77,13.76,13.79,13.76,13.78,500
79,13.82,13.82,13.82,13.82,100
80,13.84,13.84,13.8168,13.8168,1000
84,13.82,13.82,13.82,13.82,100
85,13.8502,13.87,13.8502,13.87,400
88,13.9,13.9,13.88,13.88,900
89,13.89,13.89,13.89,13.89,200
90,13.89,13.89,13.89,13.89,100
95,13.89,13.89,13.89,13.89,200
97,13.92,13.92,13.92,13.92,200
103,13.91,13.91,13.91,13.91,100
106,13.91,13.94,13.91,13.94,300
107,13.92,13.92,13.92,13.92,200
108,13.92,13.92,13.92,13.92,420
111,13.9,13.9,13.9,13.9,500
114,13.87,13.87,13.87,13.87,100
115,13.89,13.92,13.89,13.91,497
124,13.9,13.93,13.9,13.93,300
126,13.9,13.9,13.9,13.9,100
128,13.93,13.93,13.93,13.93,216
131,13.96,13.96,13.93,13.94,400
136,13.94,13.94,13.94,13.94,100
140,13.94,13.94,13.93,13.94,1000
142,13.92,13.92,13.89,13.91,600
146,13.89,13.89,13.89,13.89,200
147,13.88,13.88,13.88,13.88,200
151,13.88,13.92,13.88,13.92,500
160,13.89,13.91,13.89,13.89,500
164,13.86,13.86,13.86,13.86,100
168,13.89,13.89,13.86,13.86,1200
171,13.87,13.87,13.87,13.87,100
176,13.89,13.89,13.87,13.87,300
178,13.87,13.87,13.87,13.87,200
180,13.87,13.87,13.87,13.87,100
181,13.89,13.9,13.89,13.89,500
186,13.88,13.89,13.88,13.89,200
191,13.9,13.9,13.88,13.88,400
196,13.9,13.935,13.9,13.93,600
198,13.9,13.9,13.9,13.9,100
202,13.9,13.9,13.9,13.9,500
207,13.91,13.91,13.85,13.86,500
209,13.99,13.99,13.91,13.94,2157
213,14.07,14.07,13.98,13.98,600
215,14,14,14,14,100
217,14.04,14.07,14.01,14.01,500
218,14.02,14.02,14.01,14.02,661
222,13.99,13.99,13.97,13.97,293
223,13.96,13.96,13.96,13.96,100
225,14.01,14.01,14.01,14.01,200
226,14.015,14.015,14.015,14.015,100
228,13.96,13.96,13.96,13.96,100
232,14.02,14.02,14.02,14.02,100
233,13.96,13.96,13.96,13.96,100
237,13.96,13.96,13.96,13.96,300
242,13.96,13.96,13.96,13.96,100
248,13.96,13.96,13.96,13.96,200
252,14,14,13.96,13.96,300
253,13.995,13.995,13.995,13.995,100
256,14.02,14.03,13.97,14.02,1592
258,14.02,14.02,13.98,14,2089
260,14.06,14.06,14,14,200
266,14.03,14.03,13.99,13.99,400
269,14,14,14,14,100
270,14.05,14.05,14.05,14.05,200
271,14.06,14.06,14.06,14.06,200
272,14.06,14.06,14.04,14.06,400
274,14.08,14.08,14.05,14.05,2125
276,14.05,14.07,14.045,14.045,900
277,14.03,14.03,14.03,14.03,100
279,14.09,14.09,14.05,14.05,900
282,14.03,14.03,14.03,14.03,600
285,14.06,14.06,14.03,14.03,700
286,14.06,14.06,14.06,14.06,200
287,14.09,14.09,14.06,14.06,400
289,14.04,14.06,14.04,14.06,200
290,14.04,14.04,14.04,14.04,100
291,14.06,14.06,14.04,14.04,518
294,14.04,14.07,14.04,14.04,418
298,14.08,14.08,14.08,14.08,100
300,14.06,14.06,14.06,14.06,100
302,14.09,14.09,14.07,14.08,1300
306,14.07,14.09,14.07,14.09,200
309,14.11,14.11,14.07,14.08,500
312,14.06,14.09,14.06,14.07,1300
315,14.06,14.075,14.06,14.075,300
319,14.06,14.06,14.06,14.06,990
322,14.07,14.11,14.07,14.09,800
323,14.07,14.07,14.07,14.07,100
324,14.09,14.12,14.09,14.11,999
325,14.22,14.24,14.08,14.13,2000
329,14.13,14.13,14.13,14.13,100
330,14.23,14.23,14.19,14.19,300
331,14.24,14.24,14.21,14.21,300
333,14.2,14.2,14.2,14.2,100
334,14.18,14.19,14.18,14.19,200
335,14.23,14.23,14.23,14.23,300
336,14.23,14.23,14.23,14.23,500
339,14.23,14.23,14.2,14.21,900
340,14.23,14.23,14.23,14.23,300
344,14.21,14.225,14.21,14.21,1000
348,14.2,14.2,14.2,14.2,300
350,14.23,14.23,14.22,14.23,500
353,14.19,14.22,14.19,14.22,1356
359,14.19,14.19,14.19,14.19,100
360,14.19,14.22,14.19,14.19,1142
361,14.22,14.22,14.205,14.205,3121
364,14.22,14.22,14.2,14.2,1100
365,14.22,14.22,14.2,14.215,1100
366,14.2,14.22,14.2,14.2,643
367,14.22,14.22,14.22,14.22,100
368,14.2,14.2,14.2,14.2,125
370,14.2,14.2,14.2,14.2,100
371,14.2,14.2,14.2,14.2,112
372,14.21,14.21,14.2,14.2,1200
373,14.21,14.21,14.21,14.21,213
374,14.21,14.21,14.21,14.21,224
375,14.21,14.22,14.21,14.22,700
376,14.21,14.21,14.21,14.21,148
377,14.21,14.21,14.21,14.21,176
378,14.21,14.21,14.21,14.21,100
379,14.21,14.21,14.21,14.21,500
380,14.21,14.21,14.21,14.21,2695
381,14.21,14.21,14.21,14.21,100
382,14.21,14.21,14.21,14.21,300
383,14.21,14.21,14.21,14.21,422
384,14.21,14.21,14.21,14.21,400
385,14.21,14.21,14.21,14.21,798
386,14.2,14.21,14.2,14.21,1817
387,14.22,14.22,14.2,14.2,2084
388,14.25,14.25,14.19,14.22,15286
389,14.26,14.26,14.23,14.245,5865
a1520346660,14.19,14.19,14.19,14.19,200
