EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,19.07,19.07,19.07,19.07,851
5,19.21,19.2702,19.21,19.2702,1200
6,19.019,19.019,19.019,19.019,500
25,19.2,19.22,19.2,19.22,1000
27,19.2,19.2,19.2,19.2,315
28,19.2005,19.2005,19.2005,19.2005,520
29,19.196,19.196,19.196,19.196,1000
30,19.19,19.19,19.19,19.19,100
39,19.17,19.17,19.17,19.17,100
41,19.2,19.2,19.19,19.2,1900
48,19.2,19.2,19.2,19.2,1400
55,19.1752,19.18,19.1752,19.18,1000
60,19.19,19.19,19.19,19.19,207
64,19.19,19.19,19.19,19.19,100
69,19.2,19.2,19.1999,19.1999,600
72,19.2,19.2,19.2,19.2,415
88,19.2599,19.2599,19.2599,19.2599,500
89,19.26,19.26,19.26,19.26,100
110,19.34,19.34,19.31,19.31,400
112,19.346,19.346,19.346,19.346,100
138,19.3835,19.3835,19.3835,19.3835,662
145,19.38,19.38,19.38,19.38,100
150,19.3861,19.3861,19.3861,19.3861,100
152,19.39,19.39,19.39,19.39,100
162,19.38,19.38,19.38,19.38,100
213,19.38,19.38,19.38,19.38,500
219,19.4,19.4,19.3999,19.3999,600
246,19.41,19.41,19.41,19.41,100
289,19.41,19.41,19.41,19.41,367
314,19.41,19.41,19.41,19.41,100
340,19.43,19.43,19.43,19.43,180
380,19.46,19.46,19.46,19.46,200
387,19.493,19.493,19.493,19.493,520
389,19.44,19.4494,19.42,19.4494,350
a1520346840,19.64,19.64,19.64,19.64,240
10,19.5701,19.5701,19.57,19.57,200
11,19.56,19.56,19.56,19.56,100
13,19.33,19.56,19.33,19.56,2620
16,19.4901,19.4903,19.4901,19.4903,600
19,19.52,19.52,19.52,19.52,200
26,19.53,19.53,19.53,19.53,300
29,19.53,19.53,19.53,19.53,200
32,19.53,19.53,19.53,19.53,200
52,19.55,19.61,19.55,19.61,200
64,19.567,19.567,19.567,19.567,350
87,19.498,19.53,19.49,19.53,800
89,19.49,19.49,19.49,19.49,100
105,19.49,19.5499,19.49,19.5499,602
110,19.49,19.49,19.49,19.49,100
160,19.47,19.53,19.47,19.5,5000
163,19.45,19.48,19.445,19.48,3700
164,19.45,19.45,19.45,19.45,500
165,19.44,19.445,19.44,19.44,3411
167,19.415,19.415,19.415,19.415,100
169,19.45,19.45,19.45,19.45,7377
188,19.44,19.48,19.44,19.44,5700
190,19.41,19.41,19.41,19.41,400
203,19.46,19.48,19.46,19.48,6200
204,19.48,19.48,19.46,19.46,7810
207,19.474,19.474,19.474,19.474,2000
208,19.477,19.4799,19.475,19.475,4000
209,19.47,19.47,19.47,19.47,200
218,19.475,19.475,19.475,19.475,300
220,19.47,19.47,19.47,19.47,400
221,19.4799,19.4799,19.475,19.475,1000
222,19.46,19.47,19.46,19.47,1700
225,19.447,19.447,19.447,19.447,1200
238,19.4499,19.4499,19.445,19.445,3120
239,19.445,19.445,19.445,19.445,10155
244,19.43,19.44,19.43,19.44,5111
245,19.44,19.44,19.44,19.44,300
248,19.43,19.43,19.43,19.43,2500
256,19.4201,19.4201,19.4201,19.4201,300
259,19.42,19.44,19.42,19.44,755
260,19.42,19.42,19.42,19.42,100
263,19.4201,19.4201,19.4201,19.4201,200
269,19.4362,19.45,19.4362,19.45,500
271,19.45,19.45,19.4401,19.45,935
274,19.4601,19.4601,19.4398,19.45,1100
303,19.49,19.49,19.49,19.49,100
304,19.45,19.46,19.45,19.46,5000
308,19.45,19.45,19.45,19.45,1445
313,19.45,19.45,19.45,19.45,3555
316,19.4783,19.4783,19.4783,19.4783,400
325,19.4846,19.5,19.4846,19.5,1600
331,19.4796,19.4796,19.4796,19.4796,500
345,19.488,19.4918,19.488,19.4918,450
364,19.4835,19.5,19.4835,19.5,890
365,19.4858,19.5,19.4858,19.5,1000
378,19.4999,19.5,19.4999,19.5,450
386,19.48,19.51,19.48,19.5,2029
a1520433060,19.56,19.56,19.56,19.56,540
21,19.57,19.571,19.57,19.57,631
99,19.6893,19.6893,19.6893,19.6893,200
166,19.64,19.64,19.64,19.64,505
176,19.6549,19.6549,19.63,19.64,2476
185,19.63,19.63,19.63,19.63,300
199,19.63,19.63,19.63,19.63,200
209,19.63,19.63,19.63,19.63,2624
287,19.6611,19.6611,19.6611,19.6611,400
310,19.68,19.68,19.67,19.67,200
329,19.6666,19.6666,19.6666,19.6666,500
370,19.665,19.665,19.665,19.665,200
377,19.6783,19.68,19.6783,19.68,200
389,19.78,19.81,19.67,19.67,2104
a1520519460,19.7,19.7,19.7,19.7,2024
21,19.8299,19.8299,19.8299,19.8299,502
42,19.81,19.81,19.81,19.81,1000
52,19.81,19.81,19.81,19.81,200
137,19.8,19.8,19.8,19.8,474
140,19.8,19.8,19.8,19.8,500
233,19.81,19.81,19.81,19.81,100
235,19.81,19.81,19.81,19.81,100
263,19.83,19.83,19.82,19.82,900
270,19.83,19.842,19.83,19.83,7146
291,19.85,19.85,19.8499,19.8499,600
293,19.8499,19.8499,19.8499,19.8499,500
318,19.84,19.84,19.84,19.84,274
334,19.82,19.855,19.82,19.855,5000
335,19.82,19.84,19.82,19.84,430
336,19.8277,19.8277,19.8277,19.8277,1363
344,19.839,19.839,19.839,19.839,228
351,19.8,19.825,19.8,19.825,6846
362,19.8,19.8,19.8,19.8,170
367,19.8,19.81,19.7869,19.7869,500
376,19.82,19.82,19.82,19.82,100
382,19.8,19.8,19.8,19.8,100
389,19.8306,19.8306,19.8306,19.8306,500
a1520605860,19.85,19.92,19.85,19.92,2665
6,19.77,19.78,19.77,19.78,200
21,19.8584,19.8584,19.78,19.78,400
23,19.8532,19.8532,19.8532,19.8532,1500
26,19.89,19.89,19.89,19.89,2433
30,19.9196,19.95,19.9196,19.95,453
38,19.95,19.95,19.93,19.93,428
59,19.95,19.95,19.93,19.93,413
66,19.935,19.935,19.935,19.935,400
79,19.95,19.95,19.95,19.95,979
86,19.95,19.95,19.95,19.95,3631
109,19.95,19.95,19.95,19.95,399
111,19.95,19.95,19.95,19.95,4600
115,19.9501,19.9501,19.9501,19.9501,3500
116,19.9501,19.965,19.95,19.965,2400
119,19.979,19.979,19.979,19.979,500
120,19.9519,19.965,19.95,19.965,4650
121,19.9438,19.9438,19.9438,19.9438,1228
141,19.95,19.95,19.95,19.95,2650
144,19.95,19.965,19.95,19.965,759
149,19.9467,19.95,19.9467,19.95,817
