EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,23.4,23.4,23.4,23.4,510
3,23.55,23.55,23.55,23.55,500
5,23.65,23.65,23.65,23.65,100
11,23.65,23.65,23.65,23.65,100
13,23.595,23.65,23.595,23.65,1700
17,23.5,23.5,23.5,23.5,742
19,23.405,23.495,23.405,23.45,3700
20,23.435,23.4398,23.435,23.4398,1778
22,23.45,23.45,23.45,23.45,100
23,23.4,23.4339,23.4,23.4339,350
24,23.4,23.4,23.4,23.4,1000
25,23.4689,23.4689,23.4689,23.4689,2000
27,23.5,23.5,23.5,23.5,100
29,23.5,23.5,23.5,23.5,1500
30,23.5045,23.5045,23.5,23.5,5000
31,23.5,23.5,23.5,23.5,100
32,23.5,23.55,23.5,23.52,867
37,23.5,23.5,23.5,23.5,200
38,23.5,23.5,23.45,23.45,900
40,23.5,23.5,23.5,23.5,400
45,23.5091,23.5091,23.5091,23.5091,200
50,23.55,23.55,23.55,23.55,100
53,23.55,23.55,23.55,23.55,100
54,23.55,23.55,23.55,23.55,200
59,23.564,23.6,23.55,23.6,2375
61,23.595,23.595,23.5129,23.5129,4510
65,23.55,23.6,23.55,23.6,500
68,23.625,23.625,23.55,23.6,1800
69,23.6029,23.6029,23.6,23.6,900
73,23.65,23.65,23.65,23.65,100
76,23.65,23.7,23.5785,23.5785,5200
79,23.7,23.7,23.6686,23.6686,1100
82,23.7,23.7,23.675,23.675,2000
88,23.705,23.75,23.705,23.75,2200
89,23.8,23.8,23.8,23.8,100
92,23.825,23.825,23.8,23.8,4000
93,23.8,23.8,23.8,23.8,800
94,23.7498,23.77,23.7498,23.77,950
96,23.75,23.75,23.75,23.75,200
97,23.8,23.8,23.8,23.8,100
99,23.8,23.8,23.8,23.8,100
102,23.8,23.8,23.8,23.8,100
106,23.8345,23.8345,23.8345,23.8345,5000
108,23.85,23.85,23.85,23.85,100
113,23.9,23.9,23.85,23.85,1100
120,24.025,24.025,23.95,23.995,8480
121,24.005,24.005,24,24,1500
126,24,24,23.9682,23.9683,5200
127,23.9519,23.9519,23.9519,23.9519,1000
129,23.9456,23.9456,23.9456,23.9456,200
134,23.9464,23.9464,23.9464,23.9464,200
138,23.95,24,23.95,24,500
141,23.95,23.95,23.95,23.95,5992
149,23.95,23.95,23.95,23.95,100
152,23.9,23.9,23.9,23.9,2000
154,23.9,23.9,23.9,23.9,100
160,23.9184,23.9184,23.9184,23.9184,215
162,23.9,23.9,23.9,23.9,200
168,23.9,23.95,23.9,23.95,1800
181,23.95,23.95,23.9,23.9,5300
182,23.9,23.9,23.9,23.9,700
183,23.85,23.85,23.85,23.85,100
189,23.85,23.85,23.85,23.85,400
194,23.8,23.8,23.8,23.8,2110
196,23.8634,23.8634,23.8634,23.8634,250
197,23.85,23.85,23.85,23.85,1300
200,23.8,23.8,23.8,23.8,1000
214,23.8,23.805,23.8,23.805,1200
221,23.75,23.8,23.75,23.8,2800
222,23.705,23.783,23.705,23.75,2200
227,23.735,23.735,23.735,23.735,500
233,23.738,23.738,23.738,23.738,591
238,23.75,23.7578,23.75,23.7578,560
239,23.85,23.85,23.75,23.8,729
243,23.8,23.8,23.8,23.8,200
245,23.7,23.7,23.7,23.7,705
250,23.7,23.7,23.7,23.7,500
252,23.6,23.6,23.6,23.6,100
254,23.6,23.6,23.6,23.6,284
260,23.65,23.65,23.65,23.65,1000
271,23.7,23.7,23.7,23.7,200
273,23.71,23.71,23.71,23.71,100
278,23.75,23.75,23.7,23.7,1200
282,23.75,23.75,23.75,23.75,200
283,23.75,23.75,23.75,23.75,100
287,23.75,23.75,23.7,23.75,700
294,23.75,23.8,23.75,23.8,800
298,23.75,23.75,23.75,23.75,500
304,23.7,23.7,23.7,23.7,1200
312,23.7,23.75,23.7,23.75,300
313,23.65,23.65,23.65,23.65,100
327,23.7,23.7,23.7,23.7,200
339,23.6998,23.6998,23.6998,23.6998,110
340,23.65,23.65,23.65,23.65,900
341,23.645,23.65,23.645,23.65,1100
352,23.65,23.65,23.65,23.65,1000
353,23.65,23.65,23.65,23.65,200
356,23.7,23.7,23.7,23.7,300
357,23.6478,23.6478,23.6,23.6,1600
362,23.6,23.6,23.6,23.6,100
366,23.6,23.6,23.6,23.6,100
370,23.6,23.6,23.6,23.6,1000
371,23.6,23.6,23.6,23.6,1000
372,23.6284,23.6284,23.6284,23.6284,275
374,23.6252,23.6252,23.6252,23.6252,230
375,23.6,23.6,23.6,23.6,4095
379,23.6,23.6,23.6,23.6,300
381,23.6,23.6,23.6,23.6,1608
382,23.6,23.6,23.55,23.55,1200
383,23.6,23.6,23.6,23.6,100
388,23.55,23.575,23.55,23.575,200
389,23.55,23.575,23.55,23.55,800
390,23.6,23.65,23.6,23.6,4993
a1520346600,23.55,23.7,23.55,23.7,780
3,23.8,23.8,23.8,23.8,100
10,23.718,23.718,23.718,23.718,218
15,23.7502,23.7502,23.6,23.65,903
16,23.7,23.775,23.7,23.775,200
17,23.7,23.7,23.7,23.7,100
18,23.8,23.85,23.7,23.85,500
24,23.67,23.67,23.67,23.67,145
25,23.75,23.75,23.6,23.6,2785
30,23.65,23.65,23.6,23.6,1800
31,23.5,23.65,23.5,23.6,2200
34,23.55,23.55,23.55,23.55,100
36,23.6,23.6,23.55,23.55,200
59,23.55,23.55,23.495,23.5,4293
60,23.6,23.6,23.6,23.6,100
61,23.6,23.6,23.6,23.6,1000
69,23.55,23.55,23.55,23.55,200
70,23.55,23.6,23.55,23.55,350
76,23.5,23.5,23.5,23.5,700
79,23.5,23.5,23.5,23.5,700
81,23.45,23.45,23.45,23.45,900
83,23.466,23.466,23.466,23.466,213
84,23.5,23.5,23.5,23.5,100
86,23.4,23.4,23.395,23.4,4154
87,23.45,23.45,23.45,23.45,100
88,23.4,23.4,23.35,23.35,1100
91,23.45,23.45,23.45,23.45,100
95,23.3923,23.3923,23.3923,23.3923,1022
97,23.395,23.395,23.395,23.395,1000
99,23.355,23.355,23.355,23.355,1000
101,23.35,23.35,23.35,23.35,100
104,23.4,23.4,23.4,23.4,1000
105,23.425,23.425,23.425,23.425,200
108,23.425,23.425,23.4246,23.4246,400
109,23.425,23.425,23.4247,23.4247,616
110,23.35,23.425,23.35,23.4247,600
114,23.25,23.355,23.25,23.355,6097
116,23.295,23.3,23.295,23.3,434
117,23.2,23.25,23.2,23.2,3598
