EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,16.78,16.78,16.78,16.78,1919
1,16.8,16.8,16.8,16.8,100
3,16.8,16.8,16.8,16.8,300
7,16.83,16.83,16.83,16.83,100
10,16.855,16.855,16.855,16.855,500
16,16.89,16.89,16.88,16.89,700
17,16.8798,16.8798,16.87,16.87,1100
20,16.86,16.88,16.86,16.88,3542
25,16.89,16.89,16.87,16.87,744
27,16.91,16.91,16.885,16.89,1821
28,16.9,16.91,16.9,16.91,1200
30,16.8701,16.8701,16.8701,16.8701,189
34,16.875,16.875,16.875,16.875,100
35,16.88,16.89,16.88,16.88,300
37,16.89,16.89,16.89,16.89,100
38,16.89,16.89,16.885,16.885,200
39,16.88,16.89,16.88,16.89,500
40,16.89,16.89,16.89,16.89,100
42,16.88,16.88,16.88,16.88,100
44,16.86,16.9,16.86,16.89,1000
45,16.87,16.8808,16.87,16.8808,1047
46,16.9065,16.9065,16.9065,16.9065,5910
48,16.9,16.9,16.9,16.9,100
50,16.9,16.9,16.9,16.9,100
52,16.91,16.92,16.9,16.9,662
55,16.92,16.92,16.92,16.92,100
56,16.91,16.91,16.91,16.91,100
57,16.9095,16.9095,16.9095,16.9095,116
59,16.902,16.92,16.902,16.92,336
61,16.91,16.91,16.91,16.91,100
64,16.92,16.92,16.92,16.92,100
65,16.91,16.91,16.91,16.91,400
66,16.91,16.91,16.91,16.91,700
67,16.91,16.91,16.91,16.91,100
68,16.905,16.905,16.905,16.905,100
69,16.91,16.91,16.9001,16.9001,540
70,16.91,16.91,16.91,16.91,700
71,16.9,16.9,16.9,16.9,900
75,16.89,16.89,16.89,16.89,600
76,16.89,16.89,16.89,16.89,100
82,16.9,16.9,16.9,16.9,100
84,16.89,16.9,16.89,16.89,800
85,16.89,16.89,16.89,16.89,100
87,16.91,16.91,16.91,16.91,100
88,16.8982,16.8982,16.8982,16.8982,170
90,16.8998,16.91,16.8998,16.91,1300
91,16.91,16.91,16.91,16.91,100
92,16.91,16.91,16.91,16.91,100
93,16.91,16.91,16.91,16.91,240
95,16.91,16.91,16.91,16.91,1000
96,16.95,16.97,16.91,16.91,10919
97,16.99,17,16.955,16.96,3790
98,16.95,16.98,16.95,16.98,200
102,16.97,16.97,16.9598,16.96,536
103,16.97,16.97,16.97,16.97,200
106,16.97,16.97,16.97,16.97,100
107,16.97,16.97,16.97,16.97,100
108,16.98,16.98,16.98,16.98,161
110,16.99,16.99,16.97,16.98,700
111,17,17,16.9872,16.9872,700
113,17.01,17.02,16.99,17,800
114,17,17.01,17,17.01,200
116,17.015,17.02,17.01,17.01,1100
120,17.01,17.03,17.01,17.03,1500
121,17,17,17,17,302
122,17.02,17.02,17.02,17.02,100
127,17.01,17.01,17.01,17.01,500
129,17,17,17,17,400
130,17.01,17.01,17.01,17.01,417
133,17.01,17.01,17.01,17.01,100
134,17.02,17.02,17.01,17.01,2000
136,17.03,17.03,17.03,17.03,100
137,17.03,17.03,17.03,17.03,100
139,17.02,17.03,17.02,17.03,900
143,17.03,17.03,17.0163,17.0163,382
146,17.02,17.03,17.02,17.03,484
151,17.018,17.018,17.018,17.018,118
152,17.01,17.01,17.01,17.01,100
153,17.03,17.03,17.03,17.03,100
154,17.02,17.02,17.02,17.02,100
160,17.07,17.1,17.06,17.06,889
161,17.08,17.08,17.08,17.08,100
162,17.06,17.06,17.06,17.06,1200
163,17.06,17.06,17.06,17.06,100
164,17.05,17.05,17.04,17.05,1122
165,17.03,17.03,17.03,17.03,300
166,17.04,17.04,17.03,17.03,200
168,17.04,17.04,17.04,17.04,400
169,17.01,17.04,17.01,17.04,2900
170,17.02,17.02,17.02,17.02,1457
171,17.015,17.015,17.0146,17.0146,406
173,17.015,17.015,17.015,17.015,236
178,17.02,17.02,17.02,17.02,200
181,17.03,17.04,17.03,17.04,200
184,17.0263,17.0263,17.01,17.02,500
185,17.015,17.015,17.01,17.01,200
187,17.0175,17.0175,17.0175,17.0175,100
189,17.0175,17.02,17.0175,17.02,1000
190,17.0192,17.0192,17.0192,17.0192,126
194,17.0155,17.0155,17.0155,17.0155,142
197,17.03,17.03,17.03,17.03,100
198,17.06,17.06,17.03,17.03,500
199,17.06,17.06,17.06,17.06,100
200,17.04,17.04,17.04,17.04,100
201,17.02,17.02,17.02,17.02,100
202,17.04,17.04,17.04,17.04,100
204,17.08,17.08,17.04,17.05,1200
209,17.0648,17.0648,17.0648,17.0648,171
210,17.06,17.08,17.06,17.06,600
211,17.08,17.08,17.08,17.08,100
212,17.11,17.11,17.075,17.075,500
215,17.11,17.11,17.11,17.11,900
216,17.09,17.1,17.09,17.1,1100
217,17.05,17.085,17.05,17.085,700
218,17.05,17.05,17.05,17.05,200
221,17.07,17.07,17.04,17.04,400
225,17.06,17.06,17.03,17.03,400
232,17.06,17.06,17.06,17.06,100
233,17.07,17.07,17.07,17.07,100
235,17.06,17.06,17.06,17.06,300
236,17.03,17.05,17.03,17.05,1400
241,17.015,17.02,17.01,17.02,500
242,17.03,17.04,17.02,17.025,1200
243,17.03,17.03,17.03,17.03,200
244,17.02,17.02,17.02,17.02,305
245,17.01,17.02,17.01,17.02,1800
249,17.02,17.02,17.02,17.02,200
250,17.01,17.01,17.01,17.01,100
255,17.01,17.02,17.01,17.02,200
258,16.99,17,16.99,17,600
260,16.995,17,16.99,16.99,500
263,16.9922,17,16.9922,17,4100
264,17.01,17.01,16.9962,17.01,1239
265,16.995,17,16.995,17,600
267,17.01,17.01,17.01,17.01,200
270,17.03,17.04,17.02,17.02,500
271,17.035,17.035,17.03,17.03,200
272,17.03,17.03,17.03,17.03,100
273,17.01,17.02,17.01,17.02,800
274,17.01,17.01,17.01,17.01,200
276,17.01,17.01,17,17,200
277,16.9883,16.9883,16.9883,16.9883,179
278,16.995,16.9975,16.995,16.995,300
280,17,17,17,17,300
283,17,17,17,17,100
285,16.99,16.99,16.99,16.99,185
289,16.97,16.99,16.97,16.99,1174
290,16.975,16.975,16.975,16.975,100
291,16.9899,16.9899,16.98,16.98,520
294,16.99,16.99,16.98,16.98,200
295,17,17,16.99,16.99,2308
297,17.01,17.01,17.01,17.01,200
300,17.05,17.05,17.05,17.05,100
304,17.05,17.05,17.05,17.05,100
307,17.04,17.04,17.025,17.025,200
309,17.01,17.01,17.01,17.01,100
310,17.0221,17.035,17.02,17.03,773
