EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,35.2,35.2,35.2,35.2,744
4,35.38,35.38,35.38,35.38,100
6,35.39,35.39,35.39,35.39,100
7,35.78,35.78,35.47,35.47,1370
10,35.77,35.77,35.77,35.77,100
12,35.7,35.78,35.7,35.78,304
13,35.98,35.98,35.8,35.8,455
16,35.99,35.99,35.78,35.99,1400
18,35.99,35.99,35.99,35.99,200
19,35.96,35.96,35.85,35.85,200
21,35.86,35.99,35.86,35.88,300
22,35.91,35.99,35.86,35.87,900
33,35.99,35.99,35.99,35.99,100
35,36.04,36.04,35.945,35.99,2019
36,36.32,36.32,36.09,36.09,1575
37,36.29,36.29,36.29,36.29,100
38,36.37,36.37,36.37,36.37,100
40,36.26,36.26,36.26,36.26,100
42,36.36,36.36,36.325,36.325,400
44,36.3,36.3,36.3,36.3,100
45,36.28,36.28,36.28,36.28,100
51,36.35,36.35,36.35,36.35,100
52,36.35,36.35,36.34,36.34,300
58,36.67,36.67,36.44,36.44,4050
61,36.5,36.575,36.5,36.53,1300
62,36.49,36.49,36.49,36.49,100
63,36.56,36.56,36.56,36.56,100
65,36.57,36.57,36.57,36.57,200
68,36.58,36.58,36.58,36.58,100
70,36.63,36.679,36.52,36.63,1557
71,36.66,36.67,36.64,36.65,2139
72,36.66,36.66,36.65,36.65,200
77,36.71,36.71,36.71,36.71,100
79,36.6324,36.69,36.6324,36.69,650
80,36.6,36.6,36.6,36.6,100
81,36.6075,36.6075,36.6075,36.6075,100
82,36.605,36.605,36.605,36.605,200
86,36.68,36.68,36.65,36.65,500
88,36.72,36.72,36.72,36.72,200
89,36.85,36.85,36.85,36.85,316
91,36.93,36.93,36.93,36.93,100
95,36.93,36.93,36.93,36.93,100
96,36.76,36.76,36.76,36.76,100
98,36.79,36.91,36.79,36.825,1500
103,36.89,36.89,36.89,36.89,100
107,36.93,36.93,36.89,36.89,800
109,37.06,37.06,36.97,36.97,2690
110,36.92,36.92,36.92,36.92,200
112,37.04,37.04,37.04,37.04,100
113,37.05,37.05,37.05,37.05,100
115,37.19,37.19,37.1,37.1,800
117,37.3,37.3,37.19,37.209,3272
118,37.31,37.31,37.31,37.31,100
120,37.36,37.37,37.36,37.37,200
122,37.37,37.37,37.37,37.37,100
123,37.295,37.37,37.295,37.37,300
124,37.37,37.37,37.37,37.37,100
125,37.37,37.37,37.37,37.37,100
126,37.37,37.37,37.37,37.37,100
127,37.25,37.25,37.25,37.25,100
128,37.35,37.35,37.29,37.29,400
129,37.26,37.26,37.26,37.26,100
130,37.34,37.34,37.2957,37.2957,400
132,37.34,37.34,37.34,37.34,700
133,37.285,37.285,37.285,37.285,100
134,37.38,37.38,37.33,37.33,700
136,37.38,37.38,37.38,37.38,100
137,37.37,37.37,37.37,37.37,100
138,37.4,37.4,37.3499,37.35,2600
139,37.31,37.34,37.31,37.34,400
141,37.4,37.4,37.4,37.4,100
143,37.18,37.34,37.18,37.33,2395
144,37.1752,37.22,37.1752,37.22,500
145,37.04,37.1,37.04,37.1,1100
146,36.9,36.92,36.9,36.92,200
147,36.8,36.9,36.78,36.9,1100
148,36.69,36.695,36.69,36.695,200
149,36.66,36.66,36.66,36.66,100
150,36.65,36.67,36.65,36.65,500
151,36.65,36.65,36.65,36.65,100
152,36.65,36.65,36.65,36.65,100
153,36.77,36.77,36.66,36.66,1230
155,36.83,36.83,36.8,36.8,300
156,36.82,36.82,36.82,36.82,100
158,36.86,36.86,36.86,36.86,100
159,36.67,36.79,36.67,36.725,1400
162,36.685,36.685,36.685,36.685,100
163,36.83,36.83,36.69,36.69,200
164,36.68,36.68,36.68,36.68,200
166,36.64,36.65,36.64,36.65,200
167,36.66,36.66,36.66,36.66,100
168,36.66,36.66,36.66,36.66,100
169,36.67,36.67,36.67,36.67,100
170,36.62,36.66,36.62,36.66,400
171,36.55,36.57,36.55,36.57,400
172,36.52,36.53,36.52,36.53,200
174,36.52,36.52,36.52,36.52,200
175,36.52,36.52,36.52,36.52,100
176,36.52,36.52,36.52,36.52,100
179,36.54,36.65,36.49,36.55,1000
180,36.51,36.51,36.51,36.51,200
182,36.42,36.5,36.42,36.5,900
183,36.554,36.554,36.554,36.554,110
184,36.46,36.5402,36.46,36.5402,1700
186,36.5,36.5,36.5,36.5,100
187,36.49,36.5,36.49,36.5,800
188,36.51,36.51,36.48,36.51,1000
189,36.53,36.53,36.53,36.53,100
190,36.46,36.46,36.46,36.46,100
191,36.47,36.47,36.47,36.47,100
192,36.54,36.54,36.53,36.53,700
193,36.46,36.46,36.46,36.46,200
194,36.37,36.46,36.37,36.46,900
196,36.37,36.37,36.37,36.37,200
197,36.51,36.51,36.46,36.46,900
199,36.45,36.45,36.45,36.45,100
200,36.46,36.46,36.46,36.46,100
201,36.51,36.51,36.46,36.46,200
202,36.47,36.55,36.47,36.55,200
204,36.6,36.61,36.535,36.55,1600
205,36.68,36.78,36.68,36.78,200
213,36.75,36.78,36.75,36.78,200
214,36.81,36.81,36.79,36.79,800
215,36.89,36.89,36.89,36.89,100
218,36.9,36.9,36.8625,36.89,600
219,36.89,36.89,36.89,36.89,200
221,36.99,36.99,36.99,36.99,100
222,36.955,36.955,36.955,36.955,200
223,37.02,37.02,37.02,37.02,198
224,36.92,37.04,36.92,36.98,498
227,36.98,36.98,36.98,36.98,100
230,36.945,37,36.945,37,200
231,36.9,36.9,36.9,36.9,100
233,36.96,37.04,36.945,37,2150
235,37.01,37.01,37.01,37.01,100
236,37,37,37,37,100
237,36.92,36.936,36.92,36.936,207
238,37.01,37.01,36.96,36.96,200
239,36.86,36.94,36.86,36.9,1300
240,36.85,36.85,36.85,36.85,300
242,36.74,36.74,36.71,36.71,318
244,36.67,36.67,36.67,36.67,100
246,36.67,36.68,36.67,36.68,200
247,36.67,36.67,36.67,36.67,100
248,36.67,36.67,36.67,36.67,100
249,36.67,36.67,36.67,36.67,100
250,36.85,36.85,36.67,36.702,2900
251,36.78,36.78,36.78,36.78,100
255,36.73,36.78,36.73,36.78,1300
256,36.67,36.67,36.67,36.67,100
260,36.67,36.67,36.67,36.67,100
261,36.59,36.69,36.56,36.67,1400
262,36.5423,36.5423,36.5423,36.5423,115
266,36.51,36.51,36.51,36.51,100
267,36.51,36.51,36.51,36.51,100
268,36.54,36.63,36.54,36.6,1206
271,36.54,36.54,36.52,36.54,400
