EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,129.69,129.69,129.04,129.04,1345
2,129.5,129.5,129.5,129.5,100
4,129.95,129.95,129.82,129.82,400
5,129.99,130,129.98,129.98,500
8,130.57,130.57,130.27,130.27,1100
9,129.5997,129.5997,129.5997,129.5997,500
14,129.38,129.38,129.38,129.38,220
17,129.905,129.91,129.4901,129.59,600
18,129.1,129.84,129.1,129.84,2200
19,129.48,129.48,129.46,129.46,400
20,129.68,129.68,129.33,129.48,1100
21,129.39,129.39,129.39,129.39,100
22,130.24,130.24,129.82,129.83,1100
30,130.24,130.24,130.24,130.24,100
33,130.805,130.805,130,130.24,1552
34,130.7,130.7,130.7,130.7,100
36,130.76,130.76,130.51,130.51,1990
37,130.79,130.79,130.52,130.7001,1200
39,130.73,130.97,130.73,130.97,800
41,131.06,131.06,131.05,131.05,325
42,131.38,131.49,130.71,131.49,900
43,131.12,131.12,131.11,131.11,600
44,131,131.37,131,131.13,1600
45,130.6605,130.95,130.64,130.741,2400
46,130.77,130.77,130.77,130.77,500
47,130.775,130.775,130.775,130.775,100
49,131.025,131.41,130.76,130.76,14100
50,131.08,131.12,130.9655,130.98,700
51,130.92,131.125,130.92,131.1,3107
52,131.09,131.1,130.92,130.92,2000
53,131.35,131.35,131.0401,131.0401,1000
54,131.39,131.39,131.36,131.36,200
55,131.39,131.44,131.21,131.44,1600
56,131.43,131.43,131.4,131.4,200
57,131.4,131.4,131.4,131.4,100
58,131.675,131.81,131.4,131.4,1589
59,131.8,131.98,131.65,131.96,2500
60,131.62,131.75,131.62,131.75,200
61,131.56,131.59,131.54,131.59,4714
62,131.5,131.55,131.5,131.55,500
63,131.29,131.5225,131.29,131.5225,3500
64,131.25,131.4035,131.09,131.4035,3500
65,131.1564,131.24,131.1564,131.24,1156
66,131.145,131.15,131.145,131.145,900
67,131.26,131.27,131.25,131.25,1042
69,131.49,131.49,131.49,131.49,100
72,131.12,131.285,131.12,131.27,1600
73,131.2,131.21,131.07,131.12,600
74,131.365,131.46,131.22,131.22,1100
75,131.25,131.3399,131.25,131.32,1100
76,131.211,131.31,131.211,131.31,200
77,131.11,131.21,131.11,131.21,500
78,131.19,131.19,131.15,131.15,700
80,131.4,131.4,131.37,131.37,200
87,131.43,131.66,131.43,131.43,1783
89,132,132,131.88,131.88,5825
90,132.22,132.24,131.8443,132.07,1810
91,132.271,132.44,132.0708,132.0708,1450
92,132.11,132.15,132.06,132.11,1300
95,132.1612,132.1612,132.1612,132.1612,100
97,132.395,132.49,132.23,132.24,1400
101,132.215,132.215,132.215,132.215,100
102,132.11,132.46,132.11,132.215,6222
103,132.11,132.11,132.11,132.11,300
104,131.78,132.075,131.61,132.075,2200
105,131.5605,131.765,131.5605,131.765,1800
106,131.86,131.86,131.54,131.54,1000
108,131.96,131.96,131.94,131.94,1100
109,132,132.0675,132,132.0675,600
110,132.07,132.08,132.01,132.01,400
111,131.76,132.18,131.76,132.18,2100
114,132.055,132.16,131.99,131.99,700
115,131.81,132.16,131.81,132.025,3666
116,131.96,132.01,131.91,131.91,2100
118,132,132.01,132,132,700
119,132,132.22,132,132.22,1300
120,131.895,131.9,131.84,131.9,900
121,131.8666,131.8666,131.8666,131.8666,150
123,131.76,131.91,131.76,131.9098,1619
124,131.92,131.92,131.9,131.9,400
129,131.91,131.91,131.91,131.91,120
130,132.03,132.08,132,132.03,4569
131,131.93,132.01,131.84,132.01,2314
132,132,132,132,132,300
133,132,132.18,131.92,132.015,8200
134,131.94,132,131.94,132,2200
135,131.83,131.95,131.83,131.95,1400
138,132.02,132.13,131.93,131.93,1300
139,131.885,131.95,131.84,131.95,1100
140,131.88,131.88,131.88,131.88,100
142,131.74,131.8,131.74,131.8,800
145,131.58,131.7,131.58,131.7,1200
147,131.525,131.525,131.525,131.525,100
148,131.52,131.525,131.52,131.525,200
149,131.56,131.67,131.42,131.64,600
150,131.825,131.825,131.825,131.825,100
151,131.71,131.71,131.71,131.71,100
152,132.185,132.19,131.71,131.71,1100
153,131.71,131.94,131.71,131.94,1900
154,131.5301,131.84,131.5301,131.83,500
157,131.88,131.88,131.88,131.88,100
159,131.73,131.73,131.72,131.73,400
162,131.9,131.94,131.69,131.7,900
163,131.72,131.72,131.72,131.72,300
164,131.72,131.835,131.67,131.835,1650
166,131.565,131.565,131.56,131.56,200
168,131.615,131.615,131.615,131.615,228
169,131.56,131.56,131.56,131.56,200
170,131.5205,131.56,131.52,131.56,1600
171,131.49,131.49,131.31,131.46,1300
172,131.41,131.41,131.41,131.41,200
173,131.48,131.55,131.33,131.33,600
174,131.56,131.56,131.51,131.51,600
175,131.59,131.59,131.47,131.52,1200
177,131.47,131.53,131.47,131.53,200
180,131.48,131.54,131.48,131.54,200
181,131.36,131.48,131.34,131.48,1200
182,131.36,131.36,131.36,131.36,300
184,131.185,131.19,131.185,131.19,200
188,131.36,131.41,131.36,131.39,600
189,131.28,131.34,131.28,131.34,200
191,131.56,131.57,131.56,131.57,200
194,131.34,131.34,131.34,131.34,100
195,131.56,131.56,131.32,131.32,600
196,131.55,131.55,131.48,131.48,200
198,131.56,131.56,131.55,131.55,300
199,131.87,131.87,131.87,131.87,100
204,131.81,131.9,131.81,131.9,200
206,131.9,131.9,131.9,131.9,200
207,131.62,131.625,131.62,131.62,300
208,131.88,131.88,131.88,131.88,100
209,131.71,131.87,131.71,131.775,6322
210,131.58,131.82,131.58,131.66,9868
211,131.525,131.585,131.38,131.55,14192
212,131.66,131.6695,131.47,131.52,3723
213,131.57,131.605,131.45,131.595,2800
214,131.5,131.57,131.46,131.57,2850
215,131.51,131.51,131.46,131.46,600
216,131.42,131.46,131.42,131.46,700
217,131.3745,131.3745,131.36,131.36,200
218,131.4205,131.44,131.4205,131.431,300
219,131.35,131.35,131.34,131.34,600
220,131.433,131.433,131.433,131.433,250
221,131.325,131.6,131.325,131.4,700
222,131.47,131.5,131.47,131.5,200
223,131.5801,131.59,131.5801,131.59,200
224,131.49,131.51,131.36,131.51,1498
225,131.525,131.58,131.41,131.41,2000
226,131.37,131.47,131.36,131.44,600
227,131.4995,131.4995,131.42,131.42,700
228,131.51,131.6395,131.5,131.53,3087
229,131.5,131.51,131.5,131.51,400
230,131.41,131.531,131.37,131.53,3300
231,131.55,131.55,131.4,131.4,500
232,131.44,131.44,131.44,131.44,100
