EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,11.16,11.16,11.16,11.16,2330
1,11.1717,11.2,11.1717,11.2,1200
2,11.2,11.2,11.1924,11.1924,1100
4,11.2484,11.2484,11.1999,11.1999,357
5,11.2495,11.2495,11.2248,11.2248,400
6,11.25,11.25,11.225,11.25,1800
7,11.22,11.22,11.22,11.22,500
8,11.25,11.25,11.211,11.211,7350
9,11.25,11.25,11.2466,11.25,7900
10,11.25,11.25,11.25,11.25,1100
12,11.25,11.25,11.2395,11.25,2252
13,11.294,11.294,11.24,11.24,600
14,11.29,11.29,11.29,11.29,800
15,11.29,11.29,11.265,11.29,800
16,11.2602,11.29,11.24,11.28,2800
17,11.275,11.28,11.26,11.26,700
18,11.28,11.28,11.27,11.27,400
19,11.31,11.31,11.2899,11.29,2274
20,11.3099,11.32,11.3099,11.31,1398
22,11.3098,11.3098,11.3098,11.3098,100
23,11.316,11.316,11.315,11.315,1445
24,11.29,11.32,11.29,11.32,4200
25,11.305,11.3199,11.29,11.3199,300
26,11.305,11.305,11.305,11.305,100
27,11.305,11.305,11.2986,11.2986,1200
28,11.305,11.305,11.305,11.305,100
30,11.3,11.31,11.3,11.305,1350
31,11.295,11.295,11.295,11.295,600
32,11.25,11.29,11.21,11.29,3624
33,11.24,11.2417,11.211,11.24,3600
35,11.24,11.2411,11.24,11.24,2100
36,11.25,11.25,11.25,11.25,300
37,11.23,11.26,11.23,11.26,1399
39,11.25,11.25,11.25,11.25,100
40,11.25,11.25,11.25,11.25,200
41,11.25,11.25,11.23,11.23,325
43,11.3,11.3,11.25,11.25,2791
47,11.2907,11.2907,11.2907,11.2907,100
49,11.2985,11.2985,11.29,11.29,400
51,11.3,11.3,11.2999,11.3,1300
52,11.3,11.3,11.29,11.3,3425
54,11.32,11.32,11.3,11.3,2109
55,11.36,11.4,11.34,11.34,8956
56,11.36,11.4,11.36,11.4,5400
57,11.3616,11.38,11.3616,11.38,900
58,11.37,11.37,11.37,11.37,100
60,11.38,11.38,11.38,11.38,100
61,11.3658,11.3658,11.335,11.365,2800
62,11.335,11.335,11.335,11.335,100
67,11.325,11.325,11.325,11.325,100
68,11.325,11.325,11.325,11.325,1000
69,11.32,11.3299,11.32,11.325,1760
70,11.3107,11.3107,11.3107,11.3107,100
71,11.3107,11.32,11.3107,11.3107,2300
72,11.3106,11.3106,11.3106,11.3106,2500
73,11.29,11.32,11.27,11.32,14640
74,11.2721,11.285,11.27,11.285,500
75,11.27,11.2721,11.27,11.27,500
76,11.29,11.29,11.27,11.27,5900
77,11.27,11.27,11.27,11.27,200
78,11.27,11.27,11.27,11.27,200
79,11.27,11.27,11.27,11.27,200
80,11.27,11.2794,11.27,11.27,2200
81,11.27,11.275,11.27,11.275,900
82,11.27,11.2705,11.27,11.27,1300
83,11.27,11.27,11.27,11.27,200
84,11.21,11.27,11.21,11.27,19360
85,11.21,11.21,11.21,11.21,200
86,11.21,11.21,11.21,11.21,200
87,11.21,11.21,11.21,11.21,400
89,11.258,11.258,11.258,11.258,2000
95,11.28,11.28,11.28,11.28,1600
96,11.285,11.285,11.285,11.285,100
98,11.285,11.285,11.285,11.285,100
99,11.285,11.285,11.285,11.285,100
100,11.29,11.29,11.29,11.29,100
101,11.28,11.29,11.28,11.29,300
102,11.29,11.29,11.29,11.29,100
103,11.29,11.29,11.29,11.29,100
105,11.29,11.29,11.29,11.29,100
106,11.29,11.29,11.29,11.29,5400
107,11.2988,11.2988,11.2988,11.2988,4000
109,11.32,11.32,11.3,11.3,1930
110,11.3204,11.3204,11.32,11.32,1000
117,11.325,11.325,11.325,11.325,600
118,11.31,11.3387,11.31,11.325,4100
125,11.24,11.31,11.24,11.31,3197
126,11.21,11.21,11.21,11.21,200
132,11.2661,11.2661,11.2661,11.2661,100
136,11.2928,11.2928,11.2928,11.2928,3668
144,11.34,11.34,11.31,11.33,500
159,11.3399,11.3399,11.3399,11.3399,500
164,11.27,11.27,11.27,11.27,400
170,11.2938,11.2938,11.2938,11.2938,1400
173,11.245,11.2843,11.245,11.2843,2400
174,11.25,11.25,11.24,11.25,700
177,11.245,11.29,11.245,11.29,200
189,11.2751,11.2751,11.2751,11.2751,100
191,11.2774,11.2774,11.2774,11.2774,300
192,11.2601,11.2836,11.2601,11.2836,1580
195,11.28,11.28,11.28,11.28,1300
196,11.23,11.29,11.2,11.28,6548
197,11.25,11.25,11.25,11.25,200
199,11.2498,11.2498,11.2498,11.2498,200
204,11.2526,11.2526,11.2526,11.2526,1800
211,11.21,11.21,11.21,11.21,200
213,11.2452,11.2452,11.2452,11.2452,400
216,11.2452,11.2452,11.2452,11.2452,500
221,11.245,11.245,11.245,11.245,4500
222,11.245,11.245,11.245,11.245,100
224,11.245,11.245,11.245,11.245,100
225,11.2658,11.2658,11.255,11.255,2600
227,11.255,11.255,11.255,11.255,100
228,11.255,11.255,11.255,11.255,100
230,11.255,11.255,11.255,11.255,100
231,11.255,11.255,11.255,11.255,100
232,11.255,11.255,11.255,11.255,100
234,11.29,11.29,11.275,11.275,500
235,11.275,11.275,11.275,11.275,100
237,11.275,11.275,11.275,11.275,100
238,11.3,11.3,11.25,11.25,1596
240,11.32,11.33,11.32,11.33,201
241,11.32,11.32,11.32,11.32,100
242,11.34,11.34,11.34,11.34,339
243,11.34,11.34,11.34,11.34,215
246,11.3663,11.3663,11.3537,11.36,300
247,11.36,11.36,11.36,11.36,100
248,11.36,11.36,11.36,11.36,100
250,11.36,11.36,11.36,11.36,100
251,11.36,11.36,11.36,11.36,100
253,11.36,11.36,11.36,11.36,100
261,11.3595,11.3595,11.3595,11.3595,400
266,11.42,11.42,11.355,11.38,7750
267,11.46,11.46,11.4099,11.419,4500
268,11.45,11.45,11.45,11.45,556
269,11.46,11.46,11.46,11.46,1000
270,11.474,11.51,11.474,11.48,5294
271,11.5471,11.57,11.4904,11.4904,2807
272,11.591,11.6,11.501,11.501,2081
273,11.6367,11.65,11.605,11.605,2920
274,11.6093,11.65,11.6093,11.62,839
275,11.62,11.62,11.62,11.62,700
276,11.6272,11.65,11.6272,11.65,600
277,11.58,11.58,11.58,11.58,100
278,11.555,11.555,11.555,11.555,100
279,11.52,11.52,11.52,11.52,100
280,11.6,11.6,11.5501,11.5501,638
281,11.5997,11.6,11.575,11.575,2640
284,11.6301,11.6301,11.625,11.625,600
