EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,20.6,20.6,20.6,20.6,972
3,20.6011,20.6011,20.6011,20.6011,100
6,20.65,20.8,20.65,20.8,2050
7,20.6,20.6,20.6,20.6,100
13,20.7,20.7,20.7,20.7,200
14,20.65,20.675,20.65,20.675,200
18,20.625,20.65,20.55,20.65,1502
22,20.55,20.55,20.55,20.55,100
24,20.5,20.5,20.5,20.5,300
25,20.45,20.5,20.45,20.5,200
26,20.45,20.45,20.45,20.45,100
28,20.5,20.5,20.45,20.45,200
29,20.55,20.55,20.55,20.55,100
32,20.5,20.5,20.5,20.5,100
33,20.45,20.45,20.45,20.45,200
34,20.4378,20.4378,20.4378,20.4378,200
35,20.45,20.45,20.45,20.45,100
42,20.5,20.5,20.5,20.5,100
43,20.475,20.5,20.45,20.45,400
49,20.475,20.475,20.475,20.475,100
55,20.475,20.475,20.475,20.475,100
56,20.475,20.5,20.475,20.5,300
57,20.4999,20.4999,20.475,20.475,200
63,20.475,20.475,20.475,20.475,100
64,20.45,20.45,20.45,20.45,100
67,20.5,20.5,20.475,20.475,200
68,20.475,20.475,20.475,20.475,100
69,20.55,20.6,20.5,20.5,2000
70,20.5,20.55,20.5,20.55,200
71,20.55,20.55,20.55,20.55,100
72,20.55,20.55,20.45,20.5,527
74,20.45,20.45,20.45,20.45,100
75,20.45,20.45,20.45,20.45,100
83,20.55,20.55,20.5,20.5,680
84,20.6,20.6,20.55,20.55,968
85,20.6,20.6,20.5,20.5,400
86,20.575,20.575,20.575,20.575,100
88,20.55,20.55,20.5,20.55,800
89,20.5,20.5,20.5,20.5,500
90,20.55,20.55,20.5,20.5,500
91,20.5,20.55,20.5,20.5,1600
92,20.5,20.525,20.5,20.5,700
94,20.5,20.5,20.5,20.5,3250
95,20.55,20.55,20.525,20.525,3337
96,20.55,20.55,20.55,20.55,500
97,20.55,20.55,20.55,20.55,2500
98,20.55,20.55,20.55,20.55,200
99,20.6,20.6,20.6,20.6,1000
100,20.6,20.6,20.6,20.6,500
101,20.6,20.6,20.6,20.6,100
102,20.65,20.65,20.6,20.6,900
104,20.7,20.7,20.6,20.6,1343
105,20.7,20.7,20.7,20.7,601
108,20.725,20.725,20.725,20.725,100
109,20.725,20.725,20.725,20.725,300
113,20.7,20.725,20.7,20.725,806
114,20.65,20.65,20.65,20.65,200
115,20.65,20.65,20.65,20.65,100
118,20.6,20.6,20.6,20.6,100
119,20.65,20.65,20.65,20.65,100
124,20.6,20.6,20.6,20.6,200
130,20.6,20.6,20.6,20.6,100
132,20.55,20.55,20.55,20.55,100
134,20.625,20.65,20.625,20.65,200
142,20.6152,20.65,20.6152,20.65,400
147,20.65,20.65,20.65,20.65,100
148,20.65,20.65,20.65,20.65,100
149,20.65,20.65,20.65,20.65,100
150,20.65,20.65,20.65,20.65,100
157,20.65,20.65,20.65,20.65,100
164,20.6,20.6,20.6,20.6,100
169,20.65,20.65,20.65,20.65,100
175,20.7,20.7,20.7,20.7,100
176,20.65,20.65,20.65,20.65,100
177,20.65,20.65,20.65,20.65,200
179,20.6,20.6,20.6,20.6,100
180,20.65,20.65,20.65,20.65,100
182,20.625,20.7,20.625,20.625,787
183,20.65,20.65,20.65,20.65,100
187,20.625,20.65,20.625,20.65,200
192,20.65,20.65,20.65,20.65,300
193,20.625,20.625,20.625,20.625,200
203,20.625,20.625,20.625,20.625,100
204,20.625,20.625,20.625,20.625,300
205,20.65,20.65,20.65,20.65,500
206,20.675,20.7,20.65,20.65,1100
212,20.7,20.7,20.7,20.7,100
215,20.725,20.725,20.725,20.725,100
216,20.7,20.725,20.7,20.725,200
221,20.65,20.65,20.65,20.65,100
222,20.7,20.7,20.7,20.7,100
223,20.65,20.65,20.65,20.65,100
224,20.7,20.7,20.7,20.7,100
229,20.7,20.7,20.7,20.7,100
239,20.7,20.7,20.7,20.7,100
241,20.7,20.7,20.7,20.7,300
242,20.65,20.65,20.65,20.65,700
243,20.625,20.65,20.625,20.65,200
244,20.625,20.625,20.625,20.625,400
245,20.625,20.625,20.625,20.625,200
246,20.625,20.625,20.625,20.625,100
247,20.6,20.625,20.6,20.625,200
251,20.625,20.625,20.625,20.625,100
258,20.6,20.6,20.6,20.6,900
264,20.6,20.6,20.6,20.6,100
268,20.625,20.65,20.6,20.6,1168
269,20.65,20.7,20.65,20.7,200
272,20.7,20.7,20.7,20.7,300
275,20.7,20.7,20.7,20.7,100
277,20.6,20.65,20.6,20.65,1844
278,20.6,20.6,20.6,20.6,100
289,20.55,20.55,20.55,20.55,100
290,20.55,20.55,20.55,20.55,300
291,20.55,20.55,20.525,20.55,860
300,20.525,20.525,20.525,20.525,100
301,20.525,20.55,20.525,20.525,400
302,20.525,20.55,20.525,20.525,500
303,20.525,20.55,20.525,20.525,500
304,20.575,20.6,20.55,20.55,640
305,20.6,20.6,20.6,20.6,100
309,20.5,20.575,20.5,20.55,2500
310,20.55,20.55,20.55,20.55,300
320,20.6,20.6,20.6,20.6,100
322,20.55,20.55,20.525,20.55,400
323,20.55,20.55,20.525,20.525,200
324,20.525,20.525,20.525,20.525,200
326,20.525,20.525,20.525,20.525,100
327,20.55,20.55,20.55,20.55,100
330,20.525,20.525,20.525,20.525,200
331,20.525,20.55,20.525,20.55,400
334,20.525,20.525,20.525,20.525,200
335,20.525,20.55,20.525,20.55,300
336,20.525,20.55,20.525,20.55,400
338,20.5,20.5,20.4919,20.5,1460
341,20.5,20.5,20.5,20.5,100
343,20.5,20.5,20.5,20.5,100
345,20.5,20.5,20.5,20.5,100
348,20.55,20.55,20.45,20.45,200
350,20.5,20.5,20.5,20.5,100
351,20.5,20.5,20.5,20.5,300
352,20.5,20.5,20.5,20.5,100
356,20.5,20.5,20.5,20.5,300
358,20.5,20.5,20.5,20.5,900
359,20.5,20.5,20.5,20.5,900
361,20.525,20.525,20.525,20.525,100
362,20.55,20.55,20.525,20.525,560
364,20.6,20.6,20.6,20.6,100
366,20.6,20.6,20.575,20.6,300
367,20.625,20.625,20.6,20.6,666
368,20.65,20.65,20.65,20.65,100
369,20.65,20.65,20.65,20.65,200
370,20.65,20.65,20.625,20.625,400
371,20.625,20.625,20.625,20.625,100
372,20.625,20.625,20.625,20.625,100
373,20.65,20.65,20.645,20.65,4207
374,20.65,20.65,20.625,20.625,500
375,20.7,20.7,20.675,20.7,1200
