EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520261100,9.22,9.22,9.22,9.22,1000
11,9.22,9.22,9.22,9.22,1000
18,9.219,9.219,9.219,9.219,500
54,9.22,9.22,9.22,9.22,1000
143,9.2302,9.2302,9.2302,9.2302,300
174,9.2264,9.2264,9.2264,9.2264,2000
189,9.2499,9.2499,9.24,9.24,1300
194,9.2416,9.2416,9.24,9.24,750
205,9.2,9.221,9.2,9.221,2300
212,9.19,9.19,9.19,9.19,1200
225,9.15,9.18,9.15,9.18,800
268,9.15,9.15,9.15,9.15,1100
315,9.08,9.14,9.08,9.14,1400
316,9.0054,9.0955,9.0054,9.07,20237
323,9.0995,9.0995,9.07,9.07,2500
366,9.09,9.11,9.09,9.101,600
367,9.09,9.09,9.09,9.09,1200
370,9.09,9.09,9.09,9.09,200
374,9.1,9.1,9.1,9.1,300
375,9.09,9.1,9.09,9.1,1200
a1520349000,9.1083,9.1083,9.1083,9.1083,1200
8,9.14,9.14,9.119,9.119,3771
24,9.16,9.16,9.16,9.16,200
42,9.15,9.15,9.15,9.15,100
87,9.1799,9.1799,9.1799,9.1799,2000
173,9.1799,9.1799,9.1799,9.1799,1500
214,9.1799,9.1799,9.1799,9.1799,700
321,9.15,9.161,9.15,9.161,12500
340,9.17,9.17,9.16,9.16,1000
a1520433000,9.15,9.15,9.15,9.15,1000
22,9.1899,9.1899,9.18,9.18,6500
46,9.1,9.17,9.1,9.17,17783
50,9.1,9.1,9.1,9.1,4205
54,9.16,9.16,9.16,9.16,1100
57,9.16,9.16,9.16,9.16,2451
90,9.16,9.16,9.16,9.16,100
167,9.1546,9.1546,9.1546,9.1546,1500
168,9.15,9.15,9.15,9.15,100
206,9.16,9.16,9.159,9.159,2500
232,9.18,9.18,9.16,9.16,2500
284,9.151,9.151,9.151,9.151,2500
290,9.1834,9.1834,9.1834,9.1834,2500
325,9.1,9.141,9.1,9.141,5700
331,9.0947,9.0947,9.0947,9.0947,2750
337,9.1,9.1,9.1,9.1,1657
339,9.1,9.1,9.1,9.1,400
340,9.08,9.08,9.08,9.08,1200
345,9.0701,9.0701,9.0701,9.0701,800
346,9.1,9.1,9.07,9.1,11557
348,9.0915,9.0915,9.0915,9.0915,1500
372,9.1,9.1,9.0949,9.0949,14347
377,9.1,9.1,9.1,9.1,1392
a1520520900,9.13,9.13,9.119,9.119,1200
28,9.1318,9.15,9.1118,9.12,5000
103,9.15,9.15,9.15,9.15,600
104,9.145,9.16,9.1434,9.1434,2105
105,9.1599,9.1599,9.1599,9.1599,1100
164,9.18,9.18,9.16,9.16,5000
171,9.3627,9.3899,9.18,9.18,9925
175,9.31,9.31,9.31,9.31,100
176,9.3,9.31,9.3,9.3001,2200
184,9.28,9.28,9.28,9.28,1400
185,9.28,9.28,9.28,9.28,800
199,9.28,9.28,9.28,9.28,600
250,9.3104,9.3104,9.295,9.295,1950
280,9.289,9.289,9.289,9.289,1000
281,9.2872,9.2872,9.2872,9.2872,1500
312,9.27,9.27,9.27,9.27,800
a1520610540,9.2814,9.3,9.2814,9.3,1000
179,9.31,9.31,9.31,9.31,100
183,9.31,9.31,9.31,9.31,100
184,9.3132,9.3132,9.3132,9.3132,2500
188,9.3,9.3,9.3,9.3,955
TIMEZONE_OFFSET=-240
a1520865780,9.3299,9.3299,9.3299,9.3299,500
23,9.2901,9.2901,9.2901,9.2901,2500
37,9.3096,9.3096,9.3096,9.3096,400
104,9.3,9.3,9.3,9.3,100
105,9.28,9.3,9.28,9.3,3300
156,9.279,9.28,9.279,9.279,600
217,9.2737,9.2737,9.2737,9.2737,1500
237,9.26,9.27,9.26,9.27,7800
238,9.2513,9.2513,9.2513,9.2513,2200
276,9.26,9.26,9.26,9.26,1200
296,9.3106,9.3106,9.3106,9.3106,650
a1520951760,9.25,9.289,9.25,9.289,4250
1,9.25,9.25,9.25,9.25,100
2,9.2601,9.265,9.2601,9.265,200
4,9.25,9.25,9.25,9.25,100
7,9.25,9.25,9.25,9.25,100
10,9.26,9.26,9.26,9.26,100
13,9.25,9.25,9.25,9.25,100
17,9.25,9.25,9.25,9.25,100
20,9.25,9.25,9.25,9.25,100
23,9.25,9.25,9.25,9.25,100
26,9.25,9.25,9.25,9.25,100
29,9.25,9.25,9.25,9.25,100
32,9.25,9.25,9.25,9.25,100
35,9.25,9.25,9.25,9.25,100
39,9.25,9.25,9.25,9.25,2100
40,9.2599,9.2599,9.2501,9.2501,2000
41,9.2597,9.2599,9.2597,9.2599,2000
42,9.25,9.25,9.25,9.25,100
45,9.25,9.25,9.25,9.25,100
49,9.25,9.25,9.25,9.25,100
52,9.25,9.25,9.25,9.25,100
55,9.25,9.25,9.25,9.25,100
59,9.25,9.25,9.25,9.25,100
60,9.25,9.25,9.25,9.25,2050
62,9.25,9.25,9.25,9.25,100
66,9.25,9.25,9.25,9.25,100
69,9.25,9.25,9.25,9.25,100
73,9.25,9.25,9.25,9.25,100
76,9.25,9.25,9.25,9.25,100
80,9.25,9.25,9.25,9.25,100
83,9.25,9.25,9.25,9.25,200
87,9.25,9.25,9.25,9.25,100
89,9.25,9.25,9.25,9.25,100
90,9.25,9.25,9.25,9.25,100
91,9.25,9.25,9.25,9.25,100
92,9.25,9.25,9.25,9.25,100
93,9.25,9.25,9.25,9.25,100
94,9.25,9.25,9.25,9.25,200
96,9.25,9.25,9.25,9.25,100
97,9.25,9.25,9.25,9.25,100
98,9.25,9.25,9.25,9.25,100
99,9.25,9.25,9.25,9.25,100
100,9.25,9.25,9.25,9.25,100
102,9.25,9.25,9.25,9.25,200
103,9.25,9.25,9.25,9.25,100
105,9.25,9.25,9.25,9.25,100
106,9.25,9.25,9.25,9.25,200
108,9.25,9.25,9.25,9.25,100
109,9.25,9.25,9.25,9.25,100
110,9.25,9.25,9.25,9.25,100
111,9.25,9.25,9.25,9.25,100
112,9.25,9.25,9.25,9.25,100
114,9.25,9.25,9.25,9.25,200
118,9.24,9.24,9.24,9.24,100
122,9.23,9.23,9.23,9.23,100
125,9.22,9.22,9.22,9.22,100
128,9.21,9.21,9.21,9.21,100
130,9.21,9.21,9.21,9.21,100
131,9.2,9.2,9.2,9.2,100
133,9.2,9.2,9.2,9.2,100
135,9.16,9.16,9.16,9.16,100
136,9.15,9.189,9.15,9.189,2000
138,9.15,9.15,9.15,9.15,100
