EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,9.3,9.3,9.3,9.3,359
5,9.27,9.27,9.27,9.27,100
6,9.26,9.26,9.26,9.26,400
7,9.27,9.27,9.27,9.27,520
10,9.26,9.26,9.26,9.26,100
11,9.27,9.2701,9.27,9.27,300
12,9.28,9.28,9.28,9.28,100
16,9.28,9.29,9.28,9.29,300
19,9.28,9.28,9.28,9.28,200
22,9.28,9.28,9.28,9.28,100
25,9.28,9.28,9.28,9.28,300
27,9.29,9.29,9.29,9.29,100
28,9.3,9.3,9.3,9.3,100
32,9.29,9.29,9.29,9.29,100
34,9.29,9.327,9.29,9.327,1200
36,9.3,9.3,9.3,9.3,100
37,9.29,9.29,9.29,9.29,200
38,9.28,9.28,9.28,9.28,100
40,9.28,9.28,9.28,9.28,100
42,9.28,9.28,9.27,9.27,200
43,9.28,9.28,9.28,9.28,100
45,9.28,9.28,9.28,9.28,100
47,9.28,9.28,9.28,9.28,100
50,9.28,9.28,9.28,9.28,100
52,9.2801,9.2801,9.28,9.28,200
53,9.2834,9.2834,9.2834,9.2834,200
54,9.28,9.28,9.28,9.28,100
55,9.28,9.28,9.28,9.28,703
57,9.28,9.28,9.28,9.28,100
59,9.28,9.28,9.28,9.28,100
60,9.2801,9.2801,9.2801,9.2801,200
62,9.28,9.28,9.28,9.28,100
64,9.28,9.28,9.28,9.28,100
69,9.28,9.28,9.28,9.28,100
72,9.28,9.28,9.28,9.28,100
74,9.2801,9.2801,9.28,9.28,200
75,9.2801,9.2801,9.2801,9.2801,900
77,9.28,9.29,9.28,9.29,629
80,9.28,9.28,9.28,9.28,100
82,9.28,9.28,9.28,9.28,100
83,9.28,9.28,9.28,9.28,100
86,9.2801,9.2801,9.28,9.28,200
88,9.29,9.29,9.29,9.29,200
92,9.29,9.29,9.29,9.29,200
98,9.3,9.302,9.3,9.302,700
101,9.3,9.3,9.3,9.3,200
103,9.3001,9.3001,9.3001,9.3001,100
105,9.3,9.3,9.3,9.3,100
106,9.32,9.32,9.31,9.31,1300
107,9.32,9.32,9.32,9.32,500
111,9.3101,9.3101,9.3101,9.3101,100
114,9.35,9.35,9.32,9.33,731
119,9.36,9.36,9.36,9.36,100
122,9.36,9.36,9.36,9.36,100
125,9.3402,9.35,9.34,9.35,1100
127,9.33,9.33,9.33,9.33,100
128,9.33,9.33,9.32,9.33,2000
133,9.349,9.35,9.349,9.35,3300
135,9.34,9.34,9.34,9.34,100
137,9.34,9.3401,9.34,9.3401,600
139,9.34,9.34,9.34,9.34,138
142,9.34,9.34,9.34,9.34,100
145,9.34,9.34,9.34,9.34,100
148,9.33,9.33,9.33,9.33,100
150,9.34,9.3401,9.34,9.34,1500
155,9.35,9.36,9.35,9.35,1000
156,9.35,9.35,9.35,9.35,783
160,9.3301,9.3301,9.3301,9.3301,200
194,9.3321,9.339,9.33,9.33,900
198,9.34,9.34,9.34,9.34,300
200,9.3301,9.3301,9.3301,9.3301,100
214,9.35,9.35,9.3499,9.3499,3402
216,9.36,9.36,9.36,9.36,220
219,9.366,9.366,9.366,9.366,530
225,9.37,9.37,9.37,9.37,200
231,9.3799,9.3799,9.3799,9.3799,200
243,9.36,9.36,9.36,9.36,100
265,9.3667,9.3667,9.3667,9.3667,500
280,9.35,9.35,9.35,9.35,100
281,9.355,9.355,9.355,9.355,225
291,9.35,9.35,9.35,9.35,100
306,9.34,9.34,9.34,9.34,100
307,9.3455,9.3455,9.3401,9.3401,2425
325,9.3568,9.3599,9.3568,9.3569,538
327,9.36,9.36,9.36,9.36,100
330,9.36,9.36,9.35,9.35,200
331,9.36,9.36,9.36,9.36,100
341,9.36,9.36,9.36,9.36,100
349,9.3672,9.3672,9.3672,9.3672,200
352,9.36,9.36,9.36,9.36,100
354,9.37,9.37,9.37,9.37,100
358,9.37,9.37,9.37,9.37,100
364,9.37,9.37,9.37,9.37,800
365,9.37,9.37,9.37,9.37,300
366,9.37,9.37,9.37,9.37,500
367,9.3701,9.38,9.37,9.38,1785
368,9.38,9.38,9.38,9.38,200
369,9.36,9.37,9.36,9.37,1500
370,9.36,9.37,9.36,9.37,1700
373,9.36,9.36,9.36,9.36,371
384,9.3701,9.375,9.3701,9.375,619
386,9.38,9.38,9.38,9.38,600
388,9.37,9.37,9.37,9.37,100
a1520346600,9.47,9.47,9.47,9.47,7512
1,9.48,9.48,9.48,9.48,136
4,9.49,9.49,9.45,9.48,3050
5,9.43,9.43,9.43,9.43,100
8,9.4709,9.4709,9.4709,9.4709,350
11,9.43,9.48,9.43,9.48,300
13,9.43,9.43,9.43,9.43,100
15,9.43,9.43,9.43,9.43,100
16,9.43,9.43,9.43,9.43,100
17,9.45,9.46,9.43,9.43,400
19,9.45,9.45,9.45,9.45,550
20,9.46,9.46,9.46,9.46,1997
22,9.47,9.47,9.47,9.47,100
23,9.44,9.44,9.44,9.44,100
24,9.42,9.45,9.42,9.45,3000
26,9.43,9.44,9.42,9.44,1300
27,9.44,9.44,9.44,9.44,2179
31,9.43,9.43,9.43,9.43,100
33,9.42,9.42,9.42,9.42,100
34,9.46,9.46,9.46,9.46,100
35,9.47,9.47,9.43,9.43,200
36,9.44,9.47,9.44,9.47,200
38,9.43,9.46,9.43,9.46,200
39,9.46,9.46,9.46,9.46,100
40,9.43,9.43,9.43,9.43,100
41,9.44,9.46,9.44,9.46,200
42,9.46,9.46,9.46,9.46,100
43,9.44,9.46,9.44,9.46,200
46,9.45,9.46,9.45,9.46,400
47,9.45,9.45,9.44,9.44,200
49,9.45,9.45,9.45,9.45,100
51,9.45,9.46,9.45,9.46,200
53,9.46,9.46,9.46,9.46,100
54,9.44,9.44,9.44,9.44,100
55,9.46,9.46,9.46,9.46,100
57,9.46,9.46,9.45,9.45,2704
59,9.45,9.46,9.45,9.46,200
60,9.47,9.47,9.47,9.47,100
62,9.45,9.47,9.45,9.47,200
63,9.4501,9.4501,9.4501,9.4501,100
64,9.4576,9.47,9.4576,9.47,300
65,9.45,9.45,9.45,9.45,100
67,9.47,9.47,9.47,9.47,100
69,9.47,9.47,9.47,9.47,100
70,9.47,9.47,9.47,9.47,100
71,9.45,9.45,9.45,9.45,100
77,9.45,9.47,9.45,9.47,200
82,9.46,9.46,9.44,9.44,300
86,9.46,9.46,9.46,9.46,100
88,9.45,9.45,9.45,9.45,100
