EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,11.81,11.81,11.81,11.81,1227
16,11.8728,11.8728,11.8728,11.8728,500
21,11.84,11.84,11.84,11.84,100
40,11.84,11.865,11.84,11.865,600
41,11.855,11.855,11.855,11.855,195
45,11.86,11.86,11.8464,11.8464,223
54,11.84,11.84,11.84,11.84,200
55,11.82,11.82,11.82,11.82,200
56,11.835,11.85,11.835,11.85,900
57,11.85,11.85,11.85,11.85,100
61,11.82,11.82,11.82,11.82,100
64,11.85,11.85,11.82,11.82,200
68,11.84,11.85,11.82,11.82,1804
70,11.84,11.84,11.84,11.84,604
71,11.85,11.85,11.8314,11.8314,700
74,11.87,11.87,11.87,11.87,100
78,11.8542,11.8542,11.8542,11.8542,100
81,11.8535,11.8535,11.8535,11.8535,100
83,11.8535,11.8535,11.8535,11.8535,100
86,11.8748,11.8748,11.8748,11.8748,200
88,11.93,11.93,11.9,11.9,675
89,11.9,11.9,11.88,11.88,705
92,11.88,11.89,11.88,11.89,300
106,11.91,11.91,11.91,11.91,100
143,11.9604,11.9604,11.9604,11.9604,1000
150,11.96,11.96,11.96,11.96,200
151,11.94,11.94,11.94,11.94,100
164,11.9,11.9,11.9,11.9,100
200,11.9,11.9299,11.9,11.9299,1367
205,11.9,11.9107,11.9,11.9107,1100
206,11.9,11.9,11.9,11.9,300
207,11.9299,11.9299,11.9299,11.9299,582
208,11.93,11.93,11.92,11.92,300
213,11.9275,11.9275,11.9275,11.9275,400
214,11.93,11.93,11.925,11.9299,1755
236,11.9603,11.9603,11.9603,11.9603,326
241,11.9551,11.9551,11.9551,11.9551,105
270,11.9,11.9243,11.9,11.9243,1920
275,11.88,11.91,11.88,11.91,3116
276,11.9,11.91,11.89,11.91,703
277,11.9,11.9,11.9,11.9,100
278,11.8979,11.8979,11.8979,11.8979,200
280,11.9,11.9,11.89,11.89,424
281,11.89,11.89,11.89,11.89,100
285,11.9,11.9,11.89,11.89,1172
286,11.9,11.9,11.9,11.9,100
287,11.89,11.9,11.89,11.9,500
289,11.89,11.89,11.89,11.89,100
290,11.9,11.9,11.9,11.9,100
294,11.9,11.9,11.9,11.9,100
300,11.89,11.9061,11.89,11.9,4440
301,11.89,11.89,11.89,11.89,100
306,11.9,11.9,11.9,11.9,100
309,11.9199,11.9199,11.9199,11.9199,1005
310,11.9,11.9,11.9,11.9,400
312,11.9,11.9199,11.9,11.9199,601
316,11.9199,11.9199,11.9199,11.9199,501
317,11.92,11.92,11.92,11.92,504
319,11.92,11.92,11.92,11.92,503
322,11.92,11.92,11.92,11.92,502
324,11.92,11.92,11.92,11.92,501
335,11.93,11.93,11.93,11.93,100
341,11.91,11.91,11.91,11.91,100
343,11.92,11.92,11.92,11.92,100
352,11.91,11.91,11.91,11.91,100
356,11.95,11.95,11.94,11.94,400
360,11.94,11.94,11.94,11.94,200
365,11.94,11.94,11.923,11.923,800
366,11.94,11.94,11.94,11.94,400
367,11.98,11.98,11.94,11.94,300
372,11.97,11.97,11.97,11.97,100
373,11.97,11.98,11.96,11.98,400
375,11.98,11.98,11.98,11.98,200
376,11.98,11.98,11.98,11.98,300
378,11.99,11.99,11.99,11.99,324
379,11.99,11.99,11.99,11.99,100
380,12,12,12,12,200
382,11.99,11.99,11.99,11.99,200
383,11.99,11.99,11.99,11.99,200
385,11.968,11.968,11.968,11.968,437
386,11.99,11.99,11.99,11.99,200
387,11.98,11.99,11.98,11.99,230
388,12,12,11.99,11.99,200
389,12,12,11.99,11.99,200
390,11.99,12,11.92,12,600
a1520346600,12.09,12.09,12.09,12.09,3624
7,12.04,12.04,12.04,12.04,2836
9,12.0261,12.0261,12.0261,12.0261,500
11,12.05,12.05,12.0499,12.0499,1925
13,12.04,12.04,12.04,12.04,500
20,12.045,12.05,12.0199,12.0301,6150
22,12.05,12.05,12.04,12.04,3000
23,12.04,12.04,12.04,12.04,1800
28,12.04,12.04,12.04,12.04,1100
43,12.03,12.03,12.024,12.024,600
56,12.02,12.02,12.02,12.02,100
77,12.04,12.04,12.04,12.04,225
82,12.04,12.04,12.04,12.04,200
84,12.03,12.03,12.03,12.03,200
90,12.04,12.04,12.04,12.04,100
94,12.04,12.04,12.04,12.04,100
96,12.04,12.04,12.04,12.04,100
98,12.04,12.04,12.04,12.04,100
102,12.04,12.04,12.04,12.04,100
105,12.04,12.04,12.04,12.04,100
106,12.01,12.01,12.01,12.01,657
107,12.04,12.04,12.04,12.04,100
108,12.03,12.03,12.03,12.03,103
109,12.04,12.04,12.04,12.04,100
111,12.04,12.04,12.04,12.04,100
112,12.04,12.04,12.04,12.04,100
113,12.04,12.04,12.04,12.04,100
114,12.04,12.04,12.04,12.04,100
116,12.04,12.04,12.04,12.04,100
117,12.04,12.04,12.04,12.04,100
118,12.04,12.04,12.04,12.04,100
119,12.04,12.04,12.04,12.04,100
120,12.04,12.04,12.04,12.04,100
122,12.04,12.04,12.04,12.04,100
123,12.04,12.04,12.04,12.04,100
124,12.04,12.04,12.04,12.04,100
126,12.0201,12.04,12.0201,12.04,601
127,12.04,12.04,12.04,12.04,100
128,12.04,12.04,12.04,12.04,100
130,12.04,12.04,12.04,12.04,100
131,12.04,12.04,12.0201,12.0201,601
132,12.0201,12.0201,12.0201,12.0201,501
133,12.04,12.04,12.04,12.04,100
134,12.04,12.04,12.03,12.03,400
135,12.03,12.039,12.03,12.039,1100
137,12.03,12.03,12.03,12.03,100
138,12.04,12.04,12.04,12.04,100
139,12.04,12.04,12.04,12.04,100
140,12.04,12.04,12.04,12.04,100
141,12.04,12.04,12.03,12.039,500
142,12.04,12.04,12.04,12.04,100
144,12.06,12.06,12.06,12.06,100
145,12.06,12.06,12.06,12.06,100
146,12.06,12.06,12.06,12.06,100
147,12.06,12.06,12.06,12.06,100
148,12.06,12.06,12.06,12.06,100
149,12.0496,12.06,12.04,12.06,1338
153,12.06,12.06,12.06,12.06,100
154,12.06,12.06,12.06,12.06,100
155,12.07,12.07,12.07,12.07,100
156,12.07,12.07,12.07,12.07,100
157,12.06,12.06,12.06,12.06,100
158,12.07,12.07,12.07,12.07,100
160,12.07,12.07,12.07,12.07,100
161,12.07,12.07,12.047,12.047,540
162,12.07,12.07,12.07,12.07,100
163,12.07,12.07,12.07,12.07,100
164,12.07,12.07,12.07,12.07,100
165,12.07,12.07,12.07,12.07,100
