EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,9.65,9.65,9.65,9.65,2081
22,9.75,9.75,9.75,9.75,100
30,9.85,9.85,9.85,9.85,200
36,9.85,9.85,9.85,9.85,200
38,9.85,9.85,9.85,9.85,100
43,9.8,9.8,9.8,9.8,120
44,9.825,9.825,9.825,9.825,100
47,9.855,9.855,9.855,9.855,1000
49,9.905,9.905,9.9,9.9,1691
55,9.95,9.95,9.95,9.95,100
56,9.95,9.95,9.95,9.95,1300
60,9.96,9.96,9.96,9.96,880
74,9.9,9.9,9.9,9.9,100
78,9.9,9.905,9.9,9.9,1285
80,9.9,9.9,9.9,9.9,153
81,9.85,9.85,9.85,9.85,100
87,9.9,9.9,9.9,9.9,291
94,9.85,9.85,9.85,9.85,200
98,9.905,9.905,9.9,9.9,1000
107,9.95,9.95,9.9,9.9,200
109,10,10,9.95,9.95,852
113,9.95,9.95,9.95,9.95,100
126,9.95,9.95,9.95,9.95,100
134,10.05,10.05,10.05,10.05,100
136,9.95,9.95,9.95,9.95,100
142,10.05,10.05,10.05,10.05,100
167,9.95,9.95,9.95,9.95,100
190,9.95,9.95,9.95,9.95,100
207,10,10,10,10,100
214,10,10,10,10,200
254,9.95,9.95,9.95,9.95,400
255,9.9,9.95,9.9,9.95,300
262,9.9752,9.9752,9.9752,9.9752,133
270,9.95,9.95,9.95,9.95,100
275,9.95,9.95,9.95,9.95,1300
276,9.95,9.95,9.95,9.95,300
277,9.95,9.95,9.9,9.9,400
278,9.95,9.95,9.95,9.95,100
279,9.9,9.9,9.9,9.9,100
280,10,10,10,10,200
308,9.9,9.9,9.9,9.9,100
323,9.9,9.9,9.9,9.9,100
328,9.975,9.975,9.975,9.975,100
336,10,10,10,10,100
351,10.05,10.05,10,10,600
353,10,10,10,10,200
357,10,10,10,10,100
363,9.95,9.95,9.95,9.95,100
365,9.95,9.99,9.95,9.99,300
366,9.95,9.95,9.95,9.95,100
368,9.95,9.95,9.95,9.95,100
369,9.95,9.95,9.95,9.95,100
370,10,10,10,10,100
371,9.95,9.95,9.95,9.95,100
373,9.95,10,9.95,10,300
375,10,10,10,10,400
376,9.95,9.95,9.95,9.95,100
377,9.95,9.95,9.9,9.9,200
379,9.85,9.95,9.85,9.95,500
380,9.85,9.85,9.85,9.85,200
381,9.85,9.9,9.85,9.9,200
383,9.85,9.8697,9.85,9.8697,377
384,9.85,9.85,9.85,9.85,100
385,9.875,9.875,9.875,9.875,200
386,9.875,9.875,9.875,9.875,200
388,9.85,9.85,9.85,9.85,1156
389,9.8,9.85,9.8,9.85,200
390,9.8,9.85,9.8,9.825,900
a1520346600,9.95,9.95,9.95,9.95,800
11,9.95,9.95,9.95,9.95,400
36,9.8,9.8,9.8,9.8,100
39,9.85,9.85,9.85,9.85,200
44,9.75,9.75,9.75,9.75,100
52,9.85,9.85,9.85,9.85,200
58,9.825,9.825,9.825,9.825,100
69,9.9,9.9,9.825,9.825,700
74,9.8038,9.8038,9.8038,9.8038,307
81,9.8,9.8,9.8,9.8,100
90,9.75,9.75,9.75,9.75,100
108,9.8,9.8,9.8,9.8,100
109,9.85,9.85,9.85,9.85,200
113,9.8,9.8,9.8,9.8,100
114,9.8,9.8,9.75,9.7695,2500
120,9.8,9.8,9.8,9.8,100
128,9.85,9.85,9.85,9.85,100
138,9.85,9.85,9.85,9.85,200
152,9.8,9.85,9.8,9.85,300
170,9.75,9.75,9.75,9.75,400
171,9.75,9.775,9.75,9.775,300
172,9.75,9.75,9.75,9.75,100
179,9.8,9.8,9.8,9.8,400
180,9.8,9.8,9.8,9.8,200
182,9.85,9.9,9.85,9.9,200
226,9.85,9.85,9.85,9.85,100
256,9.8,9.8,9.8,9.8,100
257,9.85,9.85,9.85,9.85,2682
258,9.85,9.85,9.85,9.85,400
260,9.85,9.85,9.85,9.85,100
262,9.85,9.85,9.85,9.85,200
264,9.85,9.85,9.85,9.85,100
291,9.9,9.9,9.9,9.9,117
292,9.85,9.85,9.85,9.85,100
297,9.85,9.85,9.85,9.85,100
298,9.9,9.9,9.9,9.9,100
304,9.85,9.85,9.85,9.85,100
305,9.85,9.85,9.85,9.85,100
306,9.9,9.9,9.9,9.9,943
308,9.95,10,9.95,10,300
312,9.95,9.95,9.95,9.95,100
315,9.95,9.95,9.95,9.95,100
319,9.925,9.95,9.9,9.95,6500
320,9.85,9.925,9.85,9.925,500
330,9.85,9.925,9.85,9.925,300
331,10,10,10,10,100
335,9.9,9.9,9.9,9.9,300
337,10,10,10,10,100
344,9.95,9.95,9.95,9.95,100
345,9.9,9.9,9.9,9.9,100
349,9.9,9.9,9.9,9.9,300
350,9.9,9.9,9.9,9.9,300
352,9.95,9.95,9.95,9.95,200
358,9.9,9.9,9.9,9.9,100
362,9.9,9.9,9.9,9.9,100
364,9.9,9.9,9.9,9.9,300
365,9.95,9.95,9.95,9.95,100
366,9.9,9.95,9.9,9.95,200
368,9.95,9.95,9.95,9.95,100
370,9.9,9.9,9.9,9.9,300
371,9.9,9.9,9.9,9.9,100
372,9.9,9.9,9.9,9.9,4507
373,9.95,9.95,9.9,9.9,2328
374,9.95,9.95,9.95,9.95,200
375,9.95,9.95,9.95,9.95,100
379,9.95,9.95,9.95,9.95,100
380,9.95,9.95,9.95,9.95,100
383,9.9,9.9,9.9,9.9,200
384,9.9,9.95,9.9,9.95,400
387,9.9,9.95,9.9,9.95,300
388,9.9,9.9,9.9,9.9,200
389,9.9,9.9,9.9,9.9,200
390,9.9,9.95,9.9,9.9,2395
a1520434020,9.75,9.9044,9.75,9.9044,2872
19,9.75,9.75,9.75,9.75,100
30,9.875,9.875,9.875,9.875,100
34,9.8,9.8,9.8,9.8,100
43,9.8,9.9,9.8,9.9,200
48,9.8,9.8,9.8,9.8,100
84,9.75,9.75,9.75,9.75,100
94,9.8,9.8,9.8,9.8,100
98,9.825,9.825,9.825,9.825,300
103,9.85,9.85,9.8,9.8,400
106,9.825,9.825,9.825,9.825,100
108,9.825,9.825,9.825,9.825,100
109,9.8,9.8,9.8,9.8,100
137,9.85,9.85,9.85,9.85,400
214,9.85,9.85,9.85,9.85,100
223,9.9,9.9,9.9,9.9,200
224,9.9,9.9,9.9,9.9,100
225,9.9,9.9,9.9,9.9,400
233,9.95,9.95,9.925,9.925,300
234,9.95,9.95,9.95,9.95,590
