EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520261760,9.8732,9.8732,9.8732,9.8732,2500
10,9.8786,9.8786,9.8786,9.8786,200
28,9.86,9.86,9.86,9.86,600
33,9.86,9.86,9.86,9.86,2013
39,9.8695,9.8695,9.8695,9.8695,962
50,9.8633,9.8633,9.8633,9.8633,1500
58,9.8601,9.8601,9.86,9.86,2500
63,9.86,9.86,9.86,9.86,500
96,9.8656,9.8656,9.8656,9.8656,4500
113,9.86,9.86,9.86,9.86,400
156,9.86,9.86,9.86,9.86,300
165,9.8636,9.8655,9.86,9.86,5800
188,9.8663,9.8663,9.8663,9.8663,335
202,9.86,9.86,9.86,9.86,300
213,9.8757,9.88,9.8757,9.879,7000
215,9.8799,9.8799,9.8799,9.8799,100
216,9.8799,9.8799,9.8799,9.8799,900
217,9.8799,9.8799,9.8799,9.8799,600
218,9.8799,9.8799,9.8799,9.8799,600
219,9.8799,9.8799,9.8799,9.8799,600
220,9.8799,9.8799,9.8799,9.8799,600
221,9.88,9.88,9.8799,9.88,600
222,9.88,9.88,9.88,9.88,600
223,9.88,9.88,9.88,9.88,1000
224,9.88,9.88,9.88,9.88,700
225,9.89,9.89,9.89,9.89,900
226,9.89,9.89,9.89,9.89,600
227,9.89,9.89,9.89,9.89,600
228,9.89,9.89,9.89,9.89,700
229,9.89,9.89,9.89,9.89,600
230,9.89,9.89,9.89,9.89,900
231,9.89,9.89,9.89,9.89,600
232,9.89,9.89,9.89,9.89,600
233,9.9,9.9,9.89,9.89,700
234,9.9,9.9,9.9,9.9,700
235,9.9,9.9,9.9,9.9,700
236,9.9,9.9,9.895,9.895,700
237,9.9,9.9,9.895,9.9,700
238,9.9,9.9,9.895,9.895,700
239,9.9,9.9,9.9,9.9,2206
240,9.9,9.9,9.895,9.895,800
241,9.9,9.9,9.9,9.9,700
242,9.9,9.9,9.9,9.9,600
243,9.9,9.9,9.9,9.9,1900
250,9.9079,9.9079,9.9079,9.9079,5000
253,9.9,9.9,9.9,9.9,100
254,9.9,9.9,9.9,9.9,100
255,9.9,9.9,9.9,9.9,300
257,9.9,9.9,9.9,9.9,100
259,9.9,9.9,9.9,9.9,100
262,9.9,9.9,9.9,9.9,100
265,9.9,9.9,9.9,9.9,100
268,9.9,9.9,9.9,9.9,100
271,9.9,9.9,9.9,9.9,100
274,9.9,9.9,9.9,9.9,100
277,9.9,9.9,9.9,9.9,100
280,9.9,9.9,9.9,9.9,250
281,9.905,9.905,9.9,9.9,600
285,9.9,9.9,9.9,9.9,700
287,9.9031,9.9031,9.9,9.9,600
288,9.9,9.9,9.9,9.9,100
291,9.9,9.9,9.9,9.9,100
294,9.9,9.9,9.9,9.9,100
295,9.88,9.9,9.88,9.9,500
298,9.8902,9.8902,9.8902,9.8902,170
301,9.8859,9.8859,9.8859,9.8859,3000
310,9.87,9.87,9.87,9.87,100
313,9.8752,9.8752,9.8752,9.8752,4935
317,9.8741,9.8741,9.87,9.87,1200
321,9.88,9.88,9.88,9.88,2000
328,9.8898,9.8898,9.8898,9.8898,1000
331,9.8952,9.8952,9.8876,9.8891,1800
348,9.873,9.873,9.873,9.873,1962
352,9.87,9.87,9.87,9.87,100
353,9.87,9.885,9.87,9.885,1100
359,9.8701,9.8786,9.8701,9.871,3645
360,9.87,9.87,9.87,9.87,300
361,9.87,9.87,9.87,9.87,148
364,9.9,9.9,9.89,9.89,1100
a1520346600,9.94,9.94,9.94,9.94,7639
2,9.9,9.9,9.9,9.9,400
8,9.88,9.88,9.88,9.88,5000
10,9.8917,9.8917,9.89,9.89,3200
11,9.88,9.88,9.88,9.88,3000
35,9.8676,9.8676,9.8676,9.8676,300
60,9.8699,9.87,9.8699,9.87,1300
78,9.87,9.87,9.87,9.87,1000
79,9.8611,9.8611,9.8611,9.8611,1250
86,9.8601,9.8601,9.86,9.86,4700
102,9.8635,9.8635,9.86,9.86,5234
108,9.8601,9.8601,9.86,9.86,2700
114,9.86,9.8601,9.86,9.86,2100
120,9.8601,9.8601,9.86,9.86,4100
122,9.8672,9.8672,9.8672,9.8672,488
125,9.87,9.87,9.87,9.87,500
133,9.8701,9.8701,9.8701,9.8701,1000
136,9.8701,9.8701,9.8701,9.8701,500
152,9.8701,9.8701,9.8701,9.8701,500
154,9.8869,9.8869,9.8869,9.8869,1000
158,9.87,9.8701,9.87,9.87,6000
168,9.8701,9.8701,9.87,9.87,1900
182,9.87,9.8832,9.87,9.87,5100
197,9.8744,9.8744,9.87,9.87,2500
199,9.87,9.8701,9.87,9.87,3600
224,9.889,9.89,9.885,9.885,2000
230,9.8864,9.8864,9.8864,9.8864,500
242,9.89,9.89,9.89,9.89,849
246,9.89,9.9,9.89,9.9,1500
284,9.88,9.88,9.88,9.88,100
300,9.88,9.88,9.88,9.88,200
312,9.89,9.89,9.89,9.89,100
334,9.8801,9.8801,9.88,9.88,2000
343,9.8832,9.8832,9.88,9.88,494
346,9.87,9.8801,9.87,9.88,3753
351,9.86,9.87,9.86,9.87,10000
358,9.87,9.87,9.86,9.86,13500
361,9.8601,9.8601,9.86,9.86,2100
367,9.86,9.87,9.86,9.87,6400
375,9.8684,9.8684,9.8684,9.8684,2500
377,9.87,9.87,9.87,9.87,2000
381,9.87,9.87,9.87,9.87,2000
386,9.87,9.87,9.87,9.87,400
390,9.87,9.87,9.86,9.86,936
a1520434860,9.8866,9.8866,9.8866,9.8866,200
27,9.89,9.89,9.89,9.89,986
92,9.8931,9.8931,9.8931,9.8931,1000
110,9.8941,9.8941,9.89,9.89,400
123,9.8932,9.8932,9.89,9.8901,1382
128,9.8905,9.8905,9.89,9.89,1200
165,9.8901,9.8901,9.89,9.8901,1300
184,9.8905,9.8905,9.89,9.89,1000
226,9.895,9.895,9.895,9.895,657
257,9.89,9.89,9.89,9.89,750
258,9.8923,9.899,9.8923,9.899,3000
297,9.8922,9.8922,9.89,9.8901,1900
346,9.89,9.89,9.89,9.89,2296
347,9.89,9.8947,9.8824,9.8824,6683
358,9.8975,9.9,9.8975,9.9,3900
359,9.9,9.9,9.9,9.9,691
a1520525280,9.8802,9.8802,9.8802,9.8802,1000
22,9.8901,9.8901,9.89,9.89,1000
23,9.8801,9.8901,9.88,9.89,2838
31,9.8916,9.9,9.89,9.897,11101
47,9.89,9.89,9.89,9.89,1000
58,9.881,9.881,9.881,9.881,200
