EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,7.11,7.11,7.09,7.09,6393
2,7.193,7.2152,7.101,7.2152,1180
3,7.1,7.25,7.1,7.1,22684
4,7.1,7.1,7.1,7.1,1100
6,7.11,7.11,7.11,7.11,100
7,6.74,7.1142,6.73,7.1,10242
8,6.91,6.91,6.9,6.9,400
9,6.955,6.955,6.91,6.91,330
11,6.955,6.955,6.9404,6.9404,800
12,6.9216,6.9525,6.9,6.91,2852
13,6.62,6.91,6.6,6.9,13054
14,6.63,6.63,6.61,6.61,200
16,6.7,6.76,6.7,6.705,1800
17,6.74,6.795,6.7,6.7,604
18,6.855,6.855,6.74,6.8,900
19,6.77,6.77,6.77,6.77,500
20,6.9,6.9,6.85,6.86,1000
21,6.89,6.89,6.89,6.89,300
23,6.9,6.9,6.87,6.88,1300
24,6.895,6.895,6.895,6.895,100
25,6.9,6.9,6.89,6.895,400
26,6.85,6.85,6.7897,6.7897,2100
27,6.75,6.9,6.75,6.9,2541
28,6.9,6.9,6.85,6.85,600
29,6.9,6.9,6.9,6.9,300
30,6.94,6.95,6.9,6.9,1100
31,6.94,6.94,6.94,6.94,600
32,6.93,6.93,6.93,6.93,100
33,6.92,6.92,6.92,6.92,300
34,6.95,6.95,6.95,6.95,320
35,6.945,6.95,6.945,6.95,400
36,6.95,6.95,6.95,6.95,200
37,6.95,6.95,6.95,6.95,600
38,6.8483,6.8483,6.8483,6.8483,150
39,6.95,6.95,6.95,6.95,400
40,6.94,6.95,6.94,6.94,400
41,7,7,6.9186,6.94,14500
42,7,7,6.9,6.94,8870
43,6.99,6.99,6.92,6.93,400
44,6.93,6.93,6.93,6.93,100
46,6.93,6.989,6.93,6.989,2400
48,6.99,6.99,6.99,6.99,100
49,6.94,6.99,6.94,6.99,400
50,6.99,6.99,6.99,6.99,200
51,7.08,7.08,6.951,6.951,6925
52,7.11,7.16,7.08,7.08,1600
53,7.075,7.11,7.07,7.11,1536
57,7.08,7.08,7.08,7.08,400
58,7.03,7.0701,7.03,7.0701,2058
68,7.01,7.01,7.01,7.01,100
73,7.045,7.07,7.045,7.07,200
76,7.0201,7.0345,7.0201,7.0345,1176
77,7,7.02,7,7.02,500
80,7,7.0001,7,7.0001,300
82,7,7,7,7,300
83,7,7,7,7,1100
84,6.98,6.99,6.98,6.99,300
88,7.0141,7.015,7.0141,7.015,396
89,6.98,6.98,6.98,6.98,100
90,7.02,7.02,7.02,7.02,200
91,7.01,7.01,7.01,7.01,600
93,6.98,6.98,6.98,6.98,200
96,6.98,6.9801,6.98,6.9801,499
97,6.98,6.98,6.98,6.98,100
100,6.98,6.98,6.98,6.98,200
103,6.98,6.98,6.98,6.98,500
108,6.966,6.966,6.966,6.966,1200
109,6.9575,6.96,6.9575,6.96,2000
110,6.94,6.9888,6.94,6.965,600
111,6.965,6.97,6.94,6.94,1600
112,6.9436,6.9436,6.9436,6.9436,3300
113,6.95,6.96,6.95,6.96,700
114,6.97,6.97,6.955,6.96,3600
115,6.97,6.97,6.97,6.97,2023
116,6.99,7.001,6.99,7.001,1800
121,6.9633,6.98,6.9633,6.98,478
122,6.94,6.96,6.94,6.96,2481
123,6.93,6.94,6.905,6.94,10539
124,6.93,6.93,6.93,6.93,100
127,6.8,6.8,6.8,6.8,100
128,6.8975,6.93,6.8975,6.93,1200
131,6.9,6.9,6.9,6.9,100
132,6.81,6.81,6.81,6.81,100
138,6.81,6.81,6.81,6.81,100
142,6.9,6.9,6.9,6.9,100
143,6.81,6.81,6.81,6.81,100
149,6.875,6.875,6.875,6.875,100
150,6.96,6.96,6.96,6.96,200
152,6.96,6.96,6.96,6.96,100
154,6.95,6.95,6.945,6.945,400
155,6.81,6.95,6.81,6.95,200
157,6.93,6.93,6.875,6.88,2700
158,6.875,6.9,6.875,6.875,700
159,6.9,6.9,6.87,6.87,300
160,6.8848,6.8848,6.8848,6.8848,100
161,6.86,6.9,6.82,6.82,2200
162,6.88,6.94,6.86,6.9,3600
163,6.88,6.88,6.88,6.88,200
166,6.9,6.92,6.9,6.92,450
167,6.92,6.92,6.9132,6.9132,900
168,6.94,6.94,6.94,6.94,100
169,6.92,6.92,6.92,6.92,4200
170,6.92,6.92,6.92,6.92,400
171,6.92,6.92,6.92,6.92,500
172,6.915,6.915,6.9,6.9,600
173,6.9147,6.9147,6.9147,6.9147,1000
174,6.915,6.915,6.915,6.915,100
175,6.91,6.91,6.91,6.91,100
176,6.915,6.915,6.915,6.915,300
180,6.915,6.915,6.915,6.915,300
183,6.915,6.915,6.915,6.915,200
184,6.92,6.92,6.92,6.92,600
185,6.92,6.92,6.92,6.92,300
186,6.92,6.92,6.91,6.91,300
189,6.92,6.92,6.92,6.92,2000
190,6.92,6.92,6.92,6.92,200
191,6.93,6.93,6.92,6.92,800
193,6.9,6.9201,6.89,6.9201,13300
198,6.91,6.91,6.91,6.91,100
200,6.91,6.91,6.91,6.91,100
203,6.91,6.91,6.91,6.91,200
207,6.9121,6.9121,6.9121,6.9121,500
209,6.91,6.91,6.91,6.91,300
211,6.91,6.91,6.91,6.91,100
212,6.91,6.91,6.91,6.91,200
215,6.91,6.91,6.91,6.91,300
217,6.9,6.91,6.9,6.91,600
221,6.91,6.91,6.91,6.91,200
223,6.9,6.9,6.9,6.9,100
225,6.885,6.94,6.885,6.8925,2517
226,6.9,6.9,6.9,6.9,1400
233,6.91,6.91,6.91,6.91,100
235,6.905,6.905,6.905,6.905,200
238,6.9042,6.9042,6.9042,6.9042,1000
240,6.905,6.905,6.905,6.905,100
241,6.871,6.871,6.871,6.871,2000
242,6.929,6.929,6.929,6.929,1000
243,6.895,6.895,6.895,6.895,200
244,6.85,6.87,6.85,6.87,2000
245,6.8824,6.8824,6.85,6.85,1100
246,6.85,6.85,6.85,6.85,200
247,6.85,6.85,6.85,6.85,100
248,6.85,6.8899,6.85,6.8899,2000
249,6.85,6.85,6.85,6.85,100
250,6.85,6.85,6.85,6.85,100
253,6.85,6.85,6.85,6.85,100
254,6.85,6.87,6.85,6.87,200
256,6.85,6.85,6.85,6.85,100
257,6.8524,6.8524,6.8524,6.8524,2000
258,6.87,6.8702,6.85,6.85,700
259,6.87,6.87,6.87,6.87,100
260,6.85,6.878,6.85,6.878,1100
261,6.85,6.87,6.85,6.85,400
263,6.85,6.85,6.85,6.85,100
