EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,57.69,57.69,57.69,57.69,4740
3,58,58,58,58,100
4,57.95,57.95,57.95,57.95,100
5,57.95,57.95,57.95,57.95,100
6,58,58,57.91,57.95,2100
8,57.94,58,57.94,58,200
9,57.98,57.99,57.98,57.99,300
10,57.99,57.99,57.99,57.99,100
12,58,58,57.99,57.99,500
15,57.98,57.98,57.98,57.98,100
17,57.98,57.98,57.98,57.98,100
21,57.79,57.87,57.79,57.86,1100
23,57.74,57.75,57.74,57.75,550
24,57.73,57.83,57.73,57.8,2333
30,57.81,57.81,57.81,57.81,100
32,57.78,57.82,57.78,57.82,400
34,57.81,57.84,57.81,57.82,1087
35,57.86,57.86,57.86,57.86,100
36,57.83,57.83,57.82,57.82,200
37,57.7672,57.7672,57.7672,57.7672,150
39,57.8,57.8,57.8,57.8,100
40,57.71,57.75,57.71,57.75,200
42,57.6927,57.6927,57.6927,57.6927,450
46,57.75,57.75,57.75,57.75,100
49,57.75,57.75,57.75,57.75,100
51,57.77,57.77,57.75,57.75,300
52,57.695,57.78,57.695,57.78,200
53,57.81,57.81,57.78,57.78,200
55,57.82,57.82,57.7814,57.81,490
58,57.85,57.85,57.85,57.85,100
59,57.8,57.86,57.8,57.86,200
61,57.85,57.85,57.85,57.85,300
62,57.81,57.81,57.81,57.81,100
63,57.85,57.85,57.85,57.85,700
64,57.86,57.86,57.86,57.86,100
66,57.86,57.86,57.86,57.86,300
67,57.94,57.94,57.87,57.87,200
68,57.96,57.96,57.96,57.96,100
70,57.95,57.95,57.95,57.95,100
71,57.9,57.91,57.9,57.91,300
72,57.925,57.925,57.9225,57.9225,200
74,57.96,57.96,57.96,57.96,200
76,57.97,57.97,57.97,57.97,300
77,57.98,57.98,57.98,57.98,100
79,57.94,57.94,57.94,57.94,400
80,57.95,57.95,57.95,57.95,200
82,57.95,57.95,57.95,57.95,100
84,57.92,57.97,57.92,57.96,400
88,57.96,57.96,57.96,57.96,200
89,57.97,57.97,57.97,57.97,200
90,58,58,58,58,100
91,58,58,58,58,700
92,58.04,58.04,58.03,58.03,300
94,58.06,58.06,58.06,58.06,100
95,58.06,58.07,58.06,58.07,200
96,58.025,58.025,58.025,58.025,200
97,58.06,58.06,58.05,58.05,401
98,58.09,58.09,58.07,58.07,300
101,58.18,58.18,58.18,58.18,100
105,58.19,58.19,58.19,58.19,100
108,58.17,58.17,58.17,58.17,100
109,58.18,58.18,58.18,58.18,100
110,58.19,58.19,58.19,58.19,100
111,58.19,58.19,58.19,58.19,200
112,58.2,58.2,58.2,58.2,100
113,58.22,58.22,58.22,58.22,100
115,58.27,58.27,58.26,58.26,400
116,58.26,58.26,58.25,58.25,200
119,58.27,58.27,58.27,58.27,100
121,58.245,58.245,58.245,58.245,100
123,58.27,58.27,58.27,58.27,100
125,58.245,58.245,58.22,58.22,400
130,58.26,58.26,58.25,58.25,200
131,58.2,58.235,58.2,58.235,1000
132,58.29,58.29,58.22,58.26,1500
133,58.29,58.29,58.29,58.29,100
134,58.3,58.3,58.29,58.29,300
135,58.33,58.33,58.29,58.29,900
136,58.36,58.365,58.36,58.365,800
144,58.38,58.38,58.38,58.38,100
145,58.33,58.33,58.33,58.33,300
146,58.3,58.3,58.3,58.3,100
147,58.34,58.34,58.34,58.34,100
148,58.3166,58.3166,58.3166,58.3166,115
149,58.28,58.28,58.28,58.28,100
153,58.28,58.33,58.28,58.33,900
154,58.37,58.37,58.37,58.37,100
157,58.38,58.38,58.38,58.38,100
161,58.37,58.37,58.345,58.345,200
163,58.31,58.32,58.31,58.32,200
164,58.26,58.29,58.26,58.29,800
165,58.25,58.25,58.25,58.25,100
167,58.26,58.26,58.26,58.26,200
171,58.22,58.22,58.22,58.22,200
174,58.18,58.18,58.18,58.18,100
176,58.1852,58.1852,58.1852,58.1852,150
178,58.23,58.23,58.23,58.23,100
179,58.26,58.26,58.24,58.24,300
181,58.28,58.28,58.235,58.235,400
182,58.18,58.25,58.18,58.24,400
183,58.22,58.22,58.2,58.2,999
185,58.2,58.2,58.16,58.2,1515
189,58.25,58.25,58.25,58.25,200
190,58.27,58.27,58.26,58.26,200
191,58.29,58.29,58.29,58.29,200
193,58.24,58.24,58.231,58.24,800
195,58.27,58.27,58.27,58.27,100
199,58.27,58.27,58.27,58.27,100
200,58.32,58.32,58.32,58.32,100
203,58.3,58.32,58.3,58.31,300
204,58.28,58.28,58.28,58.28,100
208,58.28,58.3,58.28,58.3,700
210,58.31,58.31,58.31,58.31,100
214,58.34,58.34,58.3045,58.3045,817
215,58.39,58.39,58.39,58.39,100
219,58.38,58.38,58.38,58.38,100
221,58.38,58.38,58.38,58.38,100
222,58.39,58.39,58.39,58.39,100
223,58.4,58.4,58.4,58.4,100
224,58.4,58.4,58.4,58.4,100
225,58.36,58.4,58.36,58.4,300
227,58.34,58.34,58.34,58.34,300
229,58.312,58.312,58.31,58.31,200
231,58.29,58.29,58.29,58.29,208
232,58.36,58.36,58.34,58.34,949
234,58.39,58.39,58.39,58.39,100
235,58.4,58.4,58.4,58.4,700
236,58.39,58.42,58.39,58.42,300
237,58.38,58.39,58.38,58.39,200
239,58.34,58.34,58.34,58.34,100
242,58.33,58.33,58.33,58.33,200
244,58.34,58.34,58.34,58.34,100
245,58.35,58.35,58.33,58.33,200
246,58.36,58.36,58.36,58.36,300
248,58.35,58.35,58.35,58.35,100
249,58.35,58.35,58.35,58.35,100
251,58.39,58.39,58.37,58.37,300
255,58.38,58.38,58.38,58.38,100
257,58.35,58.37,58.35,58.37,400
258,58.31,58.31,58.31,58.31,100
260,58.35,58.35,58.35,58.35,100
261,58.36,58.36,58.36,58.36,100
262,58.3475,58.36,58.34,58.36,311
263,58.3805,58.4,58.369,58.38,2762
265,58.3675,58.38,58.355,58.36,1900
268,58.3742,58.39,58.3742,58.39,509
269,58.4,58.4,58.4,58.4,100
271,58.45,58.45,58.4,58.4,800
273,58.42,58.42,58.42,58.42,200
275,58.39,58.39,58.39,58.39,200
276,58.38,58.38,58.38,58.38,200
277,58.3,58.34,58.3,58.34,400
278,58.35,58.35,58.35,58.35,100
280,58.38,58.38,58.36,58.36,200
281,58.34,58.405,58.34,58.35,3582
282,58.33,58.33,58.33,58.33,250
283,58.3,58.3,58.3,58.3,300
286,58.3,58.3,58.3,58.3,200
