EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,45.56,45.56,45.56,45.56,253
2,45.56,45.56,45.55,45.55,200
6,45.93,45.93,45.93,45.93,100
8,46.09,46.09,46.09,46.09,100
10,45.96,45.99,45.96,45.99,300
11,46.05,46.05,46.05,46.05,165
12,45.9,46,45.9,46,200
14,45.84,45.95,45.84,45.95,250
15,45.91,45.91,45.86,45.86,400
18,45.9,45.9,45.9,45.9,100
20,45.75,45.75,45.75,45.75,100
21,45.79,45.79,45.79,45.79,150
28,45.81,45.81,45.81,45.81,202
29,45.74,45.79,45.74,45.74,700
33,45.77,45.77,45.77,45.77,100
34,45.86,45.86,45.83,45.83,300
36,45.79,45.845,45.79,45.845,300
46,45.76,45.76,45.76,45.76,300
50,45.8,45.8,45.8,45.8,100
52,45.84,45.84,45.8,45.8,400
53,45.81,45.81,45.78,45.78,400
60,45.75,45.75,45.7,45.7,410
73,45.92,45.98,45.92,45.98,700
76,45.87,45.905,45.87,45.905,600
84,45.91,45.91,45.91,45.91,100
91,46.36,46.36,46.27,46.27,400
93,46.26,46.31,46.25,46.31,1000
95,46.22,46.22,46.22,46.22,100
96,46.29,46.29,46.29,46.29,100
97,46.33,46.33,46.33,46.33,399
101,46.14,46.22,46.14,46.2,500
102,46.235,46.235,46.235,46.235,100
104,46.24,46.24,46.24,46.24,200
105,46.17,46.2,46.17,46.2,500
110,46.16,46.17,46.16,46.17,200
111,46.21,46.21,46.21,46.21,100
114,46.26,46.26,46.26,46.26,100
117,46.32,46.32,46.32,46.32,100
118,46.35,46.35,46.35,46.35,200
119,46.4,46.4,46.4,46.4,100
120,46.31,46.31,46.31,46.31,100
122,46.3,46.35,46.3,46.35,400
123,46.28,46.28,46.28,46.28,100
124,46.23,46.23,46.23,46.23,100
126,46.22,46.22,46.22,46.22,100
127,46.22,46.22,46.22,46.22,100
138,46.41,46.41,46.36,46.36,200
139,46.32,46.35,46.32,46.32,400
142,46.28,46.325,46.26,46.3,500
143,46.3,46.3,46.29,46.29,200
147,46.24,46.24,46.24,46.24,100
148,46.21,46.23,46.2,46.23,300
150,46.22,46.27,46.22,46.26,800
152,46.28,46.28,46.28,46.28,100
155,46.28,46.28,46.28,46.28,100
159,46.24,46.24,46.24,46.24,300
160,46.29,46.29,46.29,46.29,200
161,46.375,46.375,46.375,46.375,100
162,46.32,46.32,46.29,46.3,300
165,46.32,46.32,46.3,46.3,200
173,46.27,46.3,46.27,46.27,584
181,46.4,46.42,46.34,46.34,700
182,46.33,46.34,46.33,46.34,300
188,46.3075,46.3075,46.29,46.29,300
190,46.32,46.32,46.32,46.32,200
195,46.49,46.49,46.4,46.4,495
203,46.57,46.57,46.57,46.57,100
205,46.62,46.62,46.62,46.62,100
213,46.68,46.68,46.68,46.68,400
215,46.77,46.77,46.77,46.77,100
216,46.85,46.85,46.85,46.85,100
217,46.71,46.82,46.71,46.82,1121
224,46.69,46.75,46.69,46.75,500
226,46.69,46.69,46.69,46.69,100
228,46.65,46.65,46.65,46.65,100
230,46.66,46.67,46.66,46.66,500
238,46.77,46.8,46.77,46.8,590
240,46.73,46.73,46.73,46.73,100
241,46.53,46.69,46.53,46.69,400
242,46.54,46.54,46.54,46.54,288
244,46.58,46.58,46.58,46.58,200
249,46.675,46.675,46.675,46.675,100
250,46.65,46.65,46.65,46.65,300
251,46.67,46.67,46.67,46.67,200
254,46.57,46.63,46.57,46.63,619
257,46.49,46.49,46.49,46.49,192
258,46.5,46.5,46.5,46.5,495
259,46.58,46.58,46.53,46.53,200
264,46.65,46.65,46.64,46.64,200
269,46.73,46.73,46.73,46.73,200
270,46.72,46.72,46.72,46.72,200
273,46.61,46.69,46.61,46.69,500
276,46.49,46.52,46.49,46.52,200
278,46.48,46.48,46.48,46.48,100
279,46.5,46.5,46.5,46.5,196
280,46.46,46.46,46.46,46.46,100
283,46.41,46.41,46.37,46.37,300
289,46.41,46.41,46.41,46.41,100
291,46.5,46.5,46.47,46.47,200
293,46.53,46.53,46.53,46.53,150
296,46.58,46.58,46.58,46.58,100
297,46.58,46.58,46.58,46.58,100
298,46.52,46.585,46.52,46.54,402
300,46.51,46.51,46.51,46.51,200
306,46.47,46.51,46.47,46.51,500
308,46.56,46.56,46.56,46.56,100
312,46.6,46.6,46.6,46.6,100
315,46.55,46.55,46.55,46.55,100
316,46.58,46.58,46.58,46.58,183
318,46.56,46.6,46.56,46.6,400
319,46.6,46.6,46.56,46.56,200
321,46.59,46.59,46.59,46.59,200
324,46.54,46.54,46.54,46.54,200
327,46.51,46.51,46.51,46.51,300
329,46.47,46.47,46.47,46.47,200
330,46.48,46.48,46.48,46.48,200
332,46.47,46.48,46.47,46.48,799
333,46.47,46.47,46.47,46.47,100
335,46.52,46.52,46.49,46.49,757
339,46.54,46.6,46.53,46.6,400
340,46.52,46.52,46.52,46.52,100
343,46.48,46.48,46.48,46.48,200
344,46.52,46.52,46.52,46.52,100
345,46.47,46.48,46.46,46.46,516
346,46.41,46.41,46.41,46.41,100
349,46.51,46.51,46.49,46.49,300
353,46.545,46.545,46.545,46.545,100
354,46.67,46.67,46.6,46.6,850
355,46.61,46.67,46.61,46.67,810
356,46.55,46.55,46.55,46.55,100
360,46.5,46.51,46.47,46.51,400
361,46.5,46.5,46.5,46.5,100
364,46.52,46.52,46.49,46.49,200
365,46.55,46.55,46.55,46.55,100
366,46.55,46.55,46.55,46.55,100
367,46.55,46.55,46.55,46.55,300
369,46.61,46.61,46.61,46.61,200
370,46.59,46.59,46.57,46.57,300
373,46.61,46.61,46.61,46.61,500
374,46.62,46.64,46.62,46.64,200
375,46.66,46.66,46.66,46.66,300
376,46.62,46.65,46.62,46.65,200
377,46.65,46.65,46.65,46.65,100
378,46.65,46.65,46.65,46.65,200
379,46.6,46.63,46.6,46.63,500
380,46.5,46.55,46.5,46.55,200
382,46.55,46.55,46.535,46.535,500
383,46.55,46.55,46.51,46.51,200
384,46.55,46.55,46.525,46.54,1002
385,46.51,46.6,46.51,46.6,1100
386,46.47,46.52,46.47,46.5,600
387,46.51,46.53,46.49,46.51,776
388,46.49,46.49,46.49,46.49,100
389,46.53,46.56,46.48,46.53,2263
a1520346660,46.57,46.57,46.57,46.57,178
3,46.68,46.68,46.68,46.68,100
12,46.52,46.52,46.48,46.48,200
22,46.46,46.46,46.46,46.46,100
