EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,7.74,7.74,7.74,7.74,4920
7,7.77,7.77,7.77,7.77,100
9,7.77,7.77,7.77,7.77,100
10,7.77,7.77,7.77,7.77,100
12,7.77,7.77,7.77,7.77,100
14,7.765,7.77,7.765,7.77,538
15,7.77,7.77,7.77,7.77,100
17,7.77,7.77,7.76,7.76,300
18,7.77,7.77,7.77,7.77,100
20,7.77,7.77,7.77,7.77,100
22,7.77,7.77,7.77,7.77,100
23,7.76,7.77,7.76,7.76,1000
24,7.77,7.77,7.76,7.76,200
25,7.77,7.77,7.77,7.77,100
27,7.77,7.77,7.77,7.77,100
29,7.77,7.77,7.77,7.77,200
31,7.77,7.77,7.77,7.77,100
33,7.77,7.77,7.77,7.77,100
35,7.765,7.77,7.7601,7.77,1400
36,7.77,7.77,7.77,7.77,200
37,7.765,7.765,7.765,7.765,100
38,7.77,7.77,7.77,7.77,200
40,7.77,7.77,7.77,7.77,100
42,7.77,7.77,7.77,7.77,200
44,7.77,7.77,7.77,7.77,100
46,7.77,7.77,7.77,7.77,100
48,7.77,7.77,7.77,7.77,200
49,7.77,7.77,7.765,7.769,4849
50,7.77,7.77,7.77,7.77,200
52,7.77,7.77,7.77,7.77,100
53,7.77,7.77,7.77,7.77,300
55,7.77,7.77,7.77,7.77,200
56,7.77,7.77,7.77,7.77,100
57,7.77,7.77,7.77,7.77,100
58,7.77,7.77,7.77,7.77,100
59,7.77,7.77,7.77,7.77,100
60,7.7665,7.7665,7.7665,7.7665,600
62,7.77,7.77,7.77,7.77,200
64,7.77,7.77,7.77,7.77,200
66,7.77,7.77,7.77,7.77,200
68,7.77,7.77,7.77,7.77,100
70,7.77,7.77,7.77,7.77,100
71,7.77,7.77,7.77,7.77,100
73,7.77,7.77,7.77,7.77,100
75,7.77,7.77,7.77,7.77,100
77,7.77,7.77,7.77,7.77,100
78,7.77,7.77,7.77,7.77,100
80,7.77,7.77,7.77,7.77,100
82,7.7699,7.77,7.7699,7.77,603
83,7.7699,7.7699,7.7699,7.7699,502
84,7.77,7.77,7.77,7.77,2400
85,7.77,7.77,7.77,7.77,100
86,7.77,7.77,7.77,7.77,400
88,7.77,7.77,7.77,7.77,100
89,7.77,7.77,7.77,7.77,200
119,7.7641,7.7641,7.7641,7.7641,500
130,7.765,7.765,7.765,7.765,100
142,7.766,7.766,7.7601,7.765,5900
149,7.765,7.765,7.765,7.765,100
150,7.765,7.765,7.765,7.765,100
151,7.7699,7.7699,7.7699,7.7699,1500
153,7.77,7.77,7.765,7.765,200
156,7.7699,7.7699,7.7699,7.7699,1500
160,7.77,7.77,7.765,7.765,10200
162,7.765,7.77,7.761,7.77,800
163,7.7685,7.7685,7.7685,7.7685,2000
164,7.77,7.77,7.77,7.77,400
166,7.77,7.77,7.77,7.77,200
167,7.77,7.77,7.77,7.77,443
168,7.77,7.77,7.77,7.77,100
170,7.77,7.77,7.77,7.77,200
171,7.77,7.77,7.77,7.77,100
172,7.77,7.77,7.77,7.77,300
174,7.77,7.77,7.77,7.77,300
176,7.77,7.77,7.77,7.77,300
179,7.77,7.77,7.77,7.77,300
180,7.7699,7.77,7.7632,7.7632,1300
182,7.77,7.77,7.7699,7.7699,300
184,7.77,7.77,7.7699,7.7699,300
185,7.77,7.77,7.77,7.77,100
186,7.7699,7.7699,7.7699,7.7699,100
188,7.77,7.77,7.77,7.77,200
213,7.77,7.77,7.77,7.77,100
219,7.77,7.77,7.76,7.77,11400
220,7.77,7.77,7.77,7.77,200
222,7.77,7.77,7.77,7.77,200
223,7.77,7.77,7.77,7.77,100
224,7.77,7.77,7.77,7.77,200
226,7.77,7.77,7.77,7.77,200
229,7.77,7.77,7.77,7.77,200
231,7.77,7.77,7.77,7.77,200
234,7.77,7.77,7.77,7.77,200
237,7.77,7.77,7.77,7.77,200
239,7.77,7.77,7.77,7.77,200
240,7.77,7.77,7.77,7.77,300
242,7.77,7.77,7.77,7.77,1000
247,7.77,7.77,7.77,7.77,100
254,7.77,7.77,7.77,7.77,200
265,7.77,7.77,7.77,7.77,100
273,7.77,7.77,7.77,7.77,12482
275,7.7749,7.7749,7.7749,7.7749,500
279,7.77,7.77,7.77,7.77,300
283,7.7893,7.7893,7.775,7.7793,3400
286,7.7743,7.7805,7.77,7.78,2900
289,7.7793,7.7793,7.7793,7.7793,100
291,7.77,7.77,7.77,7.77,500
295,7.7793,7.7793,7.7793,7.7793,300
297,7.77,7.77,7.77,7.77,100
301,7.7793,7.7793,7.7793,7.7793,400
304,7.77,7.77,7.77,7.77,100
306,7.7793,7.7793,7.7793,7.7793,100
307,7.7793,7.7793,7.7793,7.7793,200
309,7.7793,7.7793,7.7793,7.7793,100
382,7.77,7.77,7.77,7.77,300
385,7.77,7.78,7.77,7.7701,2779
386,7.77,7.78,7.77,7.77,500
388,7.77,7.77,7.77,7.77,300
390,7.78,7.78,7.7699,7.77,5779
a1520346600,7.75,7.75,7.75,7.75,9080
2,7.78,7.78,7.7799,7.78,2200
4,7.78,7.789,7.775,7.78,4400
5,7.78,7.78,7.78,7.78,100
6,7.78,7.78,7.78,7.78,300
7,7.77,7.78,7.77,7.78,468
8,7.76,7.77,7.76,7.77,600
9,7.761,7.761,7.761,7.761,100
10,7.76,7.76,7.76,7.76,100
12,7.761,7.761,7.761,7.761,100
13,7.76,7.76,7.76,7.76,100
14,7.761,7.761,7.761,7.761,100
15,7.76,7.76,7.76,7.76,100
16,7.76,7.76,7.76,7.76,100
19,7.76,7.76,7.76,7.76,2400
21,7.75,7.76,7.75,7.76,200
23,7.74,7.7425,7.74,7.74,1753
24,7.74,7.74,7.74,7.74,214
26,7.741,7.741,7.741,7.741,100
27,7.75,7.75,7.75,7.75,100
29,7.75,7.75,7.75,7.75,100
30,7.76,7.76,7.76,7.76,100
31,7.75,7.76,7.75,7.76,6300
34,7.74,7.74,7.74,7.74,200
36,7.75,7.75,7.75,7.75,800
44,7.74,7.749,7.7384,7.74,6100
50,7.75,7.75,7.735,7.735,4570
51,7.741,7.75,7.741,7.75,4294
53,7.741,7.741,7.741,7.741,100
56,7.741,7.741,7.741,7.741,100
58,7.741,7.741,7.741,7.741,100
60,7.741,7.741,7.741,7.741,100
61,7.75,7.75,7.75,7.75,400
62,7.7399,7.745,7.7399,7.745,8416
