EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,21.09,21.1,21.09,21.09,3033
1,21.11,21.11,21.11,21.11,100
2,21.2499,21.2499,21.17,21.17,800
3,21.09,21.17,21.09,21.17,1100
6,21.2,21.2,21.2,21.2,100
7,21.15,21.15,21.01,21.15,900
15,21.2,21.2,21.04,21.19,1800
17,21.1599,21.16,21.1599,21.16,200
19,21.149,21.149,21.149,21.149,300
20,21.1499,21.1499,21.1499,21.1499,100
21,21.071,21.071,21.071,21.071,500
22,21.07,21.1499,21.07,21.1499,1200
23,21.04,21.11,21.04,21.08,700
24,21.11,21.11,21.1,21.1,300
34,21.19,21.19,21.19,21.19,100
37,21.19,21.2,21.19,21.19,400
51,21.25,21.25,21.25,21.25,100
52,21.25,21.27,21.25,21.25,1675
55,21.26,21.26,21.23,21.26,300
59,21.253,21.26,21.23,21.23,900
69,21.26,21.26,21.26,21.26,100
74,21.22,21.26,21.21,21.25,5586
75,21.12,21.16,21.12,21.16,200
81,21.19,21.19,21.15,21.15,1200
86,21.26,21.26,21.26,21.26,100
88,21.29,21.29,21.29,21.29,100
89,21.27,21.3,21.27,21.3,608
103,21.26,21.26,21.26,21.26,100
106,21.21,21.25,21.21,21.25,800
107,21.18,21.21,21.18,21.19,450
109,21.2,21.2,21.2,21.2,100
112,21.25,21.25,21.24,21.247,1200
113,21.27,21.27,21.25,21.25,5700
114,21.27,21.27,21.251,21.251,510
117,21.27,21.27,21.26,21.26,252
120,21.31,21.31,21.265,21.265,3600
121,21.31,21.31,21.29,21.29,200
123,21.33,21.33,21.32,21.33,1000
127,21.3,21.3,21.285,21.285,53301
128,21.3,21.3,21.29,21.3,1590
129,21.5,21.5,21.36,21.365,48300
130,21.4119,21.59,21.39,21.49,4793
132,21.35,21.35,21.35,21.35,8100
133,21.42,21.43,21.345,21.36,46300
135,21.4,21.4,21.4,21.4,200
136,21.4275,21.5,21.4275,21.5,500
138,21.44,21.44,21.44,21.44,100
140,21.54,21.54,21.4,21.4,10600
141,21.53,21.53,21.53,21.53,100
142,21.52,21.52,21.52,21.52,200
143,21.5,21.51,21.5,21.51,500
144,21.5,21.51,21.48,21.48,800
150,21.5,21.5,21.5,21.5,300
152,21.5,21.5,21.5,21.5,100
153,21.5266,21.53,21.5,21.5,1350
154,21.51,21.51,21.51,21.51,200
155,21.54,21.54,21.54,21.54,100
156,21.48,21.56,21.47,21.545,5900
157,21.49,21.49,21.49,21.49,100
164,21.5,21.5,21.5,21.5,300
167,21.61,21.61,21.51,21.51,2595
168,21.55,21.66,21.55,21.6,2300
170,21.55,21.6,21.55,21.6,1700
172,21.585,21.585,21.585,21.585,100
176,21.645,21.69,21.59,21.59,2000
177,21.7,21.7,21.63,21.63,400
179,21.65,21.65,21.65,21.65,800
180,21.54,21.7,21.54,21.59,25500
181,21.53,21.53,21.46,21.5,11100
182,21.54,21.54,21.467,21.467,5433
183,21.5,21.5,21.5,21.5,1300
184,21.56,21.56,21.49,21.5,9700
186,21.53,21.61,21.53,21.59,14267
187,21.625,21.65,21.52,21.525,31800
188,21.56,21.64,21.56,21.64,2040
189,21.545,21.575,21.545,21.57,15200
190,21.59,21.59,21.545,21.545,14700
191,21.52,21.52,21.52,21.52,100
194,21.51,21.51,21.51,21.51,100
195,21.5413,21.5413,21.5413,21.5413,100
196,21.54,21.54,21.54,21.54,1300
199,21.57,21.57,21.56,21.56,200
200,21.61,21.61,21.61,21.61,100
202,21.6,21.62,21.6,21.62,200
203,21.59,21.59,21.59,21.59,100
204,21.63,21.63,21.63,21.63,100
206,21.63,21.63,21.63,21.63,100
207,21.61,21.61,21.61,21.61,600
208,21.61,21.64,21.61,21.63,5700
211,21.62,21.62,21.62,21.62,900
212,21.62,21.62,21.62,21.62,100
214,21.68,21.68,21.68,21.68,100
215,21.64,21.64,21.64,21.64,180
219,21.74,21.74,21.67,21.67,600
222,21.8,21.8,21.72,21.72,1600
224,21.84,21.84,21.8,21.8,400
225,21.99,21.99,21.99,21.99,100
226,21.88,21.992,21.86,21.992,5084
227,21.9,21.9,21.88,21.9,1700
228,21.86,21.9,21.86,21.9,600
230,21.95,21.98,21.94,21.98,400
232,21.99,21.99,21.95,21.95,300
234,22.01,22.01,22,22,200
239,21.9,21.9,21.9,21.9,100
240,21.97,21.97,21.97,21.97,300
241,22.02,22.02,21.98,21.99,1500
249,22.11,22.11,21.99,21.99,735
250,22.12,22.19,22.05,22.19,1244
255,22.08,22.1,22.08,22.08,1188
257,22.12,22.12,22.1,22.1,300
258,22.2,22.2,22.16,22.16,400
261,22.11,22.19,22.08,22.16,1671
262,22.15,22.15,22.15,22.15,200
263,22.15,22.15,22.149,22.149,386
264,22.15,22.15,22.15,22.15,100
266,22.15,22.15,22.15,22.15,100
267,22.24,22.24,22.15,22.15,6024
269,22.19,22.23,22.15,22.23,1685
273,22.19,22.19,22.19,22.19,100
276,22.15,22.15,22.14,22.15,3400
277,22.27,22.31,22.16,22.16,1700
278,22.36,22.38,22.25,22.26,2180
282,22.34,22.34,22.34,22.34,1221
284,22.39,22.39,22.39,22.39,100
285,22.39,22.39,22.39,22.39,100
287,22.355,22.39,22.355,22.39,200
288,22.49,22.49,22.39,22.39,648
292,22.45,22.45,22.44,22.44,422
295,22.35,22.36,22.31,22.36,500
296,22.345,22.345,22.345,22.345,400
297,22.4,22.4,22.35,22.35,789
299,22.46,22.47,22.43,22.43,1700
300,22.5,22.52,22.46,22.46,1800
303,22.4601,22.4601,22.4601,22.4601,500
304,22.52,22.52,22.5,22.5,3884
305,22.5,22.5,22.5,22.5,188
306,22.35,22.45,22.26,22.45,1406
307,22.42,22.42,22.37,22.38,1800
311,22.4,22.4,22.37,22.37,2000
313,22.42,22.42,22.4,22.4,200
314,22.57,22.57,22.42,22.42,1214
315,22.54,22.575,22.51,22.55,1950
317,22.56,22.6,22.5,22.5,2300
320,22.46,22.53,22.46,22.53,500
321,22.43,22.455,22.37,22.4,1100
322,22.43,22.43,22.43,22.43,400
323,22.39,22.39,22.39,22.39,300
324,22.33,22.39,22.33,22.39,800
325,22.33,22.335,22.33,22.335,500
326,22.32,22.37,22.3,22.31,1501
327,22.33,22.42,22.33,22.39,1200
328,22.34,22.365,22.34,22.355,300
329,22.21,22.34,22.21,22.34,900
330,22.2,22.29,22.2,22.21,1500
