EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,14.55,14.55,14.55,14.55,1343
2,14.56,14.56,14.56,14.56,300
4,14.6,14.6,14.6,14.6,205
5,14.6,14.6,14.6,14.6,100
6,14.7,14.7,14.65,14.65,1170
7,14.69,14.72,14.69,14.72,600
9,14.73,14.74,14.69,14.69,300
11,14.7,14.7,14.7,14.7,300
12,14.68,14.69,14.68,14.69,200
14,14.66,14.66,14.66,14.66,600
16,14.66,14.66,14.66,14.66,100
17,14.62,14.65,14.62,14.65,1100
22,14.54,14.58,14.54,14.58,525
26,14.52,14.55,14.52,14.53,1400
27,14.5,14.5,14.5,14.5,100
28,14.5,14.51,14.5,14.51,400
29,14.5,14.5,14.5,14.5,1000
30,14.48,14.48,14.48,14.48,100
34,14.49,14.49,14.48,14.49,500
36,14.49,14.5,14.49,14.5,1115
37,14.49,14.49,14.49,14.49,400
38,14.49,14.5,14.49,14.5,300
40,14.49,14.49,14.48,14.49,500
41,14.48,14.48,14.48,14.48,400
43,14.465,14.465,14.465,14.465,100
45,14.4,14.45,14.4,14.45,891
46,14.41,14.41,14.41,14.41,100
47,14.44,14.44,14.41,14.41,200
48,14.42,14.42,14.42,14.42,200
49,14.41,14.41,14.41,14.41,100
50,14.42,14.42,14.41,14.41,500
51,14.4,14.4,14.4,14.4,400
58,14.405,14.405,14.405,14.405,100
64,14.4,14.4,14.4,14.4,300
65,14.39,14.39,14.39,14.39,100
67,14.4,14.4,14.4,14.4,1113
68,14.46,14.46,14.46,14.46,100
69,14.48,14.48,14.48,14.48,100
71,14.46,14.46,14.46,14.46,300
72,14.43,14.43,14.43,14.43,100
73,14.43,14.46,14.43,14.43,300
74,14.43,14.43,14.43,14.43,100
75,14.43,14.43,14.43,14.43,100
76,14.43,14.44,14.41,14.44,500
82,14.41,14.41,14.41,14.41,100
84,14.42,14.42,14.4,14.42,300
86,14.4,14.41,14.4,14.41,500
87,14.39,14.39,14.39,14.39,100
88,14.4,14.4,14.4,14.4,100
90,14.41,14.41,14.41,14.41,100
93,14.4,14.4,14.4,14.4,100
95,14.39,14.4,14.39,14.4,2617
96,14.38,14.38,14.38,14.38,447
97,14.38,14.38,14.38,14.38,100
98,14.4,14.4,14.4,14.4,100
99,14.39,14.39,14.39,14.39,101
100,14.39,14.39,14.39,14.39,100
101,14.39,14.39,14.39,14.39,200
104,14.39,14.39,14.39,14.39,100
105,14.3735,14.39,14.3735,14.39,1262
110,14.38,14.38,14.38,14.38,100
111,14.37,14.37,14.37,14.37,100
113,14.38,14.38,14.38,14.38,100
114,14.38,14.38,14.38,14.38,300
119,14.37,14.385,14.37,14.385,2000
123,14.36,14.36,14.35,14.36,500
125,14.32,14.32,14.32,14.32,100
127,14.35,14.35,14.35,14.35,100
128,14.34,14.34,14.34,14.34,101
130,14.35,14.35,14.35,14.35,100
132,14.38,14.38,14.38,14.38,100
139,14.4,14.4,14.4,14.4,200
140,14.3814,14.3814,14.371,14.371,461
141,14.3822,14.3822,14.3822,14.3822,300
143,14.395,14.4,14.395,14.4,1035
144,14.39,14.39,14.39,14.39,700
149,14.38,14.38,14.38,14.38,100
152,14.39,14.39,14.39,14.39,200
154,14.4,14.4,14.4,14.4,100
158,14.4,14.4,14.4,14.4,100
162,14.39,14.41,14.39,14.4,700
163,14.38,14.38,14.38,14.38,400
164,14.35,14.37,14.35,14.37,400
166,14.37,14.37,14.37,14.37,200
170,14.37,14.37,14.37,14.37,600
171,14.36,14.36,14.35,14.35,600
175,14.34,14.35,14.34,14.35,1000
177,14.35,14.35,14.35,14.35,100
178,14.35,14.35,14.35,14.35,200
180,14.37,14.37,14.37,14.37,100
181,14.37,14.37,14.37,14.37,2400
182,14.34,14.36,14.34,14.36,1000
184,14.36,14.36,14.36,14.36,100
188,14.35,14.35,14.35,14.35,100
190,14.36,14.36,14.36,14.36,100
194,14.36,14.37,14.36,14.37,500
198,14.38,14.38,14.38,14.38,200
199,14.37,14.38,14.37,14.38,900
200,14.37,14.37,14.37,14.37,273
203,14.4075,14.42,14.38,14.38,5832
206,14.44,14.44,14.44,14.44,100
213,14.43,14.43,14.43,14.43,100
214,14.43,14.43,14.43,14.43,200
215,14.43,14.44,14.43,14.44,200
216,14.42,14.43,14.42,14.43,800
217,14.42,14.42,14.42,14.42,400
218,14.4,14.4,14.4,14.4,300
224,14.4,14.41,14.4,14.41,200
228,14.4,14.41,14.4,14.41,200
232,14.4,14.4,14.4,14.4,300
234,14.39,14.39,14.39,14.39,346
235,14.39,14.39,14.39,14.39,300
236,14.38,14.38,14.38,14.38,100
239,14.39,14.39,14.38,14.38,200
242,14.37,14.38,14.37,14.38,701
243,14.35,14.35,14.35,14.35,700
244,14.37,14.37,14.37,14.37,100
245,14.37,14.37,14.37,14.37,100
249,14.35,14.36,14.35,14.36,600
251,14.36,14.36,14.36,14.36,100
252,14.36,14.36,14.36,14.36,400
255,14.36,14.36,14.34,14.35,717
259,14.3,14.33,14.28,14.33,3620
260,14.33,14.33,14.29,14.3,8850
261,14.35,14.35,14.35,14.35,100
264,14.35,14.35,14.35,14.35,100
265,14.35,14.35,14.35,14.35,100
266,14.35,14.35,14.35,14.35,394
267,14.36,14.38,14.35,14.36,5077
268,14.36,14.36,14.36,14.36,100
269,14.36,14.38,14.36,14.38,200
271,14.38,14.38,14.36,14.36,200
272,14.38,14.39,14.38,14.38,400
273,14.38,14.39,14.38,14.39,300
275,14.39,14.39,14.39,14.39,100
276,14.38,14.38,14.38,14.38,100
277,14.38,14.38,14.38,14.38,100
278,14.38,14.38,14.38,14.38,100
280,14.39,14.39,14.39,14.39,400
281,14.41,14.41,14.39,14.39,7800
284,14.41,14.43,14.41,14.425,1500
286,14.43,14.43,14.42,14.42,1177
287,14.5,14.51,14.44,14.44,7883
288,14.5,14.5,14.5,14.5,200
289,14.53,14.53,14.51,14.51,1770
290,14.52,14.52,14.51,14.52,600
294,14.51,14.51,14.51,14.51,1000
295,14.51,14.51,14.51,14.51,1446
297,14.51,14.51,14.51,14.51,100
298,14.47,14.5,14.47,14.5,1300
299,14.49,14.49,14.49,14.49,200
300,14.4708,14.4708,14.4708,14.4708,250
301,14.46,14.46,14.46,14.46,100
302,14.46,14.46,14.46,14.46,200
303,14.46,14.46,14.46,14.46,640
304,14.42,14.42,14.42,14.42,200
