EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,5.9,5.9,5.9,5.9,875
25,5.9,5.9,5.9,5.9,601
27,5.9,5.9,5.9,5.9,349
30,5.85,5.85,5.85,5.85,151
32,5.9,5.9,5.9,5.9,100
63,6,6,6,6,200
127,6,6,6,6,100
200,6.045,6.045,6.045,6.045,100
225,6.05,6.05,6.05,6.05,100
278,6.05,6.05,6.05,6.05,620
320,6.05,6.05,6.05,6.05,100
335,6.1,6.1,6.1,6.1,178
361,6.1,6.1,6.1,6.1,288
376,6.1,6.1,6.1,6.1,100
377,6.1,6.1,6.1,6.1,100
388,6.05,6.05,6.05,6.05,289
a1520349480,6.1,6.1,6.1,6.1,100
34,6.1,6.15,6.1,6.15,200
316,6.2,6.2,6.2,6.2,191
317,6.2,6.2,6.2,6.2,156
338,6.15,6.15,6.15,6.15,224
a1520433000,6.1,6.1,6.1,6.1,600
6,6,6,6,6,100
43,6.2,6.2,6.2,6.2,100
75,6.2,6.2,6.2,6.2,100
166,6.25,6.25,6.2,6.2,344
185,6.2023,6.2023,6.2023,6.2023,500
192,6.18,6.18,6.18,6.18,500
195,6.2025,6.2025,6.2025,6.2025,500
243,6.2,6.2,6.2,6.2,5056
369,6.25,6.25,6.25,6.25,102
384,6.2,6.2,6.2,6.2,100
a1520519400,6.2,6.2,6.2,6.2,100
15,6.005,6.15,6.005,6.15,3015
16,6.15,6.15,6.15,6.15,100
27,6.15,6.15,6.15,6.15,1500
31,6.262,6.262,6.262,6.262,746
35,6.2767,6.2767,6.2767,6.2767,375
38,6.238,6.238,6.238,6.238,500
57,6.25,6.25,6.25,6.25,100
120,6.15,6.15,6.15,6.15,200
148,6.21,6.25,6.21,6.25,898
213,6.15,6.15,6.15,6.15,200
226,6.25,6.25,6.25,6.25,200
234,6.25,6.25,6.25,6.25,100
288,6.15,6.15,6.15,6.15,400
335,6.2,6.2,6.2,6.2,103
356,6.2,6.2,6.2,6.2,103
365,6.2,6.2,6.2,6.2,300
380,6.2,6.2,6.2,6.2,200
386,6.15,6.15,6.15,6.15,100
388,6.15,6.15,6.15,6.15,100
390,6.15,6.15,6.15,6.15,212
a1520605800,6.25,6.25,6.25,6.25,100
6,6.15,6.15,6.15,6.15,100
116,6.2,6.2,6.2,6.2,100
144,6.2,6.2,6.155,6.155,642
228,6.2,6.2,6.15,6.15,400
381,6.2,6.2,6.2,6.2,300
386,6.175,6.2,6.175,6.175,1020
387,6.175,6.175,6.175,6.175,100
390,6.175,6.2,6.175,6.2,200
TIMEZONE_OFFSET=-240
a1520861400,6.15,6.15,6.15,6.15,150
6,6.2,6.2,6.2,6.2,1633
128,6.2,6.205,6.2,6.205,9102
164,6.188,6.188,6.188,6.188,815
165,6.25,6.25,6.25,6.25,100
193,6.23,6.23,6.23,6.23,500
198,6.25,6.25,6.25,6.25,265
306,6.2766,6.2766,6.2766,6.2766,200
307,6.3,6.3,6.3,6.3,100
378,6.2731,6.2731,6.2731,6.2731,114
390,6.3,6.3,6.3,6.3,100
a1520947800,6.3,6.3,6.3,6.3,365
16,6.25,6.25,6.25,6.25,200
92,6.25,6.25,6.25,6.25,5100
137,6.2,6.25,6.2,6.25,7657
138,6.25,6.25,6.25,6.25,2000
160,6.3,6.3,6.3,6.3,100
181,6.3,6.3,6.3,6.3,3000
186,6.3,6.3,6.3,6.3,100
237,6.27,6.27,6.27,6.27,300
245,6.25,6.25,6.25,6.25,500
246,6.3,6.3,6.3,6.3,100
253,6.275,6.275,6.275,6.275,1000
272,6.275,6.275,6.275,6.275,500
280,6.275,6.275,6.275,6.275,650
284,6.281,6.281,6.281,6.281,750
290,6.275,6.275,6.275,6.275,750
291,6.3,6.3,6.3,6.3,100
292,6.295,6.3,6.295,6.3,1500
302,6.281,6.281,6.281,6.281,750
305,6.275,6.275,6.275,6.275,700
306,6.281,6.281,6.281,6.281,800
307,6.281,6.3,6.281,6.3,900
310,6.275,6.275,6.275,6.275,800
313,6.281,6.281,6.281,6.281,750
320,6.275,6.275,6.275,6.275,800
321,6.275,6.3,6.275,6.275,1186
333,6.281,6.281,6.281,6.281,850
346,6.281,6.281,6.281,6.281,850
348,6.285,6.285,6.285,6.285,500
350,6.281,6.281,6.281,6.281,850
351,6.281,6.281,6.281,6.281,850
352,6.3,6.3,6.3,6.3,100
353,6.3,6.3,6.295,6.295,1500
356,6.275,6.275,6.275,6.275,750
357,6.281,6.281,6.281,6.281,850
358,6.275,6.3,6.25,6.3,1585
364,6.35,6.35,6.345,6.345,950
365,6.395,6.395,6.395,6.395,850
374,6.395,6.395,6.395,6.395,850
a1521034200,6.4,6.4,6.4,6.4,100
6,6.35,6.35,6.35,6.35,100
38,6.3,6.3,6.3,6.3,100
127,6.3374,6.3374,6.3374,6.3374,200
132,6.3611,6.3611,6.3611,6.3611,350
166,6.4,6.4,6.4,6.4,100
247,6.3534,6.3534,6.3534,6.3534,3000
264,6.4,6.4,6.4,6.4,100
272,6.4,6.4,6.4,6.4,1653
281,6.45,6.45,6.45,6.45,200
297,6.45,6.45,6.45,6.45,100
300,6.5,6.5,6.5,6.5,200
324,6.55,6.6,6.55,6.6,200
331,6.6,6.65,6.6,6.65,900
335,6.688,6.75,6.688,6.75,632
336,6.65,6.65,6.65,6.65,200
339,6.74,6.74,6.74,6.74,100
343,6.7,6.7,6.7,6.7,1000
348,6.7002,6.7002,6.7002,6.7002,300
349,6.7,6.75,6.7,6.75,200
358,6.65,6.65,6.65,6.65,2000
362,6.669,6.669,6.669,6.669,1500
363,6.65,6.7,6.65,6.675,3794
364,6.638,6.638,6.638,6.638,1500
365,6.65,6.65,6.638,6.638,3000
371,6.65,6.65,6.65,6.65,1500
372,6.65,6.65,6.65,6.65,1500
373,6.638,6.65,6.605,6.65,1500
374,6.7,6.7,6.6,6.6,600
375,6.605,6.65,6.605,6.638,3000
376,6.7,6.7,6.638,6.7,2507
377,6.638,6.638,6.638,6.638,1500
378,6.638,6.638,6.638,6.638,1500
379,6.6369,6.6369,6.6369,6.6369,850
384,6.7,6.7,6.7,6.7,100
386,6.65,6.65,6.65,6.65,1200
387,6.65,6.65,6.625,6.65,4500
390,6.6,6.6,6.6,6.6,100
a1521120600,6.7,6.7,6.7,6.7,100
145,6.645,6.645,6.645,6.645,1000
161,6.65,6.65,6.65,6.65,100
