EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,9.73,9.73,9.73,9.73,2485
5,9.73,9.73,9.73,9.73,3300
8,9.73,9.73,9.73,9.73,700
12,9.73,9.73,9.73,9.73,1600
17,9.72,9.73,9.7,9.73,2161
20,9.73,9.73,9.73,9.73,100
24,9.73,9.73,9.695,9.695,2040
36,9.7204,9.7204,9.7204,9.7204,1500
41,9.715,9.715,9.7,9.7,600
51,9.72,9.72,9.72,9.72,200
63,9.73,9.73,9.7,9.71,698
67,9.73,9.73,9.72,9.72,1200
68,9.73,9.73,9.73,9.73,500
69,9.73,9.73,9.73,9.73,200
73,9.73,9.73,9.73,9.73,200
84,9.73,9.73,9.73,9.73,450
90,9.73,9.73,9.73,9.73,100
91,9.73,9.73,9.71,9.73,5098
93,9.73,9.73,9.73,9.73,100
97,9.73,9.73,9.72,9.72,200
104,9.73,9.73,9.73,9.73,400
105,9.73,9.73,9.73,9.73,1100
106,9.73,9.73,9.73,9.73,5400
108,9.73,9.73,9.73,9.73,2868
109,9.73,9.73,9.73,9.73,7000
110,9.728,9.73,9.728,9.73,2400
111,9.73,9.73,9.73,9.73,1700
112,9.73,9.73,9.7299,9.73,3900
113,9.73,9.73,9.73,9.73,2000
114,9.7255,9.73,9.7255,9.73,6990
115,9.72,9.73,9.72,9.73,900
116,9.73,9.73,9.73,9.73,800
117,9.73,9.73,9.73,9.73,600
118,9.73,9.73,9.725,9.73,1600
119,9.73,9.73,9.73,9.73,500
120,9.73,9.73,9.73,9.73,400
121,9.73,9.73,9.73,9.73,400
122,9.73,9.73,9.725,9.73,900
123,9.73,9.73,9.73,9.73,5800
124,9.73,9.73,9.73,9.73,2668
125,9.73,9.73,9.73,9.73,300
126,9.73,9.73,9.73,9.73,1668
127,9.74,9.74,9.74,9.74,300
130,9.75,9.75,9.7438,9.7438,550
132,9.75,9.75,9.75,9.75,100
149,9.765,9.765,9.765,9.765,1300
155,9.7601,9.7645,9.76,9.76,2850
157,9.77,9.77,9.77,9.77,100
158,9.77,9.77,9.77,9.77,100
163,9.76,9.76,9.76,9.76,100
164,9.7601,9.7601,9.76,9.76,1700
165,9.76,9.76,9.76,9.76,1000
168,9.76,9.76,9.755,9.755,1000
169,9.76,9.7601,9.76,9.7601,2500
174,9.76,9.76,9.76,9.76,120
176,9.76,9.76,9.76,9.76,100
179,9.76,9.77,9.76,9.7699,5900
180,9.76,9.76,9.76,9.76,400
181,9.76,9.76,9.75,9.75,700
182,9.76,9.76,9.76,9.76,200
183,9.75,9.75,9.75,9.75,130
184,9.76,9.76,9.7501,9.7501,1000
185,9.76,9.76,9.75,9.75,400
186,9.76,9.76,9.76,9.76,200
187,9.76,9.76,9.76,9.76,200
188,9.76,9.76,9.76,9.76,200
190,9.76,9.76,9.76,9.76,200
191,9.7557,9.7557,9.7557,9.7557,1000
193,9.7538,9.7538,9.7538,9.7538,128
194,9.75,9.75,9.75,9.75,530
195,9.75,9.75,9.75,9.75,400
198,9.7599,9.7599,9.754,9.754,335
204,9.755,9.755,9.755,9.755,1536
206,9.76,9.76,9.76,9.76,4700
208,9.755,9.755,9.755,9.755,200
209,9.76,9.76,9.76,9.76,10100
210,9.76,9.76,9.7593,9.7593,400
213,9.7593,9.76,9.7593,9.76,1000
214,9.755,9.755,9.755,9.755,200
215,9.7661,9.77,9.76,9.76,5000
216,9.77,9.77,9.77,9.77,1300
217,9.7601,9.7601,9.7601,9.7601,200
219,9.7601,9.77,9.7601,9.77,1500
223,9.77,9.77,9.77,9.77,500
224,9.77,9.77,9.77,9.77,100
225,9.7601,9.7635,9.7601,9.7635,700
226,9.76,9.76,9.76,9.76,750
227,9.75,9.755,9.75,9.755,600
228,9.75,9.75,9.75,9.75,100
229,9.755,9.755,9.755,9.755,1000
231,9.75,9.75,9.75,9.75,284
235,9.76,9.76,9.76,9.76,4500
241,9.75,9.75,9.75,9.75,400
244,9.7423,9.7423,9.7401,9.7401,537
246,9.76,9.76,9.76,9.76,100
247,9.74,9.75,9.74,9.75,500
248,9.74,9.74,9.74,9.74,100
249,9.7456,9.75,9.7456,9.75,2900
255,9.74,9.74,9.71,9.74,500
260,9.75,9.75,9.75,9.75,400
262,9.75,9.75,9.75,9.75,1184
263,9.75,9.75,9.75,9.75,700
265,9.75,9.75,9.75,9.75,100
275,9.7493,9.75,9.7493,9.75,500
276,9.75,9.75,9.75,9.75,1100
289,9.74,9.74,9.74,9.74,100
290,9.74,9.74,9.74,9.74,100
293,9.75,9.75,9.745,9.745,200
300,9.76,9.76,9.75,9.75,2550
301,9.76,9.76,9.755,9.755,1400
302,9.75,9.75,9.75,9.75,100
306,9.7601,9.7601,9.76,9.76,3400
308,9.77,9.77,9.77,9.77,400
312,9.77,9.77,9.77,9.77,500
313,9.76,9.76,9.76,9.76,2800
314,9.76,9.76,9.76,9.76,1900
315,9.73,9.75,9.73,9.75,6560
316,9.73,9.73,9.73,9.73,200
317,9.73,9.75,9.72,9.72,7000
318,9.73,9.74,9.72,9.72,900
319,9.73,9.73,9.73,9.73,300
320,9.72,9.72,9.72,9.72,600
321,9.72,9.735,9.72,9.73,1927
322,9.7266,9.7266,9.7266,9.7266,3000
323,9.75,9.75,9.74,9.74,1000
324,9.75,9.75,9.75,9.75,100
325,9.76,9.76,9.76,9.76,100
328,9.75,9.75,9.75,9.75,1726
330,9.75,9.75,9.75,9.75,100
336,9.76,9.76,9.76,9.76,1200
337,9.75,9.75,9.75,9.75,300
339,9.74,9.75,9.74,9.75,500
340,9.74,9.74,9.73,9.73,300
345,9.74,9.74,9.74,9.74,400
352,9.76,9.76,9.76,9.76,100
356,9.76,9.76,9.76,9.76,100
362,9.75,9.75,9.75,9.75,100
367,9.7353,9.75,9.7353,9.75,300
369,9.7392,9.7392,9.7392,9.7392,400
370,9.7401,9.7401,9.7401,9.7401,3197
371,9.74,9.74,9.74,9.74,8850
375,9.74,9.74,9.74,9.74,4200
377,9.74,9.74,9.74,9.74,2000
381,9.75,9.75,9.75,9.75,100
382,9.74,9.74,9.74,9.74,2600
383,9.73,9.74,9.73,9.74,1595
384,9.75,9.75,9.75,9.75,100
386,9.76,9.76,9.75,9.75,6150
387,9.77,9.77,9.76,9.76,200
388,9.76,9.76,9.755,9.76,829
389,9.76,9.76,9.755,9.755,670
a1520346600,9.86,9.86,9.86,9.86,6812
