EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,13.29,13.29,13.29,13.29,205
21,13.24,13.3,13.24,13.3,1080
24,13.22,13.22,13.22,13.22,1400
25,13.16,13.16,13.16,13.16,400
26,13.5,13.5,13.12,13.12,10747
33,13.38,13.38,13.38,13.38,100
36,13.38,13.38,13.38,13.38,900
40,13.36,13.36,13.36,13.36,100
44,13.355,13.355,13.355,13.355,125
46,13.36,13.36,13.36,13.36,100
48,13.32,13.355,13.32,13.355,600
51,13.49,13.5,13.31,13.32,8282
56,13.49,13.49,13.49,13.49,100
62,13.49,13.49,13.49,13.49,100
76,13.4844,13.4844,13.4844,13.4844,200
80,13.48,13.48,13.48,13.48,117
93,13.49,13.49,13.49,13.49,200
95,13.48,13.48,13.48,13.48,100
110,13.385,13.47,13.28,13.47,3470
154,13.485,13.49,13.48,13.48,6500
156,13.5,13.5,13.49,13.5,19800
157,13.54,13.54,13.5,13.5,3600
160,13.5,13.5,13.5,13.5,100
162,13.6299,13.63,13.6299,13.63,500
163,13.7,13.707,13.6799,13.707,2100
164,13.81,13.91,13.6753,13.69,11099
165,13.74,13.8734,13.74,13.8409,2895
166,13.75,13.8259,13.75,13.825,2210
170,13.6275,13.6275,13.6275,13.6275,400
171,13.66,13.66,13.66,13.66,100
173,13.65,13.65,13.65,13.65,200
175,13.63,13.63,13.63,13.63,100
177,13.63,13.63,13.63,13.63,300
178,13.665,13.665,13.665,13.665,500
180,13.7,13.79,13.6852,13.7,1900
182,13.7727,13.7727,13.6798,13.6999,1165
183,13.79,13.79,13.79,13.79,100
187,13.7,13.7257,13.7,13.7232,980
190,13.55,13.55,13.55,13.55,941
194,13.65,13.65,13.65,13.65,100
196,13.5,13.5,13.5,13.5,100
199,13.61,13.61,13.61,13.61,300
202,13.52,13.7,13.52,13.7,200
209,13.538,13.538,13.538,13.538,100
215,13.601,13.6217,13.601,13.6217,600
216,13.6548,13.7,13.6542,13.6542,1600
219,13.6548,13.6548,13.6548,13.6548,300
222,13.619,13.619,13.619,13.619,100
228,13.628,13.628,13.628,13.628,100
234,13.637,13.637,13.637,13.637,100
241,13.665,13.665,13.637,13.637,200
247,13.63,13.63,13.63,13.63,100
260,13.63,13.63,13.63,13.63,100
261,13.7,13.7,13.7,13.7,100
267,13.63,13.63,13.63,13.63,100
273,13.66,13.66,13.66,13.66,100
274,13.67,13.67,13.67,13.67,100
278,13.69,13.69,13.69,13.69,165
280,13.7,13.7,13.6798,13.6798,500
284,13.68,13.68,13.68,13.68,100
286,13.619,13.6999,13.619,13.69,1573
292,13.572,13.572,13.572,13.572,100
296,13.69,13.69,13.69,13.69,100
299,13.574,13.574,13.574,13.574,100
305,13.57,13.57,13.57,13.57,100
307,13.69,13.7,13.65,13.65,1400
308,13.62,13.62,13.62,13.62,500
325,13.61,13.61,13.61,13.61,100
331,13.67,13.67,13.67,13.67,400
337,13.6,13.6,13.6,13.6,302
339,13.6,13.6,13.6,13.6,100
344,13.6,13.6,13.6,13.6,200
349,13.6,13.6,13.6,13.6,100
350,13.5839,13.5839,13.5839,13.5839,104
354,13.55,13.57,13.55,13.56,1706
357,13.695,13.695,13.55,13.55,11575
364,13.685,13.685,13.685,13.685,100
365,13.69,13.7,13.685,13.685,1300
367,13.68,13.68,13.68,13.68,100
368,13.7,13.7,13.685,13.685,300
371,13.7,13.7,13.7,13.7,300
372,13.7,13.7,13.69,13.7,3300
382,13.6602,13.6602,13.64,13.64,500
384,13.689,13.689,13.689,13.689,100
385,13.65,13.65,13.65,13.65,100
387,13.64,13.68,13.53,13.67,1600
388,13.5718,13.6,13.56,13.6,800
390,13.6,13.6,13.58,13.58,326
a1520346600,13.63,13.63,13.63,13.63,5150
1,13.5,13.62,13.5,13.62,600
3,13.475,13.475,13.475,13.475,1000
5,13.465,13.465,13.465,13.465,105
6,13.44,13.4776,13.44,13.44,2800
7,13.4401,13.4401,13.44,13.44,3529
16,13.59,13.6,13.45,13.46,17235
22,13.5,13.5,13.5,13.5,700
25,13.505,13.505,13.505,13.505,200
29,13.53,13.53,13.53,13.53,600
31,13.5398,13.5398,13.53,13.53,715
32,13.535,13.535,13.535,13.535,100
33,13.523,13.535,13.523,13.535,300
35,13.53,13.53,13.53,13.53,100
41,13.4813,13.4813,13.4813,13.4813,800
50,13.47,13.47,13.47,13.47,100
63,13.4721,13.4721,13.4721,13.4721,300
69,13.49,13.49,13.49,13.49,100
72,13.464,13.48,13.464,13.48,200
75,13.4808,13.4808,13.4808,13.4808,100
76,13.47,13.47,13.47,13.47,100
88,13.4101,13.4771,13.41,13.46,3015
90,13.3567,13.41,13.35,13.41,4050
92,13.38,13.38,13.38,13.38,100
103,13.5,13.5,13.44,13.46,9300
109,13.5,13.5,13.5,13.5,100
114,13.485,13.485,13.485,13.485,100
117,13.4965,13.5,13.4965,13.5,500
118,13.5,13.5,13.4972,13.5,1500
119,13.49,13.49,13.49,13.49,100
127,13.51,13.51,13.51,13.51,100
135,13.53,13.53,13.53,13.53,100
136,13.52,13.53,13.52,13.53,200
137,13.54,13.54,13.54,13.54,100
138,13.53,13.53,13.53,13.53,200
139,13.53,13.55,13.53,13.55,200
148,13.43,13.43,13.43,13.43,100
151,13.45,13.45,13.45,13.45,300
156,13.3719,13.3719,13.3719,13.3719,400
170,13.42,13.42,13.42,13.42,100
173,13.5,13.5,13.4673,13.4673,600
174,13.467,13.467,13.467,13.467,500
183,13.462,13.462,13.462,13.462,500
186,13.43,13.44,13.43,13.44,400
190,13.48,13.48,13.48,13.48,100
191,13.41,13.41,13.41,13.41,100
192,13.47,13.47,13.36,13.36,2400
193,13.36,13.36,13.36,13.36,300
196,13.34,13.34,13.34,13.34,1300
198,13.46,13.47,13.45,13.45,1400
204,13.5,13.5,13.495,13.495,400
218,13.52,13.52,13.52,13.52,100
219,13.52,13.52,13.52,13.52,100
220,13.5,13.5,13.5,13.5,200
221,13.5,13.5,13.5,13.5,100
234,13.43,13.43,13.43,13.43,100
235,13.44,13.44,13.44,13.44,100
237,13.441,13.45,13.441,13.45,500
260,13.4589,13.4589,13.4589,13.4589,500
286,13.455,13.455,13.455,13.455,200
301,13.4982,13.4982,13.4982,13.4982,200
346,13.4865,13.4865,13.48,13.48,600
351,13.4569,13.4669,13.43,13.4628,550
356,13.48,13.48,13.48,13.48,100
