EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,13,13,13,13,147
60,12.9463,12.9463,12.9463,12.9463,100
66,12.94,12.94,12.94,12.94,100
72,12.94,12.94,12.94,12.94,100
78,12.945,12.945,12.945,12.945,100
83,12.945,12.945,12.945,12.945,100
128,12.9499,12.95,12.9499,12.95,9828
315,12.95,12.95,12.95,12.95,818
336,12.99,12.99,12.99,12.99,100
382,13.01,13.01,12.98,12.99,1300
384,13.015,13.05,13.015,13.03,1000
390,13.05,13.05,13.05,13.05,100
a1520346600,13.13,13.13,13.02,13.02,300
90,12.9848,13,12.9848,13,276
92,12.96,12.96,12.96,12.96,402
116,12.96,12.96,12.96,12.96,2711
244,12.97,12.97,12.96,12.96,2126
299,12.97,12.97,12.97,12.97,3000
387,12.99,12.99,12.99,12.99,100
388,13,13,13,13,5810
390,13.05,13.05,13.05,13.05,100
a1520433000,13.16,13.16,13.16,13.16,100
132,13.08,13.08,13.08,13.08,100
140,13.08,13.08,13.08,13.08,100
353,13.07,13.07,13.07,13.07,100
390,13.07,13.07,13.07,13.07,137
a1520519400,13.079,13.08,13.079,13.08,404
1,13.08,13.08,13.08,13.08,100
103,13,13.02,13,13.02,900
124,12.945,12.97,12.945,12.97,800
155,12.945,12.95,12.94,12.94,1900
156,12.95,12.95,12.94,12.94,1697
173,12.94,12.945,12.94,12.94,2026
209,12.96,12.96,12.96,12.96,204
338,13,13,13,13,100
351,13,13,13,13,4000
a1520607780,13.02,13.02,13.02,13.02,100
122,12.9928,12.9928,12.9928,12.9928,300
131,13.01,13.01,13.01,13.01,100
351,12.99,12.9903,12.99,12.99,1100
TIMEZONE_OFFSET=-240
a1520861400,13,13,13,13,100
45,12.9756,12.9756,12.9756,12.9756,2000
50,12.9856,12.9946,12.921,12.93,2332
139,12.92,12.94,12.92,12.94,1501
188,12.8457,12.9158,12.82,12.881,8500
235,12.9034,12.9034,12.9034,12.9034,750
303,12.9452,12.9452,12.9452,12.9452,1000
314,12.9335,12.9335,12.9335,12.9335,300
a1520947800,12.91,12.91,12.91,12.91,325
58,12.8738,12.8738,12.8738,12.8738,253
83,12.91,12.91,12.9,12.9,674
144,12.91,12.91,12.91,12.91,157
217,12.88,12.91,12.88,12.91,1289
233,12.878,12.878,12.878,12.878,220
322,12.845,12.845,12.8417,12.8417,400
363,12.89,12.89,12.89,12.89,100
388,12.89,12.89,12.89,12.89,600
389,12.91,12.91,12.91,12.91,400
390,12.89,12.89,12.89,12.89,200
a1521034200,12.88,12.88,12.88,12.88,362
11,12.88,12.8801,12.88,12.8801,900
18,12.87,12.87,12.87,12.87,191
23,12.87,12.87,12.87,12.87,200
81,12.87,12.87,12.87,12.87,116
83,12.87,12.87,12.87,12.87,103
107,12.87,12.87,12.87,12.87,809
135,12.87,12.87,12.87,12.87,100
162,12.87,12.87,12.87,12.87,100
187,12.87,12.87,12.87,12.87,2001
188,12.87,12.87,12.87,12.87,266
189,12.87,12.87,12.87,12.87,1392
213,12.86,12.86,12.86,12.86,100
214,12.86,12.86,12.86,12.86,1000
215,12.86,12.86,12.86,12.86,300
220,12.86,12.86,12.86,12.86,300
225,12.86,12.86,12.86,12.86,300
237,12.85,12.85,12.85,12.85,100
239,12.85,12.85,12.85,12.85,100
245,12.85,12.85,12.85,12.85,200
259,12.84,12.84,12.84,12.84,100
278,12.81,12.81,12.81,12.81,100
313,12.78,12.78,12.76,12.76,364
329,12.77,12.77,12.77,12.77,100
343,12.81,12.81,12.81,12.81,100
355,12.78,12.78,12.78,12.78,100
357,12.83,12.83,12.83,12.83,700
365,12.86,12.86,12.86,12.86,100
366,12.8206,12.8206,12.8206,12.8206,500
367,12.81,12.81,12.81,12.81,100
369,12.81,12.81,12.81,12.81,100
379,12.81,12.81,12.81,12.81,100
a1521120600,12.8,12.8,12.8,12.8,250
3,12.81,12.81,12.81,12.81,100
82,12.805,12.805,12.77,12.77,3498
104,12.82,12.82,12.82,12.82,186
127,12.81,12.81,12.81,12.81,100
152,12.81,12.81,12.81,12.81,100
175,12.81,12.81,12.81,12.81,100
178,12.81,12.81,12.81,12.81,100
207,12.81,12.81,12.81,12.81,100
230,12.81,12.81,12.81,12.81,300
255,12.825,12.84,12.825,12.84,600
260,12.84,12.84,12.84,12.84,400
265,12.83,12.84,12.83,12.84,200
270,12.84,12.84,12.84,12.84,184
291,12.8342,12.8342,12.8342,12.8342,391
293,12.92,12.92,12.8366,12.8366,3701
355,12.84,12.84,12.84,12.84,100
359,12.82,12.82,12.82,12.82,100
380,12.81,12.81,12.81,12.81,146
385,12.81,12.81,12.81,12.81,100
389,12.82,12.82,12.82,12.82,200
a1521207000,12.81,12.81,12.81,12.81,1189
72,12.77,12.82,12.77,12.82,4238
224,12.76,12.76,12.76,12.76,100
246,12.7666,12.7666,12.7666,12.7666,375
247,12.86,12.86,12.78,12.78,426
306,12.83,12.83,12.83,12.83,100
321,12.811,12.811,12.811,12.811,100
342,12.8,12.81,12.8,12.81,403
343,12.77,12.77,12.77,12.77,100
344,12.76,12.77,12.76,12.77,200
345,12.74,12.74,12.74,12.74,100
346,12.74,12.74,12.74,12.74,100
347,12.73,12.74,12.73,12.74,300
348,12.73,12.73,12.73,12.73,200
349,12.73,12.73,12.73,12.73,100
350,12.75,12.75,12.75,12.75,200
351,12.73,12.75,12.73,12.75,300
352,12.73,12.73,12.73,12.73,200
353,12.72,12.72,12.72,12.72,551
364,12.73,12.73,12.73,12.73,100
376,12.73,12.73,12.73,12.73,100
383,12.751,12.751,12.751,12.751,100
387,12.731,12.731,12.731,12.731,100
388,12.78,12.78,12.78,12.78,300
389,12.73,12.79,12.73,12.77,300
a1521466200,12.74,12.74,12.74,12.74,1654
68,12.74,12.74,12.74,12.74,200
81,12.73,12.73,12.73,12.73,100
88,12.71,12.71,12.71,12.71,100
92,12.71,12.71,12.71,12.71,100
95,12.71,12.71,12.71,12.71,100
96,12.7,12.71,12.7,12.71,725
98,12.7,12.7,12.7,12.7,100
101,12.7,12.7,12.7,12.7,100
107,12.69,12.69,12.69,12.69,1564
108,12.68,12.68,12.68,12.68,700
139,12.685,12.685,12.685,12.685,200
144,12.69,12.69,12.69,12.69,100
147,12.68,12.69,12.68,12.69,500
149,12.69,12.69,12.69,12.69,100
157,12.69,12.69,12.6899,12.6899,400
