EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,19.4,19.4,19.4,19.4,932
4,19.25,19.25,19.25,19.25,200
5,19.45,19.45,19.4,19.4,214
7,19.5,19.5,19.5,19.5,100
8,19.4903,19.4903,19.4903,19.4903,260
12,19.5,19.5,19.5,19.5,100
20,19.4,19.4,19.4,19.4,1100
21,19.35,19.35,19.35,19.35,100
25,19.25,19.25,19.25,19.25,200
29,19.2,19.2,19.15,19.15,1020
32,19.2,19.2,19.2,19.2,100
33,19.2,19.2,19.2,19.2,300
34,19.25,19.25,19.25,19.25,100
38,19.3,19.3,19.3,19.3,100
40,19.3,19.3,19.3,19.3,100
54,19.3,19.3,19.3,19.3,700
55,19.3,19.3,19.3,19.3,200
56,19.3,19.3,19.3,19.3,100
59,19.3,19.3,19.3,19.3,100
61,19.3,19.3,19.3,19.3,100
62,19.3,19.3,19.3,19.3,200
73,19.3,19.3,19.3,19.3,100
75,19.35,19.35,19.3,19.3,2900
76,19.4,19.4,19.3,19.3,1170
77,19.5,19.5,19.45,19.45,300
78,19.45,19.45,19.45,19.45,100
89,19.5,19.5,19.5,19.5,314
91,19.5,19.5,19.5,19.5,100
96,19.55,19.55,19.55,19.55,300
105,19.55,19.55,19.55,19.55,200
108,19.5,19.5,19.5,19.5,100
132,19.6,19.6,19.6,19.6,800
139,19.65,19.65,19.65,19.65,300
144,19.65,19.65,19.6,19.6,200
152,19.7,19.7,19.7,19.7,100
168,19.65,19.65,19.65,19.65,300
169,19.55,19.675,19.55,19.675,1049
170,19.55,19.55,19.55,19.55,100
171,19.55,19.55,19.55,19.55,100
175,19.55,19.55,19.55,19.55,100
176,19.55,19.55,19.55,19.55,100
180,19.6,19.6,19.6,19.6,100
181,19.55,19.55,19.55,19.55,100
189,19.575,19.575,19.575,19.575,100
194,19.575,19.575,19.575,19.575,100
197,19.55,19.55,19.55,19.55,100
199,19.6,19.6,19.575,19.575,200
206,19.6,19.6,19.6,19.6,100
210,19.55,19.55,19.55,19.55,100
216,19.65,19.65,19.65,19.65,100
222,19.65,19.65,19.65,19.65,400
229,19.6,19.65,19.6,19.65,405
238,19.6,19.6,19.6,19.6,100
239,19.6,19.6,19.6,19.6,100
243,19.6,19.6,19.6,19.6,100
256,19.6,19.6,19.6,19.6,100
258,19.6,19.6,19.55,19.55,700
259,19.6,19.65,19.6,19.6,2000
264,19.65,19.65,19.65,19.65,300
265,19.7,19.7,19.7,19.7,100
266,19.688,19.688,19.688,19.688,500
270,19.6,19.65,19.6,19.65,200
274,19.65,19.65,19.65,19.65,100
275,19.7,19.7,19.7,19.7,100
278,19.7,19.7,19.7,19.7,100
281,19.65,19.65,19.65,19.65,100
289,19.65,19.65,19.65,19.65,100
290,19.65,19.65,19.65,19.65,200
304,19.7,19.7,19.7,19.7,200
325,19.65,19.65,19.65,19.65,100
329,19.7,19.7,19.7,19.7,400
330,19.7,19.7,19.7,19.7,100
333,19.8,19.8,19.75,19.75,400
337,19.65,19.775,19.65,19.75,1984
339,19.7,19.7,19.7,19.7,100
342,19.65,19.65,19.65,19.65,100
348,19.8,19.8,19.7,19.75,1978
350,19.775,19.775,19.775,19.775,100
351,19.75,19.75,19.75,19.75,100
352,19.75,19.75,19.75,19.75,300
353,19.75,19.75,19.75,19.75,100
355,19.7,19.7,19.7,19.7,100
359,19.7,19.75,19.7,19.75,300
360,19.75,19.75,19.7,19.75,400
361,19.75,19.75,19.75,19.75,200
362,19.75,19.75,19.75,19.75,100
363,19.75,19.75,19.7,19.75,700
364,19.8,19.8,19.8,19.8,400
367,19.7,19.75,19.7,19.75,300
369,19.75,19.75,19.7,19.7,400
370,19.8,19.8,19.8,19.8,378
373,19.75,19.8,19.75,19.8,400
374,19.75,19.8,19.7,19.7,803
375,19.8,19.8,19.75,19.75,604
376,19.775,19.775,19.745,19.745,1800
377,19.75,19.775,19.75,19.775,200
378,19.775,19.775,19.775,19.775,200
379,19.8,19.8,19.75,19.8,3996
380,19.85,19.85,19.85,19.85,300
382,19.85,19.875,19.85,19.85,1100
383,19.875,19.875,19.875,19.875,100
384,19.85,19.9,19.85,19.875,2012
385,19.85,19.85,19.8,19.85,900
386,19.8,19.85,19.8,19.8,1040
387,19.8,19.8,19.75,19.8,1224
388,19.8,19.85,19.7,19.75,1351
389,19.8,19.85,19.7,19.85,4362
a1520346720,20.3,20.3,19.75,19.75,2153
4,19.905,19.905,19.905,19.905,100
16,19.85,19.95,19.85,19.95,200
19,19.8748,19.8748,19.8748,19.8748,200
26,19.8,19.8396,19.8,19.8396,1638
27,19.805,19.805,19.805,19.805,260
30,19.75,19.8,19.75,19.8,2087
31,19.75,19.75,19.75,19.75,1884
34,19.75,19.75,19.75,19.75,100
38,19.75,19.75,19.75,19.75,400
42,19.75,19.75,19.75,19.75,100
44,19.75,19.75,19.75,19.75,100
46,19.775,19.775,19.775,19.775,100
49,19.8,19.8,19.8,19.8,177
50,19.775,19.775,19.75,19.75,200
52,19.75,19.75,19.75,19.75,100
57,19.775,19.775,19.775,19.775,100
61,19.75,19.75,19.75,19.75,365
68,19.775,19.775,19.775,19.775,200
71,19.7,19.75,19.7,19.75,1300
77,19.75,19.75,19.75,19.75,100
78,19.65,19.65,19.65,19.65,100
80,19.6,19.6,19.6,19.6,100
81,19.55,19.55,19.55,19.55,100
83,19.55,19.55,19.55,19.55,100
84,19.55,19.55,19.55,19.55,167
85,19.533,19.533,19.533,19.533,500
88,19.5,19.5,19.5,19.5,400
91,19.5,19.5,19.5,19.5,100
95,19.55,19.55,19.55,19.55,300
113,19.6,19.6,19.6,19.6,200
118,19.6,19.6,19.6,19.6,300
120,19.65,19.65,19.65,19.65,200
125,19.6,19.6,19.6,19.6,207
156,19.675,19.675,19.675,19.675,100
161,19.75,19.75,19.75,19.75,100
166,19.75,19.75,19.75,19.75,100
174,19.7,19.7,19.7,19.7,100
180,19.75,19.75,19.75,19.75,100
191,19.65,19.65,19.65,19.65,100
205,19.7,19.75,19.7,19.75,400
210,19.75,19.75,19.7,19.7,1705
216,19.75,19.85,19.75,19.85,703
223,19.85,19.85,19.85,19.85,100
231,19.85,19.85,19.8,19.85,900
232,20,20,19.9,19.9,1505
233,20.05,20.05,20.05,20.05,100
235,20.05,20.05,20.05,20.05,100
236,20.2,20.2,20.05,20.05,900
237,20.25,20.25,20.25,20.25,300
