EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,13.41,13.41,13.41,13.41,4101
6,13.42,13.42,13.42,13.42,3000
26,13.46,13.46,13.46,13.46,200
28,13.46,13.46,13.46,13.46,100
30,13.46,13.46,13.46,13.46,200
33,13.45,13.455,13.45,13.455,400
45,13.4559,13.4559,13.4559,13.4559,370
46,13.47,13.47,13.46,13.46,3170
48,13.47,13.47,13.47,13.47,500
49,13.48,13.48,13.48,13.48,100
51,13.47,13.47,13.47,13.47,200
52,13.47,13.47,13.47,13.47,100
53,13.47,13.47,13.47,13.47,100
62,13.4738,13.4738,13.4738,13.4738,399
64,13.48,13.48,13.48,13.48,100
65,13.48,13.48,13.48,13.48,800
70,13.49,13.49,13.49,13.49,100
74,13.4856,13.4856,13.4856,13.4856,150
81,13.49,13.49,13.49,13.49,100
86,13.4806,13.4806,13.4806,13.4806,2120
87,13.49,13.49,13.49,13.49,200
90,13.49,13.49,13.49,13.49,500
93,13.49,13.49,13.49,13.49,300
98,13.49,13.49,13.49,13.49,100
101,13.49,13.49,13.49,13.49,200
103,13.49,13.49,13.49,13.49,100
104,13.48,13.48,13.48,13.48,100
111,13.49,13.49,13.49,13.49,100
112,13.48,13.485,13.48,13.485,500
113,13.48,13.48,13.48,13.48,200
117,13.46,13.46,13.46,13.46,100
119,13.475,13.475,13.475,13.475,100
122,13.48,13.48,13.48,13.48,100
126,13.46,13.46,13.46,13.46,100
130,13.49,13.49,13.47,13.47,200
132,13.49,13.49,13.489,13.489,1781
136,13.4976,13.4976,13.49,13.495,1700
144,13.4501,13.4501,13.4501,13.4501,300
145,13.45,13.45,13.45,13.45,100
149,13.49,13.49,13.45,13.45,200
152,13.45,13.45,13.45,13.45,100
161,13.47,13.47,13.47,13.47,400
170,13.4635,13.4648,13.4501,13.4648,2000
188,13.46,13.46,13.46,13.46,400
213,13.46,13.46,13.46,13.46,600
233,13.46,13.46,13.46,13.46,300
236,13.46,13.46,13.46,13.46,500
242,13.4667,13.4667,13.4667,13.4667,650
245,13.4628,13.4628,13.4628,13.4628,100
256,13.46,13.46,13.46,13.46,300
257,13.4581,13.47,13.4581,13.469,5750
282,13.44,13.44,13.44,13.44,100
286,13.44,13.44,13.44,13.44,100
290,13.44,13.44,13.44,13.44,100
297,13.4514,13.4514,13.4514,13.4514,600
304,13.4524,13.4524,13.45,13.45,2126
306,13.45,13.47,13.45,13.47,350
314,13.4628,13.4628,13.4628,13.4628,2000
318,13.44,13.44,13.44,13.44,100
325,13.44,13.44,13.44,13.44,100
328,13.44,13.4548,13.44,13.4548,469
330,13.44,13.44,13.44,13.44,100
333,13.44,13.44,13.44,13.44,100
335,13.4572,13.4572,13.4572,13.4572,500
337,13.44,13.44,13.44,13.44,100
341,13.44,13.44,13.44,13.44,100
345,13.44,13.44,13.44,13.44,100
348,13.44,13.44,13.44,13.44,100
352,13.44,13.44,13.44,13.44,100
356,13.44,13.44,13.44,13.44,100
361,13.44,13.47,13.44,13.455,850
384,13.43,13.43,13.43,13.43,100
385,13.43,13.46,13.43,13.43,400
386,13.43,13.43,13.43,13.43,100
387,13.44,13.44,13.43,13.43,200
388,13.43,13.43,13.43,13.43,100
389,13.46,13.46,13.43,13.43,245
a1520346660,13.46,13.46,13.46,13.46,2392
5,13.45,13.45,13.45,13.45,300
10,13.45,13.45,13.45,13.45,100
17,13.45,13.45,13.45,13.45,100
18,13.45,13.45,13.45,13.45,100
20,13.45,13.45,13.45,13.45,100
30,13.45,13.45,13.45,13.45,100
32,13.44,13.4425,13.44,13.4425,500
35,13.44,13.44,13.44,13.44,100
39,13.44,13.44,13.44,13.44,100
40,13.44,13.44,13.44,13.44,100
61,13.44,13.44,13.44,13.44,100
65,13.44,13.44,13.44,13.44,100
67,13.44,13.44,13.44,13.44,100
68,13.44,13.46,13.44,13.44,3924
69,13.38,13.45,13.38,13.45,20351
70,13.39,13.4,13.39,13.4,900
71,13.4,13.4,13.39,13.39,200
73,13.4,13.4,13.4,13.4,500
83,13.4,13.4,13.4,13.4,100
87,13.4,13.4,13.4,13.4,100
100,13.4,13.4,13.4,13.4,800
101,13.4,13.4,13.4,13.4,100
102,13.4,13.4,13.4,13.4,2300
105,13.4099,13.41,13.4099,13.41,1000
106,13.41,13.41,13.41,13.41,1000
107,13.41,13.41,13.41,13.41,100
108,13.42,13.42,13.41,13.41,200
110,13.41,13.41,13.41,13.41,100
130,13.41,13.41,13.41,13.41,100
131,13.41,13.42,13.41,13.42,200
132,13.42,13.42,13.415,13.415,1592
133,13.42,13.42,13.42,13.42,3600
136,13.42,13.42,13.42,13.42,200
137,13.42,13.42,13.42,13.42,100
138,13.41,13.42,13.41,13.42,900
139,13.42,13.42,13.42,13.42,400
142,13.42,13.42,13.42,13.42,100
144,13.4218,13.4218,13.4218,13.4218,500
154,13.42,13.42,13.42,13.42,100
155,13.42,13.42,13.42,13.42,100
165,13.43,13.43,13.4,13.42,6100
167,13.42,13.42,13.42,13.42,100
173,13.42,13.42,13.42,13.42,100
178,13.42,13.42,13.42,13.42,800
180,13.4187,13.4187,13.4187,13.4187,2000
181,13.422,13.422,13.42,13.42,850
183,13.41,13.41,13.41,13.41,100
188,13.42,13.42,13.42,13.42,200
193,13.42,13.42,13.42,13.42,200
197,13.4299,13.43,13.425,13.425,2000
200,13.43,13.43,13.43,13.43,1100
206,13.43,13.43,13.43,13.43,100
207,13.43,13.43,13.43,13.43,400
208,13.43,13.43,13.43,13.43,100
221,13.43,13.43,13.43,13.43,100
223,13.4218,13.4218,13.4218,13.4218,275
235,13.42,13.42,13.42,13.42,100
246,13.42,13.42,13.42,13.42,100
253,13.44,13.44,13.43,13.43,200
256,13.44,13.44,13.44,13.44,1038
260,13.44,13.44,13.44,13.44,100
262,13.4407,13.4407,13.44,13.44,1245
275,13.44,13.44,13.44,13.44,100
278,13.44,13.44,13.44,13.44,700
283,13.44,13.44,13.44,13.44,100
293,13.44,13.44,13.44,13.44,100
303,13.44,13.44,13.44,13.44,200
322,13.45,13.45,13.44,13.44,200
323,13.45,13.45,13.45,13.45,300
326,13.44,13.45,13.44,13.45,300
328,13.45,13.45,13.45,13.45,100
330,13.44,13.44,13.44,13.44,100
344,13.44,13.44,13.44,13.44,200
358,13.45,13.45,13.45,13.45,100
361,13.45,13.45,13.45,13.45,300
