EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,3.35,3.35,3.34,3.34,839
1,3.35,3.35,3.35,3.35,200
6,3.35,3.35,3.35,3.35,400
7,3.35,3.35,3.35,3.35,400
8,3.33,3.35,3.33,3.35,300
9,3.34,3.34,3.34,3.34,100
10,3.3334,3.3334,3.3334,3.3334,1475
15,3.35,3.35,3.3291,3.3291,200
23,3.341,3.341,3.341,3.341,1000
31,3.35,3.35,3.35,3.35,100
32,3.35,3.35,3.35,3.35,200
33,3.35,3.35,3.35,3.35,200
34,3.35,3.35,3.35,3.35,600
35,3.36,3.36,3.36,3.36,100
36,3.35,3.35,3.35,3.35,100
38,3.3477,3.3477,3.3477,3.3477,183
47,3.34,3.34,3.34,3.34,300
60,3.34,3.34,3.34,3.34,100
61,3.34,3.34,3.34,3.34,1000
69,3.33,3.33,3.33,3.33,100
75,3.3373,3.3373,3.3373,3.3373,481
79,3.33,3.33,3.33,3.33,100
80,3.331,3.331,3.331,3.331,1000
81,3.3398,3.3398,3.3398,3.3398,310
83,3.3448,3.3448,3.3448,3.3448,100
84,3.33,3.34,3.33,3.34,2121
105,3.34,3.34,3.33,3.34,400
106,3.35,3.35,3.35,3.35,100
113,3.3498,3.3498,3.3498,3.3498,1000
145,3.34,3.34,3.34,3.34,100
149,3.34,3.34,3.34,3.34,300
164,3.33,3.34,3.33,3.34,900
173,3.3499,3.3499,3.3301,3.3301,650
199,3.34,3.34,3.34,3.34,946
203,3.35,3.35,3.35,3.35,100
225,3.34,3.34,3.34,3.34,100
229,3.35,3.35,3.35,3.35,100
230,3.34,3.34,3.34,3.34,1013
238,3.35,3.35,3.35,3.35,400
266,3.345,3.345,3.345,3.345,100
268,3.34,3.34,3.34,3.34,353
269,3.34,3.3412,3.34,3.3412,600
270,3.35,3.35,3.35,3.35,100
277,3.35,3.35,3.345,3.345,400
282,3.344,3.344,3.344,3.344,500
313,3.35,3.35,3.35,3.35,100
315,3.34,3.34,3.34,3.34,1020
324,3.35,3.35,3.35,3.35,100
325,3.34,3.34,3.34,3.34,100
328,3.35,3.35,3.35,3.35,100
340,3.345,3.35,3.345,3.345,600
361,3.35,3.35,3.35,3.35,108
369,3.35,3.35,3.35,3.35,100
372,3.345,3.345,3.345,3.345,100
374,3.35,3.35,3.35,3.35,100
376,3.35,3.35,3.35,3.35,100
379,3.3499,3.3499,3.3439,3.345,2100
381,3.34,3.34,3.34,3.34,100
382,3.35,3.35,3.35,3.35,100
383,3.34,3.3499,3.34,3.349,2800
385,3.35,3.35,3.35,3.35,100
386,3.35,3.35,3.34,3.34,200
387,3.34,3.35,3.34,3.34,491
388,3.35,3.35,3.35,3.35,100
389,3.345,3.345,3.34,3.34,200
390,3.33,3.33,3.33,3.33,200
a1520346600,3.35,3.35,3.35,3.35,3037
1,3.35,3.35,3.35,3.35,100
3,3.36,3.36,3.35,3.35,400
5,3.34,3.34,3.34,3.34,100
7,3.35,3.35,3.35,3.35,300
8,3.345,3.345,3.345,3.345,280
9,3.34,3.34,3.34,3.34,100
10,3.34,3.34,3.34,3.34,100
11,3.34,3.34,3.34,3.34,4535
17,3.33,3.33,3.33,3.33,201
20,3.31,3.31,3.31,3.31,200
22,3.31,3.31,3.31,3.31,100
26,3.31,3.31,3.31,3.31,100
28,3.31,3.31,3.31,3.31,100
29,3.31,3.31,3.31,3.31,100
30,3.31,3.31,3.31,3.31,100
31,3.3,3.3,3.3,3.3,100
36,3.3,3.3,3.3,3.3,100
37,3.31,3.31,3.3,3.3,200
38,3.3,3.3,3.3,3.3,100
40,3.3008,3.3008,3.3008,3.3008,2000
41,3.3,3.3,3.3,3.3,200
42,3.29,3.29,3.29,3.29,400
43,3.28,3.28,3.28,3.28,100
47,3.29,3.29,3.28,3.28,200
48,3.29,3.29,3.29,3.29,300
49,3.3,3.3,3.3,3.3,100
54,3.3,3.3,3.3,3.3,200
74,3.305,3.305,3.305,3.305,100
79,3.3,3.3,3.3,3.3,100
80,3.3,3.3,3.3,3.3,100
81,3.305,3.305,3.3,3.3,300
83,3.29,3.29,3.29,3.29,100
84,3.29,3.29,3.29,3.29,200
85,3.28,3.3,3.28,3.3,2200
87,3.29,3.29,3.28,3.28,200
88,3.28,3.28,3.28,3.28,550
89,3.27,3.27,3.27,3.27,100
90,3.27,3.27,3.27,3.27,100
91,3.28,3.28,3.28,3.28,100
92,3.27,3.27,3.27,3.27,100
93,3.27,3.27,3.27,3.27,100
96,3.2762,3.2762,3.2721,3.2721,1481
99,3.28,3.28,3.28,3.28,500
101,3.28,3.28,3.28,3.28,100
102,3.28,3.28,3.28,3.28,100
103,3.28,3.28,3.28,3.28,100
104,3.28,3.28,3.28,3.28,100
108,3.28,3.28,3.28,3.28,100
109,3.28,3.28,3.28,3.28,100
111,3.28,3.28,3.28,3.28,100
112,3.28,3.28,3.28,3.28,100
118,3.28,3.28,3.28,3.28,2970
120,3.27,3.27,3.27,3.27,100
121,3.27,3.27,3.27,3.27,100
127,3.27,3.27,3.27,3.27,100
128,3.2758,3.28,3.2758,3.28,630
129,3.27,3.27,3.27,3.27,100
132,3.28,3.28,3.2796,3.28,400
136,3.28,3.28,3.28,3.28,100
147,3.2952,3.2952,3.2952,3.2952,180
153,3.3,3.3,3.3,3.3,100
160,3.305,3.305,3.305,3.305,2000
168,3.31,3.31,3.31,3.31,100
177,3.305,3.305,3.305,3.305,300
201,3.33,3.34,3.3099,3.31,6500
207,3.33,3.33,3.33,3.33,100
241,3.33,3.33,3.33,3.33,100
242,3.3324,3.3324,3.3216,3.3216,2900
243,3.3322,3.3322,3.3322,3.3322,300
258,3.34,3.34,3.34,3.34,400
266,3.34,3.34,3.33,3.33,200
272,3.33,3.33,3.33,3.33,100
279,3.34,3.34,3.34,3.34,100
284,3.3499,3.3499,3.3499,3.3499,150
285,3.35,3.35,3.345,3.3499,5500
286,3.345,3.345,3.345,3.345,100
306,3.35,3.35,3.35,3.35,100
311,3.341,3.341,3.341,3.341,300
315,3.345,3.3491,3.345,3.3491,500
316,3.34,3.345,3.34,3.345,3600
317,3.3339,3.3339,3.3339,3.3339,300
338,3.33,3.33,3.33,3.33,100
340,3.3244,3.3244,3.3244,3.3244,2275
345,3.3298,3.3298,3.3298,3.3298,100
354,3.3386,3.3386,3.3386,3.3386,100
356,3.33,3.33,3.33,3.33,100
