EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520450100,77,77,77,77,300
16,76.9999,76.9999,76.9999,76.9999,100
24,77,77,77,77,100
83,77,77,77,77,100
93,77,77,77,77,500
a1520524740,77.35,77.35,77.35,77.35,700
73,80,80,80,80,100
104,81.56,81.56,81.56,81.56,100
108,81.56,81.56,81.56,81.56,100
112,81.56,81.56,81.56,81.56,100
222,84,84,84,84,100
224,84.65,84.65,84.65,84.65,100
228,84.65,84.65,84.65,84.65,500
229,84.65,84.65,84.65,84.65,400
258,85.56,85.56,85.56,85.56,100
a1520606220,84.59,84.59,84.59,84.59,200
22,84.01,84.01,84.01,84.01,100
37,82.45,82.45,82.45,82.45,100
379,80.89,80.89,80.89,80.89,100
TIMEZONE_OFFSET=-240
a1520967060,80.3958,80.3958,80.3958,80.3958,100
a1521039420,80.49,80.49,80.49,80.49,250
16,80.49,80.49,80.49,80.49,400
19,80.28,80.28,80.28,80.28,100
86,80.29,80.29,80.29,80.29,250
154,80.29,80.29,80.29,80.29,100
159,80.29,80.29,80.29,80.29,200
162,80.5,80.5,80.5,80.5,600
163,80.5,80.5,80.5,80.5,100
174,80.5,80.5,80.5,80.5,100
296,79.8601,79.8601,79.8601,79.8601,500
298,80,81.1,80,81.1,396
a1521208440,81.9,82,81.85,81.99,782
a1521480720,81.19,81.3,81.19,81.3,200
a1521746100,82.26,82.26,82.26,82.26,100
a1521835140,80.41,80.41,80.41,80.41,100
