EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,18.37,18.37,18.37,18.37,395
6,18.39,18.39,18.38,18.38,200
10,18.41,18.42,18.41,18.42,200
11,18.44,18.44,18.44,18.44,100
12,18.44,18.45,18.44,18.45,400
16,18.45,18.46,18.45,18.46,300
17,18.41,18.455,18.41,18.455,600
21,18.38,18.38,18.38,18.38,100
28,18.34,18.34,18.34,18.34,200
32,18.37,18.37,18.31,18.34,3500
33,18.335,18.335,18.335,18.335,2900
35,18.3425,18.3425,18.3425,18.3425,1007
38,18.28,18.33,18.25,18.32,4750
46,18.28,18.29,18.28,18.29,1031
50,18.28,18.28,18.28,18.28,100
53,18.29,18.29,18.29,18.29,100
56,18.28,18.28,18.28,18.28,100
61,18.29,18.29,18.29,18.29,100
64,18.25,18.28,18.25,18.28,2197
68,18.24,18.25,18.24,18.25,500
74,18.25,18.25,18.21,18.24,8000
75,18.25,18.27,18.23,18.25,28700
76,18.26,18.26,18.23,18.245,5100
77,18.25,18.25,18.25,18.25,300
78,18.25,18.25,18.25,18.25,2312
92,18.26,18.28,18.25,18.27,3222
98,18.25,18.25,18.25,18.25,100
99,18.22,18.26,18.22,18.26,300
114,18.25,18.27,18.25,18.26,300
115,18.31,18.31,18.28,18.3,400
123,18.31,18.31,18.31,18.31,100
128,18.29,18.29,18.29,18.29,100
131,18.31,18.32,18.31,18.31,300
132,18.32,18.32,18.32,18.32,300
138,18.33,18.33,18.33,18.33,100
151,18.29,18.3,18.29,18.29,300
158,18.335,18.335,18.31,18.335,26100
159,18.33,18.33,18.33,18.33,800
160,18.32,18.33,18.32,18.33,900
162,18.33,18.33,18.33,18.33,600
168,18.325,18.33,18.31,18.33,2600
170,18.325,18.325,18.3175,18.3175,500
173,18.3273,18.3273,18.3273,18.3273,148
182,18.32,18.33,18.32,18.33,800
183,18.305,18.31,18.305,18.31,200
198,18.31,18.31,18.31,18.31,100
200,18.3,18.3,18.3,18.3,100
203,18.33,18.33,18.33,18.33,300
211,18.43,18.43,18.43,18.43,100
222,18.4,18.4,18.4,18.4,100
223,18.38,18.4,18.38,18.4,500
227,18.42,18.42,18.4,18.405,1100
228,18.4,18.4,18.4,18.4,100
230,18.4,18.4,18.4,18.4,100
231,18.4,18.4,18.4,18.4,100
232,18.39,18.39,18.38,18.38,200
233,18.36,18.385,18.36,18.385,600
242,18.31,18.345,18.31,18.345,437
243,18.33,18.33,18.33,18.33,200
247,18.29,18.29,18.29,18.29,100
249,18.32,18.32,18.32,18.32,200
251,18.32,18.32,18.32,18.32,200
252,18.32,18.32,18.32,18.32,100
254,18.32,18.32,18.32,18.32,500
255,18.33,18.33,18.33,18.33,400
256,18.32,18.34,18.32,18.34,300
258,18.36,18.36,18.36,18.36,100
259,18.38,18.38,18.38,18.38,100
260,18.36,18.38,18.36,18.38,300
263,18.38,18.39,18.38,18.39,300
264,18.4,18.4,18.39,18.39,300
265,18.41,18.41,18.41,18.41,200
267,18.41,18.41,18.39,18.41,500
269,18.35,18.35,18.35,18.35,100
270,18.37,18.38,18.37,18.38,300
271,18.42,18.42,18.38,18.38,500
274,18.41,18.41,18.39,18.41,800
276,18.36,18.36,18.36,18.36,300
280,18.34,18.34,18.34,18.34,100
281,18.4,18.42,18.36,18.37,1600
282,18.385,18.39,18.385,18.39,200
284,18.38,18.38,18.36,18.36,500
285,18.42,18.42,18.4,18.4,300
288,18.37,18.37,18.37,18.37,100
289,18.4,18.4,18.4,18.4,200
290,18.4,18.4,18.4,18.4,100
291,18.43,18.44,18.385,18.385,900
293,18.4,18.4,18.4,18.4,100
294,18.41,18.41,18.38,18.38,300
296,18.43,18.43,18.4,18.4,600
298,18.42,18.42,18.42,18.42,200
300,18.44,18.44,18.44,18.44,200
304,18.43,18.43,18.43,18.43,200
305,18.4,18.4,18.4,18.4,100
306,18.41,18.41,18.4,18.4,600
308,18.36,18.36,18.36,18.36,100
311,18.38,18.38,18.38,18.38,200
312,18.36,18.36,18.36,18.36,400
315,18.34,18.36,18.33,18.35,500
319,18.33,18.37,18.33,18.37,200
321,18.3419,18.3419,18.3419,18.3419,128
322,18.35,18.35,18.35,18.35,200
326,18.35,18.35,18.32,18.32,200
328,18.3201,18.3201,18.3201,18.3201,179
329,18.32,18.32,18.32,18.32,100
330,18.34,18.34,18.34,18.34,100
331,18.34,18.34,18.34,18.34,500
333,18.35,18.37,18.35,18.37,500
337,18.38,18.4,18.37,18.37,1000
338,18.4,18.4,18.4,18.4,100
340,18.38,18.39,18.37,18.39,665
341,18.37,18.37,18.37,18.37,200
342,18.35,18.35,18.35,18.35,100
344,18.37,18.37,18.37,18.37,100
345,18.38,18.38,18.34,18.34,500
347,18.36,18.36,18.36,18.36,300
349,18.38,18.38,18.38,18.38,100
350,18.36,18.36,18.35,18.35,747
352,18.32,18.32,18.32,18.32,100
353,18.32,18.32,18.32,18.32,100
354,18.34,18.34,18.34,18.34,200
355,18.34,18.34,18.325,18.325,300
356,18.31,18.31,18.31,18.31,100
357,18.36,18.36,18.36,18.36,200
359,18.34,18.34,18.34,18.34,100
361,18.33,18.33,18.32,18.32,500
362,18.34,18.34,18.32,18.33,600
363,18.36,18.36,18.34,18.34,200
365,18.34,18.34,18.34,18.34,200
366,18.38,18.38,18.34,18.34,200
367,18.35,18.35,18.35,18.35,200
368,18.37,18.37,18.37,18.37,100
369,18.35,18.35,18.35,18.35,400
371,18.32,18.32,18.32,18.32,200
372,18.31,18.33,18.31,18.33,200
373,18.31,18.33,18.31,18.33,500
374,18.31,18.33,18.31,18.33,300
376,18.362,18.38,18.31,18.31,2962
377,18.35,18.35,18.35,18.35,700
378,18.35,18.35,18.35,18.35,100
379,18.355,18.3577,18.35,18.35,639
380,18.35,18.35,18.35,18.35,1400
381,18.35,18.35,18.35,18.35,500
382,18.35,18.35,18.35,18.35,200
383,18.35,18.35,18.35,18.35,700
384,18.35,18.35,18.35,18.35,200
385,18.35,18.35,18.35,18.35,200
386,18.35,18.35,18.35,18.35,700
387,18.35,18.36,18.35,18.35,1200
388,18.35,18.35,18.35,18.35,1400
389,18.35,18.35,18.35,18.35,1200
390,18.36,18.36,18.35,18.35,2269
a1520346600,18.44,18.44,18.44,18.44,104
3,18.46,18.46,18.46,18.46,200
11,18.63,18.66,18.61,18.62,1731
12,18.63,18.63,18.62,18.62,200
