EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,7.85,7.85,7.85,7.85,528
3,7.85,7.85,7.85,7.85,300
5,7.85,7.85,7.85,7.85,100
11,7.85,7.85,7.85,7.85,100
13,7.85,7.85,7.85,7.85,1400
15,7.85,7.85,7.85,7.85,100
16,7.85,7.85,7.85,7.85,100
17,7.85,7.85,7.85,7.85,200
18,7.85,7.85,7.85,7.85,1200
19,7.85,7.85,7.85,7.85,500
21,7.85,7.85,7.85,7.85,100
26,7.9,7.9,7.9,7.9,300
30,7.9,7.9,7.9,7.9,100
37,7.875,7.875,7.875,7.875,300
38,7.875,7.875,7.875,7.875,100
44,7.875,7.875,7.875,7.875,100
45,7.875,7.875,7.875,7.875,100
47,7.9,7.9,7.875,7.875,400
52,7.9,7.9,7.9,7.9,200
53,7.875,7.875,7.875,7.875,100
60,7.875,7.875,7.875,7.875,400
66,7.875,7.9,7.875,7.9,4100
67,7.925,7.925,7.9,7.9,700
77,7.95,7.95,7.95,7.95,100
79,7.925,7.925,7.925,7.925,100
81,7.925,7.95,7.925,7.925,300
90,7.925,7.925,7.925,7.925,100
91,7.925,7.925,7.925,7.925,400
92,7.925,7.925,7.925,7.925,200
94,7.925,7.925,7.925,7.925,400
96,7.95,7.95,7.95,7.95,600
97,7.95,8,7.925,7.925,3461
98,8,8,8,8,100
109,8.05,8.05,8,8,4822
110,8.075,8.075,8.075,8.075,200
111,8.075,8.075,8.075,8.075,600
112,8.075,8.075,8.075,8.075,600
113,8.055,8.1,8.055,8.075,1403
114,8.1,8.1,8.1,8.1,900
115,8.1,8.1,8.075,8.1,782
116,8.05,8.125,8.05,8.125,3586
117,8.075,8.075,8.075,8.075,200
118,8.075,8.075,8.05,8.05,500
119,8.025,8.05,8.025,8.05,2400
131,8.05,8.05,8.05,8.05,1300
132,8.05,8.1,8.05,8.1,2315
133,8.075,8.1,8.075,8.1,11654
135,8.075,8.1,8.075,8.075,500
136,8.075,8.1,8.075,8.075,600
142,8.1,8.1,8.1,8.1,300
148,8.1,8.1,8.1,8.1,3700
149,8.1,8.1,8.1,8.1,200
155,8.1,8.1,8.1,8.1,100
156,8.0629,8.075,8.0629,8.075,800
160,8.1,8.1,8.1,8.1,100
161,8.075,8.075,8.05,8.075,1000
163,8.075,8.075,8.075,8.075,100
164,8.05,8.1,8.05,8.1,200
165,8.1,8.1,8.1,8.1,400
166,8.075,8.1,8.075,8.1,200
168,8.075,8.1,8.075,8.1,500
169,8.075,8.075,8.075,8.075,1500
170,8.1,8.1,8.05,8.05,300
176,8.0619,8.075,8.05,8.075,1946
177,8.025,8.05,7.975,8.05,17315
186,8.025,8.05,8.025,8.025,1400
187,8.025,8.025,8.025,8.025,100
193,8.025,8.025,8.025,8.025,100
195,8.025,8.025,8.025,8.025,200
198,8.025,8.025,8.025,8.025,100
199,8.025,8.025,8.025,8.025,100
205,8.025,8.025,8.025,8.025,300
206,8,8,8,8,100
208,8,8.025,8,8.025,200
209,8.025,8.025,8.025,8.025,400
210,8.025,8.025,8.025,8.025,100
211,8.025,8.025,8.025,8.025,100
212,8,8.025,8,8.025,700
213,8,8.025,8,8.025,200
214,8,8,8,8,500
215,8,8.025,8,8.025,400
216,8.025,8.05,8,8,1709
217,8.025,8.025,8,8,300
218,8,8,8,8,400
219,8,8,8,8,100
220,8,8,8,8,400
221,8,8.025,8,8.025,200
222,8,8,8,8,500
224,8.025,8.025,8,8,500
225,8,8,8,8,100
226,8.025,8.025,8,8,400
227,8,8,8,8,100
228,8.05,8.05,8,8,1700
229,8,8.025,8,8,300
230,8,8.025,8,8.025,400
231,8.025,8.025,8.025,8.025,100
233,8,8,8,8,300
235,8.025,8.025,8.025,8.025,100
236,8,8,8,8,300
237,8,8,8,8,200
238,8,8,8,8,200
239,8,8,8,8,358
240,8,8,8,8,500
241,8,8.025,8,8.025,800
242,8,8,8,8,700
243,8,8,8,8,403
244,7.925,8,7.9,8,10113
245,7.925,7.925,7.925,7.925,500
246,7.925,7.925,7.925,7.925,200
253,7.95,7.95,7.95,7.95,100
256,7.95,7.95,7.95,7.95,2100
257,7.975,7.975,7.975,7.975,100
258,7.975,7.975,7.975,7.975,100
259,7.975,7.975,7.975,7.975,100
261,8,8,8,8,100
262,7.975,8,7.975,8,4856
268,8,8.025,7.975,8,3800
269,8,8,8,8,500
270,7.975,8,7.975,8,1100
283,7.975,7.975,7.975,7.975,100
286,8,8,8,8,300
288,8,8,8,8,500
291,8,8,8,8,200
293,8,8,8,8,1793
295,8.025,8.05,8.025,8.05,200
299,8.05,8.05,8.05,8.05,100
301,8.025,8.025,8.025,8.025,100
302,8.05,8.05,8.025,8.025,300
304,8.05,8.05,8.025,8.025,1298
316,8.05,8.05,8.05,8.05,100
319,8.025,8.025,8.025,8.025,100
320,8.025,8.025,8.025,8.025,100
321,8.05,8.05,8.05,8.05,1500
325,8.05,8.05,8.05,8.05,100
326,8.05,8.05,8.05,8.05,100
328,8.05,8.05,8.05,8.05,100
329,8.05,8.05,8.05,8.05,100
331,8.05,8.075,8.05,8.05,5107
332,8.05,8.05,8.05,8.05,2391
333,8.05,8.05,8.025,8.025,3287
335,8.05,8.05,8.05,8.05,100
337,8.05,8.05,8.05,8.05,200
339,8.05,8.05,8.05,8.05,100
340,8.05,8.075,8.05,8.05,3400
342,8.05,8.05,8.025,8.025,1400
343,8.025,8.025,8.025,8.025,800
344,8.025,8.025,8.025,8.025,600
346,8.05,8.05,8.05,8.05,100
348,8.025,8.025,8.025,8.025,100
350,8.025,8.025,8.025,8.025,400
352,8.025,8.05,8.025,8.025,1400
354,8.05,8.05,8.05,8.05,100
357,8.025,8.025,8.005,8.005,800
358,8.05,8.05,8.05,8.05,1987
360,8.05,8.05,8.05,8.05,400
361,8.05,8.05,8.05,8.05,200
362,8.05,8.075,8.05,8.05,4985
365,8.025,8.025,8.025,8.025,100
367,8.025,8.025,8,8.025,1200
368,8,8.0106,8,8,2600
369,8,8.025,7.975,8.025,7417
370,8.01,8.01,8,8,600
371,8,8,8,8,1373
372,8,8,8,8,100
373,8.025,8.025,8.025,8.025,600
374,8.05,8.05,8.05,8.05,100
375,8.05,8.05,8.025,8.025,3606
376,8.05,8.05,8.05,8.05,100
378,8.025,8.05,8.025,8.05,300
379,8.025,8.05,8.025,8.05,600
